tax_identifier,average,AsnicarF_2017,AsnicarF_2021,BackhedF_2015,Bengtsson-PalmeJ_2015,ChuDM_2017,CosteaPI_2017,DavidLA_2015,DeFilippisF_2019,DhakanDB_2019,FengQ_2015,FerrettiP_2018,GuptaA_2019,HMP_2012,HMP_2019_ibdmdb,HMP_2019_t2d,HallAB_2017,HanniganGD_2017,HansenLBS_2018,Heitz-BuschartA_2016,IjazUZ_2017,JieZ_2017,KarlssonFH_2013,KeohaneDM_2020,LeChatelierE_2013,LiJ_2014,LiJ_2017,LiSS_2016,LifeLinesDeep_2016,LiuW_2016,LouisS_2016,MehtaRS_2018,NagySzakalD_2017,NielsenHB_2014,Obregon-TitoAJ_2015,QinJ_2012,QinN_2014,RampelliS_2015,RaymondF_2016,SankaranarayananK_2015,SchirmerM_2016,ShaoY_2019,ThomasAM_2018a,ThomasAM_2018b,ThomasAM_2019_c,VincentC_2016,VogtmannE_2016,WampachL_2018,WirbelJ_2018,XieH_2016,YachidaS_2019,YassourM_2016,YassourM_2018,YeZ_2018,YuJ_2015,ZeeviD_2015,ZellerG_2014,ZhuF_2020
Prevotella copri,6.946853662035462,18.103057500000002,6.339961961678837,1.2677327272727272,9.618942999999998,5.521662,14.959166007905138,11.1755125,17.520601340206184,33.66316602272727,0.068929375,0.026702173913043477,22.20690966666666,4.7192191034482756,5.041922968036529,0.02361857142857143,1.791547837837838,1.2880803571428572,5.698671884057971,0.003481818181818182,0.06408807692307691,6.952048888888886,0.6042213953488372,20.186342972972977,9.89567845890411,9.827202,25.055825365853657,0.93075,1.87431024911032,16.335950222222216,4.821274456521739,4.595309806034485,5.900240399999999,7.95202809716599,0.6344931578947367,12.380094479166672,7.709357982456141,2.253718181818182,4.827384444444444,4.751881666666666,5.206317434210527,0.7503722988505748,8.685657142857142,6.976035,8.9237785,0.6691424725274725,4.563777241379311,0.0,4.374417384615384,2.8426712994350294,8.147817439024394,6.205031666666668,0.628326551724138,14.207007111111114,3.943476486486487,12.315539955555547,2.4462354098360652,20.51879974358974
Faecalibacterium prausnitzii,5.80527738054897,4.0366075,7.278003868613134,1.7586981818181817,6.740267999999999,4.6039200000000005,9.328831146245061,0.668555,11.119269793814428,3.65123375,5.852819374999999,0.5576826086956521,1.4007460000000003,3.1800203448275863,8.061934885844755,5.026188095238094,6.894648918918918,4.334144642857142,6.527987681159419,8.140347272727276,3.3076499999999998,3.3813225146198818,8.457648837209302,7.507573063063064,5.933737945205478,5.6749800000000015,11.850767073170731,6.69332,6.464433229537354,7.233942000000001,4.635684347826087,6.2219011745689645,4.705293600000001,3.5687244129554663,12.811403684210527,4.678171458333335,6.129363596491228,13.880752727272727,2.032002083333334,8.198168888888889,6.3948623464912275,0.44506931034482755,12.073901428571428,7.708210357142858,3.724476999999999,1.579209945054944,7.207404482758621,0.0,10.791061384615382,3.0895542372881355,3.9395721138211366,5.701453888888889,1.8455706896551722,3.9426624444444447,6.540859459459457,5.624352833333324,4.954568852459018,3.5393375641025626
Phocaeicola vulgatus,5.724602218457016,7.9464725000000005,6.104971167883208,4.282630101010102,7.630318428571431,13.830138000000002,5.293873320158106,2.5366174999999997,2.3941306185567015,3.6521567045454546,0.9786756249999999,1.3177673913043477,5.454155999999999,15.664875379310349,13.790633150684931,14.335255476190477,9.439340540540544,0.5719957142857143,4.212265652173911,5.52436909090909,3.335347692307692,9.106506432748539,2.463654418604651,3.18689891891892,5.885375719178082,5.512295,5.050383170731706,2.99179,0.9957601779359428,1.8971097777777777,9.195892717391304,5.97549705818967,13.602613200000002,8.069080850202427,3.137362105263158,10.608089635416666,11.154384649122806,5.033817272727273,8.206642499999997,5.810149444444445,2.811976557017544,1.4202093103448274,7.020907142857142,3.7015667857142853,8.329199499999998,3.4106813186813203,9.114172758620692,0.6005985714285715,5.911607076923076,5.42261265536723,8.892924715447158,3.694878055555556,3.3057306034482754,9.23335,6.537454594594594,5.842632833333343,5.919780819672134,15.512372948717953
Bacteroides uniformis,5.442728156557096,3.9506349999999997,6.179558102189783,2.4165768686868683,10.920963142857145,0.8414020000000001,3.3704865612648227,0.0213275,3.9084868041237115,2.5361973863636362,1.6206018750000002,1.5715943478260872,2.9268323333333326,8.678016,11.275222009132413,10.499256904761907,6.084162432432431,1.1837871428571425,4.294824057971015,5.804984545454546,0.43660769230769225,5.859466608187133,3.4002358139534894,1.7076563963963964,7.2252865753424675,9.774416,3.5511180487804888,4.228732,1.5660471886120977,2.126578222222222,14.27723989130435,8.077172090517237,14.648458400000004,6.6205064777327935,4.545032631578947,6.968816614583331,7.249069649122806,3.414679999999999,12.835520555555554,2.4803894444444445,2.984433618421053,1.3742767816091959,6.594025,5.567022857142858,6.552812499999999,2.5724986813186814,6.6765951724137915,0.29768285714285714,6.33777923076923,9.30122604519774,6.77475138211382,2.1356244444444448,7.495230258620688,7.194495333333334,4.6784297297297295,4.881825333333334,4.014338032786884,4.777153589743593
Eubacterium rectale,3.241457208855755,2.6543400000000004,3.053609114963509,0.4882453535353534,3.8724348571428573,6.067604,3.9496228458498046,6.353275000000001,2.1707752577319592,3.157020340909092,4.278004374999999,0.13558521739130433,1.0025020000000002,1.4848227586206895,1.645373333333333,3.0052828571428583,3.8745577027027034,5.113801785714285,4.384437874396135,2.6215327272727276,4.151901538461538,3.521318070175438,5.447402093023255,6.5128561261261275,2.62545530821918,0.885798,1.0824156097560977,3.533524,4.202128816725981,3.494359111111111,2.8680341304347823,4.984431443965519,1.7843855999999996,3.1740677327935223,4.575723157894736,2.0318979166666673,1.689748245614035,4.974877272727272,0.7806752777777777,2.7500138888888888,4.827398135964913,0.47565373563218377,0.37673285714285726,3.6207467857142857,2.9452352499999996,0.9360595054945053,2.963834310344828,0.0,3.8606910769230764,2.151120734463276,2.492210081300814,2.8831297222222223,1.3405292241379316,0.7203566666666664,3.6372878378378384,2.734416344444449,3.4234291803278682,1.6201191025641024
Ruminococcus bromii,3.1353016932113524,1.22420375,3.2832824270072956,0.3038101010101011,1.415443,4.362272,1.8627796442687747,0.0057875,2.2404855670103085,1.8754780681818184,10.67356625,0.3093804347826087,0.5400446666666666,1.414035448275862,1.2681308219178087,1.861626904761905,0.658187972972973,4.057872857142857,3.272248985507248,4.096073636363636,4.415251923076923,4.115878070175439,7.121790465116279,3.3108558558558556,2.0514841438356157,2.604078,0.48312975609756104,3.6055279999999996,7.048343460854091,0.3624268888888889,1.1232259782608696,2.3595486637931016,1.3373376,3.121467246963564,7.982994210526317,1.223495989583333,1.0033299122807018,3.603329090909091,0.640538611111111,5.829505,5.884401776315788,0.29150695402298854,0.44176714285714286,4.780325357142858,0.57741775,0.5663669230769229,1.3010851724137935,0.0,2.699091692307693,3.560117175141242,1.0345456910569106,2.8617174999999997,0.9594066379310344,0.505713111111111,5.073843783783784,2.708160744444444,8.534904918032789,0.886695769230769
Alistipes putredinis,2.944974671862653,2.6535975,4.632559507299269,1.0169682828282827,4.846528000000002,1.661888,2.431211739130433,0.0,6.776676597938142,2.208381704545455,1.12978125,2.888228260869565,0.9852573333333333,6.021608,3.6306041552511394,5.189244523809524,1.7737947297297296,0.29767714285714286,1.9835430917874404,2.9642309090909094,0.24550461538461538,2.2778433918128655,2.7994932558139536,0.6200011711711709,3.4360971575342454,1.45228,3.467036341463414,1.425796,1.1239281405693944,3.643644444444445,6.155941413043476,4.019872866379307,5.133172000000001,1.8568931578947376,1.5473063157894738,2.436647083333334,3.9517671929824556,1.9190454545454545,8.671612916666668,1.8253450000000002,2.1286360745614044,0.3335706896551724,7.474996428571429,1.6804210714285712,1.01146475,0.7909184615384613,3.175042068965518,0.0,2.4481818461538456,5.108677683615822,1.6808002032520326,1.6877666666666666,1.5902147413793106,9.390740222222218,1.8161456756756755,2.8832661888888875,1.3376659016393446,2.8242144871794883
Bifidobacterium adolescentis,2.672753877781539,2.2586037500000002,2.0322037043795613,1.9651022222222216,0.38156599999999996,2.4789920000000003,1.527862252964427,2.6514725,4.411853402061854,1.6458702272727272,2.99195375,0.08342260869565218,1.7854103333333338,0.12589351724137926,0.18727858447488588,0.9039528571428571,0.7260263513513514,3.5059142857142858,1.576119130434783,0.06918454545454546,7.9675353846153865,0.17471128654970758,1.9581269767441865,1.6405511711711718,0.7197149315068496,0.40354,0.45436170731707326,7.705755999999999,8.870582606761563,10.455402444444445,1.0009608695652172,0.8044976077586206,0.27137300000000003,0.2720234412955465,1.041283157894737,0.13052708333333332,0.17327859649122807,4.126617272727272,0.32428152777777774,1.2225544444444445,7.372356425438598,1.4296062643678162,1.0663635714285715,3.7576942857142868,1.7163555,0.2185217582417582,0.8369774137931034,0.0031585714285714286,2.8085380000000004,2.14396604519774,1.3499613008130082,3.2674377777777774,1.6859592241379304,0.09696333333333332,1.8024851351351352,2.148673955555555,1.4564421311475406,0.6952039743589743
Phocaeicola dorei,2.639195032192476,2.4378812499999998,3.2821456386861296,6.487738888888888,4.023022714285714,0.098644,1.976036245059288,0.0,1.0287744329896908,1.714757386363636,0.41937687500000004,0.8916134782608696,0.6753926666666666,4.360921103448275,5.698882420091325,3.496394523809523,1.5952870270270267,0.1747214285714286,2.8093990821256045,3.5701545454545456,0.05878192307692308,1.6893196491228066,1.673808139534884,0.2034051351351352,3.5284202397260285,6.723463,1.4280336585365854,0.0016740000000000001,0.57453677935943,0.024038888888888884,4.755316847826087,3.2448345150862075,4.638413600000001,3.885224979757085,1.094463157894737,2.794214322916668,3.8694444736842106,0.29866181818181814,4.3049848611111114,0.7474144444444444,1.247634276315789,1.3276681609195402,5.020156428571428,3.9860860714285713,4.611276999999999,1.3461636263736263,2.642977758620689,0.05747142857142857,2.481600307692307,3.43049440677966,4.137984634146342,1.533697222222222,5.398337327586207,3.7659353333333336,0.4028591891891892,2.9809282222222233,1.750692131147541,1.2057470512820514
Roseburia faecis,2.224165619563994,0.21271625,1.754260812043797,0.5676294949494949,3.037265857142858,2.947918,1.839524624505929,0.0290375,1.1660298969072167,1.7871296590909096,0.620436875,0.03305217391304348,0.854259,0.6266693103448279,3.3991031050228306,1.658114285714286,3.959132162162162,0.4875089285714286,5.081464830917873,1.6917954545454543,0.39497576923076927,1.7192856140350867,3.2033686046511622,3.53982990990991,3.1418603424657547,3.837141,0.5918897560975611,4.66329,2.706555854092528,1.6801031111111115,0.9153445652173913,2.6216054310344807,1.0997198,3.285829716599188,2.297405789473684,1.6513604166666678,1.3778237719298243,6.768164545454547,0.38073916666666663,3.550295,3.0218082456140336,0.20428908045977012,0.4242164285714285,3.27429,0.6691857499999999,0.40322461538461535,1.7980881034482754,0.0,2.818351076923076,1.1200249152542376,0.887805487804878,1.5158813888888885,0.8392064655172413,0.6763375555555555,3.433594324324324,2.763673866666666,2.417299016393444,1.8663380769230768
