,exp_number,medium,experiment,experimentator,date_of_experiment,experiment_short,sample_number,strain,species,use_in_study,quality,skip,notes,notes_2,culture,growth-rate,y0,glucose-turnover,glucose_error,glucose_val,acetate-turnover,acetate_error,acetate_val,propionate-turnover,propionate_error,propionate_val,ethanol-turnover,ethanol_error,ethanol_val,succinate-turnover,succinate_error,succinate_val,lactate-turnover,lactate_error,lactate_val,butyrate-turnover,butyrate_error,butyrate_val,formate-turnover,formate_error,formate_val,maltose-turnover,maltose_error,maltose_val,growthcurve_time,growthcurve_OD,,,,,,,,,,,,
1,1,YCA,analysis_stan_YCA_230424_2.5mM,Richa,,analysis_stan_YCA_230424_2.5mM,,NCM3722,E.coli,yes,OK,,checked,,NCM,1.69281161,0.046824202,-3.749914503,0.020376699,"[[0.056, 0.105, 0.185, 0.292, 0.395], [17.775223249959467, 17.634554612490668, 17.355969164343975, 16.959986351006215, 16.503012151651]]",7.749386359,4.373328757,"[[0.056, 0.105, 0.185, 0.292, 0.395], [12.223289820681636, 13.798612622094913, 13.170575184956821, 14.4864739976715, 15.292210931137852]]",-1.860786791,3.876214972,"[[0.056, 0.105, 0.185, 0.292, 0.395], [7.9694095059609085, 8.734394818403999, 7.293532887301102, 7.770071244698393, 7.641642360803755]]",-9.998979752,103.1051139,"[[0.056, 0.105, 0.185, 0.292, 0.395], [6.323818828423107, 10.431952374983414, 3.004998979661134, 5.267243818979873, 4.590470456272582]]",1.523628892,0.016738,"[[0.056, 0.105, 0.185, 0.292, 0.395], [0.08895936813322347, 0.10121929367313187, 0.21482161354401813, 0.39297180643631324, 0.5889022760064634]]",0.108061793,0.007304589,"[[0.056, 0.105, 0.185, 0.292, 0.395], [11.007171575924147, 10.983075811568018, 10.969385960560636, 11.002259454165202, 11.035811098293525]]",-0.622726039,0.599683848,"[[0.056, 0.185, 0.292, 0.395], [0.5251043333774299, 0.09487968689409099, 0.34651243035769796, 0.22475323117702406]]",8.955146482,1.127092086,"[[0.056, 0.105, 0.185, 0.292, 0.395], [1.8531610156107101, 2.893551710387681, 2.982664288333402, 4.114170492330878, 5.143528065873005]]",-0.084319535,9.47E-05,"[[0.056, 0.105, 0.185, 0.292, 0.395], [2.080982341895969, 2.075338139461259, 2.0735931906831566, 2.0636312085487636, 2.0508271324378695]]","[0.0, 0.133333333, 0.3, 0.45, 0.683333333, 0.75, 0.816666667, 0.95, 1.066666667, 1.266666667, nan]","[0.047, 0.056, 0.082, 0.105, 0.14, 0.162, 0.185, 0.241, 0.292, 0.395, nan]",,,,,,,,,,,,
2,2,YCA,analysis_stan_YCA_230424_2.5mM,Richa,,analysis_stan_YCA_230424_2.5mM,,NCM3722,E.coli,yes,OK,,checked,,NCM_2,1.490171325,0.080403302,-3.862911633,0.055279715,"[[0.076, 0.136, 0.187, 0.352, 0.397], [17.594612947340472, 17.509662767998037, 17.277758295990537, 16.577717243142303, 16.42917350411887]]",9.249960486,0.328208089,"[[0.076, 0.136, 0.187, 0.352, 0.397], [12.089305106389668, 12.993328462134373, 13.407395095850625, 14.840371399343791, 15.183007352154949]]",0.024613654,0.006442679,"[[0.076, 0.136, 0.187, 0.352, 0.397], [7.539111804792787, 7.586173493067931, 7.539112995078006, 7.556751376179391, 7.563875578048246]]",-2.509235056,1.755136654,"[[0.076, 0.136, 0.187, 0.352, 0.397], [4.802894635211678, 5.220185065182114, 5.37142165583701, 4.3992664171347124, 4.319238902868904]]",1.290705963,0.005325405,"[[0.076, 0.136, 0.187, 0.352, 0.397], [-0.028721365702443283, 0.0020313118322494716, 0.08147189833150342, 0.3026054320450668, 0.36928456640524365]]",0.936048353,0.010983181,"[[0.076, 0.136, 0.187, 0.352, 0.397], [30.772851586340842, 30.840053442069625, 30.890181606385596, 30.99701946947053, 31.107905651019642]]",-0.215299285,0.005474121,"[[0.076, 0.136, 0.187, 0.352, 0.397], [0.2319678150370431, 0.25821895289159136, 0.20047789872647437, 0.18607045650560305, 0.17293638118391275]]",10.17929008,0.150871443,"[[0.076, 0.136, 0.187, 0.352, 0.397], [2.7566003246786055, 3.564607659583918, 4.123623927715747, 5.679830865467427, 6.111616233865889]]",-0.120069062,0.000193586,"[[0.076, 0.136, 0.187, 0.352, 0.397], [2.072852384005827, 2.0712892541799346, 2.0670091729548252, 2.039990651360847, 2.0391661989042147]]","[0.0, 0.166666667, 0.3, 0.433333333, 0.6, 0.75, 0.983333333, 1.05, nan, nan, nan]","[0.076, 0.11, 0.136, 0.148, 0.187, 0.235, 0.352, 0.397, nan, nan, nan]",,,,,,,,,,,,
3,3,YCA,analysis_stan_YCA_230424_2.5mM,Richa,,analysis_stan_YCA_230424_2.5mM,,ATCC25285,B.fragilis,yes,OK,,checked,,B.fragilis,0.923190284,0.04547346,-3.951475487,0.001234816,"[[0.071, 0.14, 0.256, 0.348, 0.481], [17.394355078227264, 17.13814716785381, 16.653676287264886, 16.309970117713874, 15.778874948586473]]",3.764923624,0.00558186,"[[0.071, 0.14, 0.256, 0.348, 0.481], [11.564641477484512, 11.805672768340864, 12.23444444581592, 12.632698376840805, 13.087720728861127]]",0.694920706,0.010316006,"[[0.071, 0.14, 0.256, 0.348, 0.481], [7.53983756250861, 7.602396772460225, 7.680134483987598, 7.793060622809716, 7.808462017226977]]",-3.050586378,7.286157776,"[[0.071, 0.14, 0.256, 0.348, 0.481], [3.7652621569423657, 2.080008069807038, 3.7826257386237208, 2.34716246108872, 1.959787006918004]]",1.704622178,0.003875633,"[[0.071, 0.14, 0.256, 0.348, 0.481], [0.08858108732143383, 0.18207725317574525, 0.3667786449592285, 0.5282840927304946, 0.7869786596370372]]",1.497613412,0.012536234,"[[0.071, 0.14, 0.256, 0.348, 0.481], [21.626190279839705, 21.802059835059275, 21.92709533423787, 22.104506037347043, 22.254123616532297]]",-0.025087046,0.001800544,"[[0.071, 0.14, 0.256, 0.348, 0.481], [0.13333304406618396, 0.14037030549452967, 0.13116913977640066, 0.15207327681271054, 0.11751034323197063]]",2.42608969,0.009805902,"[[0.071, 0.14, 0.256, 0.348, 0.481], [1.568230411023132, 1.6640706657960864, 1.9611653513047815, 2.1986699989507006, 2.5403128962803647]]",-0.01350708,4.34E-05,"[[0.071, 0.14, 0.256, 0.348, 0.481], [2.161979475154691, 2.16498793613362, 2.1611165187938464, 2.162211046703057, 2.156992207909989]]","[0.0, 0.233333333, 0.45, 0.883333333, 1.233333333, 1.55, 1.883333333, 2.2, 2.533333333, nan, nan]","[0.046, 0.056, 0.071, 0.1, 0.14, 0.189, 0.256, 0.348, 0.481, nan, nan]",,,,,,,,,,,,
4,4,YCA,analysis_stan_YCA_230424_2.5mM,Richa,,analysis_stan_YCA_230424_2.5mM,,ATCC25285,B.fragilis,yes,OK,,checked,,B.fragilis_2,0.472668123,0.085382133,-6.248209702,0.039619224,"[[0.085, 0.17, 0.21, 0.304, 0.362], [16.609968565359715, 16.091168848766465, 15.75989565089505, 15.270485447272039, 14.859524766277337]]",3.537044248,0.00906131,"[[0.085, 0.17, 0.21, 0.304, 0.362], [12.407161564861356, 12.673444931736455, 12.839539217997691, 13.148658563526801, 13.390509486120349]]",0.198553389,0.00447132,"[[0.085, 0.17, 0.21, 0.304, 0.362], [8.494985428500662, 8.477537610475338, 8.503180593237435, 8.525902715506813, 8.540995480001769]]",-0.567361217,0.260171604,"[[0.085, 0.17, 0.21, 0.304, 0.362], [5.494932488697613, 5.392933681297457, 5.609637950468718, 5.431911524368444, 5.302584209430217]]",3.408283658,0.044895285,"[[0.085, 0.17, 0.21, 0.304, 0.362], [1.1867709884866773, 1.3710212859906283, 1.5663118273347534, 1.8798777423657405, 2.1122175206401543]]",-0.005982859,0.010175931,"[[0.085, 0.17, 0.21, 0.304, 0.362], [1.9985664039619682, 2.049964280775129, 2.0201446569520494, 2.016121706787064, 2.0102455591145834]]",-0.399174181,0.003150696,"[[0.085, 0.17, 0.21, 0.304, 0.362], [0.3012519424984239, 0.24182313584868065, 0.2522349714648401, 0.2075382893367207, 0.18383917463050214]]",1.999454351,0.121484419,"[[0.085, 0.17, 0.21, 0.304, 0.362], [1.5398373182853466, 1.5618940589037784, 1.6559099239329593, 1.8824399187118086, 2.071096316140699]]",-0.039594138,0.000736148,"[[0.085, 0.17, 0.21, 0.304, 0.362], [2.1551728024255716, 2.1405819976556852, 2.1389301649337855, 2.1440148771524896, 2.139637178563568]]","[0.0, 0.333333333, 0.7, 1.083333333, 1.416666667, 1.75, 2.083333333, 2.416666667, 2.75, 3.0, 3.25]","[0.074, 0.085, 0.126, 0.17, 0.195, 0.21, 0.235, 0.272, 0.304, 0.325, 0.362]",,,,,,,,,,,,
5,5,YCA,analysis_stan_YCA_230424_2.5mM,Richa,,analysis_stan_YCA_230424_2.5mM,,HM-727,B.finegoldii,yes,OK,,checked,,B.finegoldii,0.82186433,0.049643334,-4.074810192,0.260586595,"[[0.062, 0.107, 0.175, 0.3, 0.452], [17.469494302147787, 17.28411178977926, 16.779948217801326, 16.249948265549293, 15.922530520817304]]",3.275766309,0.143436501,"[[0.062, 0.107, 0.175, 0.3, 0.452], [11.410374726605113, 11.596874731755243, 11.975789291800831, 12.385284185460648, 12.676058252211979]]",0.660023356,0.008971499,"[[0.062, 0.107, 0.175, 0.3, 0.452], [7.463756041957117, 7.515129179107803, 7.594167366032258, 7.6713593278907135, 7.7246763345551015]]",0.220021475,0.010721236,"[[0.062, 0.107, 0.175, 0.3, 0.452], [2.1011478280692195, 2.117120216529198, 2.109298533871462, 2.0988976337248926, 2.2056652760348405]]",1.932791641,0.047267302,"[[0.062, 0.107, 0.175, 0.3, 0.452], [0.20367549237058002, 0.2830604796899422, 0.5170054920358115, 0.7652610122090213, 0.9365718004541708]]",0.096467576,0.003175279,"[[0.062, 0.107, 0.175, 0.3, 0.452], [7.941599585002898, 7.96988999565567, 7.993593776461118, 7.988206817590882, 7.99035892963191]]",0.03603407,0.000109457,"[[0.062, 0.107, 0.175, 0.3, 0.452], [0.11050509594202851, 0.11775488557163727, 0.11962184266302889, 0.12565724769111553, 0.12594640104901]]",1.822810698,0.030531654,"[[0.062, 0.107, 0.175, 0.3, 0.452], [1.1302402733239565, 1.2247709787164813, 1.4105409505908462, 1.6590643011408552, 1.8283033312446224]]",-0.022183862,8.71E-05,"[[0.062, 0.107, 0.175, 0.3, 0.452], [2.103908684572765, 2.10691979349621, 2.104832755766649, 2.0967792091864372, 2.0984827226601306]]","[0.0, 0.2, 0.483333333, 0.916666667, 1.266666667, 1.583333333, 1.916666667, 2.25, 2.583333333, nan, nan]","[0.048, 0.062, 0.074, 0.107, 0.141, 0.175, 0.231, 0.3, 0.452, nan, nan]",,,,,,,,,,,,
6,6,YCA,analysis_stan_YCA_230424_2.5mM,Richa,,analysis_stan_YCA_230424_2.5mM,,HM-727,B.finegoldii,yes,OK,,checked,,B.finegoldii_2,0.484858933,0.064619561,-5.546639912,0.031871048,"[[0.083, 0.104, 0.162, 0.64], [17.27387176772592, 17.03433277975187, 16.68246112466978, 14.106249976548826]]",4.380909696,0.019724372,"[[0.083, 0.104, 0.162, 0.64], [11.726080077608147, 11.775960552245364, 12.155522074718704, 14.168976517237686]]",1.992784979,0.003934373,"[[0.083, 0.104, 0.162, 0.64], [7.86204218773897, 7.860132362443538, 8.029587790184717, 8.958258879085175]]",0.014617565,0.130279549,"[[0.083, 0.104, 0.162, 0.64], [4.845965552801644, 4.5181074466327935, 4.712900034852065, 4.705280221478983]]",2.137692465,0.004832893,"[[0.083, 0.104, 0.162, 0.64], [0.9388419571320379, 0.9644981153838499, 1.0460965266829292, 2.1091449582332835]]",0.025189729,0.00541874,"[[0.083, 0.104, 0.162, 0.64], [1.7467887366586106, 1.7844750154771425, 1.81545682931469, 1.788845108151524]]",0.007668404,0.002308917,"[[0.083, 0.104, 0.162, 0.64], [0.170067331991694, 0.12672222373168707, 0.15420146936062862, 0.15489505635533207]]",2.086028827,0.007796714,"[[0.083, 0.104, 0.162, 0.64], [1.259329215209547, 1.3031636527486032, 1.4935347882004, 2.436323349545208]]",-0.049145722,0.001447253,"[[0.083, 0.104, 0.162, 0.64], [2.169293945055749, 2.1820469094278607, 2.199704220048041, 2.1543912350912553]]","[0.0, 0.666666667, 1.0, 1.333333333, 1.583333333, 1.833333333, 2.166666667, 4.366666667, nan, nan, nan]","[0.083, 0.09, 0.104, 0.117, 0.122, 0.141, 0.162, 0.64, nan, nan, nan]",,,,,,,,,,,,
7,7,YCA,analysis_stan_YCA_230424_2.5mM,Richa,,analysis_stan_YCA_230424_2.5mM,,ATCC8483,B.ovatus,yes,OK,,checked,,B.ovatus,1.014289086,0.027705121,-3.050090178,0.186126534,"[[0.046, 0.093, 0.192, 0.418], [16.25921941110765, 15.977244749944493, 15.914986457276004, 15.065885514356845]]",7.916465973,0.464811184,"[[0.046, 0.093, 0.192, 0.418], [13.23324318873968, 13.847775231249186, 14.748996073555647, 16.269791164933316]]",0.918082027,0.073849669,"[[0.046, 0.093, 0.192, 0.418], [7.956260880872146, 8.01949351278337, 8.22482594221524, 8.303221013572657]]",2.128099053,0.541457614,"[[0.046, 0.093, 0.192, 0.418], [4.977506867764314, 5.3398173443522, 5.676589031581568, 5.868297362445208]]",1.610686873,0.029225891,"[[0.046, 0.093, 0.192, 0.418], [1.5538389197862532, 1.7242204568392896, 1.8513144830906851, 2.190403481539517]]",0.014382033,0.004840224,"[[0.046, 0.093, 0.192, 0.418], [1.8056451252445074, 1.8433913018560248, 1.8135929674162725, 1.8260162167464773]]",0.043912693,0.003949048,"[[0.046, 0.093, 0.192, 0.418], [0.18911040026275472, 0.19645201921548872, 0.2268517546644122, 0.20695667984173405]]",8.963644026,0.000122817,"[[0.046, 0.093, 0.192, 0.418], [1.7905640276863029, 2.216206609840113, 3.1050051070808204, 5.126698557594127]]",-0.053188719,0.002385343,"[[0.046, 0.093, 0.192, 0.418], [2.1467586842151105, 2.1658020085879435, 2.1633417634005636, 2.1352705959677434]]","[0.0, 0.216666667, 0.566666667, 0.933333333, 1.266666667, 1.6, 1.95, 2.166666667, 2.433333333, 2.6, nan]","[nan, 0.042, 0.046, 0.063, 0.093, 0.14, 0.192, 0.25, 0.339, 0.418, nan]",,,,,,,,,,,,
8,8,YCA,analysis_stan_YCA_230424_2.5mM,Richa,,analysis_stan_YCA_230424_2.5mM,,ATCC8483,B.ovatus,yes,OK,"lac5, suc5","checked, kick out point 5 for lactate and succinate",,B.ovatus_2,0.869524746,0.039404972,-5.490930306,0.671566152,"[[0.066, 0.111, 0.203, 0.343, 0.425], [16.45995921751276, 16.215160354280208, 15.772623097728356, 15.324015680228833, 14.275485195779321]]",8.622944752,3.80714917,"[[0.066, 0.111, 0.203, 0.343, 0.425], [12.670730707412153, 12.809561038552838, 13.647434838355352, 15.82403267360157, 15.143435369529797]]",-0.433248636,5.683228568,"[[0.066, 0.111, 0.203, 0.343, 0.425], [9.12783472914754, 9.348775411376131, 9.348888516129865, 8.051639677283823, 9.711326552913388]]",2.32504052,8.992485217,"[[0.066, 0.111, 0.203, 0.343, 0.425], [3.687576820563579, 3.672727885492609, 3.4857666752691836, 5.555634436002447, 3.6685564735439344]]",1.100536914,1.257118718,"[[0.066, 0.111, 0.203, 0.343, 0.425], [1.228898454952269, 1.3170995994087638, 1.5000847429257387, 2.0759762320901585, 1.3491769509429672]]",4.155957225,3.439581594,"[[0.066, 0.111, 0.203, 0.343, 0.425], [1.600079065857156, 1.6472746863585854, 1.93967523688813, 1.8248619157875587, 3.5135666741525697]]",-0.004720705,0.023627293,"[[0.066, 0.111, 0.203, 0.343, 0.425], [0.10510988495967633, 0.10005836230915699, 0.06830047721316146, 0.16334857336223374, 0.060997565746961024]]",10.50028323,0.42805756,"[[0.066, 0.111, 0.203, 0.343, 0.425], [1.58715180779413, 1.7195611798589612, 2.795576612273515, 4.546592401217018, 5.089480922472239]]",-0.060943247,0.000585107,"[[0.066, 0.111, 0.203, 0.343, 0.425], [2.1623323336796156, 2.141858679037139, 2.1434196332260695, 2.1372984334426413, 2.132984912994887]]","[0.0, 0.216666667, 0.566666667, 0.933333333, 1.266666667, 1.6, 1.95, 2.166666667, 2.433333333, 2.6, nan]","[nan, 0.053, 0.066, 0.086, 0.111, 0.139, 0.203, 0.256, 0.343, 0.425, nan]",,,,,,,,,,,,
11,11,YCA,analysis_stan_YCA_230424_2.5mM,Richa,,analysis_stan_YCA_230424_2.5mM,,DSM 1447,B.vulgatus,yes,OK,,,,B.vulgatus_2,0.629659404,0.095399583,-5.380829099,0.191900447,"[[0.103, 0.217, 0.27, 0.32, 0.347], [16.406535089086383, 15.952987280019844, 15.613413045854655, 15.223039608723147, 15.1419940154042]]",6.848820354,1.737267073,"[[0.103, 0.217, 0.27, 0.32, 0.347], [12.10102242346211, 12.3672748010388, 13.283580360017384, 13.50214476707233, 13.640491209261807]]",-0.757413965,0.055729327,"[[0.103, 0.217, 0.27, 0.32, 0.347], [8.70647716132843, 8.708262761545473, 8.600738000612612, 8.528611028441556, 8.559036033916328]]",-2.381837577,0.319628311,"[[0.103, 0.217, 0.27, 0.32, 0.347], [4.978691657060387, 4.706787809208386, 4.7801715681619505, 4.450633977873554, 4.366659040228514]]",2.935583149,0.062217432,"[[0.103, 0.217, 0.27, 0.32, 0.347], [1.5978409712834591, 1.8322797155857409, 2.028461478163677, 2.2080975868906814, 2.3088675161363823]]",0.203356465,0.00482461,"[[0.103, 0.217, 0.27, 0.32, 0.347], [2.0347934007717248, 2.052036292360141, 2.087618845202101, 2.0859341260102227, 2.0735728030538425]]",-0.159788809,0.002379561,"[[0.103, 0.217, 0.27, 0.32, 0.347], [0.08089162406225914, 0.060092029103035904, 0.0703840636523776, 0.04301446971355294, 0.04012439932771272]]",2.083962048,0.17983544,"[[0.103, 0.217, 0.27, 0.32, 0.347], [1.3190235401505284, 1.3878196490856531, 1.6276891230321286, 1.7794695412230812, 1.768533541738126]]",-0.097217082,0.00237854,"[[0.103, 0.217, 0.27, 0.32, 0.347], [2.208446903835541, 2.1799630779137966, 2.185427125652566, 2.1765247552288054, 2.1875529392459736]]","[0.0, 0.233333333, 0.6, 0.95, 1.316666667, 1.616666667, 1.816666667, 2.05, 2.183333333, nan, nan]","[0.08, 0.103, 0.156, 0.217, 0.239, 0.27, 0.288, 0.32, 0.347, nan, nan]",,,,,,,,,,,,
12,12,YCA,analysis_stan_YCA_230424_2.5mM,Richa,,analysis_stan_YCA_230424_2.5mM,,HM-169,P.distastonis,yes,OK,,,,P.distastonis,0.306825962,0.048885688,-5.435233178,0.174758823,"[[0.062, 0.101, 0.427], [17.193823915222538, 16.815072506911797, 15.140694501093758]]",3.955223881,0.006209132,"[[0.062, 0.101, 0.427], [11.00808846082593, 11.130905786748924, 12.438688378009209]]",0.982450097,0.078047436,"[[0.062, 0.101, 0.427], [8.35594893740804, 8.5057187684621, 8.76083465215553]]",0.144024961,0.513970276,"[[0.062, 0.101, 0.427], [4.36928050730201, 4.660910907749894, 4.540642459775737]]",2.019387305,0.017915069,"[[0.062, 0.101, 0.427], [1.0529689182337707, 1.0783268174877936, 1.7678668693037327]]",0.720125231,0.030508903,"[[0.062, 0.101, 0.427], [1.4758695552522911, 1.5736380608134397, 1.7676576661637131]]",0.114340845,0.000452384,"[[0.062, 0.101, 0.427], [0.06351202398159994, 0.07645669455196258, 0.1087707498128252]]",2.774886367,0.011499455,"[[0.062, 0.101, 0.427], [0.9989385147973826, 1.0643775797779418, 1.9940031655126842]]",-0.077867995,0.00407009,"[[0.062, 0.101, 0.427], [2.2106494807291353, 2.1821607745471097, 2.1716564869746118]]","[0.0, 0.433333333, 0.816666667, 1.566666667, 1.883333333, 2.183333333, 2.666666667, 2.933333333, 3.266666667, 3.666666667, 5.766666667]","[0.059, 0.062, 0.068, 0.081, 0.086, 0.09, 0.095, 0.101, 0.11, 0.123, 0.427]",,,,,,,,,,,,
