Time (hh:mm),Time (h),P.vulgatus,P.vulgatus,HPLC,pH,Time (hh:mm),Time (h),P.vulgatus_2,P.vulgatus_2,HPLC,pH,Time (hh:mm),Time (h),P.copri,P.copri,HPLC,pH,Time (hh:mm),Time (h),P.copri_2,P.copri_2,HPLC,pH,Time (hh:mm),Time (h),R.intestinalis,R.intestinalis,HPLC,pH,Time (hh:mm),Time (h),R.intestinalis_2,R.intestinalis_2,HPLC,pH,Time (hh:mm),Time (h),R.bromii,R.bromii,HPLC,pH,Time (hh:mm),Time (h),R.bromii_2,R.bromii_2,HPLC,pH
12:02,0,0.013,,,,12:02,0,0.017,,,,10:49,0,0.038,,,,12:21,0,0.042,0.042,,,11:15,0,0.046,,,,11:15,0,0.046,,,,15:07,0,0.145,0.145,062624_R.bromii_pH7_1,7.23,15:07,0,0.122,0.122,062624_R.bromii_pH7_2_1,7.3
12:18,0.27,0.013,,,,12:18,0.27,0.014,,,,11:07,0.3,0.041,,,,12:39,0.3,0.067,0.067,,,11:44,0.48,0.046,,,,11:44,0.48,0.052,,,,15:27,0.33,0.228,0.228,062624_R.bromii_pH7_2,7.23,15:27,0.33,0.206,0.206,062624_R.bromii_pH7_2_2,7.29
12:45,0.72,0.047,0.047,,,12:45,0.72,0.07,0.07,061224_P.vulgatus_pH7_2_1,7.24,11:42,0.88,0.042,,,,12:58,0.62,0.16,0.16,061424_P.copri_pH7_2_1,7.28,12:06,0.85,0.051,0.051,,,12:06,0.85,0.053,0.053,,,15:53,0.77,0.39,0.39,062624_R.bromii_pH7_3,7.25,15:53,0.77,0.351,0.351,062624_R.bromii_pH7_2_3,7.26
13:10,1.13,0.058,0.058,,,13:10,1.13,0.077,0.077,,,12:21,1.53,0.051,0.051,,,13:11,0.83,0.249,0.249,061424_P.copri_pH7_2_2,7.25,12:38,1.38,0.069,0.069,,,12:38,1.38,0.072,0.072,,,16:10,1.05,0.543,0.543,062624_R.bromii_pH7_4,7.19,16:10,1.05,0.466,0.466,062624_R.bromii_pH7_2_4,7.25
13:32,1.5,0.067,0.067,,,13:32,1.5,0.08,0.08,,,12:39,1.83,0.116,0.116,061424_P.copri_pH7_1,7.28,13:19,0.97,0.328,0.328,061424_P.copri_pH7_2_3,7.22,13:00,1.75,0.087,0.087,062824_R.intestinalis_pH7_1,7.29,13:00,1.75,0.092,0.092,062824_R.intestinalis_pH7_2_1,7.31,,,,,,,,,,,,
13:37,1.58,0.081,0.081,,,13:37,1.58,0.099,0.099,,,12:58,2.15,0.235,0.235,061424_P.copri_pH7_2,7.25,13:31,1.17,0.468,0.468,061424_P.copri_pH7_2_4,7.19,13:16,2.02,0.117,0.117,,,13:16,2.02,0.115,0.115,,,,,,,,,,,,,,
13:57,1.92,0.169,0.169,061224_P.vulgatus_pH7_1,7.22,13:57,1.92,0.19,0.19,061224_P.vulgatus_pH7_2_2,7.22,13:11,2.37,0.372,0.372,061424_P.copri_pH7_3,7.21,,,,,,,14:12,2.95,0.361,0.361,062824_R.intestinalis_pH7_2,7.37,14:12,2.95,0.37,0.37,062824_R.intestinalis_pH7_2_2,7.39,,,,,,,,,,,,
14:09,2.12,0.235,0.235,061224_P.vulgatus_pH7_2,7.19,14:09,2.12,0.27,0.27,061224_P.vulgatus_pH7_2_3,7.18,13:19,2.5,0.468,0.468,061424_P.copri_pH7_4,7.18,,,,,,,14:34,3.32,0.583,0.583,062824_R.intestinalis_pH7_3,7.3,14:34,3.32,0.591,0.591,062824_R.intestinalis_pH7_2_3,7.32,,,,,,,,,,,,
14:14,2.2,0.292,0.292,,,14:14,2.2,0.32,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:19,2.28,0.32,0.32,061224_P.vulgatus_pH7_3,7.18,14:19,2.28,0.361,0.361,061224_P.vulgatus_pH7_2_4,7.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:25,2.38,0.357,0.357,,,14:25,2.38,0.424,0.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:31,2.48,0.422,0.422,061224_P.vulgatus_pH7_4,7.15,14:31,2.48,0.491,0.491,061224_P.vulgatus_pH7_2_5,7.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
