time_min,step,intensity_mV
0.016667,1.0,-0.0765
0.033333,1.0,-0.077125
0.05,1.0,-0.077125
0.066667,1.0,-0.077125
0.083333,1.0,-0.076875
0.1,1.0,-0.076875
0.116667,1.0,-0.076625
0.133333,1.0,-0.076375
0.15,1.0,-0.07575
0.166667,1.0,-0.074875
0.183333,1.0,-0.074125
0.2,1.0,-0.074125
0.216667,1.0,-0.072625
0.233333,1.0,-0.071
0.25,1.0,-0.0695
0.266667,1.0,-0.068375
0.283333,1.0,-0.068625
0.3,1.0,-0.0705
0.316667,1.0,-0.07325
0.333333,1.0,-0.07375
0.35,1.0,-0.0715
0.366667,1.0,-0.066875
0.383333,1.0,-0.061
0.4,1.0,-0.055625
0.416667,1.0,-0.05075
0.433333,1.0,-0.04725
0.45,1.0,-0.04425
0.466667,1.0,-0.041
0.483333,1.0,-0.03975
0.5,1.0,-0.04025
0.516667,1.0,-0.041
0.533333,1.0,-0.042875
0.55,1.0,-0.044125
0.566667,1.0,-0.04425
0.583333,1.0,-0.045
0.6,1.0,-0.045625
0.616667,1.0,-0.045875
0.633333,1.0,-0.045875
0.65,1.0,-0.046375
0.666667,1.0,-0.045875
0.683333,1.0,-0.045875
0.7,1.0,-0.046
0.716667,1.0,-0.046375
0.733333,1.0,-0.046375
0.75,1.0,-0.046625
0.766667,1.0,-0.047625
0.783333,1.0,-0.047875
0.8,1.0,-0.048375
0.816667,1.0,-0.048375
0.833333,1.0,-0.048375
0.85,1.0,-0.048875
0.866667,1.0,-0.049
0.883333,1.0,-0.049
0.9,1.0,-0.049625
0.916667,1.0,-0.05
0.933333,1.0,-0.050125
0.95,1.0,-0.0505
0.966667,1.0,-0.051375
0.983333,1.0,-0.05225
1.0,1.0,-0.052875
1.016667,1.0,-0.053625
1.033333,1.0,-0.054125
1.05,1.0,-0.055125
1.066667,1.0,-0.056125
1.083333,1.0,-0.057125
1.1,1.0,-0.057375
1.116667,1.0,-0.05775
1.133333,1.0,-0.058125
1.15,1.0,-0.059125
1.166667,1.0,-0.059625
1.183333,1.0,-0.060625
1.2,1.0,-0.061125
1.216667,1.0,-0.06175
1.233333,1.0,-0.061875
1.25,1.0,-0.061875
1.266667,1.0,-0.062
1.283333,1.0,-0.06275
1.3,1.0,-0.06275
1.316667,1.0,-0.0625
1.333333,1.0,-0.062875
1.35,1.0,-0.062625
1.366667,1.0,-0.062875
1.383333,1.0,-0.06325
1.4,1.0,-0.0625
1.416667,1.0,-0.061875
1.433333,1.0,-0.061875
1.45,1.0,-0.061625
1.466667,1.0,-0.061125
1.483333,1.0,-0.060625
1.5,1.0,-0.0605
1.516667,1.0,-0.0595
1.533333,1.0,-0.059625
1.55,1.0,-0.06
1.566667,1.0,-0.06025
1.583333,1.0,-0.059625
1.6,1.0,-0.05975
1.616667,1.0,-0.059875
1.633333,1.0,-0.059625
1.65,1.0,-0.0595
1.666667,1.0,-0.05975
1.683333,1.0,-0.060125
1.7,1.0,-0.060125
1.716667,1.0,-0.061
1.733333,1.0,-0.061375
1.75,1.0,-0.06175
1.766667,1.0,-0.062
1.783333,1.0,-0.06325
1.8,1.0,-0.06425
1.816667,1.0,-0.06525
1.833333,1.0,-0.0655
1.85,1.0,-0.06625
1.866667,1.0,-0.067
1.883333,1.0,-0.06775
1.9,1.0,-0.06775
1.916667,1.0,-0.06875
1.933333,1.0,-0.06975
1.95,1.0,-0.07
1.966667,1.0,-0.0705
1.983333,1.0,-0.071125
2.0,1.0,-0.0715
2.016667,1.0,-0.07175
2.033333,1.0,-0.07175
2.05,1.0,-0.071625
2.066667,1.0,-0.0715
2.083333,1.0,-0.07175
2.1,1.0,-0.072625
2.116667,1.0,-0.072875
2.133333,1.0,-0.07225
2.15,1.0,-0.072
2.166667,1.0,-0.072625
2.183333,1.0,-0.07275
2.2,1.0,-0.073
2.216667,1.0,-0.072875
2.233333,1.0,-0.07275
2.25,1.0,-0.072375
2.266667,1.0,-0.07275
2.283333,1.0,-0.07325
2.3,1.0,-0.073875
2.316667,1.0,-0.074
2.333333,1.0,-0.07475
2.35,1.0,-0.0755
2.366667,1.0,-0.075625
2.383333,1.0,-0.075625
2.4,1.0,-0.076125
2.416667,1.0,-0.07675
2.433333,1.0,-0.0765
2.45,1.0,-0.07725
2.466667,1.0,-0.0775
2.483333,1.0,-0.0775
2.5,1.0,-0.07775
2.516667,1.0,-0.07725
2.533333,1.0,-0.076875
2.55,1.0,-0.076625
2.566667,1.0,-0.076
2.583333,1.0,-0.075625
2.6,1.0,-0.0755
2.616667,1.0,-0.074875
2.633333,1.0,-0.074375
2.65,1.0,-0.074
2.666667,1.0,-0.073
2.683333,1.0,-0.072125
2.7,1.0,-0.0715
2.716667,1.0,-0.07125
2.733333,1.0,-0.070375
2.75,1.0,-0.0695
2.766667,1.0,-0.06875
2.783333,1.0,-0.068
2.8,1.0,-0.06675
2.816667,1.0,-0.066
2.833333,1.0,-0.065125
2.85,1.0,-0.064
2.866667,1.0,-0.063375
2.883333,1.0,-0.062375
2.9,1.0,-0.06225
2.916667,1.0,-0.061125
2.933333,1.0,-0.06025
2.95,1.0,-0.059625
2.966667,1.0,-0.058875
2.983333,1.0,-0.058125
3.0,1.0,-0.05675
3.016667,1.0,-0.056125
3.033333,1.0,-0.05525
3.05,1.0,-0.054625
3.066667,1.0,-0.05425
3.083333,1.0,-0.05325
3.1,1.0,-0.053
3.116667,1.0,-0.05175
3.133333,1.0,-0.051125
3.15,1.0,-0.05075
3.166667,1.0,-0.049625
3.183333,1.0,-0.04875
3.2,1.0,-0.047625
3.216667,1.0,-0.047
3.233333,1.0,-0.046375
3.25,1.0,-0.045625
3.266667,1.0,-0.045
3.283333,1.0,-0.04425
3.3,1.0,-0.0435
3.316667,1.0,-0.04375
3.333333,1.0,-0.042875
3.35,1.0,-0.04225
3.366667,1.0,-0.042125
3.383333,1.0,-0.042
3.4,1.0,-0.042125
3.416667,1.0,-0.04175
3.433333,1.0,-0.040875
3.45,1.0,-0.040875
3.466667,1.0,-0.04075
3.483333,1.0,-0.04125
3.5,1.0,-0.041625
3.516667,1.0,-0.04125
3.533333,1.0,-0.041875
3.55,1.0,-0.0425
3.566667,1.0,-0.042625
3.583333,1.0,-0.042
3.6,1.0,-0.04175
3.616667,1.0,-0.041625
3.633333,1.0,-0.04175
3.65,1.0,-0.04175
3.666667,1.0,-0.042125
3.683333,1.0,-0.042
3.7,1.0,-0.04225
3.716667,1.0,-0.042375
3.733333,1.0,-0.041875
3.75,1.0,-0.041625
3.766667,1.0,-0.041125
3.783333,1.0,-0.040875
3.8,1.0,-0.041125
3.816667,1.0,-0.040875
3.833333,1.0,-0.040375
3.85,1.0,-0.040375
3.866667,1.0,-0.040375
3.883333,1.0,-0.04075
3.9,1.0,-0.040125
3.916667,1.0,-0.040875
3.933333,1.0,-0.0405
3.95,1.0,-0.04025
3.966667,1.0,-0.040875
3.983333,1.0,-0.04125
4.0,1.0,-0.042
4.016667,1.0,-0.042125
4.033333,1.0,-0.042375
4.05,1.0,-0.042875
4.066667,1.0,-0.04375
4.083333,1.0,-0.044375
4.1,1.0,-0.045
4.116667,1.0,-0.046
4.133333,1.0,-0.046625
4.15,1.0,-0.047
4.166667,1.0,-0.04775
4.183333,1.0,-0.048375
4.2,1.0,-0.048125
4.216667,1.0,-0.049
4.233333,1.0,-0.050125
4.25,1.0,-0.05075
4.266667,1.0,-0.051
4.283333,1.0,-0.051625
4.3,1.0,-0.05225
4.316667,1.0,-0.0525
4.333333,1.0,-0.05275
4.35,1.0,-0.052625
4.366667,1.0,-0.05275
4.383333,1.0,-0.053125
4.4,1.0,-0.05275
4.416667,1.0,-0.052375
4.433333,1.0,-0.0525
4.45,1.0,-0.052125
4.466667,1.0,-0.05225
4.483333,1.0,-0.05225
4.5,1.0,-0.0515
4.516667,1.0,-0.05125
4.533333,1.0,-0.050625
4.55,1.0,-0.05075
4.566667,1.0,-0.049125
4.583333,1.0,-0.048125
4.6,1.0,-0.047625
4.616667,1.0,-0.047125
4.633333,1.0,-0.046
4.65,1.0,-0.044625
4.666667,1.0,-0.042875
4.683333,1.0,-0.041375
4.7,1.0,-0.039875
4.716667,1.0,-0.038125
4.733333,1.0,-0.035875
4.75,1.0,-0.034625
4.766667,1.0,-0.032625
4.783333,1.0,-0.0305
4.8,1.0,-0.028375
4.816667,1.0,-0.027
4.833333,1.0,-0.0245
4.85,1.0,-0.021375
4.866667,1.0,-0.01925
4.883333,1.0,-0.0165
4.9,1.0,-0.014125
4.916667,1.0,-0.012
4.933333,1.0,-0.009875
4.95,1.0,-0.007375
4.966667,1.0,-0.005375
4.983333,1.0,-0.001875
5.0,1.0,-0.000125
5.016667,1.0,0.0015
5.033333,1.0,0.00325
5.05,1.0,0.005375
5.066667,1.0,0.00675
5.083333,1.0,0.007875
5.1,1.0,0.009125
5.116667,1.0,0.010375
5.133333,1.0,0.012
5.15,1.0,0.013
5.166667,1.0,0.01375
5.183333,1.0,0.014625
5.2,1.0,0.015125
5.216667,1.0,0.01575
5.233333,1.0,0.016625
5.25,1.0,0.017375
5.266667,1.0,0.017625
5.283333,1.0,0.017
5.3,1.0,0.017
5.316667,1.0,0.0165
5.333333,1.0,0.016125
5.35,1.0,0.014875
5.366667,1.0,0.014125
5.383333,1.0,0.01325
5.4,1.0,0.012625
5.416667,1.0,0.011375
5.433333,1.0,0.010125
5.45,1.0,0.00925
5.466667,1.0,0.00775
5.483333,1.0,0.005875
5.5,1.0,0.003875
5.516667,1.0,0.00225
5.533333,1.0,0.000375
5.55,1.0,-0.000625
5.566667,1.0,-0.002875
5.583333,1.0,-0.0045
5.6,1.0,-0.00625
5.616667,1.0,-0.007875
5.633333,1.0,-0.00975
5.65,1.0,-0.011625
5.666667,1.0,-0.01375
5.683333,1.0,-0.01575
5.7,1.0,-0.01725
5.716667,1.0,-0.0185
5.733333,1.0,-0.02
5.75,1.0,-0.020875
5.766667,1.0,-0.021625
5.783333,1.0,-0.0225
5.8,1.0,-0.023125
5.816667,1.0,-0.024625
5.833333,1.0,-0.0255
