File Path	chrom://990-75db15j/XVault/Ultimate_3000/1256/20230531_CMO_stabTest _FP08_FP09.seq/691.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	XVault
Injection	FP09_1_s4
Injection Number	58
Position	BB10
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	03.06.2023
Injection Time	04:39:57
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.600875
Signal Max.	57.718750
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.052000
0.016667	1	-0.053500
0.033333	1	-0.054625
0.050000	1	-0.055375
0.066667	1	-0.055750
0.083333	1	-0.056875
0.100000	1	-0.057250
0.116667	1	-0.057250
0.133333	1	-0.057875
0.150000	1	-0.059000
0.166667	1	-0.059500
0.183333	1	-0.060125
0.200000	1	-0.060625
0.216667	1	-0.060625
0.233333	1	-0.060625
0.250000	1	-0.061375
0.266667	1	-0.061500
0.283333	1	-0.062875
0.300000	1	-0.066375
0.316667	1	-0.070000
0.333333	1	-0.072375
0.350000	1	-0.071000
0.366667	1	-0.067500
0.383333	1	-0.063125
0.400000	1	-0.059250
0.416667	1	-0.055375
0.433333	1	-0.052125
0.450000	1	-0.049125
0.466667	1	-0.047125
0.483333	1	-0.046625
0.500000	1	-0.047875
0.516667	1	-0.049750
0.533333	1	-0.051250
0.550000	1	-0.052250
0.566667	1	-0.052625
0.583333	1	-0.053000
0.600000	1	-0.053500
0.616667	1	-0.053000
0.633333	1	-0.052500
0.650000	1	-0.051375
0.666667	1	-0.050750
0.683333	1	-0.050750
0.700000	1	-0.049625
0.716667	1	-0.049500
0.733333	1	-0.049125
0.750000	1	-0.047875
0.766667	1	-0.047000
