#
# 230610_B.finegoldii_5
# ------------------------------
# Acquired: 6/11/2023 4:07:00 PM
# Converted: 06/23/2023 09:06:13 AM
# Vial: 35
# Injection Volume: 20 uL
# Sample ID: 001
#
# Detector B
# ---------------------
# Acquisition Interval: 500 ms
# Intensity Units: mV
# Intensity Multiplier: 0.001
#
time_min,intensity_mV,detector
0.0,-11,B
0.00833,-11,B
0.01667,0,B
0.025,0,B
0.03333,0,B
0.04167,-1,B
0.05,-1,B
0.05833,-2,B
0.06667,-2,B
0.075,-2,B
0.08333,-2,B
0.09167,-3,B
0.1,-3,B
0.10833,-3,B
0.11667,-3,B
0.125,-4,B
0.13333,-5,B
0.14167,-5,B
0.15,-5,B
0.15833,-5,B
0.16667,-6,B
0.175,-6,B
0.18333,-6,B
0.19167,-7,B
0.2,-7,B
0.20833,-8,B
0.21667,-8,B
0.225,-8,B
0.23333,-8,B
0.24167,-8,B
0.25,-9,B
0.25833,-9,B
0.26667,-10,B
0.275,-11,B
0.28333,-11,B
0.29167,-11,B
0.3,-11,B
0.30833,-11,B
0.31667,-11,B
0.325,-12,B
0.33333,-12,B
0.34167,-13,B
0.35,-13,B
0.35833,-14,B
0.36667,-14,B
0.375,-14,B
0.38333,-14,B
0.39167,-15,B
0.4,-15,B
0.40833,-15,B
0.41667,-15,B
0.425,-15,B
0.43333,-15,B
0.44167,-16,B
0.45,-16,B
0.45833,-17,B
0.46667,-18,B
0.475,-19,B
0.48333,-19,B
0.49167,-20,B
0.5,-20,B
0.50833,-21,B
0.51667,-21,B
0.525,-21,B
0.53333,-22,B
0.54167,-22,B
0.55,-23,B
0.55833,-23,B
0.56667,-23,B
0.575,-24,B
0.58333,-24,B
0.59167,-25,B
0.6,-25,B
0.60833,-26,B
0.61667,-27,B
0.625,-27,B
0.63333,-28,B
0.64167,-28,B
0.65,-29,B
0.65833,-29,B
0.66667,-30,B
0.675,-30,B
0.68333,-31,B
0.69167,-32,B
0.7,-32,B
0.70833,-33,B
0.71667,-33,B
0.725,-33,B
0.73333,-34,B
0.74167,-34,B
0.75,-35,B
0.75833,-35,B
0.76667,-35,B
0.775,-36,B
0.78333,-36,B
0.79167,-37,B
0.8,-37,B
0.80833,-38,B
0.81667,-38,B
0.825,-38,B
0.83333,-39,B
0.84167,-39,B
0.85,-40,B
0.85833,-40,B
0.86667,-41,B
0.875,-41,B
0.88333,-41,B
