[Header]
Application Name,LabSolutions
Version,5.97 SP1
Data File Name,C:\Users\cremerlab\Desktop\Richa\Aug 11th 2023 scfa yield YCA\2.5mM\scfa yield YCA 2.5mM_8112023_001_030.lcd
Output Date,8/12/2023
Output Time,6:43:24 PM

[File Information]
Type,Data File
Generated,8/12/2023 5:53:02 PM
Generated by,System Administrator
Modified,8/12/2023 6:43:24 PM
Modified by,System Administrator

[Sample Information]
Operator Name,System Administrator
Acquired,8/12/2023 5:53:24 PM
Sample Type,0:Unknown
Level,0
Sample Name,230811_R.bromii_2_4
Sample ID,001
ISTD Amount1,1
ISTD Amount2,1
ISTD Amount3,1
ISTD Amount4,1
ISTD Amount5,1
ISTD Amount6,1
ISTD Amount7,1
ISTD Amount8,1
ISTD Amount9,1
ISTD Amount10,1
ISTD Amount11,1
ISTD Amount12,1
ISTD Amount13,1
ISTD Amount14,1
ISTD Amount15,1
ISTD Amount16,1
ISTD Amount17,1
ISTD Amount18,1
ISTD Amount19,1
ISTD Amount20,1
ISTD Amount21,1
ISTD Amount22,1
ISTD Amount23,1
ISTD Amount24,1
ISTD Amount25,1
ISTD Amount26,1
ISTD Amount27,1
ISTD Amount28,1
ISTD Amount29,1
ISTD Amount30,1
ISTD Amount31,1
ISTD Amount32,1
Sample Amount,1
Dilution Factor,1
Vial#,29
Injection Volume,20

[Original Files]
Data File,C:\Users\cremerlab\Desktop\Richa\Aug 11th 2023 scfa yield YCA\2.5mM\scfa yield YCA 2.5mM_8112023_001_030.lcd
Method File,C:\Users\cremerlab\Desktop\Richa\organic_acids_excretion.lcm
Batch File,C:\Users\cremerlab\Desktop\Richa\Aug 11th 2023 scfa yield YCA\2.5mM\scfa yield YCA 2.5mM.lcb
Report Format File,c:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name,HPLC-PC-Instrument1
Instrument #,1
Line #,1
# of Detectors,2
Detector ID,Detector A,Detector B
Detector Name,Detector A,Detector B
# of Channels,1,1

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),500
# of Points,6001
Start Time(min),0.000
End Time(min),50.000
Intensity Units,mV
Intensity Multiplier,0.001
Wavelength(nm),254nm
R.Time (min),Intensity
0.00000,6
0.00833,6
0.01667,2
0.02500,3
0.03333,3
0.04167,4
0.05000,5
0.05833,5
0.06667,5
0.07500,6
0.08333,6
0.09167,6
0.10000,6
0.10833,8
0.11667,9
0.12500,9
0.13333,10
0.14167,10
0.15000,10
0.15833,10
0.16667,11
0.17500,12
0.18333,13
0.19167,12
0.20000,12
0.20833,12
0.21667,12
0.22500,11
0.23333,11
0.24167,11
0.25000,10
0.25833,10
0.26667,11
0.27500,10
0.28333,9
0.29167,8
0.30000,8
0.30833,8
0.31667,8
0.32500,8
0.33333,7
0.34167,5
0.35000,3
0.35833,2
0.36667,1
0.37500,0
0.38333,-0
0.39167,-1
0.40000,-2
0.40833,-3
0.41667,-3
0.42500,-5
0.43333,-6
0.44167,-7
0.45000,-8
0.45833,-10
0.46667,-12
0.47500,-13
0.48333,-14
