[Header]
Application Name,LabSolutions
Version,5.97 SP1
Data File Name,C:\Users\cremerlab\Desktop\Richa\Aug 11th 2023 scfa yield YCA\2.5mM\scfa yield YCA 2.5mM_8112023_001_024.lcd
Output Date,8/12/2023
Output Time,1:41:06 PM

[File Information]
Type,Data File
Generated,8/12/2023 12:50:44 PM
Generated by,System Administrator
Modified,8/12/2023 1:41:06 PM
Modified by,System Administrator

[Sample Information]
Operator Name,System Administrator
Acquired,8/12/2023 12:51:05 PM
Sample Type,0:Unknown
Level,0
Sample Name,230811_R.bromii_3
Sample ID,001
ISTD Amount1,1
ISTD Amount2,1
ISTD Amount3,1
ISTD Amount4,1
ISTD Amount5,1
ISTD Amount6,1
ISTD Amount7,1
ISTD Amount8,1
ISTD Amount9,1
ISTD Amount10,1
ISTD Amount11,1
ISTD Amount12,1
ISTD Amount13,1
ISTD Amount14,1
ISTD Amount15,1
ISTD Amount16,1
ISTD Amount17,1
ISTD Amount18,1
ISTD Amount19,1
ISTD Amount20,1
ISTD Amount21,1
ISTD Amount22,1
ISTD Amount23,1
ISTD Amount24,1
ISTD Amount25,1
ISTD Amount26,1
ISTD Amount27,1
ISTD Amount28,1
ISTD Amount29,1
ISTD Amount30,1
ISTD Amount31,1
ISTD Amount32,1
Sample Amount,1
Dilution Factor,1
Vial#,23
Injection Volume,20

[Original Files]
Data File,C:\Users\cremerlab\Desktop\Richa\Aug 11th 2023 scfa yield YCA\2.5mM\scfa yield YCA 2.5mM_8112023_001_024.lcd
Method File,C:\Users\cremerlab\Desktop\Richa\organic_acids_excretion.lcm
Batch File,C:\Users\cremerlab\Desktop\Richa\Aug 11th 2023 scfa yield YCA\2.5mM\scfa yield YCA 2.5mM.lcb
Report Format File,c:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name,HPLC-PC-Instrument1
Instrument #,1
Line #,1
# of Detectors,2
Detector ID,Detector A,Detector B
Detector Name,Detector A,Detector B
# of Channels,1,1

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),500
# of Points,6001
Start Time(min),0.000
End Time(min),50.000
Intensity Units,mV
Intensity Multiplier,0.001
Wavelength(nm),254nm
R.Time (min),Intensity
0.00000,20
0.00833,20
0.01667,1
0.02500,2
0.03333,2
0.04167,3
0.05000,4
0.05833,6
0.06667,6
0.07500,6
0.08333,7
0.09167,8
0.10000,8
0.10833,8
0.11667,9
0.12500,9
0.13333,10
0.14167,11
0.15000,12
0.15833,12
0.16667,12
0.17500,12
0.18333,13
0.19167,13
0.20000,14
0.20833,13
0.21667,13
0.22500,14
0.23333,14
0.24167,14
0.25000,15
0.25833,14
0.26667,14
0.27500,14
0.28333,14
0.29167,14
0.30000,14
0.30833,13
0.31667,13
0.32500,13
0.33333,12
0.34167,11
0.35000,11
0.35833,11
0.36667,10
0.37500,11
0.38333,10
0.39167,9
0.40000,8
0.40833,8
0.41667,8
0.42500,7
0.43333,6
0.44167,6
0.45000,5
0.45833,4
0.46667,2
0.47500,1
0.48333,-1
0.49167,-2
0.50000,-3
0.50833,-4
0.51667,-5
0.52500,-6
0.53333,-7
0.54167,-8
0.55000,-10
0.55833,-13
0.56667,-15
0.57500,-17
0.58333,-19
0.59167,-22
0.60000,-24
0.60833,-26
0.61667,-28
0.62500,-29
0.63333,-31
0.64167,-33
0.65000,-35
0.65833,-37
0.66667,-39
0.67500,-41
0.68333,-43
0.69167,-45
0.70000,-48
0.70833,-50
0.71667,-52
0.72500,-55
0.73333,-57
0.74167,-59
0.75000,-60
0.75833,-63
0.76667,-66
0.77500,-69
0.78333,-71
0.79167,-74
0.80000,-77
0.80833,-79
0.81667,-83
0.82500,-86
0.83333,-88
0.84167,-90
0.85000,-91
0.85833,-93
0.86667,-96
0.87500,-98
0.88333,-100
0.89167,-102
0.90000,-105
0.90833,-108
0.91667,-112
0.92500,-114
0.93333,-117
0.94167,-120
0.95000,-122
0.95833,-125
0.96667,-127
0.97500,-129
0.98333,-132
0.99167,-134
1.00000,-136
1.00833,-138
1.01667,-139
1.02500,-141
1.03333,-143
1.04167,-145
1.05000,-147
1.05833,-150
1.06667,-152
1.07500,-154
1.08333,-156
1.09167,-158
1.10000,-159
1.10833,-160
1.11667,-163
1.12500,-164
1.13333,-167
1.14167,-169
1.15000,-171
1.15833,-174
1.16667,-175
1.17500,-176
1.18333,-176
1.19167,-177
1.20000,-179
1.20833,-180
1.21667,-182
1.22500,-183
1.23333,-185
1.24167,-186
1.25000,-188
1.25833,-189
1.26667,-190
1.27500,-191
1.28333,-193
1.29167,-193
1.30000,-195
1.30833,-196
1.31667,-197
1.32500,-198
1.33333,-199
1.34167,-199
1.35000,-200
1.35833,-200
1.36667,-200
1.37500,-200
1.38333,-201
1.39167,-203
1.40000,-204
1.40833,-204
1.41667,-205
1.42500,-205
1.43333,-206
1.44167,-206
1.45000,-206
1.45833,-206
1.46667,-206
1.47500,-206
1.48333,-206
1.49167,-207
1.50000,-208
