[Header]
Application Name,LabSolutions
Version,5.97 SP1
Data File Name,C:\Users\cremerlab\Desktop\Richa\Sep 9th 2023 scfa yield minimal medium\2.5mM\scfa yield simple medium 2.5mM_982023_001_018.lcd
Output Date,9/9/2023
Output Time,8:09:17 AM

[File Information]
Type,Data File
Generated,9/9/2023 7:18:53 AM
Generated by,System Administrator
Modified,9/9/2023 8:09:17 AM
Modified by,System Administrator

[Sample Information]
Operator Name,System Administrator
Acquired,9/9/2023 7:19:16 AM
Sample Type,0:Unknown
Level,0
Sample Name,230908_B.theta_2_2
Sample ID,001
ISTD Amount1,1
ISTD Amount2,1
ISTD Amount3,1
ISTD Amount4,1
ISTD Amount5,1
ISTD Amount6,1
ISTD Amount7,1
ISTD Amount8,1
ISTD Amount9,1
ISTD Amount10,1
ISTD Amount11,1
ISTD Amount12,1
ISTD Amount13,1
ISTD Amount14,1
ISTD Amount15,1
ISTD Amount16,1
ISTD Amount17,1
ISTD Amount18,1
ISTD Amount19,1
ISTD Amount20,1
ISTD Amount21,1
ISTD Amount22,1
ISTD Amount23,1
ISTD Amount24,1
ISTD Amount25,1
ISTD Amount26,1
ISTD Amount27,1
ISTD Amount28,1
ISTD Amount29,1
ISTD Amount30,1
ISTD Amount31,1
ISTD Amount32,1
Sample Amount,1
Dilution Factor,1
Vial#,17
Injection Volume,20

[Original Files]
Data File,C:\Users\cremerlab\Desktop\Richa\Sep 9th 2023 scfa yield minimal medium\2.5mM\scfa yield simple medium 2.5mM_982023_001_018.lcd
Method File,C:\Users\cremerlab\Desktop\Richa\organic_acids_excretion.lcm
Batch File,C:\Users\cremerlab\Desktop\Richa\Sep 9th 2023 scfa yield minimal medium\2.5mM\scfa yield simple medium 2.5mM.lcb
Report Format File,c:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name,HPLC-PC-Instrument1
Instrument #,1
Line #,1
# of Detectors,2
Detector ID,Detector A,Detector B
Detector Name,Detector A,Detector B
# of Channels,1,1

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),500
# of Points,6001
Start Time(min),0.000
End Time(min),50.000
Intensity Units,mV
Intensity Multiplier,0.001
Wavelength(nm),254nm
R.Time (min),Intensity
0.00000,1
0.00833,1
0.01667,-0
0.02500,-1
0.03333,-1
0.04167,-1
0.05000,-0
0.05833,0
0.06667,-0
0.07500,-0
0.08333,0
0.09167,0
0.10000,-1
0.10833,-2
0.11667,-2
0.12500,-1
0.13333,-1
0.14167,-1
0.15000,-1
0.15833,-1
0.16667,-1
0.17500,-1
0.18333,-2
0.19167,-2
0.20000,-2
0.20833,-2
0.21667,-2
0.22500,-3
0.23333,-2
0.24167,-1
0.25000,-1
0.25833,-2
0.26667,-2
0.27500,-2
0.28333,-1
0.29167,0
0.30000,1
0.30833,0
0.31667,-1
0.32500,-2
0.33333,-3
0.34167,-4
0.35000,-4
0.35833,-4
0.36667,-3
0.37500,-4
0.38333,-3
0.39167,-3
0.40000,-3
0.40833,-3
0.41667,-4
0.42500,-4
0.43333,-4
0.44167,-5
0.45000,-5
0.45833,-4
0.46667,-3
0.47500,-3
0.48333,-4
0.49167,-4
0.50000,-4
0.50833,-5
0.51667,-6
0.52500,-6
0.53333,-6
0.54167,-6
0.55000,-6
0.55833,-5
0.56667,-5
0.57500,-5
0.58333,-5
0.59167,-5
0.60000,-6
0.60833,-7
0.61667,-7
0.62500,-7
0.63333,-7
0.64167,-8
0.65000,-8
0.65833,-8
0.66667,-8
0.67500,-9
0.68333,-8
0.69167,-8
0.70000,-7
0.70833,-6
0.71667,-6
0.72500,-6
0.73333,-7
0.74167,-9
0.75000,-10
0.75833,-9
0.76667,-9
0.77500,-9
0.78333,-9
0.79167,-9
0.80000,-10
0.80833,-10
0.81667,-11
0.82500,-11
0.83333,-10
0.84167,-10
0.85000,-10
0.85833,-10
0.86667,-11
0.87500,-11
0.88333,-11
0.89167,-11
0.90000,-11
0.90833,-10
0.91667,-10
0.92500,-10
0.93333,-10
0.94167,-11
0.95000,-11
0.95833,-12
0.96667,-12
0.97500,-12
0.98333,-12
0.99167,-12
1.00000,-12
1.00833,-13
1.01667,-13
1.02500,-14
1.03333,-14
1.04167,-14
1.05000,-15
1.05833,-14
1.06667,-13
1.07500,-13
1.08333,-13
1.09167,-13
1.10000,-13
1.10833,-13
1.11667,-13
1.12500,-13
1.13333,-13
1.14167,-13
1.15000,-14
1.15833,-14
1.16667,-15
1.17500,-15
1.18333,-16
1.19167,-16
1.20000,-17
1.20833,-17
1.21667,-18
1.22500,-17
1.23333,-17
1.24167,-16
1.25000,-16
1.25833,-17
1.26667,-17
1.27500,-16
1.28333,-15
1.29167,-15
1.30000,-15
1.30833,-15
1.31667,-15
1.32500,-15
1.33333,-16
1.34167,-17
1.35000,-17
1.35833,-17
1.36667,-18
1.37500,-17
1.38333,-17
1.39167,-18
1.40000,-18
1.40833,-17
1.41667,-17
1.42500,-18
1.43333,-18
1.44167,-18
1.45000,-18
1.45833,-18
1.46667,-18
1.47500,-18
1.48333,-19
1.49167,-20
1.50000,-20
1.50833,-20
1.51667,-20
1.52500,-19
1.53333,-18
1.54167,-18
1.55000,-18
1.55833,-19
1.56667,-19
1.57500,-18
1.58333,-18
1.59167,-18
1.60000,-19
1.60833,-19
1.61667,-19
1.62500,-19
1.63333,-19
1.64167,-18
1.65000,-18
1.65833,-18
1.66667,-17
1.67500,-17
1.68333,-18
1.69167,-19
1.70000,-18
1.70833,-18
1.71667,-17
1.72500,-17
1.73333,-17
1.74167,-17
1.75000,-16
1.75833,-16
1.76667,-17
1.77500,-17
1.78333,-17
1.79167,-16
1.80000,-15
1.80833,-16
1.81667,-16
1.82500,-17
1.83333,-17
1.84167,-17
1.85000,-17
1.85833,-17
1.86667,-16
1.87500,-17
1.88333,-18
1.89167,-18
1.90000,-18
1.90833,-16
1.91667,-15
1.92500,-16
1.93333,-17
1.94167,-17
1.95000,-18
1.95833,-19
1.96667,-19
1.97500,-19
1.98333,-19
1.99167,-19
2.00000,-18
2.00833,-18
2.01667,-18
