[Header]
Application Name,LabSolutions
Version,5.97 SP1
Data File Name,C:\Users\cremerlab\Desktop\Richa\Sep 9th 2023 scfa yield minimal medium\2.5mM\scfa yield simple medium 2.5mM_982023_001_014.lcd
Output Date,9/9/2023
Output Time,4:47:43 AM

[File Information]
Type,Data File
Generated,9/9/2023 3:57:20 AM
Generated by,System Administrator
Modified,9/9/2023 4:47:43 AM
Modified by,System Administrator

[Sample Information]
Operator Name,System Administrator
Acquired,9/9/2023 3:57:42 AM
Sample Type,0:Unknown
Level,0
Sample Name,230908_B.theta_3
Sample ID,001
ISTD Amount1,1
ISTD Amount2,1
ISTD Amount3,1
ISTD Amount4,1
ISTD Amount5,1
ISTD Amount6,1
ISTD Amount7,1
ISTD Amount8,1
ISTD Amount9,1
ISTD Amount10,1
ISTD Amount11,1
ISTD Amount12,1
ISTD Amount13,1
ISTD Amount14,1
ISTD Amount15,1
ISTD Amount16,1
ISTD Amount17,1
ISTD Amount18,1
ISTD Amount19,1
ISTD Amount20,1
ISTD Amount21,1
ISTD Amount22,1
ISTD Amount23,1
ISTD Amount24,1
ISTD Amount25,1
ISTD Amount26,1
ISTD Amount27,1
ISTD Amount28,1
ISTD Amount29,1
ISTD Amount30,1
ISTD Amount31,1
ISTD Amount32,1
Sample Amount,1
Dilution Factor,1
Vial#,13
Injection Volume,20

[Original Files]
Data File,C:\Users\cremerlab\Desktop\Richa\Sep 9th 2023 scfa yield minimal medium\2.5mM\scfa yield simple medium 2.5mM_982023_001_014.lcd
Method File,C:\Users\cremerlab\Desktop\Richa\organic_acids_excretion.lcm
Batch File,C:\Users\cremerlab\Desktop\Richa\Sep 9th 2023 scfa yield minimal medium\2.5mM\scfa yield simple medium 2.5mM.lcb
Report Format File,c:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name,HPLC-PC-Instrument1
Instrument #,1
Line #,1
# of Detectors,2
Detector ID,Detector A,Detector B
Detector Name,Detector A,Detector B
# of Channels,1,1

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),500
# of Points,6001
Start Time(min),0.000
End Time(min),50.000
Intensity Units,mV
Intensity Multiplier,0.001
Wavelength(nm),254nm
R.Time (min),Intensity
0.00000,7
0.00833,7
0.01667,-0
0.02500,-0
0.03333,0
0.04167,-0
0.05000,-1
0.05833,-1
0.06667,-1
0.07500,-2
0.08333,-2
0.09167,-2
0.10000,-3
0.10833,-2
0.11667,-3
0.12500,-3
0.13333,-2
0.14167,-1
0.15000,-0
0.15833,0
0.16667,1
0.17500,2
0.18333,2
0.19167,1
0.20000,1
0.20833,1
0.21667,-0
0.22500,-1
0.23333,-1
0.24167,-1
0.25000,0
0.25833,1
0.26667,-0
0.27500,-1
0.28333,-1
0.29167,-1
0.30000,-1
0.30833,-1
0.31667,-1
0.32500,-2
0.33333,-2
0.34167,-2
0.35000,-2
0.35833,-2
0.36667,-2
0.37500,-2
0.38333,-1
0.39167,-1
0.40000,-1
0.40833,-0
0.41667,1
0.42500,1
0.43333,1
0.44167,1
0.45000,0
0.45833,-0
0.46667,-1
0.47500,-1
0.48333,-2
0.49167,-2
0.50000,-2
0.50833,-2
0.51667,-1
0.52500,-1
0.53333,-1
0.54167,-2
0.55000,-2
0.55833,-2
0.56667,-2
0.57500,-2
0.58333,-2
0.59167,-2
0.60000,-2
0.60833,-1
0.61667,-0
0.62500,1
0.63333,1
0.64167,0
0.65000,-1
0.65833,-2
0.66667,-2
0.67500,-2
0.68333,-2
0.69167,-2
0.70000,-3
0.70833,-3
0.71667,-4
0.72500,-4
0.73333,-4
0.74167,-3
0.75000,-3
0.75833,-4
0.76667,-4
0.77500,-4
0.78333,-4
0.79167,-4
0.80000,-5
0.80833,-5
0.81667,-4
0.82500,-4
0.83333,-4
0.84167,-4
0.85000,-4
0.85833,-4
0.86667,-4
0.87500,-5
0.88333,-6
0.89167,-6
0.90000,-6
0.90833,-5
0.91667,-5
0.92500,-6
0.93333,-7
0.94167,-6
0.95000,-5
0.95833,-5
0.96667,-6
0.97500,-6
0.98333,-7
0.99167,-7
1.00000,-7
1.00833,-8
1.01667,-8
1.02500,-8
1.03333,-8
1.04167,-8
1.05000,-7
1.05833,-7
1.06667,-7
1.07500,-7
1.08333,-7
1.09167,-8
1.10000,-9
1.10833,-10
1.11667,-10
1.12500,-10
1.13333,-9
1.14167,-9
1.15000,-9
1.15833,-8
1.16667,-8
1.17500,-8
1.18333,-8
1.19167,-7
1.20000,-8
1.20833,-9
1.21667,-9
1.22500,-9
1.23333,-9
1.24167,-9
1.25000,-8
1.25833,-8
1.26667,-8
1.27500,-8
1.28333,-8
1.29167,-8
1.30000,-9
1.30833,-9
1.31667,-9
1.32500,-8
1.33333,-8
1.34167,-8
1.35000,-8
1.35833,-7
1.36667,-7
1.37500,-7
1.38333,-8
1.39167,-9
1.40000,-8
1.40833,-7
1.41667,-7
1.42500,-7
1.43333,-7
1.44167,-7
1.45000,-7
1.45833,-7
1.46667,-7
1.47500,-7
1.48333,-7
1.49167,-8
1.50000,-7
1.50833,-7
1.51667,-8
1.52500,-8
1.53333,-9
1.54167,-9
1.55000,-9
1.55833,-9
1.56667,-9
1.57500,-9
1.58333,-9
1.59167,-8
1.60000,-9
1.60833,-9
1.61667,-9
1.62500,-10
1.63333,-10
1.64167,-10
1.65000,-9
1.65833,-9
1.66667,-9
1.67500,-8
1.68333,-7
1.69167,-7
1.70000,-8
1.70833,-8
1.71667,-9
1.72500,-9
1.73333,-9
1.74167,-9
1.75000,-9
1.75833,-9
1.76667,-9
1.77500,-9
1.78333,-9
1.79167,-8
1.80000,-8
1.80833,-8
1.81667,-8
1.82500,-8
1.83333,-8
1.84167,-8
1.85000,-8
1.85833,-8
1.86667,-8
1.87500,-8
1.88333,-8
1.89167,-8
1.90000,-8
1.90833,-8
1.91667,-7
1.92500,-7
1.93333,-6
1.94167,-7
1.95000,-8
1.95833,-9
1.96667,-9
1.97500,-9
1.98333,-8
1.99167,-8
2.00000,-7
2.00833,-7
2.01667,-7
2.02500,-7
2.03333,-7
2.04167,-6
2.05000,-6
2.05833,-7
2.06667,-7
2.07500,-6
2.08333,-7
2.09167,-8
2.10000,-7
2.10833,-7
2.11667,-8
2.12500,-7
2.13333,-6
2.14167,-5
2.15000,-5
2.15833,-6
2.16667,-7
2.17500,-7
2.18333,-6
2.19167,-6
2.20000,-6
2.20833,-6
2.21667,-6
2.22500,-5
2.23333,-6
2.24167,-7
2.25000,-7
2.25833,-7
2.26667,-6
2.27500,-6
2.28333,-5
2.29167,-5
2.30000,-5
2.30833,-5
2.31667,-5
2.32500,-6
2.33333,-6
2.34167,-6
2.35000,-6
2.35833,-7
2.36667,-7
2.37500,-7
2.38333,-7
2.39167,-6
2.40000,-6
2.40833,-5
2.41667,-5
2.42500,-5
2.43333,-5
2.44167,-5
2.45000,-4
2.45833,-3
2.46667,-3
2.47500,-3
2.48333,-4
2.49167,-5
2.50000,-4
2.50833,-3
2.51667,-3
2.52500,-3
2.53333,-3
2.54167,-4
2.55000,-5
2.55833,-5
2.56667,-4
2.57500,-4
2.58333,-4
2.59167,-4
2.60000,-4
2.60833,-5
2.61667,-5
2.62500,-5
2.63333,-6
2.64167,-6
2.65000,-5
2.65833,-5
2.66667,-5
2.67500,-4
2.68333,-4
2.69167,-5
2.70000,-5
2.70833,-5
2.71667,-4
2.72500,-4
2.73333,-4
2.74167,-4
2.75000,-4
2.75833,-4
2.76667,-4
2.77500,-4
2.78333,-3
2.79167,-3
2.80000,-2
2.80833,-1
2.81667,-0
2.82500,-1
2.83333,-2
2.84167,-3
2.85000,-4
2.85833,-4
2.86667,-4
2.87500,-4
2.88333,-3
2.89167,-2
2.90000,-1
2.90833,-1
2.91667,-1
2.92500,-1
2.93333,-1
2.94167,-2
2.95000,-2
2.95833,-2
2.96667,-2
2.97500,-2
2.98333,-2
2.99167,-3
3.00000,-3
3.00833,-3
3.01667,-3
3.02500,-3
3.03333,-3
3.04167,-3
3.05000,-3
3.05833,-1
3.06667,-0
3.07500,-0
3.08333,-1
3.09167,-1
3.10000,-2
3.10833,-3
3.11667,-4
3.12500,-3
3.13333,-3
3.14167,-4
3.15000,-4
3.15833,-3
3.16667,-3
3.17500,-4
3.18333,-4
3.19167,-3
3.20000,-3
3.20833,-3
3.21667,-2
3.22500,-3
3.23333,-3
3.24167,-2
3.25000,-2
3.25833,-3
3.26667,-4
3.27500,-4
3.28333,-4
3.29167,-3
3.30000,-3
3.30833,-2
3.31667,-2
3.32500,-2
3.33333,-2
3.34167,-3
3.35000,-4
3.35833,-4
3.36667,-3
3.37500,-3
3.38333,-3
3.39167,-3
3.40000,-2
3.40833,-2
3.41667,-3
3.42500,-4
3.43333,-4
3.44167,-4
3.45000,-2
3.45833,-1
3.46667,-1
3.47500,-2
3.48333,-2
3.49167,-2
3.50000,-2
3.50833,-2
3.51667,-2
3.52500,-2
3.53333,-2
3.54167,-2
3.55000,-2
3.55833,-1
3.56667,-1
3.57500,-1
3.58333,-1
3.59167,-1
3.60000,-1
3.60833,-2
3.61667,-2
3.62500,-3
3.63333,-3
3.64167,-2
3.65000,-2
3.65833,-2
3.66667,-3
3.67500,-3
3.68333,-3
3.69167,-3
3.70000,-2
3.70833,-2
3.71667,-2
3.72500,-2
3.73333,-2
3.74167,-1
3.75000,-2
3.75833,-2
3.76667,-2
3.77500,-2
3.78333,-2
3.79167,-3
3.80000,-2
3.80833,-1
3.81667,-0
3.82500,-1
3.83333,-1
3.84167,-1
3.85000,-1
3.85833,-1
3.86667,-1
3.87500,1
3.88333,1
3.89167,1
3.90000,1
3.90833,1
3.91667,0
3.92500,-1
3.93333,-1
3.94167,0
3.95000,0
3.95833,0
3.96667,-0
3.97500,-1
3.98333,-1
3.99167,-1
4.00000,-1
4.00833,0
4.01667,0
4.02500,-0
4.03333,-1
4.04167,-0
4.05000,1
4.05833,1
4.06667,1
4.07500,1
4.08333,1
4.09167,0
4.10000,0
4.10833,1
4.11667,2
4.12500,2
4.13333,1
4.14167,1
4.15000,1
4.15833,1
4.16667,1
4.17500,2
4.18333,2
4.19167,2
4.20000,2
4.20833,2
4.21667,2
4.22500,2
4.23333,2
4.24167,3
4.25000,2
4.25833,2
4.26667,1
4.27500,1
4.28333,2
4.29167,2
4.30000,2
4.30833,3
4.31667,2
4.32500,2
4.33333,1
4.34167,1
4.35000,2
4.35833,4
4.36667,4
4.37500,5
4.38333,6
4.39167,6
4.40000,6
4.40833,5
4.41667,5
4.42500,4
4.43333,3
4.44167,3
4.45000,3
4.45833,3
4.46667,4
4.47500,6
4.48333,6
4.49167,5
4.50000,4
4.50833,4
4.51667,3
4.52500,3
4.53333,4
4.54167,4
4.55000,4
4.55833,4
4.56667,4
4.57500,5
4.58333,5
4.59167,5
4.60000,5
4.60833,5
4.61667,5
4.62500,5
4.63333,5
4.64167,6
4.65000,6
4.65833,6
4.66667,6
4.67500,5
4.68333,5
4.69167,5
4.70000,6
4.70833,6
4.71667,6
4.72500,5
4.73333,5
4.74167,5
4.75000,5
4.75833,6
4.76667,6
4.77500,6
4.78333,6
4.79167,7
4.80000,7
4.80833,7
4.81667,7
4.82500,7
4.83333,7
4.84167,6
4.85000,6
4.85833,6
4.86667,6
4.87500,7
4.88333,7
4.89167,8
4.90000,7
4.90833,7
4.91667,8
4.92500,8
4.93333,9
4.94167,8
4.95000,8
4.95833,8
4.96667,8
4.97500,8
4.98333,9
4.99167,9
5.00000,9
5.00833,8
5.01667,8
5.02500,8
5.03333,8
5.04167,8
5.05000,8
5.05833,8
5.06667,8
5.07500,9
5.08333,9
5.09167,10
5.10000,10
5.10833,10
5.11667,9
5.12500,9
5.13333,9
5.14167,9
5.15000,9
5.15833,9
5.16667,9
5.17500,9
5.18333,10
5.19167,10
5.20000,11
5.20833,11
5.21667,10
5.22500,11
5.23333,11
5.24167,10
5.25000,9
