[Header]
Application Name,LabSolutions
Version,5.97 SP1
Data File Name,C:\Users\cremerlab\Desktop\Richa\Sep 9th 2023 scfa yield minimal medium\2.5mM\scfa yield simple medium 2.5mM_982023_001_030.lcd
Output Date,9/9/2023
Output Time,6:14:02 PM

[File Information]
Type,Data File
Generated,9/9/2023 5:23:40 PM
Generated by,System Administrator
Modified,9/9/2023 6:14:02 PM
Modified by,System Administrator

[Sample Information]
Operator Name,System Administrator
Acquired,9/9/2023 5:24:02 PM
Sample Type,0:Unknown
Level,0
Sample Name,230908_B.vulgatus_1
Sample ID,001
ISTD Amount1,1
ISTD Amount2,1
ISTD Amount3,1
ISTD Amount4,1
ISTD Amount5,1
ISTD Amount6,1
ISTD Amount7,1
ISTD Amount8,1
ISTD Amount9,1
ISTD Amount10,1
ISTD Amount11,1
ISTD Amount12,1
ISTD Amount13,1
ISTD Amount14,1
ISTD Amount15,1
ISTD Amount16,1
ISTD Amount17,1
ISTD Amount18,1
ISTD Amount19,1
ISTD Amount20,1
ISTD Amount21,1
ISTD Amount22,1
ISTD Amount23,1
ISTD Amount24,1
ISTD Amount25,1
ISTD Amount26,1
ISTD Amount27,1
ISTD Amount28,1
ISTD Amount29,1
ISTD Amount30,1
ISTD Amount31,1
ISTD Amount32,1
Sample Amount,1
Dilution Factor,1
Vial#,29
Injection Volume,20

[Original Files]
Data File,C:\Users\cremerlab\Desktop\Richa\Sep 9th 2023 scfa yield minimal medium\2.5mM\scfa yield simple medium 2.5mM_982023_001_030.lcd
Method File,C:\Users\cremerlab\Desktop\Richa\organic_acids_excretion.lcm
Batch File,C:\Users\cremerlab\Desktop\Richa\Sep 9th 2023 scfa yield minimal medium\2.5mM\scfa yield simple medium 2.5mM.lcb
Report Format File,c:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name,HPLC-PC-Instrument1
Instrument #,1
Line #,1
# of Detectors,2
Detector ID,Detector A,Detector B
Detector Name,Detector A,Detector B
# of Channels,1,1

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),500
# of Points,6001
Start Time(min),0.000
End Time(min),50.000
Intensity Units,mV
Intensity Multiplier,0.001
Wavelength(nm),254nm
R.Time (min),Intensity
0.00000,-4
0.00833,-4
0.01667,-0
0.02500,0
0.03333,0
0.04167,0
0.05000,-1
0.05833,-1
0.06667,-2
0.07500,-2
0.08333,-2
0.09167,-2
0.10000,-1
0.10833,-0
0.11667,-1
0.12500,-1
0.13333,-1
0.14167,-1
0.15000,-3
0.15833,-3
0.16667,-3
0.17500,-3
0.18333,-3
0.19167,-3
0.20000,-3
0.20833,-3
0.21667,-3
0.22500,-4
0.23333,-4
0.24167,-4
0.25000,-4
0.25833,-4
0.26667,-4
0.27500,-4
0.28333,-3
0.29167,-3
0.30000,-3
0.30833,-3
0.31667,-3
0.32500,-4
0.33333,-4
0.34167,-4
0.35000,-3
0.35833,-3
0.36667,-2
0.37500,-3
0.38333,-3
0.39167,-3
0.40000,-3
0.40833,-3
0.41667,-3
0.42500,-3
0.43333,-3
0.44167,-4
0.45000,-4
0.45833,-4
0.46667,-3
0.47500,-3
0.48333,-4
0.49167,-5
0.50000,-4
0.50833,-4
0.51667,-5
0.52500,-5
0.53333,-5
0.54167,-5
0.55000,-4
0.55833,-3
0.56667,-2
0.57500,-3
0.58333,-3
0.59167,-3
0.60000,-3
0.60833,-2
0.61667,-2
0.62500,-2
0.63333,-3
0.64167,-3
0.65000,-4
0.65833,-4
0.66667,-4
0.67500,-4
0.68333,-3
0.69167,-4
0.70000,-4
0.70833,-3
0.71667,-3
0.72500,-3
0.73333,-3
0.74167,-3
0.75000,-3
0.75833,-3
0.76667,-2
0.77500,-1
0.78333,-1
0.79167,-2
0.80000,-1
0.80833,-1
0.81667,-0
0.82500,-1
0.83333,-2
0.84167,-2
0.85000,-2
0.85833,-1
0.86667,-1
0.87500,-1
0.88333,-2
0.89167,-2
0.90000,-2
0.90833,-2
0.91667,-2
0.92500,-2
0.93333,-2
0.94167,-2
0.95000,-2
0.95833,-2
0.96667,-3
0.97500,-3
0.98333,-3
0.99167,-3
1.00000,-4
1.00833,-3
1.01667,-2
1.02500,-2
1.03333,-2
1.04167,-2
1.05000,-2
1.05833,-2
1.06667,-1
1.07500,-1
1.08333,-1
1.09167,-1
1.10000,-1
1.10833,-1
1.11667,-2
1.12500,-2
1.13333,-2
1.14167,-1
1.15000,-1
1.15833,-1
1.16667,-1
1.17500,-1
1.18333,-1
1.19167,-0
1.20000,-0
1.20833,0
1.21667,0
1.22500,1
1.23333,-0
1.24167,-1
1.25000,-0
1.25833,0
1.26667,0
1.27500,1
1.28333,0
1.29167,0
1.30000,1
1.30833,0
1.31667,0
1.32500,-1
1.33333,-1
1.34167,-1
1.35000,-0
1.35833,-0
1.36667,-1
1.37500,-1
1.38333,-1
1.39167,-1
1.40000,-2
1.40833,-3
1.41667,-3
1.42500,-2
1.43333,-1
1.44167,-1
1.45000,-0
1.45833,1
1.46667,2
1.47500,1
1.48333,1
1.49167,1
1.50000,1
1.50833,1
1.51667,2
1.52500,1
1.53333,1
1.54167,1
1.55000,1
1.55833,1
1.56667,1
1.57500,0
1.58333,-0
1.59167,-0
1.60000,-0
1.60833,-0
1.61667,-0
1.62500,0
1.63333,1
1.64167,2
1.65000,2
1.65833,2
1.66667,2
1.67500,3
1.68333,3
1.69167,2
1.70000,2
1.70833,1
1.71667,2
1.72500,3
1.73333,3
1.74167,3
1.75000,3
1.75833,2
1.76667,2
1.77500,2
1.78333,2
1.79167,2
1.80000,2
1.80833,2
1.81667,1
1.82500,1
1.83333,1
1.84167,1
1.85000,0
1.85833,1
1.86667,1
1.87500,1
1.88333,1
1.89167,1
1.90000,2
1.90833,1
1.91667,1
1.92500,1
1.93333,1
1.94167,2
1.95000,3
1.95833,2
1.96667,2
1.97500,2
1.98333,1
1.99167,1
2.00000,2
2.00833,2
2.01667,2
2.02500,2
2.03333,2
2.04167,2
2.05000,1
2.05833,1
2.06667,1
2.07500,2
2.08333,2
2.09167,2
2.10000,4
2.10833,5
2.11667,4
2.12500,3
2.13333,2
2.14167,2
2.15000,3
2.15833,3
2.16667,3
2.17500,3
2.18333,3
2.19167,3
2.20000,3
2.20833,3
2.21667,2
2.22500,2
2.23333,2
2.24167,3
2.25000,2
2.25833,2
2.26667,1
2.27500,1
2.28333,1
2.29167,1
2.30000,2
2.30833,2
2.31667,3
2.32500,2
2.33333,2
2.34167,2
2.35000,2
2.35833,2
2.36667,2
2.37500,2
2.38333,3
2.39167,3
2.40000,3
2.40833,3
2.41667,3
2.42500,2
2.43333,1
2.44167,1
2.45000,2
2.45833,3
2.46667,3
2.47500,3
2.48333,3
2.49167,2
2.50000,2
2.50833,2
2.51667,2
2.52500,2
2.53333,3
2.54167,3
2.55000,4
2.55833,4
2.56667,4
2.57500,4
2.58333,4
2.59167,4
2.60000,3
2.60833,3
2.61667,2
2.62500,2
2.63333,2
2.64167,3
2.65000,3
2.65833,2
2.66667,2
2.67500,2
2.68333,3
2.69167,3
2.70000,3
2.70833,4
2.71667,5
2.72500,4
2.73333,4
2.74167,4
2.75000,5
2.75833,5
2.76667,6
2.77500,6
2.78333,6
2.79167,5
2.80000,5
2.80833,5
2.81667,5
2.82500,4
2.83333,3
2.84167,3
2.85000,3
2.85833,3
2.86667,3
2.87500,3
2.88333,4
2.89167,4
2.90000,4
2.90833,5
2.91667,4
2.92500,4
2.93333,4
2.94167,3
2.95000,3
2.95833,4
2.96667,4
2.97500,4
2.98333,4
2.99167,4
3.00000,3
3.00833,2
3.01667,1
3.02500,2
3.03333,2
3.04167,1
3.05000,1
3.05833,1
3.06667,2
3.07500,3
3.08333,3
3.09167,3
3.10000,3
3.10833,4
3.11667,3
3.12500,2
3.13333,2
3.14167,1
3.15000,1
3.15833,1
3.16667,1
3.17500,2
3.18333,2
3.19167,2
3.20000,2
3.20833,2
3.21667,2
3.22500,2
3.23333,3
3.24167,4
3.25000,3
3.25833,3
3.26667,3
3.27500,4
3.28333,3
3.29167,3
3.30000,3
3.30833,2
3.31667,2
3.32500,2
3.33333,2
3.34167,2
3.35000,2
3.35833,1
3.36667,1
3.37500,1
3.38333,0
3.39167,1
3.40000,1
3.40833,1
3.41667,2
3.42500,2
3.43333,2
3.44167,2
3.45000,2
3.45833,2
3.46667,2
3.47500,2
3.48333,3
3.49167,3
3.50000,3
3.50833,3
3.51667,3
3.52500,3
3.53333,2
3.54167,2
3.55000,2
3.55833,2
3.56667,3
3.57500,3
3.58333,3
3.59167,2
3.60000,2
3.60833,3
3.61667,3
3.62500,4
3.63333,3
3.64167,1
3.65000,1
3.65833,1
3.66667,2
3.67500,3
3.68333,3
3.69167,3
3.70000,3
3.70833,3
3.71667,2
3.72500,2
3.73333,2
3.74167,2
3.75000,2
3.75833,2
3.76667,2
3.77500,2
3.78333,3
3.79167,3
3.80000,3
3.80833,4
3.81667,4
3.82500,4
3.83333,5
3.84167,5
3.85000,4
3.85833,4
3.86667,3
3.87500,3
3.88333,3
3.89167,3
3.90000,3
3.90833,3
3.91667,4
3.92500,4
3.93333,4
3.94167,3
3.95000,3
3.95833,3
3.96667,3
3.97500,3
3.98333,2
3.99167,2
4.00000,2
4.00833,2
4.01667,2
4.02500,3
4.03333,4
4.04167,4
4.05000,4
4.05833,3
4.06667,2
4.07500,2
4.08333,3
4.09167,3
4.10000,3
4.10833,3
4.11667,3
4.12500,3
4.13333,4
4.14167,4
4.15000,4
4.15833,4
4.16667,3
4.17500,2
4.18333,2
4.19167,2
4.20000,2
4.20833,3
4.21667,3
4.22500,3
4.23333,2
4.24167,2
4.25000,3
4.25833,3
