[Header]
Application Name,LabSolutions
Version,5.97 SP1
Data File Name,C:\Users\cremerlab\Desktop\Richa\Sep 9th 2023 scfa yield minimal medium\2.5mM\scfa yield simple medium 2.5mM_982023_001_038.lcd
Output Date,9/10/2023
Output Time,12:57:07 AM

[File Information]
Type,Data File
Generated,9/10/2023 12:06:45 AM
Generated by,System Administrator
Modified,9/10/2023 12:57:07 AM
Modified by,System Administrator

[Sample Information]
Operator Name,System Administrator
Acquired,9/10/2023 12:07:06 AM
Sample Type,0:Unknown
Level,0
Sample Name,230908_B.vulgatus_2_4
Sample ID,001
ISTD Amount1,1
ISTD Amount2,1
ISTD Amount3,1
ISTD Amount4,1
ISTD Amount5,1
ISTD Amount6,1
ISTD Amount7,1
ISTD Amount8,1
ISTD Amount9,1
ISTD Amount10,1
ISTD Amount11,1
ISTD Amount12,1
ISTD Amount13,1
ISTD Amount14,1
ISTD Amount15,1
ISTD Amount16,1
ISTD Amount17,1
ISTD Amount18,1
ISTD Amount19,1
ISTD Amount20,1
ISTD Amount21,1
ISTD Amount22,1
ISTD Amount23,1
ISTD Amount24,1
ISTD Amount25,1
ISTD Amount26,1
ISTD Amount27,1
ISTD Amount28,1
ISTD Amount29,1
ISTD Amount30,1
ISTD Amount31,1
ISTD Amount32,1
Sample Amount,1
Dilution Factor,1
Vial#,37
Injection Volume,20

[Original Files]
Data File,C:\Users\cremerlab\Desktop\Richa\Sep 9th 2023 scfa yield minimal medium\2.5mM\scfa yield simple medium 2.5mM_982023_001_038.lcd
Method File,C:\Users\cremerlab\Desktop\Richa\organic_acids_excretion.lcm
Batch File,C:\Users\cremerlab\Desktop\Richa\Sep 9th 2023 scfa yield minimal medium\2.5mM\scfa yield simple medium 2.5mM.lcb
Report Format File,c:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name,HPLC-PC-Instrument1
Instrument #,1
Line #,1
# of Detectors,2
Detector ID,Detector A,Detector B
Detector Name,Detector A,Detector B
# of Channels,1,1

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),500
# of Points,6001
Start Time(min),0.000
End Time(min),50.000
Intensity Units,mV
Intensity Multiplier,0.001
Wavelength(nm),254nm
R.Time (min),Intensity
0.00000,-5
0.00833,-5
0.01667,-0
0.02500,-1
0.03333,-2
0.04167,-1
0.05000,-1
0.05833,-1
0.06667,-2
0.07500,-3
0.08333,-2
0.09167,-2
0.10000,-3
0.10833,-3
0.11667,-3
0.12500,-3
0.13333,-3
0.14167,-3
0.15000,-3
0.15833,-3
0.16667,-3
0.17500,-3
0.18333,-2
0.19167,-2
0.20000,-2
0.20833,-3
0.21667,-3
0.22500,-3
0.23333,-3
0.24167,-4
0.25000,-4
0.25833,-4
0.26667,-3
0.27500,-3
0.28333,-2
0.29167,-2
0.30000,-2
0.30833,-3
0.31667,-2
0.32500,-2
0.33333,-3
0.34167,-3
0.35000,-4
0.35833,-4
0.36667,-3
0.37500,-2
0.38333,-2
0.39167,-1
0.40000,-1
0.40833,-2
0.41667,-2
0.42500,-3
0.43333,-2
0.44167,-1
0.45000,-1
0.45833,-0
0.46667,0
0.47500,0
0.48333,-1
0.49167,-3
0.50000,-3
0.50833,-4
0.51667,-4
0.52500,-4
0.53333,-4
0.54167,-4
0.55000,-4
0.55833,-4
0.56667,-4
0.57500,-3
0.58333,-3
0.59167,-2
0.60000,-1
0.60833,-2
0.61667,-2
0.62500,-3
0.63333,-2
0.64167,-2
0.65000,-1
0.65833,-2
0.66667,-3
0.67500,-3
0.68333,-3
0.69167,-3
0.70000,-2
0.70833,-1
0.71667,-1
0.72500,-1
0.73333,-1
0.74167,-2
0.75000,-2
0.75833,-2
0.76667,-1
0.77500,-2
0.78333,-3
0.79167,-2
0.80000,-3
0.80833,-3
0.81667,-3
0.82500,-2
0.83333,-3
0.84167,-4
0.85000,-5
0.85833,-5
0.86667,-5
0.87500,-5
0.88333,-5
0.89167,-6
0.90000,-6
0.90833,-5
0.91667,-5
0.92500,-4
0.93333,-4
0.94167,-4
0.95000,-4
0.95833,-3
0.96667,-3
0.97500,-3
0.98333,-3
0.99167,-2
1.00000,-1
1.00833,-2
1.01667,-2
1.02500,-2
1.03333,-2
1.04167,-3
1.05000,-3
1.05833,-3
1.06667,-4
1.07500,-4
1.08333,-4
1.09167,-3
1.10000,-3
1.10833,-4
1.11667,-3
1.12500,-3
1.13333,-3
1.14167,-4
1.15000,-5
1.15833,-5
1.16667,-4
1.17500,-4
1.18333,-5
1.19167,-5
1.20000,-5
1.20833,-5
1.21667,-5
1.22500,-4
1.23333,-4
1.24167,-4
1.25000,-5
1.25833,-5
1.26667,-5
1.27500,-4
1.28333,-4
1.29167,-3
1.30000,-2
1.30833,-1
1.31667,-1
1.32500,-1
1.33333,-2
1.34167,-2
1.35000,-4
1.35833,-4
1.36667,-3
1.37500,-3
1.38333,-2
1.39167,-1
1.40000,-1
1.40833,-1
1.41667,-2
1.42500,-3
1.43333,-3
1.44167,-3
1.45000,-2
1.45833,-2
1.46667,0
1.47500,1
1.48333,-0
1.49167,-1
1.50000,-2
1.50833,-1
1.51667,-1
1.52500,-2
1.53333,-1
1.54167,-1
1.55000,-1
1.55833,-2
1.56667,-2
1.57500,-2
1.58333,-3
1.59167,-4
1.60000,-4
1.60833,-4
1.61667,-4
1.62500,-3
1.63333,-3
1.64167,-1
1.65000,0
1.65833,0
1.66667,-0
1.67500,-2
1.68333,-2
1.69167,-2
1.70000,-2
1.70833,-1
1.71667,-2
1.72500,-2
1.73333,-1
1.74167,-1
1.75000,-1
1.75833,-1
1.76667,-1
1.77500,-1
1.78333,-1
1.79167,-1
1.80000,-1
1.80833,-0
1.81667,0
1.82500,1
1.83333,1
1.84167,1
1.85000,0
1.85833,-0
1.86667,-1
1.87500,0
1.88333,0
1.89167,0
1.90000,1
1.90833,1
1.91667,0
1.92500,-0
1.93333,0
1.94167,-0
1.95000,-1
1.95833,-2
1.96667,-2
1.97500,-2
1.98333,-2
1.99167,-1
2.00000,-1
2.00833,-1
2.01667,-1
2.02500,-1
2.03333,-1
2.04167,-1
2.05000,-1
2.05833,-1
2.06667,-2
2.07500,-2
2.08333,-3
2.09167,-3
2.10000,-3
2.10833,-3
2.11667,-3
2.12500,-3
2.13333,-3
2.14167,-2
2.15000,-2
2.15833,-2
2.16667,-2
2.17500,-2
2.18333,-2
2.19167,-2
2.20000,-1
2.20833,-1
2.21667,-0
2.22500,0
2.23333,1
2.24167,2
2.25000,2
2.25833,2
2.26667,2
2.27500,1
2.28333,1
2.29167,1
2.30000,1
2.30833,1
2.31667,-0
2.32500,-1
2.33333,-1
2.34167,-1
2.35000,-1
2.35833,0
2.36667,0
2.37500,0
2.38333,0
2.39167,-0
2.40000,-0
2.40833,0
2.41667,0
2.42500,-0
2.43333,-0
2.44167,0
2.45000,1
2.45833,0
2.46667,0
2.47500,0
2.48333,-0
2.49167,-1
2.50000,-1
2.50833,-1
2.51667,-1
2.52500,-1
2.53333,-1
2.54167,-1
2.55000,-1
2.55833,-2
2.56667,-1
2.57500,-1
2.58333,-2
2.59167,-3
2.60000,-2
2.60833,-1
2.61667,-0
2.62500,0
2.63333,1
2.64167,1
2.65000,1
2.65833,0
2.66667,-1
2.67500,-1
2.68333,-1
2.69167,-1
2.70000,-1
2.70833,-1
2.71667,-0
2.72500,0
2.73333,0
2.74167,0
2.75000,1
2.75833,1
2.76667,0
2.77500,-1
2.78333,-1
2.79167,-2
2.80000,-3
2.80833,-3
2.81667,-3
2.82500,-3
2.83333,-3
2.84167,-2
2.85000,-1
2.85833,-1
2.86667,-1
2.87500,-0
2.88333,-0
2.89167,-1
2.90000,-1
2.90833,-1
2.91667,-1
2.92500,-1
2.93333,-1
2.94167,-1
2.95000,-1
2.95833,-1
2.96667,-1
2.97500,-2
2.98333,-2
2.99167,-3
3.00000,-2
3.00833,-1
3.01667,-2
3.02500,-2
3.03333,-2
3.04167,-3
3.05000,-3
3.05833,-3
3.06667,-1
3.07500,-0
3.08333,-1
3.09167,-1
3.10000,-1
3.10833,-1
3.11667,-1
3.12500,-1
3.13333,-1
3.14167,-1
3.15000,-1
3.15833,-1
3.16667,0
3.17500,0
3.18333,-0
3.19167,-1
3.20000,-1
3.20833,0
3.21667,0
3.22500,0
3.23333,1
3.24167,1
3.25000,0
3.25833,-0
3.26667,-2
3.27500,-3
3.28333,-3
3.29167,-3
3.30000,-2
3.30833,-1
3.31667,-1
3.32500,-0
3.33333,0
3.34167,0
3.35000,-1
3.35833,-2
3.36667,-2
3.37500,-2
3.38333,-2
3.39167,-2
3.40000,-2
3.40833,-1
3.41667,-1
3.42500,0
3.43333,0
3.44167,0
3.45000,0
3.45833,1
3.46667,1
3.47500,1
3.48333,0
3.49167,-1
3.50000,-1
3.50833,-1
3.51667,-1
3.52500,-1
3.53333,-1
3.54167,-1
3.55000,-1
3.55833,-0
3.56667,-1
3.57500,-2
3.58333,-2
3.59167,-2
3.60000,-2
3.60833,-1
3.61667,-1
3.62500,-1
3.63333,-1
3.64167,-2
3.65000,-2
3.65833,-2
3.66667,-2
3.67500,-1
3.68333,-1
3.69167,-1
3.70000,-1
3.70833,-1
3.71667,-1
3.72500,-1
3.73333,-2
3.74167,-2
3.75000,-3
3.75833,-3
3.76667,-3
3.77500,-3
3.78333,-2
3.79167,-3
3.80000,-3
3.80833,-2
3.81667,-3
3.82500,-3
3.83333,-2
3.84167,-2
3.85000,-2
3.85833,-1
3.86667,-1
3.87500,-0
3.88333,-0
3.89167,-0
3.90000,-1
3.90833,-1
3.91667,-1
3.92500,-1
3.93333,-1
3.94167,-1
3.95000,-1
3.95833,-1
3.96667,-2
3.97500,-2
3.98333,-2
3.99167,-1
4.00000,-2
4.00833,-2
4.01667,-1
4.02500,-1
4.03333,-1
4.04167,-1
4.05000,-1
4.05833,-1
4.06667,-1
4.07500,-1
4.08333,-1
4.09167,-1
4.10000,-1
4.10833,-1
4.11667,-1
4.12500,-0
4.13333,-0
4.14167,-0
4.15000,-0
4.15833,-1
4.16667,-2
4.17500,-2
4.18333,-2
4.19167,-2
4.20000,-3
4.20833,-4
4.21667,-4
4.22500,-4
4.23333,-3
4.24167,-3
4.25000,-2
4.25833,-2
4.26667,-1
4.27500,-1
4.28333,-0
4.29167,-1
4.30000,-2
4.30833,-2
4.31667,-2
4.32500,-2
4.33333,-2
4.34167,-2
4.35000,-2
4.35833,-3
4.36667,-3
4.37500,-2
4.38333,-1
4.39167,-2
4.40000,-3
4.40833,-3
4.41667,-3
4.42500,-2
4.43333,-3
4.44167,-4
4.45000,-5
4.45833,-4
4.46667,-4
4.47500,-4
4.48333,-3
4.49167,-3
4.50000,-3
4.50833,-3
4.51667,-3
4.52500,-3
4.53333,-4
4.54167,-5
4.55000,-5
4.55833,-5
4.56667,-5
4.57500,-4
4.58333,-3
4.59167,-3
4.60000,-3
4.60833,-3
4.61667,-2
4.62500,-2
4.63333,-2
4.64167,-3
4.65000,-4
4.65833,-4
4.66667,-4
4.67500,-4
4.68333,-4
4.69167,-4
4.70000,-4
4.70833,-5
4.71667,-5
4.72500,-4
4.73333,-4
4.74167,-3
4.75000,-2
4.75833,-2
4.76667,-2
4.77500,-1
4.78333,-1
4.79167,-1
4.80000,-1
4.80833,-1
4.81667,-2
4.82500,-2
4.83333,-1
4.84167,-2
4.85000,-3
4.85833,-4
4.86667,-4
4.87500,-4
4.88333,-3
4.89167,-2
4.90000,-1
4.90833,-1
4.91667,-1
4.92500,-2
4.93333,-3
4.94167,-3
