[Header]
Application Name,LabSolutions
Version,5.97 SP1
Data File Name,C:\Users\cremerlab\Desktop\Richa\Sep 9th 2023 scfa yield minimal medium\2.5mM\scfa yield simple medium 2.5mM_982023_001_008.lcd
Output Date,9/8/2023
Output Time,11:45:23 PM

[File Information]
Type,Data File
Generated,9/8/2023 10:55:00 PM
Generated by,System Administrator
Modified,9/8/2023 11:45:22 PM
Modified by,System Administrator

[Sample Information]
Operator Name,System Administrator
Acquired,9/8/2023 10:55:22 PM
Sample Type,0:Unknown
Level,0
Sample Name,230908_NCM3722_2_2
Sample ID,001
ISTD Amount1,1
ISTD Amount2,1
ISTD Amount3,1
ISTD Amount4,1
ISTD Amount5,1
ISTD Amount6,1
ISTD Amount7,1
ISTD Amount8,1
ISTD Amount9,1
ISTD Amount10,1
ISTD Amount11,1
ISTD Amount12,1
ISTD Amount13,1
ISTD Amount14,1
ISTD Amount15,1
ISTD Amount16,1
ISTD Amount17,1
ISTD Amount18,1
ISTD Amount19,1
ISTD Amount20,1
ISTD Amount21,1
ISTD Amount22,1
ISTD Amount23,1
ISTD Amount24,1
ISTD Amount25,1
ISTD Amount26,1
ISTD Amount27,1
ISTD Amount28,1
ISTD Amount29,1
ISTD Amount30,1
ISTD Amount31,1
ISTD Amount32,1
Sample Amount,1
Dilution Factor,1
Vial#,7
Injection Volume,20

[Original Files]
Data File,C:\Users\cremerlab\Desktop\Richa\Sep 9th 2023 scfa yield minimal medium\2.5mM\scfa yield simple medium 2.5mM_982023_001_008.lcd
Method File,C:\Users\cremerlab\Desktop\Richa\organic_acids_excretion.lcm
Batch File,C:\Users\cremerlab\Desktop\Richa\Sep 9th 2023 scfa yield minimal medium\2.5mM\scfa yield simple medium 2.5mM.lcb
Report Format File,c:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name,HPLC-PC-Instrument1
Instrument #,1
Line #,1
# of Detectors,2
Detector ID,Detector A,Detector B
Detector Name,Detector A,Detector B
# of Channels,1,1

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),500
# of Points,6001
Start Time(min),0.000
End Time(min),50.000
Intensity Units,mV
Intensity Multiplier,0.001
Wavelength(nm),254nm
R.Time (min),Intensity
0.00000,7
0.00833,7
0.01667,2
0.02500,-2
0.03333,-3
0.04167,-2
0.05000,-1
0.05833,-1
0.06667,-2
0.07500,-1
0.08333,0
0.09167,1
0.10000,1
0.10833,2
0.11667,2
0.12500,1
0.13333,1
0.14167,-0
0.15000,-1
0.15833,-1
0.16667,-1
0.17500,-0
0.18333,0
0.19167,1
0.20000,0
0.20833,0
0.21667,-0
0.22500,-1
0.23333,-0
0.24167,0
0.25000,1
0.25833,1
0.26667,-1
0.27500,-1
0.28333,-0
0.29167,1
0.30000,0
0.30833,-0
0.31667,-1
0.32500,-1
0.33333,-1
0.34167,-1
0.35000,0
0.35833,1
0.36667,2
0.37500,1
0.38333,0
0.39167,-0
0.40000,-1
0.40833,-1
0.41667,-0
0.42500,-0
0.43333,-0
0.44167,-1
0.45000,-0
0.45833,0
0.46667,0
0.47500,0
0.48333,0
0.49167,0
0.50000,0
0.50833,-0
0.51667,-1
0.52500,-2
0.53333,-2
0.54167,-2
0.55000,-1
0.55833,-1
0.56667,-1
0.57500,-2
0.58333,-2
0.59167,-1
0.60000,-0
0.60833,-1
0.61667,-1
0.62500,-2
0.63333,-2
0.64167,-2
0.65000,-2
0.65833,-2
0.66667,-2
0.67500,-1
0.68333,-1
0.69167,-1
0.70000,-1
0.70833,-2
0.71667,-1
0.72500,-1
0.73333,-1
0.74167,-2
0.75000,-3
0.75833,-2
0.76667,-2
0.77500,-2
0.78333,-0
0.79167,-0
0.80000,-0
0.80833,-1
0.81667,-1
0.82500,-1
0.83333,-1
0.84167,-1
0.85000,-2
0.85833,-2
0.86667,-1
0.87500,-1
0.88333,-1
0.89167,-1
0.90000,-0
0.90833,-1
0.91667,-2
0.92500,-2
0.93333,-2
0.94167,-2
0.95000,-2
0.95833,-1
0.96667,-1
0.97500,-1
0.98333,-1
0.99167,-2
1.00000,-3
1.00833,-4
1.01667,-3
1.02500,-3
1.03333,-3
1.04167,-3
1.05000,-3
1.05833,-3
1.06667,-3
1.07500,-2
1.08333,-2
1.09167,-2
1.10000,-2
1.10833,-3
1.11667,-3
1.12500,-4
1.13333,-3
1.14167,-3
1.15000,-3
1.15833,-2
1.16667,-2
1.17500,-2
1.18333,-2
1.19167,-3
1.20000,-2
1.20833,-2
1.21667,-2
1.22500,-2
1.23333,-2
1.24167,-2
1.25000,-2
1.25833,-3
1.26667,-3
1.27500,-4
1.28333,-5
1.29167,-4
1.30000,-4
1.30833,-5
1.31667,-5
1.32500,-5
1.33333,-5
1.34167,-4
1.35000,-3
1.35833,-4
1.36667,-4
1.37500,-5
1.38333,-5
1.39167,-5
1.40000,-5
1.40833,-5
1.41667,-4
1.42500,-4
1.43333,-5
1.44167,-5
1.45000,-4
1.45833,-3
1.46667,-3
1.47500,-3
1.48333,-4
1.49167,-4
1.50000,-4
1.50833,-3
1.51667,-3
1.52500,-4
1.53333,-5
1.54167,-5
1.55000,-5
1.55833,-4
1.56667,-4
1.57500,-3
1.58333,-4
1.59167,-3
1.60000,-3
1.60833,-4
1.61667,-4
1.62500,-4
1.63333,-4
1.64167,-5
1.65000,-5
1.65833,-4
1.66667,-4
1.67500,-5
1.68333,-5
1.69167,-5
1.70000,-6
1.70833,-5
1.71667,-5
1.72500,-4
1.73333,-4
1.74167,-3
1.75000,-2
1.75833,-3
1.76667,-3
1.77500,-4
1.78333,-4
1.79167,-4
1.80000,-3
1.80833,-4
1.81667,-4
1.82500,-4
1.83333,-4
1.84167,-5
1.85000,-5
1.85833,-5
1.86667,-4
1.87500,-5
1.88333,-5
1.89167,-5
1.90000,-5
1.90833,-5
1.91667,-4
1.92500,-4
1.93333,-5
1.94167,-6
1.95000,-7
1.95833,-7
1.96667,-7
1.97500,-7
1.98333,-7
1.99167,-6
2.00000,-6
2.00833,-5
2.01667,-5
2.02500,-6
2.03333,-6
2.04167,-6
2.05000,-6
2.05833,-5
2.06667,-4
2.07500,-3
2.08333,-3
2.09167,-4
2.10000,-5
2.10833,-6
2.11667,-6
2.12500,-6
2.13333,-6
2.14167,-6
2.15000,-6
2.15833,-5
2.16667,-5
