File Path	chrom://marshall/Chromeleon7/HPLC_Ultimate_3000/Users/markusar/20230531_CMO_stabTest _FP08_FP09.seq/510.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	Chromeleon7
Injection	FP09__7_s2
Injection Number	74
Position	BE1
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	03.06.2023
Injection Time	16:31:26
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.899125
Signal Max.	53.169250
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.036750
0.016667	1	-0.038375
0.033333	1	-0.039375
0.050000	1	-0.040000
0.066667	1	-0.040625
0.083333	1	-0.041250
0.100000	1	-0.041375
0.116667	1	-0.042250
0.133333	1	-0.043750
0.150000	1	-0.044250
0.166667	1	-0.045250
0.183333	1	-0.045875
0.200000	1	-0.046875
0.216667	1	-0.047125
0.233333	1	-0.047875
0.250000	1	-0.048500
0.266667	1	-0.048875
0.283333	1	-0.050375
0.300000	1	-0.053500
0.316667	1	-0.057000
0.333333	1	-0.058875
0.350000	1	-0.058000
0.366667	1	-0.054750
0.383333	1	-0.051000
0.400000	1	-0.047125
0.416667	1	-0.044000
0.433333	1	-0.041250
0.450000	1	-0.039000
0.466667	1	-0.037875
0.483333	1	-0.037750
0.500000	1	-0.039250
0.516667	1	-0.041125
0.533333	1	-0.042875
0.550000	1	-0.044250
0.566667	1	-0.045250
0.583333	1	-0.045500
0.600000	1	-0.045500
0.616667	1	-0.045500
0.633333	1	-0.046000
0.650000	1	-0.046750
0.666667	1	-0.046125
0.683333	1	-0.045875
0.700000	1	-0.045375
0.716667	1	-0.045125
0.733333	1	-0.045125
0.750000	1	-0.044750
0.766667	1	-0.044250
0.783333	1	-0.044000
0.800000	1	-0.043625
0.816667	1	-0.043250
0.833333	1	-0.042500
0.850000	1	-0.042250
0.866667	1	-0.042000
0.883333	1	-0.041125
0.900000	1	-0.040750
0.916667	1	-0.040375
0.933333	1	-0.040125
0.950000	1	-0.039750
0.966667	1	-0.039375
0.983333	1	-0.038625
1.000000	1	-0.038625
1.016667	1	-0.038750
1.033333	1	-0.038875
1.050000	1	-0.038625
1.066667	1	-0.039125
1.083333	1	-0.039250
1.100000	1	-0.039375
1.116667	1	-0.039000
1.133333	1	-0.039625
1.150000	1	-0.040000
1.166667	1	-0.040375
1.183333	1	-0.041375
1.200000	1	-0.041875
1.216667	1	-0.042375
1.233333	1	-0.042500
1.250000	1	-0.043000
1.266667	1	-0.043625
1.283333	1	-0.044375
1.300000	1	-0.045750
1.316667	1	-0.046750
1.333333	1	-0.047000
1.350000	1	-0.047875
1.366667	1	-0.049375
1.383333	1	-0.050625
1.400000	1	-0.051125
1.416667	1	-0.052125
1.433333	1	-0.052625
1.450000	1	-0.053000
1.466667	1	-0.053875
1.483333	1	-0.055000
1.500000	1	-0.055625
1.516667	1	-0.056500
1.533333	1	-0.057375
1.550000	1	-0.058250
1.566667	1	-0.058625
1.583333	1	-0.059625
1.600000	1	-0.060875
1.616667	1	-0.061875
1.633333	1	-0.062125
1.650000	1	-0.063000
1.666667	1	-0.063250
1.683333	1	-0.064250
1.700000	1	-0.065375
1.716667	1	-0.065750
1.733333	1	-0.066125
1.750000	1	-0.067250
1.766667	1	-0.068375
1.783333	1	-0.068250
1.800000	1	-0.069375
1.816667	1	-0.070500
1.833333	1	-0.071625
1.850000	1	-0.071875
1.866667	1	-0.073000
1.883333	1	-0.073375
1.900000	1	-0.074125
1.916667	1	-0.074125
1.933333	1	-0.075500
1.950000	1	-0.076250
1.966667	1	-0.076750
1.983333	1	-0.077250
2.000000	1	-0.078125
2.016667	1	-0.079500
2.033333	1	-0.080250
2.050000	1	-0.080000
2.066667	1	-0.080625
2.083333	1	-0.080875
2.100000	1	-0.081875
2.116667	1	-0.083000
2.133333	1	-0.083000
2.150000	1	-0.083500
2.166667	1	-0.083375
2.183333	1	-0.083500
2.200000	1	-0.083875
2.216667	1	-0.083500
2.233333	1	-0.082875
2.250000	1	-0.082000
2.266667	1	-0.082000
2.283333	1	-0.082000
2.300000	1	-0.081750
2.316667	1	-0.081000
2.333333	1	-0.080000
2.350000	1	-0.079250
2.366667	1	-0.078500
2.383333	1	-0.077250
2.400000	1	-0.075750
2.416667	1	-0.074625
2.433333	1	-0.073375
2.450000	1	-0.071250
2.466667	1	-0.069500
2.483333	1	-0.068750
2.500000	1	-0.066750
2.516667	1	-0.065750
2.533333	1	-0.064125
2.550000	1	-0.062625
2.566667	1	-0.061250
2.583333	1	-0.059625
2.600000	1	-0.058875
2.616667	1	-0.056000
2.633333	1	-0.053625
2.650000	1	-0.052000
2.666667	1	-0.049625
2.683333	1	-0.048250
2.700000	1	-0.046875
2.716667	1	-0.045625
2.733333	1	-0.045125
2.750000	1	-0.043500
2.766667	1	-0.042250
2.783333	1	-0.040625
2.800000	1	-0.039375
2.816667	1	-0.038625
2.833333	1	-0.037750
2.850000	1	-0.036750
2.866667	1	-0.036250
2.883333	1	-0.035500
2.900000	1	-0.035000
2.916667	1	-0.035125
2.933333	1	-0.034375
2.950000	1	-0.034000
2.966667	1	-0.033875
2.983333	1	-0.032875
3.000000	1	-0.032750
3.016667	1	-0.032750
3.033333	1	-0.032375
3.050000	1	-0.032375
3.066667	1	-0.032875
3.083333	1	-0.033000
3.100000	1	-0.033875
3.116667	1	-0.034000
3.133333	1	-0.034250
3.150000	1	-0.034625
3.166667	1	-0.035500
3.183333	1	-0.035375
3.200000	1	-0.035375
3.216667	1	-0.036500
3.233333	1	-0.036750
3.250000	1	-0.037625
3.266667	1	-0.038250
3.283333	1	-0.039500
3.300000	1	-0.040000
3.316667	1	-0.040625
3.333333	1	-0.041000
3.350000	1	-0.041375
3.366667	1	-0.042500
3.383333	1	-0.043125
3.400000	1	-0.043625
3.416667	1	-0.044375
3.433333	1	-0.044875
3.450000	1	-0.046000
3.466667	1	-0.046375
3.483333	1	-0.047750
3.500000	1	-0.048625
3.516667	1	-0.049250
3.533333	1	-0.049500
3.550000	1	-0.050625
3.566667	1	-0.051125
3.583333	1	-0.051875
3.600000	1	-0.052375
3.616667	1	-0.053125
3.633333	1	-0.054000
3.650000	1	-0.055125
3.666667	1	-0.054875
3.683333	1	-0.055000
3.700000	1	-0.055500
3.716667	1	-0.055750
3.733333	1	-0.056500
3.750000	1	-0.056875
3.766667	1	-0.057875
3.783333	1	-0.058375
3.800000	1	-0.058375
3.816667	1	-0.058250
3.833333	1	-0.058375
3.850000	1	-0.058250
3.866667	1	-0.058250
3.883333	1	-0.058125
3.900000	1	-0.058500
