File Path	chrom://marshall/Chromeleon7/HPLC_Ultimate_3000/Users/markusar/20230610_CMO_FP11_FP12.seq/928.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	Chromeleon7
Injection	FP11_7_S2
Injection Number	3
Position	BA2
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	10.06.2023
Injection Time	20:05:48
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-1.195125
Signal Max.	45.871125
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.032000
0.016667	1	-0.031875
0.033333	1	-0.032125
0.050000	1	-0.032375
0.066667	1	-0.032000
0.083333	1	-0.032250
0.100000	1	-0.032000
0.116667	1	-0.031750
0.133333	1	-0.031500
0.150000	1	-0.032000
0.166667	1	-0.031875
0.183333	1	-0.031250
0.200000	1	-0.031000
0.216667	1	-0.031250
0.233333	1	-0.030750
0.250000	1	-0.030750
0.266667	1	-0.030375
0.283333	1	-0.030000
0.300000	1	-0.030250
0.316667	1	-0.031000
0.333333	1	-0.033000
0.350000	1	-0.036125
0.366667	1	-0.038875
0.383333	1	-0.039500
0.400000	1	-0.037500
0.416667	1	-0.034250
0.433333	1	-0.031000
0.450000	1	-0.027750
0.466667	1	-0.025750
0.483333	1	-0.023875
0.500000	1	-0.022500
0.516667	1	-0.020875
0.533333	1	-0.020500
0.550000	1	-0.021875
0.566667	1	-0.024500
0.583333	1	-0.026625
0.600000	1	-0.029125
0.616667	1	-0.030875
0.633333	1	-0.033000
0.650000	1	-0.034000
0.666667	1	-0.035250
0.683333	1	-0.036375
0.700000	1	-0.038375
0.716667	1	-0.039375
0.733333	1	-0.040625
0.750000	1	-0.041875
0.766667	1	-0.043750
0.783333	1	-0.045125
0.800000	1	-0.046375
0.816667	1	-0.047875
0.833333	1	-0.048875
0.850000	1	-0.050500
0.866667	1	-0.051875
0.883333	1	-0.053000
0.900000	1	-0.054375
0.916667	1	-0.056625
0.933333	1	-0.058000
0.950000	1	-0.058750
0.966667	1	-0.059875
0.983333	1	-0.061625
1.000000	1	-0.062875
1.016667	1	-0.063875
1.033333	1	-0.064625
1.050000	1	-0.065625
1.066667	1	-0.066500
1.083333	1	-0.067875
1.100000	1	-0.069500
1.116667	1	-0.070250
1.133333	1	-0.071500
1.150000	1	-0.071750
1.166667	1	-0.072000
1.183333	1	-0.072875
1.200000	1	-0.073750
1.216667	1	-0.074125
1.233333	1	-0.074125
1.250000	1	-0.074250
1.266667	1	-0.074625
1.283333	1	-0.074500
1.300000	1	-0.074625
1.316667	1	-0.075250
1.333333	1	-0.074750
1.350000	1	-0.074750
1.366667	1	-0.074500
1.383333	1	-0.074125
1.400000	1	-0.074125
1.416667	1	-0.074000
1.433333	1	-0.073500
1.450000	1	-0.073125
1.466667	1	-0.073000
1.483333	1	-0.072250
1.500000	1	-0.071375
1.516667	1	-0.070875
1.533333	1	-0.070500
1.550000	1	-0.070000
1.566667	1	-0.070000
1.583333	1	-0.070375
1.600000	1	-0.069875
1.616667	1	-0.069125
1.633333	1	-0.068625
1.650000	1	-0.067875
1.666667	1	-0.067375
1.683333	1	-0.067250
1.700000	1	-0.066875
1.716667	1	-0.066875
1.733333	1	-0.066000
1.750000	1	-0.066125
1.766667	1	-0.065625
1.783333	1	-0.064875
1.800000	1	-0.064250
1.816667	1	-0.063375
1.833333	1	-0.062625
1.850000	1	-0.061750
1.866667	1	-0.061625
1.883333	1	-0.060625
1.900000	1	-0.059750
1.916667	1	-0.058750
1.933333	1	-0.058375
1.950000	1	-0.057500
1.966667	1	-0.057000
1.983333	1	-0.056250
2.000000	1	-0.055750
2.016667	1	-0.055000
2.033333	1	-0.053875
2.050000	1	-0.053250
2.066667	1	-0.053125
2.083333	1	-0.052125
2.100000	1	-0.051250
2.116667	1	-0.050500
2.133333	1	-0.050125
2.150000	1	-0.049500
2.166667	1	-0.049125
2.183333	1	-0.048625
2.200000	1	-0.048500
2.216667	1	-0.047750
2.233333	1	-0.047500
2.250000	1	-0.046875
2.266667	1	-0.047000
2.283333	1	-0.045500
2.300000	1	-0.045125
2.316667	1	-0.044625
2.333333	1	-0.044500
2.350000	1	-0.044750
2.366667	1	-0.044875
2.383333	1	-0.044625
2.400000	1	-0.044875
2.416667	1	-0.044000
2.433333	1	-0.043250
2.450000	1	-0.042875
2.466667	1	-0.043000
2.483333	1	-0.042750
2.500000	1	-0.042125
2.516667	1	-0.042375
2.533333	1	-0.041750
2.550000	1	-0.041500
2.566667	1	-0.040750
2.583333	1	-0.040250
2.600000	1	-0.040250
2.616667	1	-0.039625
2.633333	1	-0.039000
2.650000	1	-0.038125
2.666667	1	-0.037250
2.683333	1	-0.037250
2.700000	1	-0.036125
2.716667	1	-0.035250
2.733333	1	-0.035000
2.750000	1	-0.034250
2.766667	1	-0.033250
2.783333	1	-0.032500
2.800000	1	-0.032500
2.816667	1	-0.032125
2.833333	1	-0.031375
2.850000	1	-0.030500
2.866667	1	-0.029875
2.883333	1	-0.029625
2.900000	1	-0.029000
2.916667	1	-0.028625
2.933333	1	-0.028500
2.950000	1	-0.027375
2.966667	1	-0.027125
2.983333	1	-0.026500
3.000000	1	-0.026250
3.016667	1	-0.026000
3.033333	1	-0.026125
3.050000	1	-0.026250
3.066667	1	-0.026250
3.083333	1	-0.026000
3.100000	1	-0.026500
3.116667	1	-0.026875
3.133333	1	-0.026875
3.150000	1	-0.027000
3.166667	1	-0.027000
3.183333	1	-0.027375
3.200000	1	-0.028000
3.216667	1	-0.028500
3.233333	1	-0.029250
3.250000	1	-0.030000
3.266667	1	-0.030375
3.283333	1	-0.031750
3.300000	1	-0.032625
3.316667	1	-0.033250
3.333333	1	-0.034500
3.350000	1	-0.035375
3.366667	1	-0.037000
3.383333	1	-0.037625
3.400000	1	-0.038250
3.416667	1	-0.038875
3.433333	1	-0.039625
3.450000	1	-0.040500
3.466667	1	-0.041375
3.483333	1	-0.042500
3.500000	1	-0.043875
3.516667	1	-0.045000
3.533333	1	-0.046250
3.550000	1	-0.046750
3.566667	1	-0.046750
3.583333	1	-0.046500
3.600000	1	-0.047500
3.616667	1	-0.047875
3.633333	1	-0.048875
3.650000	1	-0.049500
3.666667	1	-0.049750
3.683333	1	-0.050625
3.700000	1	-0.051000
