File Path	chrom://990-75db15j/XVault/Ultimate_3000/1256/20230531_CMO_stabTest _FP08_FP09.seq/437.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	XVault
Injection	FP09__6_s3
Injection Number	70
Position	BC9
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	03.06.2023
Injection Time	12:51:36
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.438500
Signal Max.	58.378000
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.002500
0.016667	1	0.002625
0.033333	1	0.002875
0.050000	1	0.002875
0.066667	1	0.002375
0.083333	1	0.001750
0.100000	1	0.001125
0.116667	1	0.000750
0.133333	1	0.001125
0.150000	1	0.001250
0.166667	1	0.000750
0.183333	1	0.000000
0.200000	1	0.000375
0.216667	1	0.000375
0.233333	1	0.000250
0.250000	1	0.000250
0.266667	1	0.000750
0.283333	1	0.000750
0.300000	1	-0.001125
0.316667	1	-0.004250
0.333333	1	-0.007250
0.350000	1	-0.007875
0.366667	1	-0.004625
0.383333	1	-0.000500
0.400000	1	0.003375
0.416667	1	0.006750
0.433333	1	0.009625
0.450000	1	0.012000
0.466667	1	0.013875
0.483333	1	0.014375
0.500000	1	0.013375
0.516667	1	0.011375
0.533333	1	0.008875
0.550000	1	0.007750
0.566667	1	0.005750
0.583333	1	0.003875
0.600000	1	0.002500
0.616667	1	0.001500
0.633333	1	0.001250
0.650000	1	0.000750
0.666667	1	0.000750
0.683333	1	0.000250
0.700000	1	0.000000
0.716667	1	-0.001000
0.733333	1	-0.002000
0.750000	1	-0.002250
0.766667	1	-0.002375
0.783333	1	-0.002875
0.800000	1	-0.003875
0.816667	1	-0.004250
0.833333	1	-0.004875
0.850000	1	-0.005750
0.866667	1	-0.006500
0.883333	1	-0.007125
0.900000	1	-0.007750
0.916667	1	-0.008125
0.933333	1	-0.009500
0.950000	1	-0.010625
0.966667	1	-0.012125
0.983333	1	-0.013250
1.000000	1	-0.013750
1.016667	1	-0.015750
1.033333	1	-0.017250
1.050000	1	-0.019375
1.066667	1	-0.020250
1.083333	1	-0.021625
1.100000	1	-0.023000
1.116667	1	-0.024375
1.133333	1	-0.025875
1.150000	1	-0.027750
1.166667	1	-0.029750
1.183333	1	-0.030875
1.200000	1	-0.032250
1.216667	1	-0.033500
1.233333	1	-0.034625
1.250000	1	-0.035750
1.266667	1	-0.036750
1.283333	1	-0.038375
1.300000	1	-0.040250
1.316667	1	-0.041500
1.333333	1	-0.042500
1.350000	1	-0.043375
1.366667	1	-0.045125
1.383333	1	-0.046125
1.400000	1	-0.047000
1.416667	1	-0.048000
1.433333	1	-0.048875
1.450000	1	-0.049750
1.466667	1	-0.050250
1.483333	1	-0.050875
1.500000	1	-0.051750
1.516667	1	-0.052500
1.533333	1	-0.053500
1.550000	1	-0.054375
1.566667	1	-0.054750
1.583333	1	-0.055375
1.600000	1	-0.055125
1.616667	1	-0.055000
