File Path	chrom://marshall/Chromeleon7/HPLC_Ultimate_3000/Users/markusar/20230531_CMO_stabTest _FP08_FP09.seq/904.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	Chromeleon7
Injection	FP09__9_s3
Injection Number	84
Position	BE10
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	03.06.2023
Injection Time	23:21:09
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.629500
Signal Max.	53.285250
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.059750
0.016667	1	-0.060375
0.033333	1	-0.061250
0.050000	1	-0.062375
0.066667	1	-0.063125
0.083333	1	-0.063625
0.100000	1	-0.064750
0.116667	1	-0.065750
0.133333	1	-0.066750
0.150000	1	-0.067875
0.166667	1	-0.068625
0.183333	1	-0.068875
0.200000	1	-0.069000
0.216667	1	-0.069875
0.233333	1	-0.070000
0.250000	1	-0.070000
0.266667	1	-0.069500
0.283333	1	-0.071375
0.300000	1	-0.075000
0.316667	1	-0.078375
0.333333	1	-0.081750
0.350000	1	-0.082000
0.366667	1	-0.078125
0.383333	1	-0.073875
0.400000	1	-0.070375
0.416667	1	-0.067125
0.433333	1	-0.064625
0.450000	1	-0.062875
0.466667	1	-0.061375
0.483333	1	-0.061375
0.500000	1	-0.063375
0.516667	1	-0.065500
0.533333	1	-0.068125
0.550000	1	-0.070375
0.566667	1	-0.071500
0.583333	1	-0.072875
0.600000	1	-0.074125
0.616667	1	-0.075000
0.633333	1	-0.076125
0.650000	1	-0.077000
0.666667	1	-0.077375
0.683333	1	-0.078250
0.700000	1	-0.079500
0.716667	1	-0.079875
0.733333	1	-0.080750
0.750000	1	-0.081750
0.766667	1	-0.082125
0.783333	1	-0.083000
0.800000	1	-0.083500
0.816667	1	-0.084500
0.833333	1	-0.085625
0.850000	1	-0.085500
0.866667	1	-0.085625
0.883333	1	-0.086625
0.900000	1	-0.087625
0.916667	1	-0.088125
0.933333	1	-0.088750
0.950000	1	-0.089375
0.966667	1	-0.089625
0.983333	1	-0.090625
1.000000	1	-0.091500
1.016667	1	-0.092375
1.033333	1	-0.092625
1.050000	1	-0.093125
1.066667	1	-0.093500
1.083333	1	-0.094375
1.100000	1	-0.094500
1.116667	1	-0.095875
1.133333	1	-0.096125
1.150000	1	-0.096125
1.166667	1	-0.096625
1.183333	1	-0.097000
1.200000	1	-0.098000
1.216667	1	-0.098500
