File Path	chrom://marshall/Chromeleon7/HPLC_Ultimate_3000/Users/markusar/20230616_CMO_FP13_14_15.seq/536.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	Chromeleon7
Injection	FP14_8.2_s5
Injection Number	30
Position	BE11
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	17.06.2023
Injection Time	12:16:46
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.265500
Signal Max.	38.270125
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.005500
0.016667	1	-0.006375
0.033333	1	-0.007125
0.050000	1	-0.007250
0.066667	1	-0.007500
0.083333	1	-0.007750
0.100000	1	-0.009000
0.116667	1	-0.009250
0.133333	1	-0.009000
0.150000	1	-0.009875
0.166667	1	-0.010750
0.183333	1	-0.011750
0.200000	1	-0.012250
0.216667	1	-0.013375
0.233333	1	-0.014375
0.250000	1	-0.014375
0.266667	1	-0.015750
0.283333	1	-0.016875
0.300000	1	-0.018375
0.316667	1	-0.019375
0.333333	1	-0.020750
0.350000	1	-0.021125
0.366667	1	-0.022375
0.383333	1	-0.023875
0.400000	1	-0.025125
0.416667	1	-0.026625
0.433333	1	-0.029125
0.450000	1	-0.032500
0.466667	1	-0.036000
0.483333	1	-0.038750
0.500000	1	-0.039500
0.516667	1	-0.038500
0.533333	1	-0.037000
0.550000	1	-0.035375
0.566667	1	-0.034125
0.583333	1	-0.033125
0.600000	1	-0.032000
0.616667	1	-0.031375
0.633333	1	-0.031500
0.650000	1	-0.033000
0.666667	1	-0.035625
0.683333	1	-0.038000
0.700000	1	-0.040750
0.716667	1	-0.043375
0.733333	1	-0.045875
0.750000	1	-0.047875
0.766667	1	-0.050250
0.783333	1	-0.052000
0.800000	1	-0.054125
0.816667	1	-0.055875
0.833333	1	-0.058000
0.850000	1	-0.059500
0.866667	1	-0.061125
0.883333	1	-0.061375
0.900000	1	-0.062625
0.916667	1	-0.063750
0.933333	1	-0.064625
0.950000	1	-0.064625
0.966667	1	-0.066000
0.983333	1	-0.066750
1.000000	1	-0.066875
1.016667	1	-0.068000
1.033333	1	-0.068500
1.050000	1	-0.068750
1.066667	1	-0.070125
1.083333	1	-0.070125
1.100000	1	-0.070500
1.116667	1	-0.070125
1.133333	1	-0.070125
1.150000	1	-0.069750
1.166667	1	-0.069250
1.183333	1	-0.069375
1.200000	1	-0.069500
1.216667	1	-0.069625
1.233333	1	-0.069375
1.250000	1	-0.069375
1.266667	1	-0.069000
1.283333	1	-0.068625
1.300000	1	-0.068500
1.316667	1	-0.068125
1.333333	1	-0.067750
1.350000	1	-0.067500
1.366667	1	-0.066875
1.383333	1	-0.066625
1.400000	1	-0.066250
1.416667	1	-0.066250
1.433333	1	-0.066375
1.450000	1	-0.066250
1.466667	1	-0.065875
1.483333	1	-0.065500
1.500000	1	-0.065500
1.516667	1	-0.065375
1.533333	1	-0.064750
1.550000	1	-0.064500
1.566667	1	-0.063875
1.583333	1	-0.064125
1.600000	1	-0.063750
1.616667	1	-0.063750
1.633333	1	-0.063875
1.650000	1	-0.063625
1.666667	1	-0.063625
1.683333	1	-0.063250
1.700000	1	-0.062750
1.716667	1	-0.062500
1.733333	1	-0.061750
1.750000	1	-0.061875
1.766667	1	-0.061875
1.783333	1	-0.062125
1.800000	1	-0.062250
1.816667	1	-0.062125
1.833333	1	-0.061625
1.850000	1	-0.062125
1.866667	1	-0.062375
1.883333	1	-0.062125
1.900000	1	-0.062375
1.916667	1	-0.062125
1.933333	1	-0.062000
1.950000	1	-0.062625
1.966667	1	-0.062500
1.983333	1	-0.062750
2.000000	1	-0.062750
2.016667	1	-0.062500
2.033333	1	-0.063000
2.050000	1	-0.063250
2.066667	1	-0.063500
2.083333	1	-0.063375
2.100000	1	-0.063625
2.116667	1	-0.063250
2.133333	1	-0.063000
2.150000	1	-0.063000
2.166667	1	-0.062625
2.183333	1	-0.062625
2.200000	1	-0.062750
2.216667	1	-0.062625
2.233333	1	-0.062750
2.250000	1	-0.062125
2.266667	1	-0.062375
2.283333	1	-0.061375
2.300000	1	-0.061375
2.316667	1	-0.061000
2.333333	1	-0.060750
2.350000	1	-0.060750
2.366667	1	-0.059875
2.383333	1	-0.059375
2.400000	1	-0.058750
2.416667	1	-0.058625
2.433333	1	-0.057875
2.450000	1	-0.057125
2.466667	1	-0.055750
2.483333	1	-0.054875
2.500000	1	-0.054000
2.516667	1	-0.053000
2.533333	1	-0.051250
2.550000	1	-0.050500
2.566667	1	-0.049250
2.583333	1	-0.047750
2.600000	1	-0.045875
2.616667	1	-0.044750
2.633333	1	-0.043750
2.650000	1	-0.042875
2.666667	1	-0.041000
2.683333	1	-0.039375
2.700000	1	-0.038125
2.716667	1	-0.036250
2.733333	1	-0.035000
2.750000	1	-0.033500
2.766667	1	-0.031500
2.783333	1	-0.030125
2.800000	1	-0.028750
2.816667	1	-0.027500
2.833333	1	-0.025500
2.850000	1	-0.024250
2.866667	1	-0.022750
2.883333	1	-0.021000
2.900000	1	-0.019125
2.916667	1	-0.017750
2.933333	1	-0.016250
2.950000	1	-0.015250
2.966667	1	-0.014250
2.983333	1	-0.012625
3.000000	1	-0.011375
3.016667	1	-0.010000
3.033333	1	-0.009375
3.050000	1	-0.008500
3.066667	1	-0.007625
3.083333	1	-0.006750
3.100000	1	-0.005625
3.116667	1	-0.005375
3.133333	1	-0.005000
3.150000	1	-0.004250
3.166667	1	-0.004000
3.183333	1	-0.003750
3.200000	1	-0.004000
3.216667	1	-0.003250
3.233333	1	-0.003375
3.250000	1	-0.003500
3.266667	1	-0.003500
3.283333	1	-0.003750
3.300000	1	-0.003875
3.316667	1	-0.004250
3.333333	1	-0.004750
3.350000	1	-0.005375
3.366667	1	-0.005875
3.383333	1	-0.005750
3.400000	1	-0.006625
3.416667	1	-0.007250
3.433333	1	-0.007875
3.450000	1	-0.009000
3.466667	1	-0.009875
3.483333	1	-0.010625
3.500000	1	-0.011125
3.516667	1	-0.012000
3.533333	1	-0.013000
3.550000	1	-0.013750
3.566667	1	-0.014750
3.583333	1	-0.015750
3.600000	1	-0.017000
3.616667	1	-0.017750
3.633333	1	-0.018875
3.650000	1	-0.018875
3.666667	1	-0.020000
3.683333	1	-0.020500
3.700000	1	-0.020875
3.716667	1	-0.021250
3.733333	1	-0.022500
3.750000	1	-0.023500
3.766667	1	-0.023250
3.783333	1	-0.024250
3.800000	1	-0.025375
3.816667	1	-0.025750
3.833333	1	-0.026125
3.850000	1	-0.027000
3.866667	1	-0.027125
3.883333	1	-0.027250
3.900000	1	-0.027875
3.916667	1	-0.028125
3.933333	1	-0.028250
3.950000	1	-0.028625
3.966667	1	-0.028875
3.983333	1	-0.029125
4.000000	1	-0.028625
4.016667	1	-0.029000
4.033333	1	-0.028625
4.050000	1	-0.029125
4.066667	1	-0.029375
4.083333	1	-0.029125
4.100000	1	-0.028875
4.116667	1	-0.028750
4.133333	1	-0.028375
4.150000	1	-0.028125
4.166667	1	-0.028125
4.183333	1	-0.028125
4.200000	1	-0.028375
4.216667	1	-0.027875
4.233333	1	-0.027375
4.250000	1	-0.026875
4.266667	1	-0.026625
4.283333	1	-0.026000
4.300000	1	-0.024875
4.316667	1	-0.024000
4.333333	1	-0.023625
4.350000	1	-0.023000
4.366667	1	-0.023125
4.383333	1	-0.022500
4.400000	1	-0.022000
4.416667	1	-0.021125
4.433333	1	-0.020250
4.450000	1	-0.019875
4.466667	1	-0.019375
4.483333	1	-0.018500
4.500000	1	-0.017750
4.516667	1	-0.017500
4.533333	1	-0.017375
4.550000	1	-0.017375
4.566667	1	-0.016625
4.583333	1	-0.016125
4.600000	1	-0.015125
4.616667	1	-0.014375
4.633333	1	-0.014250
4.650000	1	-0.014375
4.666667	1	-0.013375
4.683333	1	-0.013125
4.700000	1	-0.012875
4.716667	1	-0.012250
4.733333	1	-0.011750
4.750000	1	-0.011875
4.766667	1	-0.011000
4.783333	1	-0.010750
4.800000	1	-0.010250
4.816667	1	-0.009750
4.833333	1	-0.008875
4.850000	1	-0.009250
4.866667	1	-0.008500
4.883333	1	-0.008000
4.900000	1	-0.007500
4.916667	1	-0.006250
4.933333	1	-0.006125
4.950000	1	-0.005875
4.966667	1	-0.005625
4.983333	1	-0.004750
5.000000	1	-0.004250
5.016667	1	-0.003500
5.033333	1	-0.002625
5.050000	1	-0.002375
5.066667	1	-0.001750
5.083333	1	-0.001000
5.100000	1	-0.000125
5.116667	1	0.000625
5.133333	1	0.002125
5.150000	1	0.003250
5.166667	1	0.004375
5.183333	1	0.004875
5.200000	1	0.005625
5.216667	1	0.006250
5.233333	1	0.007500
5.250000	1	0.008875
5.266667	1	0.010000
5.283333	1	0.011500
5.300000	1	0.012750
5.316667	1	0.014250
5.333333	1	0.016125
5.350000	1	0.017875
5.366667	1	0.020000
5.383333	1	0.021375
5.400000	1	0.022750
5.416667	1	0.023500
5.433333	1	0.025000
5.450000	1	0.027125
5.466667	1	0.029000
5.483333	1	0.030125
5.500000	1	0.031500
5.516667	1	0.032875
5.533333	1	0.034375
5.550000	1	0.035875
5.566667	1	0.037750
5.583333	1	0.039250
5.600000	1	0.040750
5.616667	1	0.041375
5.633333	1	0.041500
5.650000	1	0.042500
5.666667	1	0.043250
5.683333	1	0.043875
5.700000	1	0.044000
5.716667	1	0.044375
5.733333	1	0.044250
5.750000	1	0.045125
5.766667	1	0.044500
5.783333	1	0.044500
5.800000	1	0.044875
5.816667	1	0.045125
5.833333	1	0.045125
5.850000	1	0.044750
5.866667	1	0.043750
5.883333	1	0.043625
5.900000	1	0.042375
5.916667	1	0.042000
5.933333	1	0.041625
5.950000	1	0.040125
5.966667	1	0.039500
5.983333	1	0.038375
6.000000	1	0.037000
6.016667	1	0.036250
6.033333	1	0.035500
6.050000	1	0.034625
6.066667	1	0.034250
6.083333	1	0.033375
6.100000	1	0.032750
6.116667	1	0.032250
6.133333	1	0.031250
6.150000	1	0.030625
6.166667	1	0.030125
6.183333	1	0.029500
6.200000	1	0.028875
6.216667	1	0.028375
6.233333	1	0.027500
6.250000	1	0.026875
6.266667	1	0.026625
6.283333	1	0.025625
6.300000	1	0.025500
6.316667	1	0.025250
6.333333	1	0.024875
6.350000	1	0.024375
6.366667	1	0.024250
6.383333	1	0.024625
6.400000	1	0.024250
6.416667	1	0.024750
6.433333	1	0.024500
6.450000	1	0.024250
6.466667	1	0.023875
6.483333	1	0.024125
6.500000	1	0.023875
6.516667	1	0.023750
6.533333	1	0.023750
6.550000	1	0.024000
6.566667	1	0.024750
6.583333	1	0.025125
6.600000	1	0.026125
6.616667	1	0.027000
6.633333	1	0.027875
6.650000	1	0.028250
6.666667	1	0.028875
6.683333	1	0.030625
6.700000	1	0.031000
6.716667	1	0.032625
6.733333	1	0.033625
6.750000	1	0.034500
6.766667	1	0.035750
6.783333	1	0.036500
6.800000	1	0.037625
6.816667	1	0.039000
6.833333	1	0.040375
6.850000	1	0.042000
6.866667	1	0.043500
6.883333	1	0.045500
6.900000	1	0.047000
6.916667	1	0.048500
6.933333	1	0.049875
6.950000	1	0.051000
6.966667	1	0.052750
6.983333	1	0.054000
7.000000	1	0.054875
7.016667	1	0.056125
7.033333	1	0.057875
7.050000	1	0.059375
7.066667	1	0.060625
7.083333	1	0.062250
7.100000	1	0.062875
7.116667	1	0.064000
7.133333	1	0.064375
7.150000	1	0.064875
7.166667	1	0.065625
7.183333	1	0.066375
7.200000	1	0.066875
7.216667	1	0.066375
7.233333	1	0.066000
7.250000	1	0.065750
7.266667	1	0.065250
7.283333	1	0.065500
7.300000	1	0.065250
