File Path	chrom://990-75db15j/XVault/Ultimate_3000/1256/20230531_CMO_stabTest _FP08_FP09.seq/326.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	XVault
Injection	FP08_1_s3
Injection Number	26
Position	BD4
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	02.06.2023
Injection Time	05:49:04
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.586750
Signal Max.	54.955125
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.034875
0.016667	1	-0.035250
0.033333	1	-0.035375
0.050000	1	-0.035750
0.066667	1	-0.036000
0.083333	1	-0.036250
0.100000	1	-0.036125
0.116667	1	-0.035750
0.133333	1	-0.036250
0.150000	1	-0.035875
0.166667	1	-0.036125
0.183333	1	-0.036375
0.200000	1	-0.036125
0.216667	1	-0.035250
0.233333	1	-0.035000
0.250000	1	-0.035125
0.266667	1	-0.035125
0.283333	1	-0.035625
0.300000	1	-0.037375
0.316667	1	-0.041000
0.333333	1	-0.043750
0.350000	1	-0.043875
0.366667	1	-0.041125
0.383333	1	-0.037125
0.400000	1	-0.033500
0.416667	1	-0.030375
0.433333	1	-0.027625
0.450000	1	-0.024500
0.466667	1	-0.022125
0.483333	1	-0.021625
0.500000	1	-0.022750
0.516667	1	-0.025125
0.533333	1	-0.026875
0.550000	1	-0.029250
0.566667	1	-0.031125
0.583333	1	-0.033000
0.600000	1	-0.034375
0.616667	1	-0.034875
0.633333	1	-0.035375
0.650000	1	-0.035875
0.666667	1	-0.037125
0.683333	1	-0.038125
0.700000	1	-0.038375
0.716667	1	-0.039000
0.733333	1	-0.039125
0.750000	1	-0.039875
0.766667	1	-0.040125
0.783333	1	-0.040000
0.800000	1	-0.039625
0.816667	1	-0.039500
0.833333	1	-0.039375
0.850000	1	-0.039125
0.866667	1	-0.038625
0.883333	1	-0.038750
0.900000	1	-0.038625
0.916667	1	-0.039125
0.933333	1	-0.039000
0.950000	1	-0.039125
0.966667	1	-0.039000
0.983333	1	-0.039500
1.000000	1	-0.039625
1.016667	1	-0.039625
1.033333	1	-0.040125
1.050000	1	-0.040875
1.066667	1	-0.040500
1.083333	1	-0.041250
1.100000	1	-0.041875
1.116667	1	-0.043125
1.133333	1	-0.043375
1.150000	1	-0.043875
1.166667	1	-0.044875
1.183333	1	-0.046125
1.200000	1	-0.047125
1.216667	1	-0.048250
1.233333	1	-0.048875
1.250000	1	-0.049625
1.266667	1	-0.050000
1.283333	1	-0.050500
1.300000	1	-0.051500
1.316667	1	-0.053375
1.333333	1	-0.054000
1.350000	1	-0.055125
1.366667	1	-0.056500
1.383333	1	-0.057625
1.400000	1	-0.058625
1.416667	1	-0.059250
1.433333	1	-0.060125
1.450000	1	-0.060875
1.466667	1	-0.061625
1.483333	1	-0.062000
1.500000	1	-0.062625
1.516667	1	-0.063625
1.533333	1	-0.064625
1.550000	1	-0.064875
1.566667	1	-0.065625
1.583333	1	-0.065750
1.600000	1	-0.066125
1.616667	1	-0.067000
1.633333	1	-0.066500
1.650000	1	-0.066625
1.666667	1	-0.067250
1.683333	1	-0.067750
1.700000	1	-0.067750
1.716667	1	-0.068000
1.733333	1	-0.067875
1.750000	1	-0.068250
1.766667	1	-0.068625
1.783333	1	-0.068875
1.800000	1	-0.068125
1.816667	1	-0.067625
1.833333	1	-0.066875
1.850000	1	-0.067125
1.866667	1	-0.067000
1.883333	1	-0.066500
1.900000	1	-0.066250
1.916667	1	-0.066125
1.933333	1	-0.065250
1.950000	1	-0.064375
1.966667	1	-0.063625
1.983333	1	-0.062875
2.000000	1	-0.061500
2.016667	1	-0.061000
2.033333	1	-0.059875
2.050000	1	-0.059000
2.066667	1	-0.058375
2.083333	1	-0.057000
2.100000	1	-0.055875
2.116667	1	-0.054875
2.133333	1	-0.053375
2.150000	1	-0.052625
2.166667	1	-0.051875
2.183333	1	-0.050375
2.200000	1	-0.049125
2.216667	1	-0.047500
2.233333	1	-0.046125
2.250000	1	-0.043875
2.266667	1	-0.042500
2.283333	1	-0.041375
2.300000	1	-0.039625
2.316667	1	-0.038625
2.333333	1	-0.037375
2.350000	1	-0.035500
2.366667	1	-0.034250
2.383333	1	-0.033125
2.400000	1	-0.031750
2.416667	1	-0.031500
2.433333	1	-0.030375
2.450000	1	-0.029125
2.466667	1	-0.027250
2.483333	1	-0.025750
2.500000	1	-0.023750
2.516667	1	-0.022375
2.533333	1	-0.021250
2.550000	1	-0.019500
2.566667	1	-0.018375
2.583333	1	-0.017250
2.600000	1	-0.015750
2.616667	1	-0.013625
2.633333	1	-0.011875
2.650000	1	-0.011000
2.666667	1	-0.010000
2.683333	1	-0.009625
2.700000	1	-0.008500
2.716667	1	-0.007125
2.733333	1	-0.006750
2.750000	1	-0.006500
2.766667	1	-0.006500
2.783333	1	-0.006125
2.800000	1	-0.005250
2.816667	1	-0.004625
2.833333	1	-0.004625
2.850000	1	-0.004375
2.866667	1	-0.003625
2.883333	1	-0.003250
2.900000	1	-0.004250
2.916667	1	-0.004000
2.933333	1	-0.003750
2.950000	1	-0.003625
2.966667	1	-0.004000
2.983333	1	-0.004250
3.000000	1	-0.003625
3.016667	1	-0.003625
3.033333	1	-0.004000
3.050000	1	-0.004375
3.066667	1	-0.004250
3.083333	1	-0.004250
3.100000	1	-0.004750
3.116667	1	-0.005500
3.133333	1	-0.005875
3.150000	1	-0.006000
3.166667	1	-0.005875
3.183333	1	-0.005500
3.200000	1	-0.005375
3.216667	1	-0.004750
3.233333	1	-0.003625
3.250000	1	-0.003375
3.266667	1	-0.003250
3.283333	1	-0.003125
3.300000	1	-0.002375
3.316667	1	-0.002500
3.333333	1	-0.002625
3.350000	1	-0.002250
3.366667	1	-0.002000
3.383333	1	-0.002000
3.400000	1	-0.000750
3.416667	1	-0.000500
3.433333	1	-0.000375
3.450000	1	0.000125
3.466667	1	0.000625
3.483333	1	0.001125
3.500000	1	0.001250
3.516667	1	0.001375
3.533333	1	0.001000
3.550000	1	0.000750
3.566667	1	0.000125
3.583333	1	-0.000125
3.600000	1	-0.000125
3.616667	1	-0.000375
3.633333	1	-0.000500
3.650000	1	-0.001250
3.666667	1	-0.001625
3.683333	1	-0.002625
3.700000	1	-0.003250
3.716667	1	-0.003875
3.733333	1	-0.004750
3.750000	1	-0.006000
3.766667	1	-0.006750
3.783333	1	-0.007500
3.800000	1	-0.008250
3.816667	1	-0.009125
3.833333	1	-0.009875
3.850000	1	-0.010500
3.866667	1	-0.011250
3.883333	1	-0.012250
3.900000	1	-0.013375
3.916667	1	-0.014125
3.933333	1	-0.014625
3.950000	1	-0.014875
3.966667	1	-0.015625
3.983333	1	-0.016750
4.000000	1	-0.017625
4.016667	1	-0.017875
4.033333	1	-0.017875
4.050000	1	-0.018875
4.066667	1	-0.019625
4.083333	1	-0.020500
4.100000	1	-0.021125
4.116667	1	-0.021750
4.133333	1	-0.023250
4.150000	1	-0.023875
4.166667	1	-0.024625
4.183333	1	-0.025625
4.200000	1	-0.026500
4.216667	1	-0.027250
4.233333	1	-0.028750
4.250000	1	-0.029750
4.266667	1	-0.031000
4.283333	1	-0.032375
4.300000	1	-0.033250
4.316667	1	-0.035125
4.333333	1	-0.036500
4.350000	1	-0.037250
4.366667	1	-0.038000
4.383333	1	-0.038875
4.400000	1	-0.039750
4.416667	1	-0.040375
4.433333	1	-0.040875
4.450000	1	-0.041875
4.466667	1	-0.042375
4.483333	1	-0.042875
4.500000	1	-0.043250
4.516667	1	-0.043125
4.533333	1	-0.043625
4.550000	1	-0.043750
4.566667	1	-0.043750
4.583333	1	-0.043250
4.600000	1	-0.043375
4.616667	1	-0.043500
4.633333	1	-0.042875
4.650000	1	-0.042125
4.666667	1	-0.041500
4.683333	1	-0.040750
4.700000	1	-0.040125
4.716667	1	-0.039125
4.733333	1	-0.038375
4.750000	1	-0.037375
4.766667	1	-0.036625
4.783333	1	-0.035375
4.800000	1	-0.034375
4.816667	1	-0.032500
4.833333	1	-0.030375
4.850000	1	-0.029375
4.866667	1	-0.027875
4.883333	1	-0.026875
4.900000	1	-0.025375
4.916667	1	-0.023250
4.933333	1	-0.021375
4.950000	1	-0.019250
4.966667	1	-0.017125
4.983333	1	-0.015125
5.000000	1	-0.012375
5.016667	1	-0.009750
5.033333	1	-0.006875
5.050000	1	-0.005250
5.066667	1	-0.002750
5.083333	1	-0.000500
5.100000	1	0.001750
5.116667	1	0.004375
5.133333	1	0.007125
5.150000	1	0.009500
5.166667	1	0.011750
5.183333	1	0.014125
5.200000	1	0.017125
5.216667	1	0.019625
5.233333	1	0.021875
5.250000	1	0.024125
5.266667	1	0.026625
5.283333	1	0.029250
5.300000	1	0.032000
5.316667	1	0.034250
5.333333	1	0.036000
5.350000	1	0.037625
5.366667	1	0.039625
5.383333	1	0.041750
5.400000	1	0.043125
5.416667	1	0.044125
5.433333	1	0.045875
5.450000	1	0.047125
