File Path	chrom://990-75db15j/XVault/Ultimate_3000/1256/20230531_CMO_stabTest _FP08_FP09.seq/668.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	XVault
Injection	FP09_1_s5
Injection Number	59
Position	BB11
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	03.06.2023
Injection Time	05:20:55
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.561375
Signal Max.	51.754750
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.084250
0.016667	1	-0.084750
0.033333	1	-0.085250
0.050000	1	-0.085500
0.066667	1	-0.085375
0.083333	1	-0.085250
0.100000	1	-0.084500
0.116667	1	-0.084250
0.133333	1	-0.084375
0.150000	1	-0.084500
0.166667	1	-0.084750
0.183333	1	-0.085125
0.200000	1	-0.084250
0.216667	1	-0.084375
0.233333	1	-0.083750
0.250000	1	-0.083375
0.266667	1	-0.083375
0.283333	1	-0.084625
0.300000	1	-0.087500
0.316667	1	-0.090375
0.333333	1	-0.091625
0.350000	1	-0.089625
0.366667	1	-0.085250
0.383333	1	-0.080500
0.400000	1	-0.075875
0.416667	1	-0.072625
0.433333	1	-0.069125
0.450000	1	-0.066375
0.466667	1	-0.064375
0.483333	1	-0.064125
0.500000	1	-0.065000
0.516667	1	-0.066375
0.533333	1	-0.067625
0.550000	1	-0.068750
0.566667	1	-0.068875
0.583333	1	-0.069125
0.600000	1	-0.069625
0.616667	1	-0.070000
0.633333	1	-0.069875
0.650000	1	-0.069750
0.666667	1	-0.070250
0.683333	1	-0.069875
0.700000	1	-0.069750
0.716667	1	-0.070125
0.733333	1	-0.070250
0.750000	1	-0.070250
0.766667	1	-0.070250
0.783333	1	-0.070625
0.800000	1	-0.071625
0.816667	1	-0.071500
0.833333	1	-0.071625
0.850000	1	-0.072375
0.866667	1	-0.072000
0.883333	1	-0.072375
0.900000	1	-0.072750
0.916667	1	-0.073750
0.933333	1	-0.074375
0.950000	1	-0.074750
0.966667	1	-0.075625
0.983333	1	-0.075875
1.000000	1	-0.076250
1.016667	1	-0.076000
1.033333	1	-0.076125
1.050000	1	-0.077000
1.066667	1	-0.077500
1.083333	1	-0.077875
1.100000	1	-0.077125
1.116667	1	-0.077625
1.133333	1	-0.077875
1.150000	1	-0.078500
1.166667	1	-0.078625
1.183333	1	-0.078250
1.200000	1	-0.078000
1.216667	1	-0.078250
1.233333	1	-0.078375
1.250000	1	-0.077875
1.266667	1	-0.078625
1.283333	1	-0.078375
1.300000	1	-0.078625
1.316667	1	-0.079125
1.333333	1	-0.079500
1.350000	1	-0.079750
1.366667	1	-0.079750
1.383333	1	-0.079750
1.400000	1	-0.080000
1.416667	1	-0.080875
1.433333	1	-0.081625
1.450000	1	-0.081875
1.466667	1	-0.081625
1.483333	1	-0.081250
1.500000	1	-0.081500
1.516667	1	-0.082250
1.533333	1	-0.082750
1.550000	1	-0.083500
1.566667	1	-0.083875
1.583333	1	-0.084875
1.600000	1	-0.085875
1.616667	1	-0.085875
1.633333	1	-0.086000
1.650000	1	-0.085750
1.666667	1	-0.086625
1.683333	1	-0.087625
1.700000	1	-0.088125
1.716667	1	-0.089500
1.733333	1	-0.089875
1.750000	1	-0.090500
1.766667	1	-0.091625
1.783333	1	-0.092500
1.800000	1	-0.093000
1.816667	1	-0.093125
1.833333	1	-0.094000
1.850000	1	-0.095000
1.866667	1	-0.095750
1.883333	1	-0.096500
1.900000	1	-0.097500
1.916667	1	-0.098250
1.933333	1	-0.098625
1.950000	1	-0.098750
1.966667	1	-0.099875
1.983333	1	-0.100500
2.000000	1	-0.101125
2.016667	1	-0.101875
2.033333	1	-0.102500
2.050000	1	-0.102000
2.066667	1	-0.102875
2.083333	1	-0.103125
2.100000	1	-0.103250
2.116667	1	-0.103375
2.133333	1	-0.104000
2.150000	1	-0.104000
2.166667	1	-0.103625
2.183333	1	-0.103000
2.200000	1	-0.102500
2.216667	1	-0.102125
2.233333	1	-0.101250
2.250000	1	-0.100250
2.266667	1	-0.099375
2.283333	1	-0.098625
2.300000	1	-0.098250
2.316667	1	-0.097250
2.333333	1	-0.096500
2.350000	1	-0.095250
2.366667	1	-0.094250
2.383333	1	-0.093250
2.400000	1	-0.091375
2.416667	1	-0.090625
2.433333	1	-0.088875
2.450000	1	-0.087125
2.466667	1	-0.086625
2.483333	1	-0.085375
2.500000	1	-0.084125
2.516667	1	-0.083000
2.533333	1	-0.081250
2.550000	1	-0.080125
2.566667	1	-0.079125
2.583333	1	-0.077750
2.600000	1	-0.076625
2.616667	1	-0.075250
2.633333	1	-0.074375
2.650000	1	-0.073000
2.666667	1	-0.072250
2.683333	1	-0.071750
2.700000	1	-0.071500
2.716667	1	-0.070375
2.733333	1	-0.070000
2.750000	1	-0.070000
2.766667	1	-0.070000
2.783333	1	-0.069500
2.800000	1	-0.069000
2.816667	1	-0.068750
2.833333	1	-0.068500
2.850000	1	-0.068750
2.866667	1	-0.068500
2.883333	1	-0.068750
2.900000	1	-0.069125
2.916667	1	-0.068750
2.933333	1	-0.068375
2.950000	1	-0.068875
2.966667	1	-0.068250
2.983333	1	-0.068625
3.000000	1	-0.068625
3.016667	1	-0.068875
3.033333	1	-0.068750
3.050000	1	-0.068625
3.066667	1	-0.068875
3.083333	1	-0.069250
3.100000	1	-0.069125
3.116667	1	-0.069625
3.133333	1	-0.069625
3.150000	1	-0.069250
3.166667	1	-0.069500
3.183333	1	-0.069375
3.200000	1	-0.069250
3.216667	1	-0.069500
3.233333	1	-0.069625
3.250000	1	-0.069875
3.266667	1	-0.069875
3.283333	1	-0.069875
3.300000	1	-0.069750
3.316667	1	-0.069500
3.333333	1	-0.070375
3.350000	1	-0.070750
3.366667	1	-0.070875
3.383333	1	-0.070500
3.400000	1	-0.070750
3.416667	1	-0.070750
3.433333	1	-0.071000
3.450000	1	-0.071500
3.466667	1	-0.071875
3.483333	1	-0.072250
3.500000	1	-0.072625
3.516667	1	-0.072250
3.533333	1	-0.072750
3.550000	1	-0.073125
3.566667	1	-0.073375
3.583333	1	-0.073500
3.600000	1	-0.074375
3.616667	1	-0.074250
3.633333	1	-0.074250
3.650000	1	-0.074125
3.666667	1	-0.074000
3.683333	1	-0.074250
3.700000	1	-0.073625
3.716667	1	-0.073125
3.733333	1	-0.072625
3.750000	1	-0.072750
3.766667	1	-0.072375
3.783333	1	-0.072000
3.800000	1	-0.072000
3.816667	1	-0.071750
3.833333	1	-0.071625
3.850000	1	-0.070625
3.866667	1	-0.070125
3.883333	1	-0.069875
3.900000	1	-0.070000
3.916667	1	-0.069750
3.933333	1	-0.069125
3.950000	1	-0.068750
3.966667	1	-0.068500
3.983333	1	-0.067875
4.000000	1	-0.067625
4.016667	1	-0.067500
4.033333	1	-0.067000
4.050000	1	-0.066500
4.066667	1	-0.065875
4.083333	1	-0.066000
4.100000	1	-0.065750
4.116667	1	-0.065875
4.133333	1	-0.065250
4.150000	1	-0.065375
4.166667	1	-0.065500
4.183333	1	-0.065000
4.200000	1	-0.064750
4.216667	1	-0.064125
4.233333	1	-0.064000
4.250000	1	-0.063750
4.266667	1	-0.063625
4.283333	1	-0.063625
4.300000	1	-0.063125
4.316667	1	-0.063875
4.333333	1	-0.064000
4.350000	1	-0.064000
4.366667	1	-0.064000
4.383333	1	-0.063750
4.400000	1	-0.064000
4.416667	1	-0.063750
4.433333	1	-0.063500
4.450000	1	-0.063625
4.466667	1	-0.064000
4.483333	1	-0.063875
4.500000	1	-0.063250
4.516667	1	-0.062875
4.533333	1	-0.062500
4.550000	1	-0.062000
4.566667	1	-0.061625
4.583333	1	-0.061000
4.600000	1	-0.060750
4.616667	1	-0.060500
4.633333	1	-0.059500
4.650000	1	-0.058500
4.666667	1	-0.057250
4.683333	1	-0.056375
4.700000	1	-0.055000
4.716667	1	-0.053500
4.733333	1	-0.051750
4.750000	1	-0.050375
4.766667	1	-0.048875
4.783333	1	-0.046625
4.800000	1	-0.044750
4.816667	1	-0.042250
4.833333	1	-0.041125
4.850000	1	-0.038625
4.866667	1	-0.037000
4.883333	1	-0.034750
4.900000	1	-0.032625
4.916667	1	-0.030250
4.933333	1	-0.027750
4.950000	1	-0.025750
4.966667	1	-0.023750
4.983333	1	-0.021875
5.000000	1	-0.019875
5.016667	1	-0.018125
5.033333	1	-0.016125
5.050000	1	-0.015250
5.066667	1	-0.014250
5.083333	1	-0.013125
5.100000	1	-0.011500
5.116667	1	-0.010250
5.133333	1	-0.009250
5.150000	1	-0.008625
5.166667	1	-0.008125
5.183333	1	-0.007500
5.200000	1	-0.007000
5.216667	1	-0.006875
5.233333	1	-0.006625
5.250000	1	-0.006250
5.266667	1	-0.006625
5.283333	1	-0.006125
5.300000	1	-0.006250
5.316667	1	-0.006625
5.333333	1	-0.006875
5.350000	1	-0.007750
5.366667	1	-0.008250
5.383333	1	-0.008000
5.400000	1	-0.008625
