URL	chrom://7040-86g6c92/XVault/Ultimate_3000/20/20240517_CMO_FP23_FP25_MarkusDeplate.seq/801.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	XVault
Sequence	20240517_CMO_FP23_FP25_MarkusDeplate
Name	FP23_19.3_s4
Number	40
Position	BD4
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Inject Time	28.05.2024 20:40:13 +02:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-1.066750
Signal Max.	60.495125
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.007750
0.016667	1	-0.006000
0.033333	1	-0.004250
0.050000	1	-0.002375
0.066667	1	-0.000125
0.083333	1	0.001250
0.100000	1	0.003000
0.116667	1	0.005375
0.133333	1	0.006375
0.150000	1	0.007500
0.166667	1	0.008875
0.183333	1	0.010000
0.200000	1	0.011375
0.216667	1	0.012250
0.233333	1	0.013500
0.250000	1	0.014125
0.266667	1	0.014875
0.283333	1	0.015000
0.300000	1	0.015750
0.316667	1	0.016125
0.333333	1	0.016125
0.350000	1	0.016125
0.366667	1	0.015750
0.383333	1	0.015000
0.400000	1	0.013875
0.416667	1	0.013500
0.433333	1	0.014000
0.450000	1	0.015875
0.466667	1	0.017250
0.483333	1	0.019250
0.500000	1	0.020375
0.516667	1	0.021000
0.533333	1	0.020625
0.550000	1	0.020000
0.566667	1	0.018750
0.583333	1	0.016875
0.600000	1	0.014125
0.616667	1	0.012125
0.633333	1	0.010000
0.650000	1	0.008000
0.666667	1	0.007000
0.683333	1	0.006500
0.700000	1	0.006125
0.716667	1	0.005750
0.733333	1	0.005750
0.750000	1	0.005125
0.766667	1	0.005125
0.783333	1	0.005000
0.800000	1	0.004875
0.816667	1	0.004750
0.833333	1	0.004875
0.850000	1	0.005125
0.866667	1	0.005875
0.883333	1	0.006750
0.900000	1	0.006625
0.916667	1	0.006875
0.933333	1	0.007625
0.950000	1	0.008000
0.966667	1	0.008000
0.983333	1	0.007875
1.000000	1	0.007625
1.016667	1	0.007250
1.033333	1	0.006875
1.050000	1	0.006750
1.066667	1	0.005750
1.083333	1	0.005500
1.100000	1	0.005625
1.116667	1	0.005750
1.133333	1	0.005000
1.150000	1	0.004750
1.166667	1	0.003875
1.183333	1	0.003000
1.200000	1	0.002625
1.216667	1	0.002125
1.233333	1	0.001125
1.250000	1	0.000125
1.266667	1	-0.000250
1.283333	1	-0.000500
1.300000	1	-0.000500
1.316667	1	-0.000875
1.333333	1	-0.001500
1.350000	1	-0.002375
1.366667	1	-0.002875
1.383333	1	-0.003375
1.400000	1	-0.003250
1.416667	1	-0.002625
1.433333	1	-0.002250
1.450000	1	-0.002000
1.466667	1	-0.001125
1.483333	1	-0.001375
1.500000	1	-0.000750
1.516667	1	0.000000
1.533333	1	0.001125
1.550000	1	0.002500
1.566667	1	0.003500
1.583333	1	0.004750
1.600000	1	0.005750
1.616667	1	0.007250
1.633333	1	0.008250
1.650000	1	0.009625
1.666667	1	0.010875
1.683333	1	0.012000
1.700000	1	0.013125
1.716667	1	0.014125
1.733333	1	0.015125
1.750000	1	0.016250
1.766667	1	0.016000
1.783333	1	0.016125
1.800000	1	0.016375
1.816667	1	0.016625
1.833333	1	0.016625
1.850000	1	0.017125
1.866667	1	0.016500
1.883333	1	0.015875
