URL	chrom://7040-86g6c92/XVault/Ultimate_3000/20/20240517_CMO_FP23_FP25_MarkusDeplate.seq/857.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	XVault
Sequence	20240517_CMO_FP23_FP25_MarkusDeplate
Name	FP23_21_s1
Number	18
Position	BB6
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Inject Time	28.05.2024 05:38:46 +02:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-1.033375
Signal Max.	71.154125
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.039250
0.016667	1	0.040250
0.033333	1	0.041750
0.050000	1	0.043000
0.066667	1	0.044750
0.083333	1	0.046875
0.100000	1	0.048375
0.116667	1	0.049875
0.133333	1	0.051000
0.150000	1	0.052625
0.166667	1	0.053875
0.183333	1	0.055750
0.200000	1	0.057000
0.216667	1	0.057875
0.233333	1	0.059000
0.250000	1	0.059750
0.266667	1	0.061000
0.283333	1	0.061875
0.300000	1	0.063250
0.316667	1	0.064000
0.333333	1	0.064500
0.350000	1	0.064750
0.366667	1	0.063625
0.383333	1	0.063500
0.400000	1	0.063125
0.416667	1	0.063125
0.433333	1	0.064875
0.450000	1	0.066375
0.466667	1	0.069250
0.483333	1	0.071375
0.500000	1	0.072250
0.516667	1	0.072625
0.533333	1	0.071875
0.550000	1	0.072000
0.566667	1	0.071125
0.583333	1	0.069625
0.600000	1	0.067125
0.616667	1	0.064125
0.633333	1	0.062250
0.650000	1	0.060250
0.666667	1	0.059125
0.683333	1	0.058875
0.700000	1	0.057875
0.716667	1	0.057375
0.733333	1	0.056875
0.750000	1	0.056375
0.766667	1	0.056125
0.783333	1	0.056625
0.800000	1	0.056375
0.816667	1	0.056625
0.833333	1	0.056125
0.850000	1	0.056375
0.866667	1	0.056250
0.883333	1	0.056000
0.900000	1	0.056000
0.916667	1	0.056000
0.933333	1	0.056250
0.950000	1	0.056000
0.966667	1	0.056250
0.983333	1	0.055750
1.000000	1	0.055875
1.016667	1	0.055875
1.033333	1	0.055625
1.050000	1	0.055750
1.066667	1	0.056125
1.083333	1	0.055750
1.100000	1	0.055500
1.116667	1	0.055125
1.133333	1	0.054750
1.150000	1	0.053875
1.166667	1	0.054500
1.183333	1	0.054125
1.200000	1	0.053750
1.216667	1	0.054000
1.233333	1	0.053625
1.250000	1	0.052750
1.266667	1	0.053000
1.283333	1	0.052500
1.300000	1	0.052625
1.316667	1	0.051750
1.333333	1	0.051375
1.350000	1	0.050625
1.366667	1	0.050375
1.383333	1	0.050125
1.400000	1	0.049375
1.416667	1	0.049000
1.433333	1	0.048625
1.450000	1	0.048000
1.466667	1	0.046500
1.483333	1	0.045375
1.500000	1	0.045000
1.516667	1	0.044750
1.533333	1	0.043500
1.550000	1	0.042875
1.566667	1	0.042125
1.583333	1	0.041625
1.600000	1	0.040750
1.616667	1	0.039750
1.633333	1	0.038875
1.650000	1	0.038375
1.666667	1	0.037750
1.683333	1	0.036750
1.700000	1	0.035625
1.716667	1	0.035375
1.733333	1	0.034375
1.750000	1	0.034125
1.766667	1	0.034125
1.783333	1	0.033625
1.800000	1	0.032500
1.816667	1	0.031875
1.833333	1	0.031500
1.850000	1	0.031500
1.866667	1	0.031500
1.883333	1	0.030625
1.900000	1	0.029750
1.916667	1	0.029375
1.933333	1	0.029500
1.950000	1	0.029250
1.966667	1	0.029250
1.983333	1	0.028875
2.000000	1	0.028250
2.016667	1	0.028625
2.033333	1	0.028875
2.050000	1	0.028625
2.066667	1	0.028500
2.083333	1	0.028375
2.100000	1	0.028125
2.116667	1	0.027875
2.133333	1	0.027500
2.150000	1	0.028000
2.166667	1	0.027500
2.183333	1	0.026875
2.200000	1	0.026625
2.216667	1	0.026250
2.233333	1	0.026375
2.250000	1	0.026000
2.266667	1	0.025875
2.283333	1	0.025875
2.300000	1	0.025750
2.316667	1	0.026125
2.333333	1	0.025375
2.350000	1	0.024250
2.366667	1	0.023875
2.383333	1	0.023875
2.400000	1	0.022750
2.416667	1	0.022375
2.433333	1	0.022000
2.450000	1	0.021375
2.466667	1	0.020500
2.483333	1	0.020000
2.500000	1	0.019125
2.516667	1	0.018250
2.533333	1	0.017250
2.550000	1	0.016000
2.566667	1	0.015000
2.583333	1	0.013750
2.600000	1	0.013625
2.616667	1	0.013250
2.633333	1	0.012375
2.650000	1	0.011500
2.666667	1	0.011000
2.683333	1	0.010375
2.700000	1	0.009000
2.716667	1	0.008375
2.733333	1	0.007500
2.750000	1	0.007000
2.766667	1	0.007000
2.783333	1	0.006625
2.800000	1	0.006250
2.816667	1	0.006750
2.833333	1	0.006750
2.850000	1	0.006500
2.866667	1	0.006875
2.883333	1	0.007625
2.900000	1	0.007750
2.916667	1	0.007625
2.933333	1	0.008125
2.950000	1	0.009250
2.966667	1	0.009625
2.983333	1	0.009875
3.000000	1	0.010250
3.016667	1	0.010750
3.033333	1	0.011125
3.050000	1	0.012125
3.066667	1	0.012125
3.083333	1	0.012375
3.100000	1	0.012250
3.116667	1	0.012500
3.133333	1	0.011500
3.150000	1	0.010750
3.166667	1	0.010500
3.183333	1	0.010125
3.200000	1	0.009750
3.216667	1	0.009250
3.233333	1	0.008375
3.250000	1	0.007500
3.266667	1	0.006500
3.283333	1	0.005000
3.300000	1	0.004125
3.316667	1	0.002750
3.333333	1	0.002625
3.350000	1	0.002000
3.366667	1	0.001375
3.383333	1	0.001125
3.400000	1	0.001125
3.416667	1	0.001625
3.433333	1	0.001875
3.450000	1	0.002125
3.466667	1	0.002500
3.483333	1	0.003375
3.500000	1	0.004625
3.516667	1	0.005875
3.533333	1	0.007000
3.550000	1	0.008375
3.566667	1	0.010625
3.583333	1	0.012875
3.600000	1	0.015125
3.616667	1	0.017375
3.633333	1	0.019750
3.650000	1	0.021625
3.666667	1	0.023875
3.683333	1	0.026000
3.700000	1	0.028375
3.716667	1	0.030875
3.733333	1	0.033875
3.750000	1	0.036375
3.766667	1	0.038875
3.783333	1	0.041375
3.800000	1	0.044000
3.816667	1	0.046500
3.833333	1	0.048500
3.850000	1	0.050250
3.866667	1	0.052125
3.883333	1	0.054375
3.900000	1	0.056000
3.916667	1	0.058000
3.933333	1	0.060250
3.950000	1	0.061375
3.966667	1	0.062750
3.983333	1	0.063375
4.000000	1	0.064250
4.016667	1	0.064500
4.033333	1	0.065375
4.050000	1	0.066125
4.066667	1	0.066500
4.083333	1	0.066375
4.100000	1	0.066000
4.116667	1	0.066250
4.133333	1	0.065000
4.150000	1	0.064125
4.166667	1	0.063875
4.183333	1	0.063750
4.200000	1	0.063125
4.216667	1	0.062750
4.233333	1	0.062375
4.250000	1	0.062125
4.266667	1	0.060750
4.283333	1	0.060125
4.300000	1	0.058750
4.316667	1	0.058500
4.333333	1	0.057750
4.350000	1	0.057750
4.366667	1	0.056750
4.383333	1	0.056500
4.400000	1	0.055500
4.416667	1	0.055750
4.433333	1	0.055875
4.450000	1	0.055875
4.466667	1	0.054875
4.483333	1	0.054375
4.500000	1	0.053500
4.516667	1	0.054000
4.533333	1	0.054250
4.550000	1	0.053625
4.566667	1	0.054375
4.583333	1	0.054375
4.600000	1	0.055000
4.616667	1	0.055500
4.633333	1	0.055750
4.650000	1	0.055625
4.666667	1	0.055500
4.683333	1	0.055875
4.700000	1	0.056000
4.716667	1	0.056250
4.733333	1	0.056500
4.750000	1	0.056750
4.766667	1	0.056750
4.783333	1	0.057875
4.800000	1	0.058000
4.816667	1	0.059500
4.833333	1	0.059875
4.850000	1	0.060375
4.866667	1	0.060750
4.883333	1	0.061875
4.900000	1	0.063375
4.916667	1	0.064500
4.933333	1	0.065750
4.950000	1	0.066750
4.966667	1	0.068375
4.983333	1	0.069000
5.000000	1	0.070500
5.016667	1	0.072250
5.033333	1	0.074000
5.050000	1	0.075875
5.066667	1	0.077375
5.083333	1	0.079375
5.100000	1	0.081750
5.116667	1	0.084250
5.133333	1	0.086750
5.150000	1	0.089500
5.166667	1	0.091750
5.183333	1	0.094500
5.200000	1	0.098250
5.216667	1	0.102000
5.233333	1	0.105750
5.250000	1	0.109625
5.266667	1	0.113750
5.283333	1	0.117750
5.300000	1	0.122375
5.316667	1	0.126500
5.333333	1	0.131000
5.350000	1	0.135625
5.366667	1	0.141250
5.383333	1	0.146500
5.400000	1	0.152000
5.416667	1	0.157750
5.433333	1	0.162500
5.450000	1	0.168625
5.466667	1	0.174375
5.483333	1	0.180625
5.500000	1	0.186625
5.516667	1	0.192375
5.533333	1	0.198500
5.550000	1	0.204250
5.566667	1	0.209375
5.583333	1	0.215000
5.600000	1	0.220625
5.616667	1	0.225875
5.633333	1	0.230625
5.650000	1	0.234875
5.666667	1	0.239625
5.683333	1	0.244125
5.700000	1	0.248000
5.716667	1	0.252000
5.733333	1	0.255750
5.750000	1	0.259250
5.766667	1	0.262500
5.783333	1	0.265625
5.800000	1	0.267875
5.816667	1	0.269500
5.833333	1	0.271500
5.850000	1	0.273125
5.866667	1	0.274000
5.883333	1	0.274625
5.900000	1	0.274875
5.916667	1	0.275750
5.933333	1	0.276875
