URL	chrom://7040-86g6c92/XVault/Ultimate_3000/20/20240517_CMO_FP23_FP25_MarkusDeplate.seq/797.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	XVault
Sequence	20240517_CMO_FP23_FP25_MarkusDeplate
Name	FP23_24_s1
Number	25
Position	BC1
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Inject Time	28.05.2024 10:25:36 +02:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-1.459375
Signal Max.	68.241000
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.029750
0.016667	1	-0.027750
0.033333	1	-0.025375
0.050000	1	-0.023250
0.066667	1	-0.021125
0.083333	1	-0.018375
0.100000	1	-0.016000
0.116667	1	-0.014375
0.133333	1	-0.012250
0.150000	1	-0.010375
0.166667	1	-0.008125
0.183333	1	-0.006375
0.200000	1	-0.005875
0.216667	1	-0.005125
0.233333	1	-0.004875
0.250000	1	-0.004250
0.266667	1	-0.003875
0.283333	1	-0.004125
0.300000	1	-0.003625
0.316667	1	-0.003250
0.333333	1	-0.003875
0.350000	1	-0.004375
0.366667	1	-0.006125
0.383333	1	-0.007875
0.400000	1	-0.009875
0.416667	1	-0.010250
0.433333	1	-0.009875
0.450000	1	-0.009375
0.466667	1	-0.008625
0.483333	1	-0.007375
0.500000	1	-0.007500
0.516667	1	-0.008500
0.533333	1	-0.009875
0.550000	1	-0.010625
0.566667	1	-0.012500
0.583333	1	-0.015000
0.600000	1	-0.018250
0.616667	1	-0.022000
0.633333	1	-0.025500
0.650000	1	-0.028250
0.666667	1	-0.030625
0.683333	1	-0.032625
0.700000	1	-0.033750
0.716667	1	-0.035000
0.733333	1	-0.035875
0.750000	1	-0.037625
0.766667	1	-0.038500
0.783333	1	-0.040750
0.800000	1	-0.041625
0.816667	1	-0.043375
0.833333	1	-0.044750
0.850000	1	-0.046125
0.866667	1	-0.046625
0.883333	1	-0.047375
0.900000	1	-0.048250
0.916667	1	-0.048875
0.933333	1	-0.049375
0.950000	1	-0.050000
0.966667	1	-0.051000
0.983333	1	-0.050750
1.000000	1	-0.050875
1.016667	1	-0.050625
1.033333	1	-0.050375
1.050000	1	-0.050000
1.066667	1	-0.049625
1.083333	1	-0.048500
1.100000	1	-0.047875
1.116667	1	-0.047750
1.133333	1	-0.047250
1.150000	1	-0.046500
1.166667	1	-0.045875
1.183333	1	-0.045000
1.200000	1	-0.044250
1.216667	1	-0.043500
1.233333	1	-0.042500
1.250000	1	-0.041875
1.266667	1	-0.040250
1.283333	1	-0.038625
1.300000	1	-0.037125
1.316667	1	-0.036125
1.333333	1	-0.035000
1.350000	1	-0.034000
1.366667	1	-0.032000
1.383333	1	-0.030875
1.400000	1	-0.028625
1.416667	1	-0.027000
1.433333	1	-0.025125
1.450000	1	-0.024625
1.466667	1	-0.023375
1.483333	1	-0.021875
1.500000	1	-0.020625
1.516667	1	-0.019500
1.533333	1	-0.018250
1.550000	1	-0.017500
1.566667	1	-0.016875
1.583333	1	-0.015625
1.600000	1	-0.014375
1.616667	1	-0.013125
1.633333	1	-0.012000
1.650000	1	-0.011000
1.666667	1	-0.010500
1.683333	1	-0.010250
1.700000	1	-0.009500
1.716667	1	-0.009500
1.733333	1	-0.009375
1.750000	1	-0.009125
1.766667	1	-0.009250
1.783333	1	-0.009000
1.800000	1	-0.009500
1.816667	1	-0.010250
1.833333	1	-0.010250
1.850000	1	-0.010500
1.866667	1	-0.011000
1.883333	1	-0.010875
1.900000	1	-0.010625
1.916667	1	-0.011000
1.933333	1	-0.010875
1.950000	1	-0.011125
1.966667	1	-0.011000
1.983333	1	-0.010250
2.000000	1	-0.009250
2.016667	1	-0.008250
2.033333	1	-0.007500
2.050000	1	-0.006125
2.066667	1	-0.004500
2.083333	1	-0.003375
2.100000	1	-0.002250
2.116667	1	-0.001125
2.133333	1	-0.000125
2.150000	1	0.000875
2.166667	1	0.003125
2.183333	1	0.004625
2.200000	1	0.005250
2.216667	1	0.005875
2.233333	1	0.007000
2.250000	1	0.007375
2.266667	1	0.008250
2.283333	1	0.009375
2.300000	1	0.010000
2.316667	1	0.009875
2.333333	1	0.009250
2.350000	1	0.008750
2.366667	1	0.008000
2.383333	1	0.007250
2.400000	1	0.006125
2.416667	1	0.004750
2.433333	1	0.002875
2.450000	1	0.001375
2.466667	1	-0.000250
2.483333	1	-0.002250
2.500000	1	-0.004875
2.516667	1	-0.007500
2.533333	1	-0.010875
2.550000	1	-0.013500
2.566667	1	-0.015875
2.583333	1	-0.018125
2.600000	1	-0.021125
2.616667	1	-0.023375
2.633333	1	-0.027125
2.650000	1	-0.030250
2.666667	1	-0.033000
2.683333	1	-0.035750
2.700000	1	-0.038125
2.716667	1	-0.040875
2.733333	1	-0.043500
2.750000	1	-0.046250
2.766667	1	-0.048375
2.783333	1	-0.050500
2.800000	1	-0.052750
2.816667	1	-0.054125
2.833333	1	-0.055875
2.850000	1	-0.057250
2.866667	1	-0.057750
2.883333	1	-0.058125
2.900000	1	-0.058750
2.916667	1	-0.059000
2.933333	1	-0.059625
2.950000	1	-0.059625
2.966667	1	-0.059125
2.983333	1	-0.058500
3.000000	1	-0.057625
3.016667	1	-0.056250
3.033333	1	-0.055500
3.050000	1	-0.053750
3.066667	1	-0.051875
3.083333	1	-0.050000
3.100000	1	-0.048375
3.116667	1	-0.046000
3.133333	1	-0.044000
3.150000	1	-0.041750
3.166667	1	-0.039875
3.183333	1	-0.037250
3.200000	1	-0.035125
3.216667	1	-0.032750
3.233333	1	-0.030500
3.250000	1	-0.027625
3.266667	1	-0.025875
3.283333	1	-0.024375
3.300000	1	-0.023125
3.316667	1	-0.021750
3.333333	1	-0.020000
3.350000	1	-0.018750
3.366667	1	-0.018000
3.383333	1	-0.017000
3.400000	1	-0.016500
3.416667	1	-0.016000
3.433333	1	-0.015500
3.450000	1	-0.014750
3.466667	1	-0.013875
3.483333	1	-0.014000
3.500000	1	-0.013625
3.516667	1	-0.014125
3.533333	1	-0.014125
3.550000	1	-0.014250
3.566667	1	-0.014500
3.583333	1	-0.014500
3.600000	1	-0.014250
3.616667	1	-0.013750
3.633333	1	-0.013625
3.650000	1	-0.013250
3.666667	1	-0.012625
3.683333	1	-0.012000
3.700000	1	-0.011750
3.716667	1	-0.011250
3.733333	1	-0.011000
3.750000	1	-0.010500
