URL	chrom://7040-86g6c92/XVault/Ultimate_3000/20/20240517_CMO_FP23_FP25_MarkusDeplate.seq/695.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	XVault
Sequence	20240517_CMO_FP23_FP25_MarkusDeplate
Name	FP25_21_s1
Number	74
Position	BG2
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Inject Time	29.05.2024 20:33:58 +02:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.987875
Signal Max.	67.741750
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.001375
0.016667	1	0.001000
0.033333	1	0.001125
0.050000	1	0.001250
0.066667	1	0.001000
0.083333	1	0.001625
0.100000	1	0.001500
0.116667	1	0.001875
0.133333	1	0.001500
0.150000	1	0.000875
0.166667	1	0.000375
0.183333	1	0.000250
0.200000	1	0.000000
0.216667	1	0.000125
0.233333	1	-0.000250
0.250000	1	0.000000
0.266667	1	-0.000750
0.283333	1	-0.000250
0.300000	1	-0.000125
0.316667	1	-0.000125
0.333333	1	0.000000
0.350000	1	0.000000
0.366667	1	-0.000500
0.383333	1	-0.001125
0.400000	1	-0.001500
0.416667	1	-0.000625
0.433333	1	0.001000
0.450000	1	0.003625
0.466667	1	0.007125
0.483333	1	0.009500
0.500000	1	0.012000
0.516667	1	0.012750
0.533333	1	0.014125
0.550000	1	0.014750
0.566667	1	0.014875
0.583333	1	0.013875
0.600000	1	0.012125
0.616667	1	0.010250
0.633333	1	0.009125
0.650000	1	0.008750
0.666667	1	0.009000
0.683333	1	0.009375
0.700000	1	0.009375
0.716667	1	0.009875
0.733333	1	0.009500
0.750000	1	0.009750
0.766667	1	0.009625
0.783333	1	0.009250
0.800000	1	0.009625
0.816667	1	0.009750
0.833333	1	0.009375
0.850000	1	0.008625
0.866667	1	0.008375
0.883333	1	0.007750
0.900000	1	0.008000
0.916667	1	0.007500
0.933333	1	0.006500
0.950000	1	0.006375
0.966667	1	0.005625
0.983333	1	0.005250
1.000000	1	0.004250
1.016667	1	0.003375
1.033333	1	0.002750
1.050000	1	0.002875
1.066667	1	0.002375
1.083333	1	0.001750
1.100000	1	0.000750
1.116667	1	0.000250
1.133333	1	0.000000
1.150000	1	0.000125
1.166667	1	0.000250
1.183333	1	0.000625
1.200000	1	0.001250
1.216667	1	0.002125
1.233333	1	0.002000
1.250000	1	0.002500
1.266667	1	0.003875
1.283333	1	0.004375
1.300000	1	0.005500
1.316667	1	0.006625
1.333333	1	0.008500
1.350000	1	0.008875
1.366667	1	0.009625
1.383333	1	0.010625
1.400000	1	0.011750
1.416667	1	0.012125
1.433333	1	0.013375
1.450000	1	0.014500
1.466667	1	0.016375
1.483333	1	0.017125
1.500000	1	0.018000
1.516667	1	0.019125
1.533333	1	0.019625
1.550000	1	0.020750
1.566667	1	0.021250
1.583333	1	0.021500
1.600000	1	0.022125
1.616667	1	0.023000
1.633333	1	0.023625
1.650000	1	0.024375
1.666667	1	0.025250
1.683333	1	0.026000
1.700000	1	0.026250
1.716667	1	0.026500
1.733333	1	0.026625
1.750000	1	0.026500
1.766667	1	0.026625
1.783333	1	0.026375
1.800000	1	0.026500
1.816667	1	0.025875
1.833333	1	0.025625
1.850000	1	0.024625
1.866667	1	0.024500
1.883333	1	0.023500
1.900000	1	0.022750
1.916667	1	0.021125
1.933333	1	0.019875
1.950000	1	0.018625
1.966667	1	0.017375
1.983333	1	0.015875
2.000000	1	0.014875
2.016667	1	0.013250
2.033333	1	0.012500
2.050000	1	0.011250
2.066667	1	0.009625
2.083333	1	0.007625
2.100000	1	0.006000
2.116667	1	0.004125
2.133333	1	0.002250
2.150000	1	0.000500
2.166667	1	-0.001000
2.183333	1	-0.002750
2.200000	1	-0.004375
2.216667	1	-0.005750
2.233333	1	-0.007375
2.250000	1	-0.008875
2.266667	1	-0.010625
2.283333	1	-0.012625
2.300000	1	-0.014000
2.316667	1	-0.015625
2.333333	1	-0.017625
2.350000	1	-0.018875
2.366667	1	-0.020500
2.383333	1	-0.022375
2.400000	1	-0.024000
2.416667	1	-0.024625
2.433333	1	-0.025500
2.450000	1	-0.025625
2.466667	1	-0.026375
2.483333	1	-0.027625
2.500000	1	-0.028375
2.516667	1	-0.029125
2.533333	1	-0.029125
2.550000	1	-0.029750
2.566667	1	-0.030125
2.583333	1	-0.030750
2.600000	1	-0.031000
2.616667	1	-0.031625
2.633333	1	-0.031750
2.650000	1	-0.032125
2.666667	1	-0.032625
2.683333	1	-0.033000
2.700000	1	-0.033000
2.716667	1	-0.032750
2.733333	1	-0.032625
2.750000	1	-0.032875
2.766667	1	-0.033375
2.783333	1	-0.033375
2.800000	1	-0.033625
2.816667	1	-0.033125
2.833333	1	-0.032500
2.850000	1	-0.032500
2.866667	1	-0.031750
2.883333	1	-0.031875
2.900000	1	-0.031000
2.916667	1	-0.030375
2.933333	1	-0.029625
2.950000	1	-0.029125
2.966667	1	-0.028375
2.983333	1	-0.026875
3.000000	1	-0.027000
3.016667	1	-0.025750
3.033333	1	-0.024625
3.050000	1	-0.023750
3.066667	1	-0.023000
3.083333	1	-0.022125
3.100000	1	-0.021125
3.116667	1	-0.019625
3.133333	1	-0.018250
3.150000	1	-0.017000
3.166667	1	-0.015625
3.183333	1	-0.014000
3.200000	1	-0.012875
3.216667	1	-0.011875
3.233333	1	-0.010500
3.250000	1	-0.009000
3.266667	1	-0.007750
3.283333	1	-0.006500
