URL	chrom://7040-86g6c92/XVault/Ultimate_3000/20/20240517_CMO_FP23_FP25_MarkusDeplate.seq/900.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	XVault
Sequence	20240517_CMO_FP23_FP25_MarkusDeplate
Name	FP25_22.1_s2
Number	71
Position	BF11
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Inject Time	29.05.2024 18:31:02 +02:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-1.224000
Signal Max.	62.359000
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.150000
0.016667	1	-0.150625
0.033333	1	-0.151750
0.050000	1	-0.152750
0.066667	1	-0.153625
0.083333	1	-0.153750
0.100000	1	-0.155000
0.116667	1	-0.156125
0.133333	1	-0.156250
0.150000	1	-0.157125
0.166667	1	-0.157625
0.183333	1	-0.157875
0.200000	1	-0.157875
0.216667	1	-0.158125
0.233333	1	-0.158000
0.250000	1	-0.158750
0.266667	1	-0.158875
0.283333	1	-0.159000
0.300000	1	-0.158625
0.316667	1	-0.158750
0.333333	1	-0.159000
0.350000	1	-0.159875
0.366667	1	-0.160750
0.383333	1	-0.161375
0.400000	1	-0.161625
0.416667	1	-0.161625
0.433333	1	-0.160500
0.450000	1	-0.158625
0.466667	1	-0.157000
0.483333	1	-0.155375
0.500000	1	-0.154000
0.516667	1	-0.153375
0.533333	1	-0.153000
0.550000	1	-0.153250
0.566667	1	-0.153750
0.583333	1	-0.154500
0.600000	1	-0.156250
0.616667	1	-0.158500
0.633333	1	-0.160875
0.650000	1	-0.162000
0.666667	1	-0.163000
0.683333	1	-0.163375
0.700000	1	-0.163500
0.716667	1	-0.163375
0.733333	1	-0.163500
0.750000	1	-0.163125
0.766667	1	-0.163500
0.783333	1	-0.163125
0.800000	1	-0.163000
0.816667	1	-0.162625
0.833333	1	-0.162250
0.850000	1	-0.161250
0.866667	1	-0.160750
0.883333	1	-0.160000
0.900000	1	-0.159375
0.916667	1	-0.158625
0.933333	1	-0.158375
0.950000	1	-0.158000
0.966667	1	-0.157125
0.983333	1	-0.156375
1.000000	1	-0.156000
1.016667	1	-0.155500
1.033333	1	-0.154625
1.050000	1	-0.153375
1.066667	1	-0.152250
1.083333	1	-0.151750
1.100000	1	-0.150625
1.116667	1	-0.150250
1.133333	1	-0.150125
1.150000	1	-0.149250
1.166667	1	-0.149000
1.183333	1	-0.149000
1.200000	1	-0.149000
1.216667	1	-0.148500
1.233333	1	-0.149000
1.250000	1	-0.148875
1.266667	1	-0.148625
1.283333	1	-0.149625
1.300000	1	-0.149625
1.316667	1	-0.150125
1.333333	1	-0.150125
1.350000	1	-0.151125
1.366667	1	-0.152750
1.383333	1	-0.153000
1.400000	1	-0.153250
1.416667	1	-0.153625
1.433333	1	-0.154250
1.450000	1	-0.154500
1.466667	1	-0.155250
1.483333	1	-0.155500
1.500000	1	-0.155875
1.516667	1	-0.156375
1.533333	1	-0.157000
1.550000	1	-0.156750
1.566667	1	-0.156125
1.583333	1	-0.156375
1.600000	1	-0.156625
1.616667	1	-0.156125
1.633333	1	-0.156500
1.650000	1	-0.156375
1.666667	1	-0.156250
1.683333	1	-0.155875
1.700000	1	-0.155500
1.716667	1	-0.155250
1.733333	1	-0.154750
1.750000	1	-0.154375
1.766667	1	-0.154500
1.783333	1	-0.154125
1.800000	1	-0.153625
1.816667	1	-0.153500
1.833333	1	-0.153000
1.850000	1	-0.152250
1.866667	1	-0.152250
1.883333	1	-0.152250
1.900000	1	-0.152625
1.916667	1	-0.152500
1.933333	1	-0.152125
1.950000	1	-0.152375
1.966667	1	-0.152625
1.983333	1	-0.152625
2.000000	1	-0.153000
2.016667	1	-0.153125
2.033333	1	-0.153750
2.050000	1	-0.154250
2.066667	1	-0.154750
2.083333	1	-0.154375
2.100000	1	-0.154875
2.116667	1	-0.155375
2.133333	1	-0.156000
2.150000	1	-0.156625
2.166667	1	-0.156750
2.183333	1	-0.157375
2.200000	1	-0.157750
2.216667	1	-0.158500
2.233333	1	-0.158375
2.250000	1	-0.158625
2.266667	1	-0.158000
2.283333	1	-0.158250
2.300000	1	-0.158875
2.316667	1	-0.158875
2.333333	1	-0.157750
2.350000	1	-0.158375
2.366667	1	-0.158125
2.383333	1	-0.157750
2.400000	1	-0.157250
2.416667	1	-0.157000
2.433333	1	-0.157125
2.450000	1	-0.157000
2.466667	1	-0.156875
2.483333	1	-0.156625
2.500000	1	-0.156625
2.516667	1	-0.156375
2.533333	1	-0.156125
2.550000	1	-0.156375
2.566667	1	-0.156000
2.583333	1	-0.155250
2.600000	1	-0.155750
2.616667	1	-0.155125
2.633333	1	-0.154750
2.650000	1	-0.154500
2.666667	1	-0.155000
2.683333	1	-0.154750
2.700000	1	-0.154750
2.716667	1	-0.154375
2.733333	1	-0.154750
2.750000	1	-0.154625
2.766667	1	-0.155375
2.783333	1	-0.154500
2.800000	1	-0.154500
2.816667	1	-0.154500
2.833333	1	-0.154250
2.850000	1	-0.154250
2.866667	1	-0.154250
2.883333	1	-0.154375
2.900000	1	-0.155125
2.916667	1	-0.154250
2.933333	1	-0.154250
2.950000	1	-0.154750
2.966667	1	-0.154875
2.983333	1	-0.155125
3.000000	1	-0.155625
3.016667	1	-0.155500
3.033333	1	-0.156000
3.050000	1	-0.156500
3.066667	1	-0.156250
3.083333	1	-0.156250
3.100000	1	-0.156375
3.116667	1	-0.156625
3.133333	1	-0.156625
3.150000	1	-0.157625
3.166667	1	-0.158000
3.183333	1	-0.157750
3.200000	1	-0.158750
3.216667	1	-0.160125
3.233333	1	-0.160375
3.250000	1	-0.160250
3.266667	1	-0.160750
3.283333	1	-0.161250
3.300000	1	-0.161500
3.316667	1	-0.161875
3.333333	1	-0.162750
3.350000	1	-0.163125
3.366667	1	-0.163625
3.383333	1	-0.163375
3.400000	1	-0.163625
3.416667	1	-0.163250
3.433333	1	-0.163125
3.450000	1	-0.162375
3.466667	1	-0.162375
3.483333	1	-0.161375
3.500000	1	-0.161000
3.516667	1	-0.160875
3.533333	1	-0.160375
3.550000	1	-0.159375
3.566667	1	-0.158625
3.583333	1	-0.158000
3.600000	1	-0.157625
3.616667	1	-0.156750
3.633333	1	-0.156125
3.650000	1	-0.155500
3.666667	1	-0.155000
3.683333	1	-0.154500
3.700000	1	-0.153875
3.716667	1	-0.153750
3.733333	1	-0.154500
3.750000	1	-0.154625
3.766667	1	-0.154250
3.783333	1	-0.154625
3.800000	1	-0.154125
3.816667	1	-0.155125
3.833333	1	-0.155125
3.850000	1	-0.156250
3.866667	1	-0.156875
3.883333	1	-0.157875
3.900000	1	-0.158125
3.916667	1	-0.159625
3.933333	1	-0.159625
3.950000	1	-0.159500
3.966667	1	-0.159625
3.983333	1	-0.160000
4.000000	1	-0.160000
4.016667	1	-0.160375
