URL	chrom://7040-86g6c92/XVault/Ultimate_3000/20/20240517_CMO_FP23_FP25_MarkusDeplate.seq/358.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	XVault
Sequence	20240517_CMO_FP23_FP25_MarkusDeplate
Name	FP25_22.2_s2
Number	80
Position	BG8
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Inject Time	30.05.2024 00:39:49 +02:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.940250
Signal Max.	62.586625
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.015250
0.016667	1	-0.012625
0.033333	1	-0.010250
0.050000	1	-0.006875
0.066667	1	-0.003375
0.083333	1	0.000000
0.100000	1	0.003125
0.116667	1	0.006625
0.133333	1	0.009375
0.150000	1	0.012125
0.166667	1	0.014750
0.183333	1	0.017875
0.200000	1	0.020250
0.216667	1	0.023375
0.233333	1	0.026375
0.250000	1	0.029375
0.266667	1	0.031625
0.283333	1	0.034375
0.300000	1	0.037125
0.316667	1	0.039750
0.333333	1	0.041875
0.350000	1	0.043500
0.366667	1	0.044250
0.383333	1	0.045625
0.400000	1	0.046000
0.416667	1	0.047625
0.433333	1	0.049375
0.450000	1	0.052500
0.466667	1	0.056125
0.483333	1	0.059500
0.500000	1	0.061250
0.516667	1	0.062875
0.533333	1	0.063500
0.550000	1	0.063625
0.566667	1	0.062750
0.583333	1	0.061625
0.600000	1	0.059375
0.616667	1	0.056500
0.633333	1	0.054500
0.650000	1	0.051875
0.666667	1	0.050250
0.683333	1	0.049125
0.700000	1	0.048000
0.716667	1	0.046125
0.733333	1	0.044625
0.750000	1	0.042625
0.766667	1	0.041500
0.783333	1	0.039750
0.800000	1	0.038375
0.816667	1	0.037000
0.833333	1	0.035250
0.850000	1	0.033750
0.866667	1	0.032750
0.883333	1	0.030625
0.900000	1	0.028750
0.916667	1	0.027000
0.933333	1	0.025625
0.950000	1	0.024125
0.966667	1	0.022750
0.983333	1	0.021375
1.000000	1	0.020000
1.016667	1	0.019625
1.033333	1	0.018000
1.050000	1	0.017250
1.066667	1	0.016250
1.083333	1	0.015250
1.100000	1	0.014250
1.116667	1	0.013625
1.133333	1	0.012750
1.150000	1	0.012625
1.166667	1	0.012500
1.183333	1	0.012500
1.200000	1	0.012875
1.216667	1	0.012250
1.233333	1	0.013000
1.250000	1	0.013000
1.266667	1	0.014250
1.283333	1	0.015375
1.300000	1	0.016000
1.316667	1	0.016375
1.333333	1	0.017000
1.350000	1	0.018250
1.366667	1	0.019375
1.383333	1	0.021125
1.400000	1	0.022500
1.416667	1	0.023625
1.433333	1	0.025125
1.450000	1	0.026625
1.466667	1	0.028000
1.483333	1	0.029375
1.500000	1	0.030250
1.516667	1	0.031375
1.533333	1	0.032625
1.550000	1	0.033375
1.566667	1	0.033250
1.583333	1	0.033750
1.600000	1	0.034250
1.616667	1	0.034500
1.633333	1	0.034500
1.650000	1	0.034000
1.666667	1	0.033125
