URL	chrom://7040-86g6c92/XVault/Ultimate_3000/20/20240517_CMO_FP23_FP25_MarkusDeplate.seq/668.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	XVault
Sequence	20240517_CMO_FP23_FP25_MarkusDeplate
Name	FP25_24_s1
Number	48
Position	BD12
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Inject Time	29.05.2024 02:08:01 +02:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-1.227875
Signal Max.	71.879250
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.131000
0.016667	1	-0.132875
0.033333	1	-0.135000
0.050000	1	-0.136375
0.066667	1	-0.138000
0.083333	1	-0.141000
0.100000	1	-0.142750
0.116667	1	-0.145375
0.133333	1	-0.147875
0.150000	1	-0.150500
0.166667	1	-0.152250
0.183333	1	-0.156000
0.200000	1	-0.158500
0.216667	1	-0.161625
0.233333	1	-0.164000
0.250000	1	-0.166250
0.266667	1	-0.168875
0.283333	1	-0.171750
0.300000	1	-0.174500
0.316667	1	-0.177375
0.333333	1	-0.180000
0.350000	1	-0.182250
0.366667	1	-0.185750
0.383333	1	-0.188125
0.400000	1	-0.191000
0.416667	1	-0.192250
0.433333	1	-0.193125
0.450000	1	-0.192250
0.466667	1	-0.191500
0.483333	1	-0.190750
0.500000	1	-0.190750
0.516667	1	-0.191125
0.533333	1	-0.191000
0.550000	1	-0.191000
0.566667	1	-0.191500
0.583333	1	-0.192875
0.600000	1	-0.194750
0.616667	1	-0.195750
0.633333	1	-0.196625
0.650000	1	-0.196500
0.666667	1	-0.195500
0.683333	1	-0.195625
0.700000	1	-0.193500
0.716667	1	-0.192375
0.733333	1	-0.190750
0.750000	1	-0.189125
0.766667	1	-0.186875
0.783333	1	-0.185250
0.800000	1	-0.183875
0.816667	1	-0.182125
0.833333	1	-0.180750
0.850000	1	-0.180125
0.866667	1	-0.179250
0.883333	1	-0.178250
0.900000	1	-0.177125
0.916667	1	-0.177000
0.933333	1	-0.176625
0.950000	1	-0.176375
0.966667	1	-0.176250
0.983333	1	-0.176000
1.000000	1	-0.176375
1.016667	1	-0.177000
1.033333	1	-0.177250
1.050000	1	-0.178500
1.066667	1	-0.179125
1.083333	1	-0.180250
1.100000	1	-0.181625
1.116667	1	-0.182250
1.133333	1	-0.184125
1.150000	1	-0.185125
1.166667	1	-0.186250
1.183333	1	-0.187250
