URL	chrom://7040-86g6c92/XVault/Ultimate_3000/20/20240517_CMO_FP23_FP25_MarkusDeplate.seq/623.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	XVault
Sequence	20240517_CMO_FP23_FP25_MarkusDeplate
Name	FP26_21.2_s4
Number	109
Position	BC9
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Inject Time	30.05.2024 21:05:53 +02:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.853500
Signal Max.	61.445375
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.004125
0.016667	1	0.003250
0.033333	1	0.002125
0.050000	1	0.000875
0.066667	1	-0.000125
0.083333	1	-0.000625
0.100000	1	-0.002625
0.116667	1	-0.003875
0.133333	1	-0.005375
0.150000	1	-0.006500
0.166667	1	-0.007500
0.183333	1	-0.008500
0.200000	1	-0.010625
0.216667	1	-0.011625
0.233333	1	-0.012500
0.250000	1	-0.013250
0.266667	1	-0.013875
0.283333	1	-0.015125
0.300000	1	-0.016250
0.316667	1	-0.017125
0.333333	1	-0.017750
0.350000	1	-0.018875
0.366667	1	-0.019875
0.383333	1	-0.020750
0.400000	1	-0.022000
0.416667	1	-0.022500
0.433333	1	-0.021500
0.450000	1	-0.019875
0.466667	1	-0.018500
0.483333	1	-0.017125
0.500000	1	-0.015500
0.516667	1	-0.014875
0.533333	1	-0.014250
0.550000	1	-0.014250
0.566667	1	-0.015125
0.583333	1	-0.017250
0.600000	1	-0.019250
0.616667	1	-0.021375
0.633333	1	-0.022375
0.650000	1	-0.023250
0.666667	1	-0.023250
0.683333	1	-0.022875
0.700000	1	-0.021750
0.716667	1	-0.020500
0.733333	1	-0.019750
0.750000	1	-0.018375
0.766667	1	-0.017875
0.783333	1	-0.016625
0.800000	1	-0.015250
0.816667	1	-0.014125
0.833333	1	-0.013375
0.850000	1	-0.011875
0.866667	1	-0.010500
0.883333	1	-0.009250
0.900000	1	-0.008250
0.916667	1	-0.007125
0.933333	1	-0.006625
0.950000	1	-0.004875
0.966667	1	-0.003750
0.983333	1	-0.002125
1.000000	1	-0.001250
1.016667	1	-0.000625
1.033333	1	0.000125
1.050000	1	0.000750
1.066667	1	0.001250
1.083333	1	0.002125
1.100000	1	0.003000
1.116667	1	0.003500
1.133333	1	0.004250
1.150000	1	0.004625
1.166667	1	0.005125
1.183333	1	0.006125
1.200000	1	0.007000
1.216667	1	0.007375
1.233333	1	0.008375
1.250000	1	0.008625
1.266667	1	0.009875
