URL	chrom://7040-86g6c92/XVault/Ultimate_3000/20/20240517_CMO_FP23_FP25_MarkusDeplate.seq/863.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	XVault
Sequence	20240517_CMO_FP23_FP25_MarkusDeplate
Name	FP27_21.2_s1
Number	124
Position	BE6
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Inject Time	31.05.2024 07:20:30 +02:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.908125
Signal Max.	66.328125
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.027500
0.016667	1	0.027375
0.033333	1	0.028125
0.050000	1	0.029250
0.066667	1	0.030250
0.083333	1	0.031250
0.100000	1	0.032375
0.116667	1	0.033625
0.133333	1	0.034625
0.150000	1	0.035875
0.166667	1	0.036750
0.183333	1	0.037875
0.200000	1	0.039125
0.216667	1	0.040875
0.233333	1	0.042375
0.250000	1	0.044375
0.266667	1	0.045125
0.283333	1	0.045875
0.300000	1	0.046750
0.316667	1	0.047375
0.333333	1	0.047500
0.350000	1	0.048000
0.366667	1	0.048000
0.383333	1	0.046625
0.400000	1	0.045750
0.416667	1	0.045750
0.433333	1	0.046000
0.450000	1	0.047000
0.466667	1	0.047875
0.483333	1	0.047875
0.500000	1	0.047875
0.516667	1	0.047000
0.533333	1	0.045250
0.550000	1	0.043125
0.566667	1	0.040375
0.583333	1	0.036000
0.600000	1	0.031500
0.616667	1	0.027875
0.633333	1	0.024000
0.650000	1	0.020375
0.666667	1	0.018000
0.683333	1	0.015750
0.700000	1	0.014500
0.716667	1	0.012750
0.733333	1	0.011250
0.750000	1	0.009375
0.766667	1	0.008500
0.783333	1	0.007500
0.800000	1	0.006500
0.816667	1	0.006000
0.833333	1	0.005500
0.850000	1	0.005750
0.866667	1	0.005750
0.883333	1	0.006500
0.900000	1	0.007250
0.916667	1	0.007625
0.933333	1	0.008500
0.950000	1	0.008500
0.966667	1	0.009500
0.983333	1	0.010500
1.000000	1	0.011625
1.016667	1	0.012750
1.033333	1	0.013500
1.050000	1	0.015000
1.066667	1	0.016375
1.083333	1	0.017500
1.100000	1	0.018125
1.116667	1	0.019250
1.133333	1	0.020000
1.150000	1	0.020875
1.166667	1	0.021000
1.183333	1	0.020250
1.200000	1	0.019875
1.216667	1	0.019375
1.233333	1	0.018625
1.250000	1	0.018000
1.266667	1	0.016875
1.283333	1	0.015625
1.300000	1	0.014375
1.316667	1	0.013125
1.333333	1	0.011125
1.350000	1	0.009500
1.366667	1	0.007750
1.383333	1	0.005625
1.400000	1	0.004250
1.416667	1	0.003000
1.433333	1	0.001750
1.450000	1	0.000000
1.466667	1	-0.001500
1.483333	1	-0.003500
1.500000	1	-0.005000
1.516667	1	-0.006500
1.533333	1	-0.007750
1.550000	1	-0.009625
1.566667	1	-0.011375
1.583333	1	-0.012875
1.600000	1	-0.014125
1.616667	1	-0.016125
1.633333	1	-0.017750
1.650000	1	-0.019250
1.666667	1	-0.020375
1.683333	1	-0.021125
1.700000	1	-0.022750
1.716667	1	-0.023875
1.733333	1	-0.025125
1.750000	1	-0.025625
1.766667	1	-0.027125
1.783333	1	-0.027750
1.800000	1	-0.028750
1.816667	1	-0.029000
1.833333	1	-0.029750
1.850000	1	-0.030625
1.866667	1	-0.031625
1.883333	1	-0.032250
1.900000	1	-0.032750
1.916667	1	-0.031750
1.933333	1	-0.032500
1.950000	1	-0.032375
1.966667	1	-0.031875
1.983333	1	-0.031500
2.000000	1	-0.031625
2.016667	1	-0.031875
2.033333	1	-0.031375
2.050000	1	-0.030750
2.066667	1	-0.030875
2.083333	1	-0.030000
2.100000	1	-0.029250
2.116667	1	-0.029375
2.133333	1	-0.028375
2.150000	1	-0.027125
2.166667	1	-0.026375
2.183333	1	-0.025125
2.200000	1	-0.024625
2.216667	1	-0.023500
2.233333	1	-0.021500
2.250000	1	-0.020375
2.266667	1	-0.019250
2.283333	1	-0.017875
2.300000	1	-0.016750
2.316667	1	-0.015375
2.333333	1	-0.013625
2.350000	1	-0.012500
2.366667	1	-0.011875
2.383333	1	-0.009750
2.400000	1	-0.008750
2.416667	1	-0.007375
2.433333	1	-0.006375
2.450000	1	-0.005000
2.466667	1	-0.003500
2.483333	1	-0.002125
2.500000	1	-0.000750
2.516667	1	0.000375
2.533333	1	0.000500
2.550000	1	0.001125
2.566667	1	0.001625
2.583333	1	0.002500
2.600000	1	0.003000
2.616667	1	0.003250
2.633333	1	0.003875
2.650000	1	0.004000
2.666667	1	0.003000
2.683333	1	0.002625
2.700000	1	0.003000
2.716667	1	0.002125
2.733333	1	0.001625
2.750000	1	0.000750
2.766667	1	0.000125
2.783333	1	-0.000375
2.800000	1	-0.001125
2.816667	1	-0.002125
2.833333	1	-0.003250
2.850000	1	-0.004625
2.866667	1	-0.005875
2.883333	1	-0.006625
2.900000	1	-0.007500
2.916667	1	-0.008625
2.933333	1	-0.009125
2.950000	1	-0.009875
2.966667	1	-0.010500
2.983333	1	-0.011875
3.000000	1	-0.012125
3.016667	1	-0.012125
3.033333	1	-0.012625
3.050000	1	-0.012750
3.066667	1	-0.012750
3.083333	1	-0.012125
3.100000	1	-0.012750
3.116667	1	-0.011500
3.133333	1	-0.011125
3.150000	1	-0.009875
3.166667	1	-0.009125
3.183333	1	-0.007625
3.200000	1	-0.006750
3.216667	1	-0.005250
3.233333	1	-0.003875
3.250000	1	-0.002750
3.266667	1	-0.001125
3.283333	1	0.000500
3.300000	1	0.002125
3.316667	1	0.003750
3.333333	1	0.004625
3.350000	1	0.006125
3.366667	1	0.007125
3.383333	1	0.008500
3.400000	1	0.009500
3.416667	1	0.010000
3.433333	1	0.011375
3.450000	1	0.012625
3.466667	1	0.013750
3.483333	1	0.014125
3.500000	1	0.014375
3.516667	1	0.015000
3.533333	1	0.015375
3.550000	1	0.016125
3.566667	1	0.016000
3.583333	1	0.016250
3.600000	1	0.017000
3.616667	1	0.016625
3.633333	1	0.016500
3.650000	1	0.015750
3.666667	1	0.015625
3.683333	1	0.015000
3.700000	1	0.014250
3.716667	1	0.013625
3.733333	1	0.012250
3.750000	1	0.011500
3.766667	1	0.010625
3.783333	1	0.010000
3.800000	1	0.009500
3.816667	1	0.008750
3.833333	1	0.007750
3.850000	1	0.006375
3.866667	1	0.005000
3.883333	1	0.003500
3.900000	1	0.001625
3.916667	1	0.000500
3.933333	1	-0.000875
3.950000	1	-0.001500
3.966667	1	-0.002250
3.983333	1	-0.003375
4.000000	1	-0.005000
4.016667	1	-0.006125
4.033333	1	-0.007375
4.050000	1	-0.008125
4.066667	1	-0.008375
4.083333	1	-0.009375
