URL	chrom://7040-86g6c92/XVault/Ultimate_3000/20/20240517_CMO_FP23_FP25_MarkusDeplate.seq/675.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	XVault
Sequence	20240517_CMO_FP23_FP25_MarkusDeplate
Name	FP27_25_s3
Number	130
Position	BE12
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Inject Time	31.05.2024 11:28:19 +02:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.763500
Signal Max.	67.913375
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.028000
0.016667	1	0.027625
0.033333	1	0.027000
0.050000	1	0.026125
0.066667	1	0.025625
0.083333	1	0.023625
0.100000	1	0.022250
0.116667	1	0.020500
0.133333	1	0.017875
0.150000	1	0.014875
0.166667	1	0.012375
0.183333	1	0.009875
0.200000	1	0.007625
0.216667	1	0.005000
0.233333	1	0.002000
0.250000	1	-0.000250
0.266667	1	-0.002875
0.283333	1	-0.005750
0.300000	1	-0.008500
0.316667	1	-0.011375
0.333333	1	-0.014250
0.350000	1	-0.017125
0.366667	1	-0.020125
0.383333	1	-0.023125
0.400000	1	-0.026125
0.416667	1	-0.028375
0.433333	1	-0.030250
0.450000	1	-0.031125
0.466667	1	-0.030625
0.483333	1	-0.030125
0.500000	1	-0.029750
0.516667	1	-0.030875
0.533333	1	-0.032000
0.550000	1	-0.032375
0.566667	1	-0.034000
0.583333	1	-0.035875
0.600000	1	-0.038500
0.616667	1	-0.040500
0.633333	1	-0.042875
0.650000	1	-0.044375
0.666667	1	-0.044625
0.683333	1	-0.044375
0.700000	1	-0.043625
0.716667	1	-0.043500
0.733333	1	-0.042625
0.750000	1	-0.042500
0.766667	1	-0.041375
0.783333	1	-0.041000
0.800000	1	-0.039750
0.816667	1	-0.038250
0.833333	1	-0.037000
0.850000	1	-0.036000
0.866667	1	-0.035000
0.883333	1	-0.033875
0.900000	1	-0.032250
0.916667	1	-0.030875
0.933333	1	-0.030500
0.950000	1	-0.029875
0.966667	1	-0.029375
0.983333	1	-0.029125
1.000000	1	-0.029625
1.016667	1	-0.029250
1.033333	1	-0.028875
1.050000	1	-0.028625
1.066667	1	-0.028250
1.083333	1	-0.028000
1.100000	1	-0.028000
1.116667	1	-0.028125
1.133333	1	-0.028625
1.150000	1	-0.029000
1.166667	1	-0.029625
1.183333	1	-0.029375
1.200000	1	-0.029375
1.216667	1	-0.029250
1.233333	1	-0.030375
1.250000	1	-0.030750
1.266667	1	-0.030250
1.283333	1	-0.029500
1.300000	1	-0.029000
1.316667	1	-0.028375
1.333333	1	-0.027875
1.350000	1	-0.027250
1.366667	1	-0.026375
1.383333	1	-0.025375
1.400000	1	-0.024000
1.416667	1	-0.022250
1.433333	1	-0.020875
1.450000	1	-0.019500
1.466667	1	-0.017375
1.483333	1	-0.015625
1.500000	1	-0.014375
1.516667	1	-0.012250
1.533333	1	-0.010500
1.550000	1	-0.008000
1.566667	1	-0.005875
1.583333	1	-0.003750
1.600000	1	-0.001250
1.616667	1	0.000500
1.633333	1	0.002250
1.650000	1	0.004250
1.666667	1	0.006250
1.683333	1	0.008375
1.700000	1	0.010000
1.716667	1	0.011375
1.733333	1	0.012375
1.750000	1	0.014125
1.766667	1	0.015500
1.783333	1	0.016375
1.800000	1	0.017125
1.816667	1	0.017875
1.833333	1	0.018750
1.850000	1	0.019375
1.866667	1	0.019000
1.883333	1	0.018875
1.900000	1	0.018250
1.916667	1	0.017625
1.933333	1	0.016500
1.950000	1	0.015625
1.966667	1	0.013875
1.983333	1	0.012500
2.000000	1	0.011000
2.016667	1	0.008250
2.033333	1	0.007125
2.050000	1	0.005125
2.066667	1	0.003500
2.083333	1	0.001500
2.100000	1	-0.000250
2.116667	1	-0.002625
2.133333	1	-0.004625
2.150000	1	-0.006500
2.166667	1	-0.007875
2.183333	1	-0.009500
2.200000	1	-0.010500
2.216667	1	-0.012000
2.233333	1	-0.012125
2.250000	1	-0.013000
2.266667	1	-0.013375
2.283333	1	-0.014500
2.300000	1	-0.014500
2.316667	1	-0.014750
2.333333	1	-0.015000
2.350000	1	-0.015125
2.366667	1	-0.014375
2.383333	1	-0.014125
2.400000	1	-0.012875
2.416667	1	-0.011750
2.433333	1	-0.010750
2.450000	1	-0.008875
2.466667	1	-0.007000
2.483333	1	-0.005000
2.500000	1	-0.002875
2.516667	1	-0.000875
2.533333	1	0.001875
2.550000	1	0.005000
2.566667	1	0.008125
2.583333	1	0.011750
2.600000	1	0.014500
2.616667	1	0.018000
2.633333	1	0.021875
2.650000	1	0.025250
2.666667	1	0.029000
2.683333	1	0.032375
2.700000	1	0.035875
2.716667	1	0.039125
2.733333	1	0.043125
2.750000	1	0.046250
2.766667	1	0.049625
2.783333	1	0.053250
2.800000	1	0.056500
2.816667	1	0.059750
2.833333	1	0.063125
2.850000	1	0.065875
2.866667	1	0.069750
2.883333	1	0.072875
2.900000	1	0.076250
2.916667	1	0.079000
2.933333	1	0.081500
2.950000	1	0.083375
2.966667	1	0.086125
2.983333	1	0.088125
3.000000	1	0.090375
3.016667	1	0.092375
3.033333	1	0.095000
3.050000	1	0.098000
3.066667	1	0.101000
3.083333	1	0.103625
3.100000	1	0.106000
3.116667	1	0.108625
3.133333	1	0.110750
3.150000	1	0.113375
3.166667	1	0.115375
3.183333	1	0.118500
