URL	chrom://7040-86g6c92/XVault/Ultimate_3000/20/20240517_CMO_FP23_FP25_MarkusDeplate.seq/787.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	XVault
Sequence	20240517_CMO_FP23_FP25_MarkusDeplate
Name	FP27_25_s6
Number	135
Position	BA1
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Inject Time	31.05.2024 15:18:44 +02:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-1.135250
Signal Max.	60.463625
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.003125
0.016667	1	-0.002500
0.033333	1	-0.001000
0.050000	1	0.000000
0.066667	1	0.000750
0.083333	1	0.001500
0.100000	1	0.002125
0.116667	1	0.002625
0.133333	1	0.001875
0.150000	1	0.001875
0.166667	1	0.001375
0.183333	1	0.001000
0.200000	1	0.001000
0.216667	1	0.001000
0.233333	1	0.000500
0.250000	1	-0.000375
0.266667	1	-0.001250
0.283333	1	-0.002625
0.300000	1	-0.002375
0.316667	1	-0.003250
0.333333	1	-0.004250
0.350000	1	-0.005875
0.366667	1	-0.007250
0.383333	1	-0.008625
0.400000	1	-0.010375
0.416667	1	-0.011500
0.433333	1	-0.012250
0.450000	1	-0.013125
0.466667	1	-0.014500
0.483333	1	-0.015125
0.500000	1	-0.016250
0.516667	1	-0.017250
0.533333	1	-0.018000
0.550000	1	-0.018875
0.566667	1	-0.019500
0.583333	1	-0.020375
0.600000	1	-0.021250
0.616667	1	-0.021500
0.633333	1	-0.022250
0.650000	1	-0.022500
0.666667	1	-0.022000
0.683333	1	-0.021875
0.700000	1	-0.021500
0.716667	1	-0.021500
0.733333	1	-0.020750
0.750000	1	-0.020375
0.766667	1	-0.020125
0.783333	1	-0.019125
0.800000	1	-0.018750
0.816667	1	-0.017125
0.833333	1	-0.015875
0.850000	1	-0.014500
0.866667	1	-0.013000
0.883333	1	-0.011875
0.900000	1	-0.010750
