File Path	chrom://marshall/Chromeleon7/HPLC_Ultimate_3000/Users/markusar/20230616_CMO_FP13_14_15.seq/447.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	Chromeleon7
Injection	FP14_4.2_s1
Injection Number	20
Position	BE1
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	17.06.2023
Injection Time	05:27:10
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.583125
Signal Max.	54.335375
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.023500
0.016667	1	0.022125
0.033333	1	0.021500
0.050000	1	0.020500
0.066667	1	0.019625
0.083333	1	0.018875
0.100000	1	0.017750
0.116667	1	0.016000
0.133333	1	0.015625
0.150000	1	0.014875
0.166667	1	0.013750
0.183333	1	0.012750
0.200000	1	0.011625
0.216667	1	0.010750
0.233333	1	0.009875
0.250000	1	0.009375
0.266667	1	0.009000
0.283333	1	0.008375
0.300000	1	0.007750
0.316667	1	0.007125
0.333333	1	0.006625
0.350000	1	0.006375
0.366667	1	0.006000
0.383333	1	0.005250
0.400000	1	0.004625
0.416667	1	0.003750
0.433333	1	0.001875
0.450000	1	-0.000375
0.466667	1	-0.003375
0.483333	1	-0.003375
0.500000	1	-0.003375
0.516667	1	-0.000750
0.533333	1	0.001875
0.550000	1	0.005000
0.566667	1	0.007625
0.583333	1	0.010250
0.600000	1	0.012375
0.616667	1	0.014750
0.633333	1	0.016125
0.650000	1	0.016125
0.666667	1	0.015500
0.683333	1	0.014875
0.700000	1	0.013500
0.716667	1	0.012625
0.733333	1	0.011375
0.750000	1	0.010250
0.766667	1	0.009250
0.783333	1	0.008625
0.800000	1	0.008750
0.816667	1	0.008125
0.833333	1	0.008000
0.850000	1	0.007375
0.866667	1	0.007625
0.883333	1	0.008000
0.900000	1	0.008750
0.916667	1	0.008375
0.933333	1	0.008625
0.950000	1	0.008875
0.966667	1	0.009500
0.983333	1	0.010125
1.000000	1	0.010500
1.016667	1	0.010000
1.033333	1	0.009875
1.050000	1	0.009500
1.066667	1	0.009750
1.083333	1	0.009500
1.100000	1	0.009875
1.116667	1	0.010250
