File Path	chrom://marshall/Chromeleon7/HPLC_Ultimate_3000/Users/markusar/20230610_CMO_FP11_FP12.seq/704.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	Chromeleon7
Injection	FP11_4_S3
Injection Number	18
Position	BB5
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	11.06.2023
Injection Time	06:20:19
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.806500
Signal Max.	61.282125
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.012500
0.016667	1	-0.013125
0.033333	1	-0.014625
0.050000	1	-0.015750
0.066667	1	-0.016625
0.083333	1	-0.017750
0.100000	1	-0.018750
0.116667	1	-0.020750
0.133333	1	-0.022000
0.150000	1	-0.022750
0.166667	1	-0.024500
0.183333	1	-0.025375
0.200000	1	-0.026500
0.216667	1	-0.027750
0.233333	1	-0.028625
0.250000	1	-0.029750
0.266667	1	-0.030375
0.283333	1	-0.031000
0.300000	1	-0.032250
0.316667	1	-0.034750
0.333333	1	-0.038250
0.350000	1	-0.042375
0.366667	1	-0.046250
0.383333	1	-0.047625
0.400000	1	-0.045750
0.416667	1	-0.042750
0.433333	1	-0.040500
0.450000	1	-0.037750
0.466667	1	-0.036625
0.483333	1	-0.035500
0.500000	1	-0.033500
0.516667	1	-0.032250
0.533333	1	-0.031875
0.550000	1	-0.034250
0.566667	1	-0.036625
0.583333	1	-0.039875
0.600000	1	-0.043375
0.616667	1	-0.045750
0.633333	1	-0.048250
0.650000	1	-0.050750
0.666667	1	-0.052875
0.683333	1	-0.054875
0.700000	1	-0.056500
0.716667	1	-0.058250
0.733333	1	-0.059875
0.750000	1	-0.061250
0.766667	1	-0.063125
0.783333	1	-0.065000
0.800000	1	-0.066500
0.816667	1	-0.067750
0.833333	1	-0.068625
0.850000	1	-0.069375
0.866667	1	-0.071125
0.883333	1	-0.072250
0.900000	1	-0.073500
0.916667	1	-0.074000
0.933333	1	-0.075375
0.950000	1	-0.075875
0.966667	1	-0.076500
0.983333	1	-0.077250
1.000000	1	-0.077375
1.016667	1	-0.078000
1.033333	1	-0.078250
1.050000	1	-0.078125
1.066667	1	-0.078125
1.083333	1	-0.078250
1.100000	1	-0.077625
1.116667	1	-0.077375
1.133333	1	-0.077250
1.150000	1	-0.077375
1.166667	1	-0.077000
1.183333	1	-0.076000
1.200000	1	-0.075875
1.216667	1	-0.075500
1.233333	1	-0.074750
1.250000	1	-0.074000
1.266667	1	-0.073125
1.283333	1	-0.071875
1.300000	1	-0.070875
1.316667	1	-0.070000
1.333333	1	-0.069125
1.350000	1	-0.067750
1.366667	1	-0.066250
1.383333	1	-0.065000
1.400000	1	-0.063750
1.416667	1	-0.062250
1.433333	1	-0.060750
1.450000	1	-0.059125
1.466667	1	-0.057875
1.483333	1	-0.056125
1.500000	1	-0.054625
1.516667	1	-0.053625
1.533333	1	-0.052375
1.550000	1	-0.051125
1.566667	1	-0.049625
1.583333	1	-0.048375
1.600000	1	-0.047625
1.616667	1	-0.046375
1.633333	1	-0.045125
1.650000	1	-0.043625
1.666667	1	-0.042125
1.683333	1	-0.041625
1.700000	1	-0.041125
1.716667	1	-0.040375
1.733333	1	-0.039125
1.750000	1	-0.038625
1.766667	1	-0.038125
1.783333	1	-0.037750
1.800000	1	-0.037000
1.816667	1	-0.036625
1.833333	1	-0.035625
1.850000	1	-0.035625
1.866667	1	-0.035500
1.883333	1	-0.035000
1.900000	1	-0.034500
1.916667	1	-0.034125
1.933333	1	-0.034500
1.950000	1	-0.034500
1.966667	1	-0.034500
1.983333	1	-0.034625
2.000000	1	-0.034125
2.016667	1	-0.034125
2.033333	1	-0.034250
2.050000	1	-0.034375
2.066667	1	-0.034250
2.083333	1	-0.034250
2.100000	1	-0.034250
2.116667	1	-0.035250
2.133333	1	-0.035125
2.150000	1	-0.035625
2.166667	1	-0.036000
2.183333	1	-0.035375
2.200000	1	-0.035500
2.216667	1	-0.036125
2.233333	1	-0.036750
2.250000	1	-0.036750
2.266667	1	-0.037500
2.283333	1	-0.038000
2.300000	1	-0.038625
2.316667	1	-0.039000
2.333333	1	-0.039250
2.350000	1	-0.039750
2.366667	1	-0.039750
2.383333	1	-0.040125
2.400000	1	-0.040625
2.416667	1	-0.042500
2.433333	1	-0.042375
2.450000	1	-0.043250
2.466667	1	-0.042625
2.483333	1	-0.042375
2.500000	1	-0.043500
2.516667	1	-0.043750
2.533333	1	-0.044000
2.550000	1	-0.044625
2.566667	1	-0.044625
2.583333	1	-0.045750
2.600000	1	-0.045375
2.616667	1	-0.045500
2.633333	1	-0.045375
2.650000	1	-0.045875
2.666667	1	-0.046250
2.683333	1	-0.046250
2.700000	1	-0.047125
2.716667	1	-0.047250
2.733333	1	-0.047250
2.750000	1	-0.047250
2.766667	1	-0.047250
2.783333	1	-0.047500
2.800000	1	-0.047625
2.816667	1	-0.047125
2.833333	1	-0.046875
2.850000	1	-0.046625
2.866667	1	-0.046625
2.883333	1	-0.046625
2.900000	1	-0.046750
2.916667	1	-0.047250
2.933333	1	-0.047250
2.950000	1	-0.047000
2.966667	1	-0.046750
2.983333	1	-0.047000
3.000000	1	-0.046875
3.016667	1	-0.046875
3.033333	1	-0.046500
3.050000	1	-0.046625
3.066667	1	-0.047125
3.083333	1	-0.047000
3.100000	1	-0.046250
3.116667	1	-0.046875
3.133333	1	-0.046875
3.150000	1	-0.047250
3.166667	1	-0.047000
3.183333	1	-0.047125
3.200000	1	-0.047250
3.216667	1	-0.047000
3.233333	1	-0.046500
3.250000	1	-0.045750
3.266667	1	-0.046625
3.283333	1	-0.046125
3.300000	1	-0.046125
3.316667	1	-0.045875
3.333333	1	-0.045125
3.350000	1	-0.044625
3.366667	1	-0.044875
3.383333	1	-0.044375
3.400000	1	-0.043750
3.416667	1	-0.043500
3.433333	1	-0.043125
3.450000	1	-0.042625
3.466667	1	-0.042250
3.483333	1	-0.042125
3.500000	1	-0.041875
3.516667	1	-0.041875
3.533333	1	-0.040750
3.550000	1	-0.040250
3.566667	1	-0.039500
3.583333	1	-0.039000
3.600000	1	-0.038500
3.616667	1	-0.038125
3.633333	1	-0.037625
3.650000	1	-0.036750
3.666667	1	-0.036625
3.683333	1	-0.036500
3.700000	1	-0.036750
3.716667	1	-0.036500
3.733333	1	-0.036375
3.750000	1	-0.036000
3.766667	1	-0.035375
3.783333	1	-0.035125
3.800000	1	-0.034750
3.816667	1	-0.035000
3.833333	1	-0.035125
3.850000	1	-0.035125
3.866667	1	-0.035000
3.883333	1	-0.034875
3.900000	1	-0.035000
3.916667	1	-0.035250
3.933333	1	-0.035250
3.950000	1	-0.035625
3.966667	1	-0.035750
3.983333	1	-0.036125
4.000000	1	-0.036500
4.016667	1	-0.037125
4.033333	1	-0.037625
4.050000	1	-0.037375
4.066667	1	-0.038500
4.083333	1	-0.038375
4.100000	1	-0.038875
4.116667	1	-0.039125
4.133333	1	-0.040000
4.150000	1	-0.040500
4.166667	1	-0.040750
4.183333	1	-0.041125
4.200000	1	-0.041750
4.216667	1	-0.042250
4.233333	1	-0.042875
4.250000	1	-0.042500
4.266667	1	-0.042750
4.283333	1	-0.043000
4.300000	1	-0.043125
4.316667	1	-0.042875
4.333333	1	-0.042375
4.350000	1	-0.042750
4.366667	1	-0.042625
4.383333	1	-0.042500
4.400000	1	-0.042000
4.416667	1	-0.041750
4.433333	1	-0.041375
4.450000	1	-0.040875
4.466667	1	-0.040500
4.483333	1	-0.040375
4.500000	1	-0.040500
4.516667	1	-0.039375
4.533333	1	-0.039125
4.550000	1	-0.038875
4.566667	1	-0.037750
4.583333	1	-0.037125
4.600000	1	-0.036125
4.616667	1	-0.035250
4.633333	1	-0.033250
4.650000	1	-0.032625
4.666667	1	-0.031000
4.683333	1	-0.030000
4.700000	1	-0.028750
4.716667	1	-0.027250
4.733333	1	-0.025875
4.750000	1	-0.024375
4.766667	1	-0.023250
4.783333	1	-0.021250
4.800000	1	-0.019250
4.816667	1	-0.017375
4.833333	1	-0.015375
4.850000	1	-0.013750
4.866667	1	-0.011875
4.883333	1	-0.010000
4.900000	1	-0.008125
4.916667	1	-0.006125
4.933333	1	-0.004000
4.950000	1	-0.001875
4.966667	1	0.000125
4.983333	1	0.002375
5.000000	1	0.004750
5.016667	1	0.007250
5.033333	1	0.009625
5.050000	1	0.012125
5.066667	1	0.014875
5.083333	1	0.016875
5.100000	1	0.019125
5.116667	1	0.021625
5.133333	1	0.024125
5.150000	1	0.026000
5.166667	1	0.028375
5.183333	1	0.030500
5.200000	1	0.032375
5.216667	1	0.035000
5.233333	1	0.036500
5.250000	1	0.038125
5.266667	1	0.039625
5.283333	1	0.040875
5.300000	1	0.042500
5.316667	1	0.043750
5.333333	1	0.045875
5.350000	1	0.047000
5.366667	1	0.048125
5.383333	1	0.048750
5.400000	1	0.049250
5.416667	1	0.049750
5.433333	1	0.050500
5.450000	1	0.051000
5.466667	1	0.051500
5.483333	1	0.052125
5.500000	1	0.051875
5.516667	1	0.051500
5.533333	1	0.050375
5.550000	1	0.049875
5.566667	1	0.049000
5.583333	1	0.048000
5.600000	1	0.047875
5.616667	1	0.046500
5.633333	1	0.046000
5.650000	1	0.044875
5.666667	1	0.043750
5.683333	1	0.043125
5.700000	1	0.041750
5.716667	1	0.040250
5.733333	1	0.039125
5.750000	1	0.038250
5.766667	1	0.036625
5.783333	1	0.035375
5.800000	1	0.034875
5.816667	1	0.033125
5.833333	1	0.032125
5.850000	1	0.031375
5.866667	1	0.030125
5.883333	1	0.029000
5.900000	1	0.027625
5.916667	1	0.026500
5.933333	1	0.026125
5.950000	1	0.025500
5.966667	1	0.025000
5.983333	1	0.024750
6.000000	1	0.023875
6.016667	1	0.023625
6.033333	1	0.023000
6.050000	1	0.022625
6.066667	1	0.022250
6.083333	1	0.022750
6.100000	1	0.023000
6.116667	1	0.023125
6.133333	1	0.023250
6.150000	1	0.023500
6.166667	1	0.024000
6.183333	1	0.023625
6.200000	1	0.025000
6.216667	1	0.025875
6.233333	1	0.025625
6.250000	1	0.026250
6.266667	1	0.026875
6.283333	1	0.027375
6.300000	1	0.028125
6.316667	1	0.029000
6.333333	1	0.030125
6.350000	1	0.031250
6.366667	1	0.032500
6.383333	1	0.033625
6.400000	1	0.035125
6.416667	1	0.036500
6.433333	1	0.037250
6.450000	1	0.038250
6.466667	1	0.039500
6.483333	1	0.041125
6.500000	1	0.042000
6.516667	1	0.043375
6.533333	1	0.045375
6.550000	1	0.047000
6.566667	1	0.048625
6.583333	1	0.049750
6.600000	1	0.051625
6.616667	1	0.052875
6.633333	1	0.054375
6.650000	1	0.055625
6.666667	1	0.057125
6.683333	1	0.058375
6.700000	1	0.059750
6.716667	1	0.060375
6.733333	1	0.061625
6.750000	1	0.062250
6.766667	1	0.062875
6.783333	1	0.064000
6.800000	1	0.064375
6.816667	1	0.065375
6.833333	1	0.065875
6.850000	1	0.066000
6.866667	1	0.066500
6.883333	1	0.067000
6.900000	1	0.066250
6.916667	1	0.066125
6.933333	1	0.066500
6.950000	1	0.065875
6.966667	1	0.065000
6.983333	1	0.064500
7.000000	1	0.063625
7.016667	1	0.062625
7.033333	1	0.061125
7.050000	1	0.059625
7.066667	1	0.058125
7.083333	1	0.056375
7.100000	1	0.054750
7.116667	1	0.053375
7.133333	1	0.052000
7.150000	1	0.050625
7.166667	1	0.048750
7.183333	1	0.046250
7.200000	1	0.044125
7.216667	1	0.041500
7.233333	1	0.038750
7.250000	1	0.036375
7.266667	1	0.033750
7.283333	1	0.031875
7.300000	1	0.029125
7.316667	1	0.027125
7.333333	1	0.025000
7.350000	1	0.022375
7.366667	1	0.019500
7.383333	1	0.017250
7.400000	1	0.014500
7.416667	1	0.012000
7.433333	1	0.009750
7.450000	1	0.007500
7.466667	1	0.005500
7.483333	1	0.003375
7.500000	1	0.001875
7.516667	1	0.000375
7.533333	1	-0.000625
7.550000	1	-0.002000
7.566667	1	-0.003250
7.583333	1	-0.005250
7.600000	1	-0.005750
7.616667	1	-0.007250
7.633333	1	-0.008500
7.650000	1	-0.009625
7.666667	1	-0.010125
7.683333	1	-0.010875
7.700000	1	-0.011500
7.716667	1	-0.011750
7.733333	1	-0.011500
7.750000	1	-0.011750
7.766667	1	-0.012000
7.783333	1	-0.011625
7.800000	1	-0.011875
7.816667	1	-0.011125
7.833333	1	-0.010375
7.850000	1	-0.009250
7.866667	1	-0.009000
7.883333	1	-0.008375
7.900000	1	-0.007000
7.916667	1	-0.006625
7.933333	1	-0.005375
7.950000	1	-0.004000
7.966667	1	-0.002375
7.983333	1	-0.001500
8.000000	1	-0.000625
8.016667	1	0.000375
8.033333	1	0.001125
8.050000	1	0.002750
8.066667	1	0.004125
8.083333	1	0.005125
8.100000	1	0.006625
8.116667	1	0.008500
8.133333	1	0.010000
8.150000	1	0.011625
8.166667	1	0.013750
8.183333	1	0.015000
8.200000	1	0.016125
8.216667	1	0.017625
8.233333	1	0.018875
8.250000	1	0.020000
8.266667	1	0.021875
8.283333	1	0.023750
8.300000	1	0.025125
8.316667	1	0.026875
8.333333	1	0.028250
8.350000	1	0.029250
8.366667	1	0.031000
8.383333	1	0.032250
8.400000	1	0.033875
8.416667	1	0.035500
8.433333	1	0.036375
8.450000	1	0.037500
8.466667	1	0.038875
8.483333	1	0.040000
8.500000	1	0.041375
8.516667	1	0.042375
8.533333	1	0.043000
8.550000	1	0.044500
8.566667	1	0.046000
8.583333	1	0.046750
8.600000	1	0.047750
8.616667	1	0.048375
8.633333	1	0.049250
8.650000	1	0.049875
8.666667	1	0.050000
8.683333	1	0.051000
8.700000	1	0.052125
8.716667	1	0.052500
8.733333	1	0.053750
8.750000	1	0.054125
8.766667	1	0.053750
8.783333	1	0.053875
8.800000	1	0.053750
8.816667	1	0.054250
8.833333	1	0.054500
8.850000	1	0.055000
8.866667	1	0.055625
8.883333	1	0.055125
8.900000	1	0.055000
8.916667	1	0.055500
8.933333	1	0.055625
8.950000	1	0.055875
8.966667	1	0.056000
8.983333	1	0.054875
9.000000	1	0.054375
9.016667	1	0.053875
9.033333	1	0.053625
9.050000	1	0.053125
9.066667	1	0.053250
9.083333	1	0.052750
9.100000	1	0.052625
9.116667	1	0.052250
9.133333	1	0.051750
9.150000	1	0.051875
9.166667	1	0.050500
9.183333	1	0.049750
9.200000	1	0.049000
9.216667	1	0.048375
9.233333	1	0.047875
9.250000	1	0.047250
9.266667	1	0.046625
9.283333	1	0.046125
9.300000	1	0.046125
9.316667	1	0.046125
9.333333	1	0.046000
9.350000	1	0.045250
9.366667	1	0.045500
9.383333	1	0.045750
9.400000	1	0.045875
9.416667	1	0.045375
9.433333	1	0.045875
9.450000	1	0.046000
9.466667	1	0.046750
9.483333	1	0.048500
9.500000	1	0.050125
9.516667	1	0.052250
9.533333	1	0.055375
9.550000	1	0.058750
9.566667	1	0.062500
9.583333	1	0.065875
9.600000	1	0.070125
9.616667	1	0.076500
9.633333	1	0.084250
9.650000	1	0.093000
9.666667	1	0.103250
9.683333	1	0.115500
9.700000	1	0.129250
9.716667	1	0.144625
9.733333	1	0.163125
9.750000	1	0.183875
9.766667	1	0.207250
9.783333	1	0.234500
9.800000	1	0.265625
9.816667	1	0.301875
9.833333	1	0.340500
9.850000	1	0.379375
9.866667	1	0.415250
9.883333	1	0.443875
9.900000	1	0.464750
9.916667	1	0.481500
9.933333	1	0.504375
9.950000	1	0.552250
9.966667	1	0.649750
9.983333	1	0.827625
10.000000	1	1.117000
10.016667	1	1.547500
10.033333	1	2.144625
10.050000	1	2.927000
10.066667	1	3.908000
10.083333	1	5.097000
10.100000	1	6.497625
10.116667	1	8.106000
10.133333	1	9.910750
10.150000	1	11.892875
10.166667	1	14.025000
10.183333	1	16.275000
10.200000	1	18.606625
10.216667	1	20.985625
10.233333	1	23.376250
10.250000	1	25.739125
10.266667	1	28.035375
10.283333	1	30.217125
10.300000	1	32.224625
10.316667	1	33.975625
10.333333	1	35.368500
10.350000	1	36.285750
10.366667	1	36.613125
10.383333	1	36.261625
10.400000	1	35.198375
10.416667	1	33.463500
10.433333	1	31.176000
10.450000	1	28.513500
10.466667	1	25.670750
10.483333	1	22.829000
10.500000	1	20.126000
10.516667	1	17.646375
10.533333	1	15.426000
10.550000	1	13.466500
10.566667	1	11.750625
10.583333	1	10.255125
10.600000	1	8.955000
10.616667	1	7.829500
10.633333	1	6.861250
10.650000	1	6.036500
10.666667	1	5.338375
10.683333	1	4.751250
10.700000	1	4.260125
10.716667	1	3.850875
10.733333	1	3.509500
10.750000	1	3.223375
10.766667	1	2.983250
10.783333	1	2.780750
10.800000	1	2.607000
10.816667	1	2.457500
10.833333	1	2.327625
10.850000	1	2.213500
10.866667	1	2.113250
10.883333	1	2.024375
10.900000	1	1.944750
10.916667	1	1.873125
10.933333	1	1.807500
10.950000	1	1.747875
10.966667	1	1.692000
10.983333	1	1.639375
11.000000	1	1.589375
11.016667	1	1.541750
11.033333	1	1.496125
11.050000	1	1.451000
11.066667	1	1.409000
11.083333	1	1.367500
11.100000	1	1.328000
11.116667	1	1.289500
11.133333	1	1.252250
11.150000	1	1.217125
11.166667	1	1.183750
11.183333	1	1.152250
11.200000	1	1.123125
11.216667	1	1.096375
11.233333	1	1.071875
11.250000	1	1.050375
11.266667	1	1.031000
11.283333	1	1.014000
11.300000	1	1.000000
11.316667	1	0.988250
11.333333	1	0.979500
11.350000	1	0.972875
11.366667	1	0.969500
11.383333	1	0.968250
11.400000	1	0.969875
11.416667	1	0.973750
11.433333	1	0.979250
11.450000	1	0.986750
11.466667	1	0.996625
11.483333	1	1.006875
11.500000	1	1.017375
11.516667	1	1.027875
11.533333	1	1.038125
11.550000	1	1.047375
11.566667	1	1.054625
11.583333	1	1.060750
11.600000	1	1.064375
11.616667	1	1.064250
11.633333	1	1.062125
11.650000	1	1.057625
11.666667	1	1.050750
11.683333	1	1.041625
11.700000	1	1.031500
11.716667	1	1.019375
11.733333	1	1.006750
11.750000	1	0.993375
11.766667	1	0.979875
11.783333	1	0.967125
11.800000	1	0.955000
11.816667	1	0.943750
11.833333	1	0.934125
11.850000	1	0.925625
11.866667	1	0.917125
11.883333	1	0.911000
11.900000	1	0.906125
11.916667	1	0.902250
11.933333	1	0.899875
11.950000	1	0.899125
11.966667	1	0.901250
11.983333	1	0.905250
12.000000	1	0.912375
12.016667	1	0.922375
12.033333	1	0.935750
12.050000	1	0.953500
12.066667	1	0.977125
12.083333	1	1.007375
12.100000	1	1.046375
12.116667	1	1.096375
12.133333	1	1.159500
12.150000	1	1.238375
12.166667	1	1.336375
12.183333	1	1.456500
12.200000	1	1.602125
12.216667	1	1.777625
12.233333	1	1.988500
12.250000	1	2.240375
12.266667	1	2.542125
12.283333	1	2.903000
12.300000	1	3.337000
12.316667	1	3.862000
12.333333	1	4.497625
12.350000	1	5.265500
12.366667	1	6.192875
12.383333	1	7.306500
12.400000	1	8.633875
12.416667	1	10.197875
12.433333	1	12.018000
12.450000	1	14.107250
12.466667	1	16.473125
12.483333	1	19.111375
12.500000	1	22.004875
12.516667	1	25.124500
12.533333	1	28.432250
12.550000	1	31.879500
12.566667	1	35.413250
12.583333	1	38.977875
12.600000	1	42.510250
12.616667	1	45.946125
12.633333	1	49.216750
12.650000	1	52.250875
12.666667	1	54.970875
12.683333	1	57.296125
12.700000	1	59.149500
12.716667	1	60.462875
12.733333	1	61.183000
12.750000	1	61.282125
12.766667	1	60.753125
12.783333	1	59.615000
12.800000	1	57.911500
12.816667	1	55.708125
12.833333	1	53.089000
12.850000	1	50.149250
12.866667	1	46.988250
12.883333	1	43.699500
12.900000	1	40.366750
12.916667	1	37.061125
12.933333	1	33.837875
12.950000	1	30.738875
12.966667	1	27.794625
12.983333	1	25.026875
13.000000	1	22.448750
13.016667	1	20.066750
13.033333	1	17.874500
13.050000	1	15.860125
13.066667	1	14.007625
13.083333	1	12.305875
13.100000	1	10.750500
13.116667	1	9.348125
13.133333	1	8.113875
13.150000	1	7.053875
13.166667	1	6.161750
13.183333	1	5.421000
13.200000	1	4.808125
13.216667	1	4.299750
13.233333	1	3.874500
13.250000	1	3.516250
13.266667	1	3.211000
13.283333	1	2.949125
13.300000	1	2.722000
13.316667	1	2.523375
13.333333	1	2.348375
13.350000	1	2.194375
13.366667	1	2.056750
13.383333	1	1.934500
13.400000	1	1.823750
13.416667	1	1.723875
13.433333	1	1.633750
13.450000	1	1.552250
13.466667	1	1.477875
13.483333	1	1.410500
13.500000	1	1.349125
13.516667	1	1.293375
13.533333	1	1.242875
13.550000	1	1.197000
13.566667	1	1.155375
13.583333	1	1.117750
13.600000	1	1.085000
13.616667	1	1.054750
13.633333	1	1.027625
13.650000	1	1.003625
13.666667	1	0.982875
13.683333	1	0.964625
13.700000	1	0.948000
13.716667	1	0.933125
13.733333	1	0.919750
13.750000	1	0.907750
13.766667	1	0.897750
13.783333	1	0.887875
13.800000	1	0.878625
13.816667	1	0.870000
13.833333	1	0.861500
13.850000	1	0.851250
13.866667	1	0.841125
13.883333	1	0.830000
13.900000	1	0.818375
13.916667	1	0.806000
13.933333	1	0.792625
13.950000	1	0.779500
13.966667	1	0.766000
13.983333	1	0.751500
14.000000	1	0.737250
14.016667	1	0.723875
14.033333	1	0.710875
14.050000	1	0.698125
14.066667	1	0.685625
14.083333	1	0.674250
14.100000	1	0.662750
14.116667	1	0.650875
14.133333	1	0.640375
14.150000	1	0.630125
14.166667	1	0.620750
14.183333	1	0.612125
14.200000	1	0.603875
14.216667	1	0.595500
14.233333	1	0.588625
14.250000	1	0.581750
14.266667	1	0.575875
14.283333	1	0.570625
14.300000	1	0.565375
14.316667	1	0.560750
14.333333	1	0.556625
