File Path	chrom://marshall/Chromeleon7/HPLC_Ultimate_3000/Users/markusar/20230610_CMO_FP11_FP12.seq/911.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	Chromeleon7
Injection	FP12_2_S4
Injection Number	29
Position	BC4
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	11.06.2023
Injection Time	13:50:57
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.304875
Signal Max.	44.744250
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.008750
0.016667	1	-0.009375
0.033333	1	-0.009500
0.050000	1	-0.009375
0.066667	1	-0.009375
0.083333	1	-0.010500
0.100000	1	-0.010875
0.116667	1	-0.011125
0.133333	1	-0.011250
0.150000	1	-0.011750
0.166667	1	-0.012250
0.183333	1	-0.012875
0.200000	1	-0.013500
0.216667	1	-0.014250
0.233333	1	-0.014625
0.250000	1	-0.015625
0.266667	1	-0.016750
0.283333	1	-0.017250
0.300000	1	-0.018125
0.316667	1	-0.020750
0.333333	1	-0.023875
0.350000	1	-0.028875
0.366667	1	-0.032625
0.383333	1	-0.033875
0.400000	1	-0.031750
0.416667	1	-0.029875
0.433333	1	-0.027750
0.450000	1	-0.025875
0.466667	1	-0.024625
0.483333	1	-0.023500
0.500000	1	-0.022375
0.516667	1	-0.022250
0.533333	1	-0.022875
0.550000	1	-0.024625
0.566667	1	-0.027875
0.583333	1	-0.031625
0.600000	1	-0.034125
0.616667	1	-0.036875
0.633333	1	-0.039000
0.650000	1	-0.041500
0.666667	1	-0.043125
0.683333	1	-0.045000
0.700000	1	-0.046750
0.716667	1	-0.048000
0.733333	1	-0.050125
0.750000	1	-0.051375
0.766667	1	-0.052375
0.783333	1	-0.053250
0.800000	1	-0.054250
0.816667	1	-0.055000
0.833333	1	-0.055500
0.850000	1	-0.056125
0.866667	1	-0.056500
0.883333	1	-0.056625
0.900000	1	-0.057125
0.916667	1	-0.057750
0.933333	1	-0.057375
0.950000	1	-0.057500
0.966667	1	-0.057875
0.983333	1	-0.057625
1.000000	1	-0.058000
1.016667	1	-0.057750
1.033333	1	-0.058250
1.050000	1	-0.058375
1.066667	1	-0.057750
1.083333	1	-0.057500
1.100000	1	-0.057500
1.116667	1	-0.057250
1.133333	1	-0.057750
1.150000	1	-0.057375
1.166667	1	-0.056875
1.183333	1	-0.056750
1.200000	1	-0.056000
1.216667	1	-0.056125
1.233333	1	-0.056125
1.250000	1	-0.056000
1.266667	1	-0.055250
1.283333	1	-0.054875
1.300000	1	-0.054750
1.316667	1	-0.054250
1.333333	1	-0.053625
1.350000	1	-0.053625
1.366667	1	-0.053375
1.383333	1	-0.053250
1.400000	1	-0.052750
1.416667	1	-0.052625
1.433333	1	-0.052500
1.450000	1	-0.051750
1.466667	1	-0.051500
1.483333	1	-0.050875
1.500000	1	-0.050375
1.516667	1	-0.050500
1.533333	1	-0.051000
1.550000	1	-0.051000
1.566667	1	-0.050375
1.583333	1	-0.050375
1.600000	1	-0.050875
1.616667	1	-0.051125
1.633333	1	-0.050750
1.650000	1	-0.050125
1.666667	1	-0.050500
1.683333	1	-0.051125
1.700000	1	-0.050750
1.716667	1	-0.051375
1.733333	1	-0.051750
1.750000	1	-0.051875
1.766667	1	-0.052750
1.783333	1	-0.053125
1.800000	1	-0.053500
1.816667	1	-0.053750
1.833333	1	-0.054125
1.850000	1	-0.054375
1.866667	1	-0.054625
1.883333	1	-0.055125
1.900000	1	-0.055750
1.916667	1	-0.056750
1.933333	1	-0.057250
1.950000	1	-0.057625
1.966667	1	-0.058000
1.983333	1	-0.058625
2.000000	1	-0.058875
2.016667	1	-0.059500
2.033333	1	-0.060250
2.050000	1	-0.060750
2.066667	1	-0.061250
2.083333	1	-0.061625
2.100000	1	-0.062875
2.116667	1	-0.063250
2.133333	1	-0.063750
2.150000	1	-0.064125
2.166667	1	-0.064750
2.183333	1	-0.064500
2.200000	1	-0.064875
2.216667	1	-0.064750
2.233333	1	-0.065125
2.250000	1	-0.065750
2.266667	1	-0.066125
2.283333	1	-0.065875
2.300000	1	-0.066375
2.316667	1	-0.066250
2.333333	1	-0.066125
2.350000	1	-0.066000
2.366667	1	-0.065875
2.383333	1	-0.066500
2.400000	1	-0.066000
2.416667	1	-0.066250
2.433333	1	-0.066250
2.450000	1	-0.066750
2.466667	1	-0.066625
2.483333	1	-0.066625
2.500000	1	-0.066250
2.516667	1	-0.066250
2.533333	1	-0.066125
2.550000	1	-0.065625
2.566667	1	-0.065000
2.583333	1	-0.064125
2.600000	1	-0.063875
2.616667	1	-0.063500
2.633333	1	-0.063250
2.650000	1	-0.062875
2.666667	1	-0.062250
2.683333	1	-0.061750
2.700000	1	-0.061625
2.716667	1	-0.061125
2.733333	1	-0.060500
2.750000	1	-0.059875
2.766667	1	-0.058875
2.783333	1	-0.058250
2.800000	1	-0.057250
2.816667	1	-0.056750
2.833333	1	-0.055625
2.850000	1	-0.054750
2.866667	1	-0.054250
2.883333	1	-0.053125
2.900000	1	-0.053000
2.916667	1	-0.052375
2.933333	1	-0.051750
2.950000	1	-0.051250
2.966667	1	-0.050125
2.983333	1	-0.049375
3.000000	1	-0.048875
3.016667	1	-0.048375
3.033333	1	-0.048125
3.050000	1	-0.046375
3.066667	1	-0.045375
3.083333	1	-0.045500
3.100000	1	-0.045625
3.116667	1	-0.045125
3.133333	1	-0.044750
3.150000	1	-0.044125
3.166667	1	-0.044000
3.183333	1	-0.043500
3.200000	1	-0.043625
3.216667	1	-0.043750
3.233333	1	-0.043125
3.250000	1	-0.042625
3.266667	1	-0.041750
3.283333	1	-0.041125
3.300000	1	-0.041500
3.316667	1	-0.041500
3.333333	1	-0.041750
3.350000	1	-0.041500
3.366667	1	-0.041625
3.383333	1	-0.041500
3.400000	1	-0.042000
3.416667	1	-0.042375
3.433333	1	-0.042375
3.450000	1	-0.042625
3.466667	1	-0.043500
3.483333	1	-0.043875
3.500000	1	-0.044000
3.516667	1	-0.045125
3.533333	1	-0.045750
3.550000	1	-0.045625
3.566667	1	-0.046125
3.583333	1	-0.046750
3.600000	1	-0.047500
