File Path	chrom://marshall/Chromeleon7/HPLC_Ultimate_3000/Users/markusar/20230616_CMO_FP13_14_15.seq/342.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	Chromeleon7
Injection	FP14_2.2_s4
Injection Number	17
Position	BD10
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	17.06.2023
Injection Time	03:24:17
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.114500
Signal Max.	42.029000
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.001125
0.016667	1	0.001000
0.033333	1	0.000625
0.050000	1	0.000375
0.066667	1	0.000000
0.083333	1	0.000000
0.100000	1	0.000000
0.116667	1	-0.000500
0.133333	1	-0.001125
0.150000	1	-0.001250
0.166667	1	-0.000625
0.183333	1	-0.000750
0.200000	1	-0.000625
0.216667	1	-0.000500
0.233333	1	-0.000625
0.250000	1	-0.001125
0.266667	1	-0.001125
0.283333	1	-0.001500
0.300000	1	-0.001375
0.316667	1	-0.001500
0.333333	1	-0.002000
0.350000	1	-0.001500
0.366667	1	-0.002250
0.383333	1	-0.002375
0.400000	1	-0.002125
0.416667	1	-0.002750
0.433333	1	-0.004250
0.450000	1	-0.007375
0.466667	1	-0.009250
0.483333	1	-0.011250
0.500000	1	-0.010250
0.516667	1	-0.008500
0.533333	1	-0.006250
0.550000	1	-0.003125
0.566667	1	-0.001125
0.583333	1	0.001375
0.600000	1	0.003375
0.616667	1	0.004500
0.633333	1	0.005125
0.650000	1	0.005625
0.666667	1	0.004250
0.683333	1	0.001875
0.700000	1	-0.000375
0.716667	1	-0.002250
0.733333	1	-0.004375
0.750000	1	-0.005750
0.766667	1	-0.007750
0.783333	1	-0.009250
0.800000	1	-0.010750
0.816667	1	-0.012125
0.833333	1	-0.013500
0.850000	1	-0.014250
0.866667	1	-0.015375
0.883333	1	-0.016500
0.900000	1	-0.017250
0.916667	1	-0.017375
0.933333	1	-0.018250
0.950000	1	-0.018500
0.966667	1	-0.019000
0.983333	1	-0.019000
1.000000	1	-0.019500
1.016667	1	-0.019625
1.033333	1	-0.020000
1.050000	1	-0.020125
1.066667	1	-0.020875
1.083333	1	-0.021375
1.100000	1	-0.021875
1.116667	1	-0.022250
1.133333	1	-0.022125
1.150000	1	-0.022500
1.166667	1	-0.022000
1.183333	1	-0.022250
1.200000	1	-0.022125
1.216667	1	-0.023000
1.233333	1	-0.023500
1.250000	1	-0.024000
1.266667	1	-0.024250
1.283333	1	-0.024875
1.300000	1	-0.025250
1.316667	1	-0.025125
1.333333	1	-0.025375
1.350000	1	-0.025250
1.366667	1	-0.026000
1.383333	1	-0.025625
1.400000	1	-0.025625
1.416667	1	-0.026250
1.433333	1	-0.027000
1.450000	1	-0.027375
1.466667	1	-0.027375
1.483333	1	-0.028125
1.500000	1	-0.028000
1.516667	1	-0.028875
1.533333	1	-0.029375
1.550000	1	-0.029750
1.566667	1	-0.030625
1.583333	1	-0.031000
1.600000	1	-0.031375
1.616667	1	-0.032125
1.633333	1	-0.032125
1.650000	1	-0.032750
1.666667	1	-0.033625
1.683333	1	-0.034125
1.700000	1	-0.034875
1.716667	1	-0.035750
1.733333	1	-0.036500
1.750000	1	-0.037500
1.766667	1	-0.037750
1.783333	1	-0.038125
1.800000	1	-0.038625
1.816667	1	-0.039500
1.833333	1	-0.040500
1.850000	1	-0.041500
1.866667	1	-0.042000
1.883333	1	-0.043250
1.900000	1	-0.043625
1.916667	1	-0.044625
1.933333	1	-0.044625
1.950000	1	-0.044875
1.966667	1	-0.045625
1.983333	1	-0.046250
2.000000	1	-0.046500
2.016667	1	-0.046625
2.033333	1	-0.046625
2.050000	1	-0.047000
2.066667	1	-0.047750
2.083333	1	-0.048125
2.100000	1	-0.048625
2.116667	1	-0.048250
2.133333	1	-0.049000
2.150000	1	-0.049250
2.166667	1	-0.049625
2.183333	1	-0.048875
2.200000	1	-0.049125
2.216667	1	-0.049500
2.233333	1	-0.049375
2.250000	1	-0.049125
2.266667	1	-0.049000
2.283333	1	-0.048500
2.300000	1	-0.048125
2.316667	1	-0.048000
2.333333	1	-0.047250
2.350000	1	-0.047375
2.366667	1	-0.047125
2.383333	1	-0.047000
2.400000	1	-0.046375
2.416667	1	-0.046125
2.433333	1	-0.045750
2.450000	1	-0.044750
2.466667	1	-0.045000
2.483333	1	-0.044750
2.500000	1	-0.043500
2.516667	1	-0.043125
2.533333	1	-0.042875
2.550000	1	-0.042125
2.566667	1	-0.041375
2.583333	1	-0.041125
2.600000	1	-0.040500
2.616667	1	-0.040375
2.633333	1	-0.039875
2.650000	1	-0.039375
2.666667	1	-0.038750
2.683333	1	-0.037625
2.700000	1	-0.036500
2.716667	1	-0.035875
2.733333	1	-0.034375
2.750000	1	-0.034125
2.766667	1	-0.033625
2.783333	1	-0.032750
2.800000	1	-0.031625
2.816667	1	-0.030750
2.833333	1	-0.030000
2.850000	1	-0.029375
2.866667	1	-0.028625
2.883333	1	-0.027625
2.900000	1	-0.026625
2.916667	1	-0.026000
2.933333	1	-0.025250
2.950000	1	-0.024250
2.966667	1	-0.023750
2.983333	1	-0.022500
3.000000	1	-0.021500
3.016667	1	-0.021000
3.033333	1	-0.020500
3.050000	1	-0.019500
3.066667	1	-0.018750
3.083333	1	-0.018125
3.100000	1	-0.016750
3.116667	1	-0.015750
3.133333	1	-0.015125
3.150000	1	-0.014250
3.166667	1	-0.013625
3.183333	1	-0.012500
3.200000	1	-0.011750
3.216667	1	-0.011250
3.233333	1	-0.009750
3.250000	1	-0.008750
3.266667	1	-0.007750
3.283333	1	-0.007000
3.300000	1	-0.006250
3.316667	1	-0.005375
3.333333	1	-0.004750
3.350000	1	-0.003625
3.366667	1	-0.002875
3.383333	1	-0.002250
3.400000	1	-0.001375
3.416667	1	-0.000250
3.433333	1	0.000375
3.450000	1	0.001125
3.466667	1	0.002000
3.483333	1	0.003000
3.500000	1	0.004375
3.516667	1	0.004250
3.533333	1	0.005000
3.550000	1	0.005875
3.566667	1	0.006500
3.583333	1	0.006625
3.600000	1	0.007375
3.616667	1	0.008250
3.633333	1	0.009625
3.650000	1	0.010625
3.666667	1	0.010625
3.683333	1	0.011000
3.700000	1	0.011375
3.716667	1	0.011500
3.733333	1	0.011250
3.750000	1	0.011500
3.766667	1	0.011500
3.783333	1	0.011750
3.800000	1	0.012000
3.816667	1	0.013125
3.833333	1	0.012750
3.850000	1	0.013250
3.866667	1	0.013750
3.883333	1	0.014250
3.900000	1	0.013875
3.916667	1	0.013750
3.933333	1	0.013125
3.950000	1	0.013250
3.966667	1	0.013625
3.983333	1	0.013500
4.000000	1	0.013625
4.016667	1	0.013000
4.033333	1	0.012750
4.050000	1	0.013000
4.066667	1	0.012625
4.083333	1	0.012750
4.100000	1	0.012500
4.116667	1	0.012250
4.133333	1	0.012250
4.150000	1	0.011625
4.166667	1	0.011250
4.183333	1	0.011375
4.200000	1	0.011125
4.216667	1	0.011250
4.233333	1	0.010875
4.250000	1	0.011000
4.266667	1	0.011000
4.283333	1	0.010875
4.300000	1	0.010625
4.316667	1	0.009875
4.333333	1	0.009750
4.350000	1	0.009250
4.366667	1	0.008875
4.383333	1	0.008625
4.400000	1	0.007875
4.416667	1	0.007000
4.433333	1	0.006750
4.450000	1	0.006250
4.466667	1	0.006000
4.483333	1	0.005375
4.500000	1	0.005125
4.516667	1	0.004625
4.533333	1	0.004250
4.550000	1	0.004000
4.566667	1	0.003250
4.583333	1	0.002250
4.600000	1	0.001375
4.616667	1	0.001125
4.633333	1	0.001125
4.650000	1	0.000750
4.666667	1	0.000125
4.683333	1	-0.000500
4.700000	1	-0.000875
4.716667	1	-0.001500
4.733333	1	-0.001750
4.750000	1	-0.002000
4.766667	1	-0.002250
4.783333	1	-0.002500
4.800000	1	-0.002875
4.816667	1	-0.002500
4.833333	1	-0.002875
4.850000	1	-0.002750
4.866667	1	-0.002250
4.883333	1	-0.001625
4.900000	1	-0.001625
4.916667	1	-0.001375
4.933333	1	-0.000875
4.950000	1	0.000250
4.966667	1	0.000750
4.983333	1	0.001375
5.000000	1	0.002125
5.016667	1	0.002625
5.033333	1	0.003625
5.050000	1	0.004625
5.066667	1	0.006000
5.083333	1	0.008125
5.100000	1	0.009375
5.116667	1	0.010750
5.133333	1	0.012250
5.150000	1	0.014000
5.166667	1	0.015500
5.183333	1	0.017750
5.200000	1	0.019500
5.216667	1	0.021750
5.233333	1	0.024000
5.250000	1	0.026625
5.266667	1	0.028625
5.283333	1	0.030375
5.300000	1	0.033000
5.316667	1	0.036250
5.333333	1	0.039000
5.350000	1	0.041375
5.366667	1	0.044375
5.383333	1	0.046875
5.400000	1	0.049375
5.416667	1	0.052000
5.433333	1	0.054625
5.450000	1	0.057375
5.466667	1	0.059500
5.483333	1	0.061000
5.500000	1	0.063500
5.516667	1	0.065500
5.533333	1	0.067625
5.550000	1	0.070000
5.566667	1	0.071625
5.583333	1	0.074000
5.600000	1	0.075250
5.616667	1	0.076375
5.633333	1	0.077875
5.650000	1	0.079750
5.666667	1	0.080375
5.683333	1	0.081625
5.700000	1	0.081875
5.716667	1	0.082375
5.733333	1	0.083750
5.750000	1	0.084125
5.766667	1	0.084000
5.783333	1	0.083750
5.800000	1	0.083375
5.816667	1	0.083125
5.833333	1	0.083250
5.850000	1	0.082875
5.866667	1	0.082250
5.883333	1	0.081750
