File Path	chrom://marshall/Chromeleon7/HPLC_Ultimate_3000/Users/markusar/20221226.seq/582.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	Chromeleon7
Injection	ca1.1
Injection Number	26
Position	RD2
Comment	
Processing Method	
Instrument Method	std_method
Type	Unknown
Status	Finished
Injection Date	27.12.2022
Injection Time	09:14:52
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.307750
Signal Max.	94.922625
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.102750
0.016667	1	0.102750
0.033333	1	0.101750
0.050000	1	0.101375
0.066667	1	0.100375
0.083333	1	0.100375
0.100000	1	0.099625
0.116667	1	0.099250
0.133333	1	0.097875
0.150000	1	0.097000
0.166667	1	0.095875
0.183333	1	0.095375
0.200000	1	0.093500
0.216667	1	0.091500
0.233333	1	0.090375
0.250000	1	0.088625
0.266667	1	0.086375
0.283333	1	0.083625
0.300000	1	0.078750
0.316667	1	0.073250
0.333333	1	0.070000
0.350000	1	0.070875
0.366667	1	0.073750
0.383333	1	0.076250
0.400000	1	0.077125
0.416667	1	0.077375
0.433333	1	0.077125
0.450000	1	0.076625
0.466667	1	0.075750
0.483333	1	0.071875
0.500000	1	0.066750
0.516667	1	0.061625
0.533333	1	0.056750
0.550000	1	0.053500
0.566667	1	0.050375
0.583333	1	0.047625
0.600000	1	0.045375
0.616667	1	0.042625
0.633333	1	0.040500
0.650000	1	0.038750
0.666667	1	0.036750
0.683333	1	0.034875
0.700000	1	0.032875
0.716667	1	0.030750
0.733333	1	0.029625
0.750000	1	0.028875
0.766667	1	0.027125
0.783333	1	0.025750
0.800000	1	0.023750
0.816667	1	0.022250
0.833333	1	0.021250
0.850000	1	0.020625
0.866667	1	0.019375
0.883333	1	0.018000
0.900000	1	0.016375
0.916667	1	0.014875
0.933333	1	0.012875
0.950000	1	0.011375
0.966667	1	0.010250
0.983333	1	0.009000
1.000000	1	0.007250
1.016667	1	0.006375
1.033333	1	0.004500
1.050000	1	0.002750
1.066667	1	0.001625
1.083333	1	0.000125
1.100000	1	-0.001875
1.116667	1	-0.003125
1.133333	1	-0.005500
1.150000	1	-0.007375
1.166667	1	-0.009000
1.183333	1	-0.010250
1.200000	1	-0.011750
1.216667	1	-0.013375
1.233333	1	-0.015375
1.250000	1	-0.017500
1.266667	1	-0.019375
1.283333	1	-0.021750
1.300000	1	-0.024250
1.316667	1	-0.026000
1.333333	1	-0.028125
1.350000	1	-0.030375
1.366667	1	-0.033000
1.383333	1	-0.036000
1.400000	1	-0.037750
1.416667	1	-0.040250
1.433333	1	-0.042000
1.450000	1	-0.044500
1.466667	1	-0.047375
1.483333	1	-0.049125
1.500000	1	-0.052125
1.516667	1	-0.054625
1.533333	1	-0.057125
1.550000	1	-0.059500
1.566667	1	-0.061750
1.583333	1	-0.064125
1.600000	1	-0.066125
1.616667	1	-0.067750
1.633333	1	-0.070375
1.650000	1	-0.073000
1.666667	1	-0.075125
1.683333	1	-0.077750
1.700000	1	-0.079875
1.716667	1	-0.081625
1.733333	1	-0.084000
1.750000	1	-0.085625
1.766667	1	-0.087500
1.783333	1	-0.090125
1.800000	1	-0.092500
1.816667	1	-0.094000
1.833333	1	-0.096000
1.850000	1	-0.097750
1.866667	1	-0.099500
1.883333	1	-0.101125
1.900000	1	-0.102750
1.916667	1	-0.104500
1.933333	1	-0.106000
1.950000	1	-0.108125
1.966667	1	-0.110250
1.983333	1	-0.111500
2.000000	1	-0.112750
2.016667	1	-0.114000
2.033333	1	-0.116250
