File Path	chrom://marshall/Chromeleon7/HPLC_Ultimate_3000/Users/markusar/20230107.seq/801.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	Chromeleon7
Injection	er1.1
Injection Number	2
Position	RA2
Comment	
Processing Method	
Instrument Method	std_method
Type	Unknown
Status	Finished
Injection Date	07.01.2023
Injection Time	16:35:01
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.018750
Signal Max.	112.676625
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.002875
0.016667	1	0.001875
0.033333	1	0.001000
0.050000	1	0.000500
0.066667	1	-0.000125
0.083333	1	-0.001375
0.100000	1	-0.001875
0.116667	1	-0.002625
0.133333	1	-0.003375
0.150000	1	-0.004750
0.166667	1	-0.005375
0.183333	1	-0.005750
0.200000	1	-0.006250
0.216667	1	-0.007500
0.233333	1	-0.008125
0.250000	1	-0.008500
0.266667	1	-0.009125
0.283333	1	-0.010000
0.300000	1	-0.011125
0.316667	1	-0.012125
0.333333	1	-0.013125
0.350000	1	-0.014375
0.366667	1	-0.014875
0.383333	1	-0.015000
0.400000	1	-0.015500
0.416667	1	-0.015375
0.433333	1	-0.016250
0.450000	1	-0.016500
0.466667	1	-0.017250
0.483333	1	-0.017000
0.500000	1	-0.017750
0.516667	1	-0.018250
0.533333	1	-0.018500
0.550000	1	-0.018625
0.566667	1	-0.018750
0.583333	1	-0.018500
0.600000	1	-0.017500
0.616667	1	-0.016875
0.633333	1	-0.015625
0.650000	1	-0.014000
0.666667	1	-0.013000
0.683333	1	-0.012125
0.700000	1	-0.010875
0.716667	1	-0.009500
0.733333	1	-0.009375
0.750000	1	-0.009375
0.766667	1	-0.009750
0.783333	1	-0.010875
0.800000	1	-0.011000
0.816667	1	-0.011625
0.833333	1	-0.013125
0.850000	1	-0.013375
0.866667	1	-0.014125
0.883333	1	-0.014625
0.900000	1	-0.015750
0.916667	1	-0.015750
0.933333	1	-0.015875
0.950000	1	-0.015750
0.966667	1	-0.015750
0.983333	1	-0.015500
1.000000	1	-0.015250
1.016667	1	-0.015125
1.033333	1	-0.014750
1.050000	1	-0.014625
1.066667	1	-0.014250
1.083333	1	-0.014125
1.100000	1	-0.013500
1.116667	1	-0.013250
1.133333	1	-0.013000
1.150000	1	-0.012500
1.166667	1	-0.012375
1.183333	1	-0.012000
1.200000	1	-0.010875
1.216667	1	-0.010875
1.233333	1	-0.010500
1.250000	1	-0.010750
