File Path	chrom://marshall/Chromeleon7/HPLC_Ultimate_3000/Users/markusar/20230107.seq/223.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	Chromeleon7
Injection	ri1.2
Injection Number	11
Position	RB3
Comment	
Processing Method	
Instrument Method	std_method
Type	Unknown
Status	Finished
Injection Date	07.01.2023
Injection Time	22:43:46
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.097125
Signal Max.	110.433000
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.134750
0.016667	1	0.137500
0.033333	1	0.140625
0.050000	1	0.142000
0.066667	1	0.144625
0.083333	1	0.146875
0.100000	1	0.149250
0.116667	1	0.151000
0.133333	1	0.152625
0.150000	1	0.154875
0.166667	1	0.157125
0.183333	1	0.159000
0.200000	1	0.159875
0.216667	1	0.161375
0.233333	1	0.163125
0.250000	1	0.163750
0.266667	1	0.164500
0.283333	1	0.165500
0.300000	1	0.166000
0.316667	1	0.167125
0.333333	1	0.167750
0.350000	1	0.168625
0.366667	1	0.168625
0.383333	1	0.168500
0.400000	1	0.169500
0.416667	1	0.169125
0.433333	1	0.168875
0.450000	1	0.168375
0.466667	1	0.167875
0.483333	1	0.167750
0.500000	1	0.166500
0.516667	1	0.165500
0.533333	1	0.164875
0.550000	1	0.163250
0.566667	1	0.162750
0.583333	1	0.162250
0.600000	1	0.161875
0.616667	1	0.161000
0.633333	1	0.160000
0.650000	1	0.159250
0.666667	1	0.158500
0.683333	1	0.157000
0.700000	1	0.156125
0.716667	1	0.155000
0.733333	1	0.153000
0.750000	1	0.151125
0.766667	1	0.148375
0.783333	1	0.146125
0.800000	1	0.143000
0.816667	1	0.139375
0.833333	1	0.136750
0.850000	1	0.134125
0.866667	1	0.131000
0.883333	1	0.127375
0.900000	1	0.124625
0.916667	1	0.121875
0.933333	1	0.119125
0.950000	1	0.116500
0.966667	1	0.113750
0.983333	1	0.111250
1.000000	1	0.109125
1.016667	1	0.106375
1.033333	1	0.103500
1.050000	1	0.101500
1.066667	1	0.099750
1.083333	1	0.097125
1.100000	1	0.094375
1.116667	1	0.092250
1.133333	1	0.090000
1.150000	1	0.087125
1.166667	1	0.084750
1.183333	1	0.082625
1.200000	1	0.080250
1.216667	1	0.077625
1.233333	1	0.074875
1.250000	1	0.072250
1.266667	1	0.069500
1.283333	1	0.067125
1.300000	1	0.064875
1.316667	1	0.062000
1.333333	1	0.059375
1.350000	1	0.057250
1.366667	1	0.054875
1.383333	1	0.052500
1.400000	1	0.050000
1.416667	1	0.047250
1.433333	1	0.044875
1.450000	1	0.042250
1.466667	1	0.038875
1.483333	1	0.036625
1.500000	1	0.034250
1.516667	1	0.031375
1.533333	1	0.029250
1.550000	1	0.026750
1.566667	1	0.023875
1.583333	1	0.021500
1.600000	1	0.019125
1.616667	1	0.017125
1.633333	1	0.014125
1.650000	1	0.010875
1.666667	1	0.008375
1.683333	1	0.006375
1.700000	1	0.003375
1.716667	1	0.001375
1.733333	1	-0.001000
1.750000	1	-0.002875
1.766667	1	-0.005375
1.783333	1	-0.007750
1.800000	1	-0.010625
1.816667	1	-0.013500
1.833333	1	-0.016875
1.850000	1	-0.019250
1.866667	1	-0.022000
1.883333	1	-0.024625
1.900000	1	-0.027500
1.916667	1	-0.030000
1.933333	1	-0.032625
1.950000	1	-0.035250
1.966667	1	-0.038250
1.983333	1	-0.040125
2.000000	1	-0.043125
2.016667	1	-0.046500
2.033333	1	-0.048000
2.050000	1	-0.050875
2.066667	1	-0.053000
2.083333	1	-0.055250
2.100000	1	-0.057375
2.116667	1	-0.059625
2.133333	1	-0.061875
2.150000	1	-0.064250
2.166667	1	-0.066125
2.183333	1	-0.068875
2.200000	1	-0.070500
2.216667	1	-0.072500
2.233333	1	-0.074625
2.250000	1	-0.076500
2.266667	1	-0.078625
2.283333	1	-0.080500
2.300000	1	-0.082500
2.316667	1	-0.083625
2.333333	1	-0.084750
2.350000	1	-0.086250
2.366667	1	-0.087000
2.383333	1	-0.088625
2.400000	1	-0.089875
2.416667	1	-0.091500
2.433333	1	-0.092500
2.450000	1	-0.093000
2.466667	1	-0.093750
2.483333	1	-0.094500
2.500000	1	-0.095500
2.516667	1	-0.095750
2.533333	1	-0.096375
2.550000	1	-0.096625
2.566667	1	-0.095875
2.583333	1	-0.096500
2.600000	1	-0.096750
2.616667	1	-0.097125
2.633333	1	-0.097125
2.650000	1	-0.096500
2.666667	1	-0.095875
2.683333	1	-0.095750
2.700000	1	-0.095500
2.716667	1	-0.095500
2.733333	1	-0.094750
2.750000	1	-0.093875
2.766667	1	-0.093250
2.783333	1	-0.092250
2.800000	1	-0.091250
2.816667	1	-0.090250
2.833333	1	-0.089125
2.850000	1	-0.088625
2.866667	1	-0.087500
2.883333	1	-0.086375
2.900000	1	-0.085250
2.916667	1	-0.084000
2.933333	1	-0.082000
2.950000	1	-0.080750
2.966667	1	-0.080000
2.983333	1	-0.078250
3.000000	1	-0.077500
3.016667	1	-0.075500
3.033333	1	-0.074375
3.050000	1	-0.072875
3.066667	1	-0.071125
3.083333	1	-0.069625
3.100000	1	-0.068375
3.116667	1	-0.066125
3.133333	1	-0.064500
3.150000	1	-0.063250
3.166667	1	-0.061625
3.183333	1	-0.059000
3.200000	1	-0.057250
3.216667	1	-0.055750
3.233333	1	-0.053875
3.250000	1	-0.051750
3.266667	1	-0.049500
3.283333	1	-0.047375
3.300000	1	-0.044750
3.316667	1	-0.042375
3.333333	1	-0.040375
3.350000	1	-0.038000
3.366667	1	-0.036125
3.383333	1	-0.034000
3.400000	1	-0.031250
3.416667	1	-0.029375
3.433333	1	-0.026875
3.450000	1	-0.024750
3.466667	1	-0.022625
3.483333	1	-0.020250
3.500000	1	-0.018000
3.516667	1	-0.015750
