File Path	chrom://marshall/Chromeleon7/HPLC_Ultimate_3000/Users/markusar/20221226.seq/188.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	Chromeleon7
Injection	ri1
Injection Number	2
Position	RA2
Comment	
Processing Method	
Instrument Method	std_method
Type	Unknown
Status	Finished
Injection Date	26.12.2022
Injection Time	16:51:30
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.012250
Signal Max.	98.100750
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.038375
0.016667	1	0.037750
0.033333	1	0.036625
0.050000	1	0.036875
0.066667	1	0.036500
0.083333	1	0.036625
0.100000	1	0.036125
0.116667	1	0.036000
0.133333	1	0.035625
0.150000	1	0.036000
0.166667	1	0.036000
0.183333	1	0.035875
0.200000	1	0.035875
0.216667	1	0.035500
0.233333	1	0.035625
0.250000	1	0.035625
0.266667	1	0.034750
0.283333	1	0.032250
0.300000	1	0.029000
0.316667	1	0.026375
0.333333	1	0.027375
0.350000	1	0.032000
0.366667	1	0.036750
0.383333	1	0.040250
0.400000	1	0.042250
0.416667	1	0.044375
0.433333	1	0.045625
0.450000	1	0.046125
0.466667	1	0.045000
0.483333	1	0.041875
0.500000	1	0.038000
0.516667	1	0.034000
0.533333	1	0.031250
0.550000	1	0.030000
0.566667	1	0.028875
0.583333	1	0.027875
0.600000	1	0.027000
0.616667	1	0.026625
0.633333	1	0.026375
0.650000	1	0.026000
0.666667	1	0.025125
0.683333	1	0.024750
0.700000	1	0.024250
0.716667	1	0.023750
0.733333	1	0.023625
0.750000	1	0.023250
0.766667	1	0.023375
0.783333	1	0.023125
0.800000	1	0.022250
0.816667	1	0.021625
0.833333	1	0.021375
0.850000	1	0.021250
0.866667	1	0.021625
0.883333	1	0.021625
0.900000	1	0.021125
0.916667	1	0.020125
0.933333	1	0.020125
0.950000	1	0.019500
0.966667	1	0.019500
0.983333	1	0.018500
1.000000	1	0.018375
1.016667	1	0.017625
1.033333	1	0.016125
1.050000	1	0.015375
1.066667	1	0.014375
1.083333	1	0.014250
1.100000	1	0.012500
1.116667	1	0.012125
1.133333	1	0.011500
1.150000	1	0.010750
1.166667	1	0.011125
1.183333	1	0.010500
1.200000	1	0.010000
1.216667	1	0.009500
1.233333	1	0.008875
1.250000	1	0.008375
1.266667	1	0.008125
1.283333	1	0.007875
1.300000	1	0.007875
1.316667	1	0.008000
1.333333	1	0.007750
1.350000	1	0.007875
1.366667	1	0.008125
1.383333	1	0.008375
1.400000	1	0.007875
1.416667	1	0.007750
1.433333	1	0.007750
1.450000	1	0.008375
1.466667	1	0.008875
1.483333	1	0.009250
1.500000	1	0.008875
1.516667	1	0.009000
1.533333	1	0.009125
1.550000	1	0.009125
1.566667	1	0.009500
1.583333	1	0.009125
1.600000	1	0.009375
1.616667	1	0.009875
1.633333	1	0.010250
1.650000	1	0.010625
1.666667	1	0.010375
1.683333	1	0.010125
1.700000	1	0.010000
1.716667	1	0.010500
1.733333	1	0.010625
1.750000	1	0.010625
1.766667	1	0.010500
1.783333	1	0.009875
1.800000	1	0.009625
1.816667	1	0.009375
1.833333	1	0.009375
1.850000	1	0.009500
1.866667	1	0.009125
1.883333	1	0.008500
1.900000	1	0.009125
1.916667	1	0.009250
1.933333	1	0.009250
1.950000	1	0.008875
1.966667	1	0.008750
1.983333	1	0.008500
2.000000	1	0.007875
2.016667	1	0.007875
2.033333	1	0.007250
2.050000	1	0.006750
2.066667	1	0.006500
2.083333	1	0.006625
2.100000	1	0.006375
2.116667	1	0.005875
2.133333	1	0.005875
2.150000	1	0.006125
2.166667	1	0.006500
2.183333	1	0.006750
2.200000	1	0.006375
2.216667	1	0.006250
2.233333	1	0.006625
2.250000	1	0.006875
2.266667	1	0.007125
2.283333	1	0.007375
2.300000	1	0.008000
2.316667	1	0.008000
2.333333	1	0.008250
2.350000	1	0.008250
2.366667	1	0.009375
2.383333	1	0.009750
2.400000	1	0.010125
2.416667	1	0.010750
2.433333	1	0.010875
2.450000	1	0.011250
2.466667	1	0.012125
2.483333	1	0.011875
2.500000	1	0.012750
2.516667	1	0.013625
2.533333	1	0.013500
2.550000	1	0.013750
2.566667	1	0.014250
2.583333	1	0.014375
2.600000	1	0.015125
2.616667	1	0.015625
2.633333	1	0.016125
2.650000	1	0.016750
2.666667	1	0.016875
2.683333	1	0.016750
2.700000	1	0.017250
2.716667	1	0.017875
2.733333	1	0.018000
2.750000	1	0.017500
2.766667	1	0.017625
2.783333	1	0.018500
2.800000	1	0.018500
2.816667	1	0.018625
2.833333	1	0.018625
2.850000	1	0.018125
2.866667	1	0.017875
2.883333	1	0.017500
2.900000	1	0.017500
2.916667	1	0.017125
2.933333	1	0.017125
2.950000	1	0.017125
2.966667	1	0.016875
2.983333	1	0.016250
3.000000	1	0.016500
3.016667	1	0.016125
3.033333	1	0.016000
3.050000	1	0.015750
3.066667	1	0.016000
3.083333	1	0.016250
3.100000	1	0.016250
3.116667	1	0.016250
3.133333	1	0.016625
3.150000	1	0.016625
3.166667	1	0.016500
3.183333	1	0.016500
3.200000	1	0.016250
3.216667	1	0.015875
3.233333	1	0.015875
3.250000	1	0.015125
3.266667	1	0.014875
3.283333	1	0.015125
3.300000	1	0.015625
3.316667	1	0.015375
3.333333	1	0.015500
3.350000	1	0.015750
3.366667	1	0.016500
3.383333	1	0.016500
3.400000	1	0.016625
3.416667	1	0.016250
3.433333	1	0.016875
3.450000	1	0.017250
3.466667	1	0.017875
3.483333	1	0.017875
3.500000	1	0.018500
3.516667	1	0.019000
3.533333	1	0.019000
3.550000	1	0.018750
3.566667	1	0.019000
3.583333	1	0.019625
3.600000	1	0.020875
3.616667	1	0.021250
3.633333	1	0.021375
3.650000	1	0.021875
3.666667	1	0.022250
3.683333	1	0.023000
3.700000	1	0.023500
3.716667	1	0.024250
3.733333	1	0.024375
3.750000	1	0.025000
3.766667	1	0.025375
3.783333	1	0.026000
3.800000	1	0.027000
3.816667	1	0.028000
3.833333	1	0.027750
3.850000	1	0.029125
3.866667	1	0.029750
3.883333	1	0.030875
3.900000	1	0.031125
3.916667	1	0.031625
3.933333	1	0.032250
