File Path	chrom://marshall/Chromeleon7/HPLC_Ultimate_3000/Users/markusar/20230107.seq/963.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	Chromeleon7
Injection	ri2.4
Injection Number	17
Position	RC1
Comment	
Processing Method	
Instrument Method	std_method
Type	Unknown
Status	Finished
Injection Date	08.01.2023
Injection Time	02:49:36
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.062875
Signal Max.	109.776875
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.156250
0.016667	1	0.158125
0.033333	1	0.160625
0.050000	1	0.163125
0.066667	1	0.165500
0.083333	1	0.167625
0.100000	1	0.169500
0.116667	1	0.170750
0.133333	1	0.172125
0.150000	1	0.173375
0.166667	1	0.174875
0.183333	1	0.176500
0.200000	1	0.178250
0.216667	1	0.179625
0.233333	1	0.181125
0.250000	1	0.181875
0.266667	1	0.183000
0.283333	1	0.184000
0.300000	1	0.184500
0.316667	1	0.185125
0.333333	1	0.185625
0.350000	1	0.186250
0.366667	1	0.186500
0.383333	1	0.186375
0.400000	1	0.186250
0.416667	1	0.186000
0.433333	1	0.185250
0.450000	1	0.184625
0.466667	1	0.183875
0.483333	1	0.183375
0.500000	1	0.182375
0.516667	1	0.180250
0.533333	1	0.178750
0.550000	1	0.177125
0.566667	1	0.176000
0.583333	1	0.174750
0.600000	1	0.174250
0.616667	1	0.173375
0.633333	1	0.172750
0.650000	1	0.171875
0.666667	1	0.171250
0.683333	1	0.170125
0.700000	1	0.169000
0.716667	1	0.167125
0.733333	1	0.165625
0.750000	1	0.163125
0.766667	1	0.160625
0.783333	1	0.157500
0.800000	1	0.154125
0.816667	1	0.151625
0.833333	1	0.148250
0.850000	1	0.145250
0.866667	1	0.142625
0.883333	1	0.139750
0.900000	1	0.137125
0.916667	1	0.134500
0.933333	1	0.132250
0.950000	1	0.130000
0.966667	1	0.127625
0.983333	1	0.125750
1.000000	1	0.123000
1.016667	1	0.120875
1.033333	1	0.118875
1.050000	1	0.116500
1.066667	1	0.115000
1.083333	1	0.113250
1.100000	1	0.112125
1.116667	1	0.109875
1.133333	1	0.108375
1.150000	1	0.106500
1.166667	1	0.104625
1.183333	1	0.104000
1.200000	1	0.102625
1.216667	1	0.100875
1.233333	1	0.099250
1.250000	1	0.097375
1.266667	1	0.095375
1.283333	1	0.093750
1.300000	1	0.092125
1.316667	1	0.091500
1.333333	1	0.090000
1.350000	1	0.088625
1.366667	1	0.086500
1.383333	1	0.084875
1.400000	1	0.083375
1.416667	1	0.081875
1.433333	1	0.080250
1.450000	1	0.078875
1.466667	1	0.077000
1.483333	1	0.075125
1.500000	1	0.073875
1.516667	1	0.072125
1.533333	1	0.070250
1.550000	1	0.068750
1.566667	1	0.066875
1.583333	1	0.065125
1.600000	1	0.063250
1.616667	1	0.061625
1.633333	1	0.060000
1.650000	1	0.058250
1.666667	1	0.056750
1.683333	1	0.054750
1.700000	1	0.052500
1.716667	1	0.050250
1.733333	1	0.048750
1.750000	1	0.046875
1.766667	1	0.044875
1.783333	1	0.043250
1.800000	1	0.041500
1.816667	1	0.038500
1.833333	1	0.036750
1.850000	1	0.034375
1.866667	1	0.032125
1.883333	1	0.030875
1.900000	1	0.028625
1.916667	1	0.027125
1.933333	1	0.024750
1.950000	1	0.022375
1.966667	1	0.019750
1.983333	1	0.017625
2.000000	1	0.015625
2.016667	1	0.013625
2.033333	1	0.012000
2.050000	1	0.010000
2.066667	1	0.007375
2.083333	1	0.005625
2.100000	1	0.003250
2.116667	1	0.001500
2.133333	1	-0.000750
2.150000	1	-0.003000
2.166667	1	-0.005375
2.183333	1	-0.007250
2.200000	1	-0.009750
2.216667	1	-0.012000
2.233333	1	-0.013625
2.250000	1	-0.015875
2.266667	1	-0.018625
2.283333	1	-0.021000
2.300000	1	-0.022500
2.316667	1	-0.024625
2.333333	1	-0.026500
2.350000	1	-0.028375
2.366667	1	-0.030625
2.383333	1	-0.032875
2.400000	1	-0.034625
2.416667	1	-0.036125
2.433333	1	-0.038500
2.450000	1	-0.040125
2.466667	1	-0.042125
2.483333	1	-0.044000
2.500000	1	-0.046000
2.516667	1	-0.047625
2.533333	1	-0.048875
2.550000	1	-0.050250
2.566667	1	-0.052250
2.583333	1	-0.053625
2.600000	1	-0.054875
2.616667	1	-0.056125
2.633333	1	-0.056875
2.650000	1	-0.057375
2.666667	1	-0.058125
2.683333	1	-0.058625
2.700000	1	-0.059625
2.716667	1	-0.060750
2.733333	1	-0.061500
2.750000	1	-0.062500
2.766667	1	-0.062875
2.783333	1	-0.062750
2.800000	1	-0.062750
2.816667	1	-0.062000
2.833333	1	-0.062125
2.850000	1	-0.062250
2.866667	1	-0.062250
2.883333	1	-0.062000
2.900000	1	-0.061250
2.916667	1	-0.061250
2.933333	1	-0.061000
2.950000	1	-0.059500
2.966667	1	-0.058875
2.983333	1	-0.057875
3.000000	1	-0.057250
3.016667	1	-0.056375
3.033333	1	-0.055125
3.050000	1	-0.053750
3.066667	1	-0.053000
3.083333	1	-0.051625
3.100000	1	-0.050000
3.116667	1	-0.049000
3.133333	1	-0.047375
3.150000	1	-0.045625
3.166667	1	-0.043625
3.183333	1	-0.041750
3.200000	1	-0.039375
3.216667	1	-0.037250
3.233333	1	-0.035375
3.250000	1	-0.032750
3.266667	1	-0.030875
3.283333	1	-0.028250
3.300000	1	-0.025250
3.316667	1	-0.022375
3.333333	1	-0.020000
3.350000	1	-0.016875
3.366667	1	-0.014250
3.383333	1	-0.011500
3.400000	1	-0.008125
3.416667	1	-0.005250
3.433333	1	-0.002375
3.450000	1	0.000750
3.466667	1	0.004125
3.483333	1	0.007125
3.500000	1	0.010625
3.516667	1	0.014125
3.533333	1	0.016875
3.550000	1	0.020625
3.566667	1	0.023250
3.583333	1	0.026625
3.600000	1	0.030125
3.616667	1	0.033250
3.633333	1	0.035875
3.650000	1	0.038875
3.666667	1	0.042000
3.683333	1	0.045125
3.700000	1	0.048500
3.716667	1	0.051875
3.733333	1	0.054875
3.750000	1	0.057625
3.766667	1	0.060500
3.783333	1	0.062750
3.800000	1	0.065000
3.816667	1	0.067625
3.833333	1	0.070375
3.850000	1	0.072375
3.866667	1	0.075125
3.883333	1	0.077125
3.900000	1	0.079125
3.916667	1	0.081625
3.933333	1	0.084500
3.950000	1	0.086250
3.966667	1	0.087625
3.983333	1	0.090000
4.000000	1	0.091750
4.016667	1	0.093125
4.033333	1	0.094750
4.050000	1	0.096375
4.066667	1	0.097375
4.083333	1	0.099125
4.100000	1	0.100750
4.116667	1	0.101500
4.133333	1	0.102125
4.150000	1	0.103375
4.166667	1	0.103500
4.183333	1	0.104000
4.200000	1	0.104125
4.216667	1	0.104625
4.233333	1	0.105375
4.250000	1	0.106125
4.266667	1	0.105500
4.283333	1	0.105625
4.300000	1	0.105750
4.316667	1	0.105625
4.333333	1	0.106250
4.350000	1	0.105875
4.366667	1	0.105375
4.383333	1	0.105000
4.400000	1	0.104125
4.416667	1	0.103875
