File Path	chrom://marshall/Chromeleon7/HPLC_Ultimate_3000/Users/markusar/20230610_CMO_FP11_FP12.seq/455.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	Chromeleon7
Injection	FP11_7_S4
Injection Number	5
Position	BA4
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	10.06.2023
Injection Time	21:27:44
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.625125
Signal Max.	37.106375
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.014750
0.016667	1	-0.015125
0.033333	1	-0.015250
0.050000	1	-0.014875
0.066667	1	-0.014000
0.083333	1	-0.013375
0.100000	1	-0.013375
0.116667	1	-0.012875
0.133333	1	-0.012625
0.150000	1	-0.012125
0.166667	1	-0.011500
0.183333	1	-0.011000
0.200000	1	-0.010250
0.216667	1	-0.010375
0.233333	1	-0.010125
0.250000	1	-0.009875
0.266667	1	-0.009500
0.283333	1	-0.009375
0.300000	1	-0.008625
0.316667	1	-0.009375
0.333333	1	-0.010750
0.350000	1	-0.014750
0.366667	1	-0.017750
0.383333	1	-0.018125
0.400000	1	-0.016250
0.416667	1	-0.013000
0.433333	1	-0.009750
0.450000	1	-0.006500
0.466667	1	-0.004125
0.483333	1	-0.002375
0.500000	1	-0.000125
0.516667	1	0.000750
0.533333	1	0.001250
0.550000	1	-0.000500
0.566667	1	-0.002625
0.583333	1	-0.005375
0.600000	1	-0.007875
0.616667	1	-0.010500
0.633333	1	-0.012375
0.650000	1	-0.014125
0.666667	1	-0.016250
0.683333	1	-0.018375
0.700000	1	-0.020375
0.716667	1	-0.021750
0.733333	1	-0.023500
0.750000	1	-0.025500
0.766667	1	-0.027375
0.783333	1	-0.028875
0.800000	1	-0.030375
0.816667	1	-0.032500
0.833333	1	-0.034125
0.850000	1	-0.035375
0.866667	1	-0.036875
0.883333	1	-0.038875
0.900000	1	-0.040250
0.916667	1	-0.041750
0.933333	1	-0.043625
0.950000	1	-0.045000
0.966667	1	-0.046500
0.983333	1	-0.047875
1.000000	1	-0.048750
1.016667	1	-0.049500
1.033333	1	-0.050750
1.050000	1	-0.051875
1.066667	1	-0.052750
1.083333	1	-0.053750
1.100000	1	-0.054625
1.116667	1	-0.055125
1.133333	1	-0.055875
1.150000	1	-0.057125
1.166667	1	-0.057250
1.183333	1	-0.058250
1.200000	1	-0.058250
1.216667	1	-0.058625
1.233333	1	-0.058250
1.250000	1	-0.059375
1.266667	1	-0.059375
1.283333	1	-0.059625
1.300000	1	-0.059875
1.316667	1	-0.059625
1.333333	1	-0.059750
1.350000	1	-0.059750
1.366667	1	-0.059875
1.383333	1	-0.059875
1.400000	1	-0.059625
1.416667	1	-0.059250
1.433333	1	-0.059625
1.450000	1	-0.059500
1.466667	1	-0.059500
1.483333	1	-0.058750
1.500000	1	-0.058125
1.516667	1	-0.058250
1.533333	1	-0.058000
1.550000	1	-0.057750
1.566667	1	-0.057750
1.583333	1	-0.057750
1.600000	1	-0.057625
1.616667	1	-0.057625
1.633333	1	-0.056875
1.650000	1	-0.056875
1.666667	1	-0.056250
1.683333	1	-0.055375
1.700000	1	-0.055000
1.716667	1	-0.054500
1.733333	1	-0.054375
1.750000	1	-0.054125
1.766667	1	-0.054250
1.783333	1	-0.054375
1.800000	1	-0.054875
1.816667	1	-0.054375
1.833333	1	-0.053875
1.850000	1	-0.053500
1.866667	1	-0.053375
1.883333	1	-0.053375
1.900000	1	-0.053000
1.916667	1	-0.052750
1.933333	1	-0.053375
1.950000	1	-0.053625
1.966667	1	-0.053500
1.983333	1	-0.052875
2.000000	1	-0.052125
2.016667	1	-0.052250
2.033333	1	-0.051875
2.050000	1	-0.051625
2.066667	1	-0.051000
2.083333	1	-0.051750
2.100000	1	-0.052125
2.116667	1	-0.052375
2.133333	1	-0.052125
2.150000	1	-0.052375
2.166667	1	-0.051625
2.183333	1	-0.051625
2.200000	1	-0.051500
2.216667	1	-0.051625
2.233333	1	-0.051250
2.250000	1	-0.051625
2.266667	1	-0.050750
2.283333	1	-0.050375
2.300000	1	-0.050750
2.316667	1	-0.050625
2.333333	1	-0.050375
2.350000	1	-0.050500
2.366667	1	-0.050250
2.383333	1	-0.050125
2.400000	1	-0.049750
2.416667	1	-0.049750
2.433333	1	-0.049250
2.450000	1	-0.049500
2.466667	1	-0.048500
2.483333	1	-0.048750
2.500000	1	-0.048250
2.516667	1	-0.048000
2.533333	1	-0.047000
2.550000	1	-0.046625
2.566667	1	-0.046125
2.583333	1	-0.045875
2.600000	1	-0.045750
2.616667	1	-0.044875
2.633333	1	-0.044625
2.650000	1	-0.044500
2.666667	1	-0.044375
2.683333	1	-0.044250
2.700000	1	-0.043875
2.716667	1	-0.044375
2.733333	1	-0.043750
2.750000	1	-0.043750
2.766667	1	-0.043750
2.783333	1	-0.043500
2.800000	1	-0.043000
2.816667	1	-0.043125
2.833333	1	-0.043250
2.850000	1	-0.042750
2.866667	1	-0.042625
2.883333	1	-0.042750
2.900000	1	-0.042875
2.916667	1	-0.043250
2.933333	1	-0.043250
2.950000	1	-0.042750
2.966667	1	-0.043125
2.983333	1	-0.042875
3.000000	1	-0.042625
3.016667	1	-0.042625
3.033333	1	-0.042625
3.050000	1	-0.042875
3.066667	1	-0.043125
3.083333	1	-0.043625
3.100000	1	-0.043875
3.116667	1	-0.044125
3.133333	1	-0.044375
3.150000	1	-0.044375
3.166667	1	-0.043875
3.183333	1	-0.043500
3.200000	1	-0.043625
3.216667	1	-0.043875
3.233333	1	-0.043750
3.250000	1	-0.043500
3.266667	1	-0.043500
3.283333	1	-0.043250
3.300000	1	-0.043500
3.316667	1	-0.042750
3.333333	1	-0.042625
3.350000	1	-0.042625
3.366667	1	-0.042500
3.383333	1	-0.042375
3.400000	1	-0.041500
3.416667	1	-0.040875
3.433333	1	-0.040625
3.450000	1	-0.040125
3.466667	1	-0.039375
3.483333	1	-0.038875
3.500000	1	-0.038625
3.516667	1	-0.038375
3.533333	1	-0.037875
3.550000	1	-0.037625
3.566667	1	-0.037375
3.583333	1	-0.036875
3.600000	1	-0.036000
3.616667	1	-0.035750
3.633333	1	-0.035375
3.650000	1	-0.034250
3.666667	1	-0.034000
3.683333	1	-0.033125
3.700000	1	-0.032625
3.716667	1	-0.032000
3.733333	1	-0.031000
3.750000	1	-0.030000
3.766667	1	-0.029250
3.783333	1	-0.028500
3.800000	1	-0.028250
3.816667	1	-0.027375
3.833333	1	-0.026625
