File Path	chrom://990-75db15j/XVault/Ultimate_3000/1256/20230531_CMO_stabTest _FP08_FP09.seq/486.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	XVault
Injection	FP08_7_s5
Injection Number	41
Position	BE7
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	02.06.2023
Injection Time	16:15:04
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.254250
Signal Max.	50.576125
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.037500
0.016667	1	-0.038000
0.033333	1	-0.039250
0.050000	1	-0.039750
0.066667	1	-0.040750
0.083333	1	-0.042250
0.100000	1	-0.043125
0.116667	1	-0.043125
0.133333	1	-0.043625
0.150000	1	-0.044250
0.166667	1	-0.045000
0.183333	1	-0.046250
0.200000	1	-0.046250
0.216667	1	-0.046375
0.233333	1	-0.046375
0.250000	1	-0.046500
0.266667	1	-0.047000
0.283333	1	-0.047500
0.300000	1	-0.049625
0.316667	1	-0.053125
0.333333	1	-0.055125
0.350000	1	-0.055000
0.366667	1	-0.052000
0.383333	1	-0.047750
0.400000	1	-0.043750
0.416667	1	-0.040375
0.433333	1	-0.037500
0.450000	1	-0.034625
0.466667	1	-0.032750
0.483333	1	-0.031875
0.500000	1	-0.032875
0.516667	1	-0.034250
0.533333	1	-0.035875
0.550000	1	-0.036875
0.566667	1	-0.037875
0.583333	1	-0.038250
0.600000	1	-0.038875
0.616667	1	-0.039625
0.633333	1	-0.039375
0.650000	1	-0.039625
0.666667	1	-0.039375
0.683333	1	-0.039625
0.700000	1	-0.039250
0.716667	1	-0.039250
0.733333	1	-0.039750
0.750000	1	-0.039625
0.766667	1	-0.039500
0.783333	1	-0.039125
0.800000	1	-0.038875
0.816667	1	-0.039250
0.833333	1	-0.039625
0.850000	1	-0.039125
0.866667	1	-0.039000
0.883333	1	-0.038625
0.900000	1	-0.038375
0.916667	1	-0.038750
0.933333	1	-0.038500
0.950000	1	-0.039125
0.966667	1	-0.039125
0.983333	1	-0.039625
1.000000	1	-0.039750
1.016667	1	-0.039375
1.033333	1	-0.039125
1.050000	1	-0.039500
1.066667	1	-0.039750
1.083333	1	-0.039625
1.100000	1	-0.039500
1.116667	1	-0.039750
1.133333	1	-0.039625
1.150000	1	-0.040250
1.166667	1	-0.041125
1.183333	1	-0.041500
1.200000	1	-0.041625
1.216667	1	-0.041250
1.233333	1	-0.041875
1.250000	1	-0.042250
1.266667	1	-0.042875
1.283333	1	-0.044000
1.300000	1	-0.044375
1.316667	1	-0.045125
1.333333	1	-0.045125
1.350000	1	-0.045875
1.366667	1	-0.046375
1.383333	1	-0.047000
1.400000	1	-0.047500
1.416667	1	-0.048250
1.433333	1	-0.049375
1.450000	1	-0.049750
1.466667	1	-0.050875
1.483333	1	-0.051125
1.500000	1	-0.052125
1.516667	1	-0.053125
1.533333	1	-0.054250
1.550000	1	-0.054875
1.566667	1	-0.056125
1.583333	1	-0.057125
1.600000	1	-0.058375
1.616667	1	-0.058500
1.633333	1	-0.059125
1.650000	1	-0.060375
1.666667	1	-0.060750
1.683333	1	-0.061750
1.700000	1	-0.062625
1.716667	1	-0.063375
1.733333	1	-0.064125
1.750000	1	-0.064875
1.766667	1	-0.064500
1.783333	1	-0.064625
1.800000	1	-0.064875
1.816667	1	-0.064875
1.833333	1	-0.064875
1.850000	1	-0.065000
1.866667	1	-0.064625
1.883333	1	-0.064125
1.900000	1	-0.064000
1.916667	1	-0.063625
1.933333	1	-0.063250
1.950000	1	-0.062625
1.966667	1	-0.062375
1.983333	1	-0.061500
2.000000	1	-0.060625
2.016667	1	-0.059375
2.033333	1	-0.058625
2.050000	1	-0.058000
2.066667	1	-0.056750
2.083333	1	-0.055750
2.100000	1	-0.054625
2.116667	1	-0.053750
2.133333	1	-0.052875
2.150000	1	-0.052125
2.166667	1	-0.051750
2.183333	1	-0.050625
2.200000	1	-0.049500
2.216667	1	-0.048625
2.233333	1	-0.047000
2.250000	1	-0.045875
2.266667	1	-0.045250
2.283333	1	-0.044000
