File Path	chrom://990-75db15j/XVault/Ultimate_3000/1256/20230531_CMO_stabTest _FP08_FP09.seq/928.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	XVault
Injection	FP08_6_s3
Injection Number	34
Position	BD12
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	02.06.2023
Injection Time	11:16:50
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.426875
Signal Max.	57.302875
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.018875
0.016667	1	-0.020250
0.033333	1	-0.020750
0.050000	1	-0.021500
0.066667	1	-0.021250
0.083333	1	-0.021625
0.100000	1	-0.022625
0.116667	1	-0.023250
0.133333	1	-0.024000
0.150000	1	-0.024750
0.166667	1	-0.025625
0.183333	1	-0.026125
0.200000	1	-0.026625
0.216667	1	-0.026625
0.233333	1	-0.026875
0.250000	1	-0.027125
0.266667	1	-0.026500
0.283333	1	-0.027625
0.300000	1	-0.029375
0.316667	1	-0.033125
0.333333	1	-0.037000
0.350000	1	-0.038000
0.366667	1	-0.035625
0.383333	1	-0.032000
0.400000	1	-0.028125
0.416667	1	-0.024750
0.433333	1	-0.021875
0.450000	1	-0.019500
0.466667	1	-0.017000
0.483333	1	-0.017125
0.500000	1	-0.018500
0.516667	1	-0.020375
0.533333	1	-0.022625
0.550000	1	-0.024625
0.566667	1	-0.026250
0.583333	1	-0.028125
0.600000	1	-0.029500
0.616667	1	-0.030750
0.633333	1	-0.032250
0.650000	1	-0.032875
0.666667	1	-0.033500
0.683333	1	-0.034500
0.700000	1	-0.036000
0.716667	1	-0.036750
0.733333	1	-0.037375
0.750000	1	-0.037000
0.766667	1	-0.036875
0.783333	1	-0.036625
0.800000	1	-0.036125
0.816667	1	-0.035875
0.833333	1	-0.035500
0.850000	1	-0.034375
0.866667	1	-0.034375
0.883333	1	-0.033250
0.900000	1	-0.033375
0.916667	1	-0.032375
0.933333	1	-0.032000
0.950000	1	-0.031250
0.966667	1	-0.030750
0.983333	1	-0.030125
1.000000	1	-0.030000
1.016667	1	-0.029125
1.033333	1	-0.028500
1.050000	1	-0.027875
1.066667	1	-0.026750
1.083333	1	-0.026125
1.100000	1	-0.025125
1.116667	1	-0.024875
1.133333	1	-0.024625
1.150000	1	-0.024750
1.166667	1	-0.023750
1.183333	1	-0.023375
1.200000	1	-0.023125
1.216667	1	-0.023125
1.233333	1	-0.023125
1.250000	1	-0.023000
1.266667	1	-0.022000
1.283333	1	-0.022250
1.300000	1	-0.021500
1.316667	1	-0.021750
1.333333	1	-0.021875
1.350000	1	-0.021500
1.366667	1	-0.021375
1.383333	1	-0.021375
1.400000	1	-0.021500
1.416667	1	-0.021875
1.433333	1	-0.021250
1.450000	1	-0.021500
1.466667	1	-0.021125
1.483333	1	-0.020625
1.500000	1	-0.021000
1.516667	1	-0.021125
1.533333	1	-0.022125
1.550000	1	-0.023125
1.566667	1	-0.023625
1.583333	1	-0.024625
1.600000	1	-0.025000
1.616667	1	-0.026000
1.633333	1	-0.026000
1.650000	1	-0.026000
1.666667	1	-0.026375
1.683333	1	-0.027000
1.700000	1	-0.027875
1.716667	1	-0.028625
1.733333	1	-0.029875
1.750000	1	-0.030000
1.766667	1	-0.031000
1.783333	1	-0.031750
1.800000	1	-0.032500
1.816667	1	-0.032875
1.833333	1	-0.032875
1.850000	1	-0.032875
1.866667	1	-0.033625
1.883333	1	-0.034625
1.900000	1	-0.035750
1.916667	1	-0.036375
1.933333	1	-0.037000
1.950000	1	-0.037500
1.966667	1	-0.037500
1.983333	1	-0.038375
2.000000	1	-0.038875
2.016667	1	-0.039750
2.033333	1	-0.040125
2.050000	1	-0.041125
2.066667	1	-0.042125
2.083333	1	-0.042250
2.100000	1	-0.043125
2.116667	1	-0.043750
2.133333	1	-0.043625
2.150000	1	-0.043875
2.166667	1	-0.043750
2.183333	1	-0.043500
2.200000	1	-0.043750
2.216667	1	-0.043250
2.233333	1	-0.043375
2.250000	1	-0.042875
2.266667	1	-0.043125
2.283333	1	-0.042375
2.300000	1	-0.041875
2.316667	1	-0.041625
2.333333	1	-0.041000
2.350000	1	-0.040250
2.366667	1	-0.039875
2.383333	1	-0.039875
2.400000	1	-0.039625
2.416667	1	-0.038250
2.433333	1	-0.037250
2.450000	1	-0.036375
2.466667	1	-0.036250
2.483333	1	-0.035750
2.500000	1	-0.034625
2.516667	1	-0.033750
2.533333	1	-0.033625
2.550000	1	-0.033125
2.566667	1	-0.032375
2.583333	1	-0.031250
2.600000	1	-0.029875
2.616667	1	-0.028625
2.633333	1	-0.027625
2.650000	1	-0.027125
2.666667	1	-0.026625
2.683333	1	-0.025500
2.700000	1	-0.025125
2.716667	1	-0.024875
2.733333	1	-0.024500
2.750000	1	-0.024000
2.766667	1	-0.023750
2.783333	1	-0.023375
2.800000	1	-0.022000
2.816667	1	-0.021250
2.833333	1	-0.021125
2.850000	1	-0.021000
2.866667	1	-0.021250
2.883333	1	-0.021125
2.900000	1	-0.021500
2.916667	1	-0.020875
2.933333	1	-0.020500
2.950000	1	-0.020250
2.966667	1	-0.020250
2.983333	1	-0.020500
3.000000	1	-0.020875
3.016667	1	-0.020500
3.033333	1	-0.020250
3.050000	1	-0.020125
3.066667	1	-0.020875
3.083333	1	-0.020875
3.100000	1	-0.021250
3.116667	1	-0.021125
3.133333	1	-0.020625
3.150000	1	-0.021375
3.166667	1	-0.021125
3.183333	1	-0.021625
3.200000	1	-0.021875
3.216667	1	-0.021625
3.233333	1	-0.022250
3.250000	1	-0.023000
3.266667	1	-0.023000
3.283333	1	-0.023500
3.300000	1	-0.023875
3.316667	1	-0.024875
3.333333	1	-0.025500
3.350000	1	-0.026125
3.366667	1	-0.026250
3.383333	1	-0.027375
3.400000	1	-0.028250
3.416667	1	-0.028625
3.433333	1	-0.029000
3.450000	1	-0.030000
3.466667	1	-0.030375
3.483333	1	-0.031250
3.500000	1	-0.032125
3.516667	1	-0.033000
3.533333	1	-0.033500
3.550000	1	-0.034250
3.566667	1	-0.034250
3.583333	1	-0.034500
3.600000	1	-0.035000
3.616667	1	-0.034875
3.633333	1	-0.035375
3.650000	1	-0.035250
3.666667	1	-0.034875
3.683333	1	-0.034875
3.700000	1	-0.035125
3.716667	1	-0.034750
3.733333	1	-0.034375
3.750000	1	-0.033750
3.766667	1	-0.032750
3.783333	1	-0.032500
3.800000	1	-0.032500
3.816667	1	-0.032125
3.833333	1	-0.031750
3.850000	1	-0.031375
3.866667	1	-0.031500
3.883333	1	-0.030750
3.900000	1	-0.030000
3.916667	1	-0.029500
3.933333	1	-0.029000
3.950000	1	-0.029000
3.966667	1	-0.028875
3.983333	1	-0.028375
4.000000	1	-0.028250
4.016667	1	-0.028000
4.033333	1	-0.027750
4.050000	1	-0.027750
4.066667	1	-0.027875
4.083333	1	-0.028125
4.100000	1	-0.028000
4.116667	1	-0.028250
4.133333	1	-0.028000
4.150000	1	-0.028750
4.166667	1	-0.029875
4.183333	1	-0.030000
4.200000	1	-0.030375
4.216667	1	-0.030375
4.233333	1	-0.029750
4.250000	1	-0.029750
4.266667	1	-0.030375
4.283333	1	-0.031125
4.300000	1	-0.032375
4.316667	1	-0.032750
4.333333	1	-0.033375
4.350000	1	-0.033125
4.366667	1	-0.032375
4.383333	1	-0.032125
4.400000	1	-0.032000
4.416667	1	-0.032000
4.433333	1	-0.032500
4.450000	1	-0.031875
4.466667	1	-0.031625
4.483333	1	-0.031125
4.500000	1	-0.031125
4.516667	1	-0.030750
4.533333	1	-0.030625
4.550000	1	-0.029625
