File Path	chrom://990-75db15j/XVault/Ultimate_3000/1256/20230531_CMO_stabTest _FP08_FP09.seq/440.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	XVault
Injection	FP08_9_s2
Injection Number	49
Position	BB1
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	02.06.2023
Injection Time	22:31:12
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.700750
Signal Max.	60.663250
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.029000
0.016667	1	-0.028875
0.033333	1	-0.029625
0.050000	1	-0.029375
0.066667	1	-0.030375
0.083333	1	-0.030250
0.100000	1	-0.030375
0.116667	1	-0.030750
0.133333	1	-0.031125
0.150000	1	-0.031125
0.166667	1	-0.031500
0.183333	1	-0.031125
0.200000	1	-0.031250
0.216667	1	-0.031500
0.233333	1	-0.031000
0.250000	1	-0.031250
0.266667	1	-0.031625
0.283333	1	-0.033625
0.300000	1	-0.036875
0.316667	1	-0.041000
0.333333	1	-0.042875
0.350000	1	-0.041875
0.366667	1	-0.038750
0.383333	1	-0.035375
0.400000	1	-0.032750
0.416667	1	-0.030125
0.433333	1	-0.028500
0.450000	1	-0.027125
0.466667	1	-0.028000
0.483333	1	-0.029125
0.500000	1	-0.031875
0.516667	1	-0.034875
0.533333	1	-0.039000
0.550000	1	-0.041750
0.566667	1	-0.044875
0.583333	1	-0.047250
0.600000	1	-0.049625
0.616667	1	-0.051250
0.633333	1	-0.053375
0.650000	1	-0.054375
0.666667	1	-0.056250
0.683333	1	-0.057875
0.700000	1	-0.059125
0.716667	1	-0.060000
0.733333	1	-0.060625
0.750000	1	-0.061250
0.766667	1	-0.061750
0.783333	1	-0.062625
0.800000	1	-0.062750
0.816667	1	-0.062500
0.833333	1	-0.061875
0.850000	1	-0.061625
0.866667	1	-0.061000
0.883333	1	-0.060375
0.900000	1	-0.060000
0.916667	1	-0.059250
0.933333	1	-0.058625
0.950000	1	-0.057500
0.966667	1	-0.056750
0.983333	1	-0.056000
1.000000	1	-0.055000
1.016667	1	-0.053500
1.033333	1	-0.052750
1.050000	1	-0.051750
1.066667	1	-0.050875
