time_min,step,intensity_mV
0.016667,1.0,-0.03
0.033333,1.0,-0.0295
0.05,1.0,-0.0285
0.066667,1.0,-0.028125
0.083333,1.0,-0.028
0.1,1.0,-0.026875
0.116667,1.0,-0.026125
0.133333,1.0,-0.025125
0.15,1.0,-0.024375
0.166667,1.0,-0.02425
0.183333,1.0,-0.0235
0.2,1.0,-0.023625
0.216667,1.0,-0.023125
0.233333,1.0,-0.02225
0.25,1.0,-0.022125
0.266667,1.0,-0.021625
0.283333,1.0,-0.0215
0.3,1.0,-0.0235
0.316667,1.0,-0.025625
0.333333,1.0,-0.0275
0.35,1.0,-0.026625
0.366667,1.0,-0.022125
0.383333,1.0,-0.0165
0.4,1.0,-0.012125
0.416667,1.0,-0.008
0.433333,1.0,-0.00325
0.45,1.0,0.00125
0.466667,1.0,0.004
0.483333,1.0,0.005875
0.5,1.0,0.00675
0.516667,1.0,0.006875
0.533333,1.0,0.007875
0.55,1.0,0.0085
0.566667,1.0,0.009875
0.583333,1.0,0.011375
0.6,1.0,0.01325
0.616667,1.0,0.01525
0.633333,1.0,0.01825
0.65,1.0,0.0215
0.666667,1.0,0.02425
0.683333,1.0,0.026875
0.7,1.0,0.030125
0.716667,1.0,0.032875
0.733333,1.0,0.03575
0.75,1.0,0.038375
0.766667,1.0,0.0415
0.783333,1.0,0.04475
0.8,1.0,0.047875
0.816667,1.0,0.051
0.833333,1.0,0.05425
0.85,1.0,0.056875
0.866667,1.0,0.06
0.883333,1.0,0.06275
0.9,1.0,0.064875
0.916667,1.0,0.0675
0.933333,1.0,0.069125
0.95,1.0,0.071
0.966667,1.0,0.073
0.983333,1.0,0.074375
1.0,1.0,0.07575
1.016667,1.0,0.076625
1.033333,1.0,0.0785
1.05,1.0,0.079375
1.066667,1.0,0.08
1.083333,1.0,0.07975
1.1,1.0,0.08
1.116667,1.0,0.080125
1.133333,1.0,0.07925
1.15,1.0,0.079375
1.166667,1.0,0.07875
1.183333,1.0,0.078625
1.2,1.0,0.077875
1.216667,1.0,0.077
1.233333,1.0,0.076
1.25,1.0,0.075875
1.266667,1.0,0.075
1.283333,1.0,0.074
1.3,1.0,0.073375
1.316667,1.0,0.071625
1.333333,1.0,0.070625
1.35,1.0,0.0695
1.366667,1.0,0.06825
1.383333,1.0,0.06675
1.4,1.0,0.065375
1.416667,1.0,0.0645
1.433333,1.0,0.062625
