time_min,step,intensity_mV
0.016667,1.0,-0.02025
0.033333,1.0,-0.02075
0.05,1.0,-0.0215
0.066667,1.0,-0.02125
0.083333,1.0,-0.021625
0.1,1.0,-0.022625
0.116667,1.0,-0.02325
0.133333,1.0,-0.024
0.15,1.0,-0.02475
0.166667,1.0,-0.025625
0.183333,1.0,-0.026125
0.2,1.0,-0.026625
0.216667,1.0,-0.026625
0.233333,1.0,-0.026875
0.25,1.0,-0.027125
0.266667,1.0,-0.0265
0.283333,1.0,-0.027625
0.3,1.0,-0.029375
0.316667,1.0,-0.033125
0.333333,1.0,-0.037
0.35,1.0,-0.038
0.366667,1.0,-0.035625
0.383333,1.0,-0.032
0.4,1.0,-0.028125
0.416667,1.0,-0.02475
0.433333,1.0,-0.021875
0.45,1.0,-0.0195
0.466667,1.0,-0.017
0.483333,1.0,-0.017125
0.5,1.0,-0.0185
0.516667,1.0,-0.020375
0.533333,1.0,-0.022625
0.55,1.0,-0.024625
0.566667,1.0,-0.02625
0.583333,1.0,-0.028125
0.6,1.0,-0.0295
0.616667,1.0,-0.03075
0.633333,1.0,-0.03225
0.65,1.0,-0.032875
0.666667,1.0,-0.0335
0.683333,1.0,-0.0345
0.7,1.0,-0.036
0.716667,1.0,-0.03675
0.733333,1.0,-0.037375
0.75,1.0,-0.037
0.766667,1.0,-0.036875
0.783333,1.0,-0.036625
0.8,1.0,-0.036125
0.816667,1.0,-0.035875
0.833333,1.0,-0.0355
0.85,1.0,-0.034375
0.866667,1.0,-0.034375
0.883333,1.0,-0.03325
0.9,1.0,-0.033375
0.916667,1.0,-0.032375
0.933333,1.0,-0.032
0.95,1.0,-0.03125
0.966667,1.0,-0.03075
0.983333,1.0,-0.030125
1.0,1.0,-0.03
1.016667,1.0,-0.029125
1.033333,1.0,-0.0285
1.05,1.0,-0.027875
1.066667,1.0,-0.02675
1.083333,1.0,-0.026125
1.1,1.0,-0.025125
1.116667,1.0,-0.024875
1.133333,1.0,-0.024625
