time_min,step,intensity_mV
0.016667,1.0,-0.04425
0.033333,1.0,-0.044125
0.05,1.0,-0.044875
0.066667,1.0,-0.04525
0.083333,1.0,-0.04575
0.1,1.0,-0.04575
0.116667,1.0,-0.047
0.133333,1.0,-0.047625
0.15,1.0,-0.04875
0.166667,1.0,-0.048125
0.183333,1.0,-0.04825
0.2,1.0,-0.049
0.216667,1.0,-0.0495
0.233333,1.0,-0.049875
0.25,1.0,-0.05025
0.266667,1.0,-0.051375
0.283333,1.0,-0.053
0.3,1.0,-0.056875
0.316667,1.0,-0.061375
0.333333,1.0,-0.064375
0.35,1.0,-0.06325
0.366667,1.0,-0.06075
0.383333,1.0,-0.05725
0.4,1.0,-0.054125
0.416667,1.0,-0.0525
0.433333,1.0,-0.05025
0.45,1.0,-0.049
0.466667,1.0,-0.049
0.483333,1.0,-0.049875
0.5,1.0,-0.0525
0.516667,1.0,-0.055125
0.533333,1.0,-0.058125
0.55,1.0,-0.06075
0.566667,1.0,-0.062625
0.583333,1.0,-0.064
0.6,1.0,-0.065
0.616667,1.0,-0.066625
0.633333,1.0,-0.068
0.65,1.0,-0.069
0.666667,1.0,-0.069375
0.683333,1.0,-0.069625
0.7,1.0,-0.07075
0.716667,1.0,-0.0715
0.733333,1.0,-0.072625
0.75,1.0,-0.07275
0.766667,1.0,-0.07225
0.783333,1.0,-0.071625
0.8,1.0,-0.070625
0.816667,1.0,-0.070625
0.833333,1.0,-0.071
0.85,1.0,-0.071125
0.866667,1.0,-0.070875
0.883333,1.0,-0.070625
0.9,1.0,-0.070375
0.916667,1.0,-0.070125
0.933333,1.0,-0.069375
0.95,1.0,-0.068875
0.966667,1.0,-0.0685
0.983333,1.0,-0.067375
1.0,1.0,-0.066625
1.016667,1.0,-0.065625
1.033333,1.0,-0.065375
1.05,1.0,-0.064625
1.066667,1.0,-0.064125
1.083333,1.0,-0.063625
1.1,1.0,-0.06325
1.116667,1.0,-0.06275
1.133333,1.0,-0.06275
1.15,1.0,-0.062125
1.166667,1.0,-0.061
1.183333,1.0,-0.061125
1.2,1.0,-0.06075
1.216667,1.0,-0.0605
1.233333,1.0,-0.06025
1.25,1.0,-0.059875
1.266667,1.0,-0.059375
1.283333,1.0,-0.05925
1.3,1.0,-0.058875
1.316667,1.0,-0.059
1.333333,1.0,-0.058
1.35,1.0,-0.057
1.366667,1.0,-0.056625
1.383333,1.0,-0.056375
1.4,1.0,-0.05575
1.416667,1.0,-0.055625
1.433333,1.0,-0.05475
1.45,1.0,-0.053875
1.466667,1.0,-0.05275
1.483333,1.0,-0.052875
1.5,1.0,-0.0525
1.516667,1.0,-0.052125
1.533333,1.0,-0.051375
1.55,1.0,-0.05075
1.566667,1.0,-0.049875
1.583333,1.0,-0.049125
1.6,1.0,-0.0485
1.616667,1.0,-0.0485
1.633333,1.0,-0.048125
1.65,1.0,-0.047625
1.666667,1.0,-0.04775
1.683333,1.0,-0.0475
1.7,1.0,-0.0475
1.716667,1.0,-0.046875
1.733333,1.0,-0.046875
1.75,1.0,-0.046875
1.766667,1.0,-0.046875
1.783333,1.0,-0.04675
1.8,1.0,-0.045875
1.816667,1.0,-0.045625
1.833333,1.0,-0.045875
1.85,1.0,-0.045625
1.866667,1.0,-0.0455
1.883333,1.0,-0.045375
1.9,1.0,-0.045125
1.916667,1.0,-0.044625
1.933333,1.0,-0.04525
1.95,1.0,-0.04525
1.966667,1.0,-0.04525
1.983333,1.0,-0.044875
2.0,1.0,-0.045375
2.016667,1.0,-0.045625
2.033333,1.0,-0.046125
2.05,1.0,-0.046
2.066667,1.0,-0.04625
2.083333,1.0,-0.0465
2.1,1.0,-0.046625
2.116667,1.0,-0.047
2.133333,1.0,-0.047125
2.15,1.0,-0.047625
2.166667,1.0,-0.048125
2.183333,1.0,-0.048375
2.2,1.0,-0.048625
2.216667,1.0,-0.049
2.233333,1.0,-0.049125
2.25,1.0,-0.048875
2.266667,1.0,-0.048625
2.283333,1.0,-0.048625
2.3,1.0,-0.049
2.316667,1.0,-0.048125
2.333333,1.0,-0.04825
2.35,1.0,-0.04825
2.366667,1.0,-0.047125
2.383333,1.0,-0.046875
2.4,1.0,-0.04675
2.416667,1.0,-0.045875
2.433333,1.0,-0.046125
2.45,1.0,-0.045375
2.466667,1.0,-0.044875
2.483333,1.0,-0.043625
2.5,1.0,-0.043125
2.516667,1.0,-0.042875
2.533333,1.0,-0.041875
2.55,1.0,-0.040875
2.566667,1.0,-0.039875
2.583333,1.0,-0.0395
2.6,1.0,-0.039125
2.616667,1.0,-0.0385
2.633333,1.0,-0.0375
2.65,1.0,-0.036625
2.666667,1.0,-0.036
2.683333,1.0,-0.035375
2.7,1.0,-0.03475
2.716667,1.0,-0.03425
2.733333,1.0,-0.033625
2.75,1.0,-0.0335
2.766667,1.0,-0.032875
2.783333,1.0,-0.0325
2.8,1.0,-0.032
2.816667,1.0,-0.03075
2.833333,1.0,-0.029875
2.85,1.0,-0.029375
2.866667,1.0,-0.0285
2.883333,1.0,-0.027875
2.9,1.0,-0.027
2.916667,1.0,-0.0265
2.933333,1.0,-0.025375
2.95,1.0,-0.0245
2.966667,1.0,-0.023875
2.983333,1.0,-0.023
3.0,1.0,-0.021875
3.016667,1.0,-0.020875
3.033333,1.0,-0.01975
3.05,1.0,-0.018625
3.066667,1.0,-0.0175
3.083333,1.0,-0.015875
3.1,1.0,-0.014875
3.116667,1.0,-0.013875
3.133333,1.0,-0.01325
3.15,1.0,-0.012125
3.166667,1.0,-0.0115
3.183333,1.0,-0.010125
3.2,1.0,-0.00925
3.216667,1.0,-0.008
3.233333,1.0,-0.00825
3.25,1.0,-0.00775
3.266667,1.0,-0.007625
3.283333,1.0,-0.007
3.3,1.0,-0.00725
3.316667,1.0,-0.007125
3.333333,1.0,-0.007125
3.35,1.0,-0.0075
3.366667,1.0,-0.00775
3.383333,1.0,-0.00775
3.4,1.0,-0.00775
3.416667,1.0,-0.007875
3.433333,1.0,-0.00825
3.45,1.0,-0.008375
3.466667,1.0,-0.0085
3.483333,1.0,-0.009125
3.5,1.0,-0.01
3.516667,1.0,-0.01075
3.533333,1.0,-0.011625
3.55,1.0,-0.012625
3.566667,1.0,-0.013375
3.583333,1.0,-0.015125
3.6,1.0,-0.01575
3.616667,1.0,-0.017125
3.633333,1.0,-0.018
3.65,1.0,-0.01875
3.666667,1.0,-0.020125
3.683333,1.0,-0.02175
3.7,1.0,-0.023125
3.716667,1.0,-0.024375
3.733333,1.0,-0.025625
3.75,1.0,-0.028
3.766667,1.0,-0.029375
3.783333,1.0,-0.02975
3.8,1.0,-0.031625
3.816667,1.0,-0.032875
3.833333,1.0,-0.033875
3.85,1.0,-0.0345
3.866667,1.0,-0.03625
3.883333,1.0,-0.0375
3.9,1.0,-0.039125
3.916667,1.0,-0.039875
3.933333,1.0,-0.041125
3.95,1.0,-0.04275
3.966667,1.0,-0.0445
3.983333,1.0,-0.04575
4.0,1.0,-0.047375
4.016667,1.0,-0.048125
4.033333,1.0,-0.049375
4.05,1.0,-0.050625
4.066667,1.0,-0.05275
4.083333,1.0,-0.054
4.1,1.0,-0.055125
4.116667,1.0,-0.055625
4.133333,1.0,-0.056625
4.15,1.0,-0.057875
4.166667,1.0,-0.059125
4.183333,1.0,-0.060375
4.2,1.0,-0.0605
4.216667,1.0,-0.0615
4.233333,1.0,-0.06125
4.25,1.0,-0.062125
4.266667,1.0,-0.0625
4.283333,1.0,-0.063625
4.3,1.0,-0.063875
4.316667,1.0,-0.064875
4.333333,1.0,-0.06425
4.35,1.0,-0.064125
4.366667,1.0,-0.06425
4.383333,1.0,-0.06375
4.4,1.0,-0.064375
4.416667,1.0,-0.063625
4.433333,1.0,-0.062625
4.45,1.0,-0.0625
4.466667,1.0,-0.062
4.483333,1.0,-0.06025
4.5,1.0,-0.059125
4.516667,1.0,-0.05775
4.533333,1.0,-0.056875
4.55,1.0,-0.0555
4.566667,1.0,-0.05475
4.583333,1.0,-0.053375
4.6,1.0,-0.052
4.616667,1.0,-0.0505
4.633333,1.0,-0.048125
4.65,1.0,-0.045625
4.666667,1.0,-0.0435
4.683333,1.0,-0.041125
4.7,1.0,-0.03875
4.716667,1.0,-0.0365
4.733333,1.0,-0.0335
4.75,1.0,-0.030875
4.766667,1.0,-0.02825
4.783333,1.0,-0.0255
4.8,1.0,-0.02275
4.816667,1.0,-0.019875
4.833333,1.0,-0.0165
4.85,1.0,-0.014125
4.866667,1.0,-0.01125
4.883333,1.0,-0.008
4.9,1.0,-0.004875
4.916667,1.0,-0.002125
4.933333,1.0,0.0015
4.95,1.0,0.005125
4.966667,1.0,0.00825
4.983333,1.0,0.011875
5.0,1.0,0.01575
5.016667,1.0,0.019
5.033333,1.0,0.022
5.05,1.0,0.024625
5.066667,1.0,0.027625
5.083333,1.0,0.030125
5.1,1.0,0.032625
5.116667,1.0,0.035375
5.133333,1.0,0.037875
5.15,1.0,0.04075
5.166667,1.0,0.043125
5.183333,1.0,0.04575
5.2,1.0,0.047625
5.216667,1.0,0.049875
5.233333,1.0,0.050875
5.25,1.0,0.05275
5.266667,1.0,0.053875
5.283333,1.0,0.055125
5.3,1.0,0.05575
5.316667,1.0,0.057
5.333333,1.0,0.05675
5.35,1.0,0.057375
5.366667,1.0,0.057625
5.383333,1.0,0.058125
5.4,1.0,0.058625
5.416667,1.0,0.059
5.433333,1.0,0.05775
5.45,1.0,0.05675
5.466667,1.0,0.05575
5.483333,1.0,0.05525
5.5,1.0,0.054625
5.516667,1.0,0.053375
5.533333,1.0,0.052
5.55,1.0,0.050625
5.566667,1.0,0.05025
5.583333,1.0,0.0485
5.6,1.0,0.046375
5.616667,1.0,0.044375
5.633333,1.0,0.0425
5.65,1.0,0.0405
5.666667,1.0,0.038625
5.683333,1.0,0.036625
5.7,1.0,0.035
5.716667,1.0,0.033
5.733333,1.0,0.030375
5.75,1.0,0.028375
5.766667,1.0,0.0265
5.783333,1.0,0.025375
5.8,1.0,0.023625
5.816667,1.0,0.022625
5.833333,1.0,0.021
5.85,1.0,0.01875
5.866667,1.0,0.01775
5.883333,1.0,0.017
5.9,1.0,0.01575
5.916667,1.0,0.014375
5.933333,1.0,0.013375
5.95,1.0,0.0125
5.966667,1.0,0.01175
5.983333,1.0,0.01025
6.0,1.0,0.00975
6.016667,1.0,0.010125
6.033333,1.0,0.00975
6.05,1.0,0.00925
6.066667,1.0,0.009375
6.083333,1.0,0.00925
6.1,1.0,0.008875
6.116667,1.0,0.009625
6.133333,1.0,0.010625
6.15,1.0,0.01075
6.166667,1.0,0.011125
6.183333,1.0,0.01175
6.2,1.0,0.012625
6.216667,1.0,0.013875
6.233333,1.0,0.01475
6.25,1.0,0.01625
6.266667,1.0,0.017
6.283333,1.0,0.01825
6.3,1.0,0.0195
6.316667,1.0,0.02075
6.333333,1.0,0.02225
6.35,1.0,0.024625
6.366667,1.0,0.02625
6.383333,1.0,0.028
6.4,1.0,0.029625
6.416667,1.0,0.0315
6.433333,1.0,0.033375
6.45,1.0,0.035125
6.466667,1.0,0.037125
6.483333,1.0,0.039
6.5,1.0,0.041
6.516667,1.0,0.04325
6.533333,1.0,0.04525
6.55,1.0,0.047625
6.566667,1.0,0.049375
6.583333,1.0,0.050875
6.6,1.0,0.052875
6.616667,1.0,0.054625
6.633333,1.0,0.05575
6.65,1.0,0.05725
6.666667,1.0,0.058375
6.683333,1.0,0.0595
