[Header]
Application Name,LabSolutions
Version,5.97 SP1
Data File Name,C:\Users\cremerlab\Desktop\Richa\Aug 11th 2023 scfa yield YCA\2.5mM\scfa yield YCA 2.5mM_8112023_001_016.lcd
Output Date,8/12/2023
Output Time,6:58:05 AM

[File Information]
Type,Data File
Generated,8/12/2023 6:07:42 AM
Generated by,System Administrator
Modified,8/12/2023 6:58:05 AM
Modified by,System Administrator

[Sample Information]
Operator Name,System Administrator
Acquired,8/12/2023 6:08:03 AM
Sample Type,0:Unknown
Level,0
Sample Name,230811_B.vulgatus_5
Sample ID,001
ISTD Amount1,1
ISTD Amount2,1
ISTD Amount3,1
ISTD Amount4,1
ISTD Amount5,1
ISTD Amount6,1
ISTD Amount7,1
ISTD Amount8,1
ISTD Amount9,1
ISTD Amount10,1
ISTD Amount11,1
ISTD Amount12,1
ISTD Amount13,1
ISTD Amount14,1
ISTD Amount15,1
ISTD Amount16,1
ISTD Amount17,1
ISTD Amount18,1
ISTD Amount19,1
ISTD Amount20,1
ISTD Amount21,1
ISTD Amount22,1
ISTD Amount23,1
ISTD Amount24,1
ISTD Amount25,1
ISTD Amount26,1
ISTD Amount27,1
ISTD Amount28,1
ISTD Amount29,1
ISTD Amount30,1
ISTD Amount31,1
ISTD Amount32,1
Sample Amount,1
Dilution Factor,1
Vial#,15
Injection Volume,20

[Original Files]
Data File,C:\Users\cremerlab\Desktop\Richa\Aug 11th 2023 scfa yield YCA\2.5mM\scfa yield YCA 2.5mM_8112023_001_016.lcd
Method File,C:\Users\cremerlab\Desktop\Richa\organic_acids_excretion.lcm
Batch File,C:\Users\cremerlab\Desktop\Richa\Aug 11th 2023 scfa yield YCA\2.5mM\scfa yield YCA 2.5mM.lcb
Report Format File,c:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name,HPLC-PC-Instrument1
Instrument #,1
Line #,1
# of Detectors,2
Detector ID,Detector A,Detector B
Detector Name,Detector A,Detector B
# of Channels,1,1

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),500
# of Points,6001
Start Time(min),0.000
End Time(min),50.000
Intensity Units,mV
Intensity Multiplier,0.001
Wavelength(nm),254nm
R.Time (min),Intensity
0.00000,27
0.00833,27
0.01667,-0
0.02500,-1
0.03333,-0
0.04167,0
0.05000,2
0.05833,3
0.06667,3
0.07500,3
0.08333,3
0.09167,4
0.10000,4
0.10833,5
0.11667,6
0.12500,7
0.13333,7
0.14167,7
0.15000,6
0.15833,6
0.16667,6
0.17500,7
0.18333,8
0.19167,7
0.20000,7
0.20833,6
0.21667,6
0.22500,7
0.23333,7
0.24167,7
0.25000,7
0.25833,7
0.26667,6
0.27500,5
0.28333,5
0.29167,5
0.30000,4
0.30833,3
0.31667,2
0.32500,2
0.33333,1
0.34167,1
0.35000,1
0.35833,-0
0.36667,-1
0.37500,-2
0.38333,-4
0.39167,-5
0.40000,-7
0.40833,-9
0.41667,-11
0.42500,-12
0.43333,-13
0.44167,-14
0.45000,-15
0.45833,-17
0.46667,-18
0.47500,-20
0.48333,-21
0.49167,-23
0.50000,-26
0.50833,-27
0.51667,-30
0.52500,-32
0.53333,-34
0.54167,-36
0.55000,-38
0.55833,-40
0.56667,-42
0.57500,-43
0.58333,-45
0.59167,-47
0.60000,-50
0.60833,-53
0.61667,-57
0.62500,-59
0.63333,-61
0.64167,-62
0.65000,-65
0.65833,-67
0.66667,-68
0.67500,-70
0.68333,-74
0.69167,-78
0.70000,-81
0.70833,-84
0.71667,-86
0.72500,-89
0.73333,-91
0.74167,-92
0.75000,-95
0.75833,-98
0.76667,-102
0.77500,-105
0.78333,-108
0.79167,-110
0.80000,-113
0.80833,-116
0.81667,-119
0.82500,-121
