[Header]
Application Name,LabSolutions
Version,5.97 SP1
Data File Name,C:\Users\cremerlab\Desktop\Richa\Aug 11th 2023 scfa yield YCA\2.5mM\scfa yield YCA 2.5mM_8112023_001_005.lcd
Output Date,8/11/2023
Output Time,9:43:55 PM

[File Information]
Type,Data File
Generated,8/11/2023 8:53:34 PM
Generated by,System Administrator
Modified,8/11/2023 9:43:55 PM
Modified by,System Administrator

[Sample Information]
Operator Name,System Administrator
Acquired,8/11/2023 8:53:54 PM
Sample Type,0:Unknown
Level,0
Sample Name,230811_P.distastonis_4
Sample ID,001
ISTD Amount1,1
ISTD Amount2,1
ISTD Amount3,1
ISTD Amount4,1
ISTD Amount5,1
ISTD Amount6,1
ISTD Amount7,1
ISTD Amount8,1
ISTD Amount9,1
ISTD Amount10,1
ISTD Amount11,1
ISTD Amount12,1
ISTD Amount13,1
ISTD Amount14,1
ISTD Amount15,1
ISTD Amount16,1
ISTD Amount17,1
ISTD Amount18,1
ISTD Amount19,1
ISTD Amount20,1
ISTD Amount21,1
ISTD Amount22,1
ISTD Amount23,1
ISTD Amount24,1
ISTD Amount25,1
ISTD Amount26,1
ISTD Amount27,1
ISTD Amount28,1
ISTD Amount29,1
ISTD Amount30,1
ISTD Amount31,1
ISTD Amount32,1
Sample Amount,1
Dilution Factor,1
Vial#,4
Injection Volume,20

[Original Files]
Data File,C:\Users\cremerlab\Desktop\Richa\Aug 11th 2023 scfa yield YCA\2.5mM\scfa yield YCA 2.5mM_8112023_001_005.lcd
Method File,C:\Users\cremerlab\Desktop\Richa\organic_acids_excretion.lcm
Batch File,C:\Users\cremerlab\Desktop\Richa\Aug 11th 2023 scfa yield YCA\2.5mM\scfa yield YCA 2.5mM.lcb
Report Format File,c:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name,HPLC-PC-Instrument1
Instrument #,1
Line #,1
# of Detectors,2
Detector ID,Detector A,Detector B
Detector Name,Detector A,Detector B
# of Channels,1,1

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),500
# of Points,6001
Start Time(min),0.000
End Time(min),50.000
Intensity Units,mV
Intensity Multiplier,0.001
Wavelength(nm),254nm
R.Time (min),Intensity
0.00000,34
0.00833,34
0.01667,1
0.02500,2
0.03333,3
0.04167,3
0.05000,4
0.05833,4
0.06667,4
0.07500,5
0.08333,5
0.09167,6
0.10000,6
0.10833,7
0.11667,8
0.12500,8
0.13333,8
0.14167,8
0.15000,8
0.15833,7
0.16667,6
0.17500,6
0.18333,8
0.19167,8
0.20000,9
0.20833,9
0.21667,8
0.22500,8
0.23333,8
0.24167,9
0.25000,8
0.25833,7
0.26667,7
0.27500,6
0.28333,6
0.29167,6
0.30000,5
0.30833,4
0.31667,4
0.32500,4
0.33333,3
0.34167,3
0.35000,1
0.35833,1
0.36667,0
0.37500,-0
0.38333,-1
0.39167,-2
0.40000,-2
0.40833,-3
0.41667,-5
0.42500,-6
0.43333,-7
0.44167,-10
0.45000,-11
0.45833,-13
0.46667,-15
0.47500,-16
0.48333,-17
0.49167,-19
0.50000,-20
0.50833,-22
0.51667,-24
0.52500,-25
0.53333,-27
0.54167,-29
0.55000,-31
0.55833,-33
0.56667,-36
0.57500,-40
0.58333,-42
0.59167,-45
0.60000,-47
