[Header]
Application Name,LabSolutions
Version,5.97 SP1
Data File Name,C:\Users\cremerlab\Desktop\Richa\Sep 9th 2023 scfa yield minimal medium\2.5mM\scfa yield simple medium 2.5mM_982023_001_012.lcd
Output Date,9/9/2023
Output Time,3:06:56 AM

[File Information]
Type,Data File
Generated,9/9/2023 2:16:34 AM
Generated by,System Administrator
Modified,9/9/2023 3:06:56 AM
Modified by,System Administrator

[Sample Information]
Operator Name,System Administrator
Acquired,9/9/2023 2:16:55 AM
Sample Type,0:Unknown
Level,0
Sample Name,230908_B.theta_1
Sample ID,001
ISTD Amount1,1
ISTD Amount2,1
ISTD Amount3,1
ISTD Amount4,1
ISTD Amount5,1
ISTD Amount6,1
ISTD Amount7,1
ISTD Amount8,1
ISTD Amount9,1
ISTD Amount10,1
ISTD Amount11,1
ISTD Amount12,1
ISTD Amount13,1
ISTD Amount14,1
ISTD Amount15,1
ISTD Amount16,1
ISTD Amount17,1
ISTD Amount18,1
ISTD Amount19,1
ISTD Amount20,1
ISTD Amount21,1
ISTD Amount22,1
ISTD Amount23,1
ISTD Amount24,1
ISTD Amount25,1
ISTD Amount26,1
ISTD Amount27,1
ISTD Amount28,1
ISTD Amount29,1
ISTD Amount30,1
ISTD Amount31,1
ISTD Amount32,1
Sample Amount,1
Dilution Factor,1
Vial#,11
Injection Volume,20

[Original Files]
Data File,C:\Users\cremerlab\Desktop\Richa\Sep 9th 2023 scfa yield minimal medium\2.5mM\scfa yield simple medium 2.5mM_982023_001_012.lcd
Method File,C:\Users\cremerlab\Desktop\Richa\organic_acids_excretion.lcm
Batch File,C:\Users\cremerlab\Desktop\Richa\Sep 9th 2023 scfa yield minimal medium\2.5mM\scfa yield simple medium 2.5mM.lcb
Report Format File,c:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name,HPLC-PC-Instrument1
Instrument #,1
Line #,1
# of Detectors,2
Detector ID,Detector A,Detector B
Detector Name,Detector A,Detector B
# of Channels,1,1

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),500
# of Points,6001
Start Time(min),0.000
End Time(min),50.000
Intensity Units,mV
Intensity Multiplier,0.001
Wavelength(nm),254nm
R.Time (min),Intensity
0.00000,9
0.00833,9
0.01667,-0
0.02500,-0
0.03333,0
0.04167,1
0.05000,2
0.05833,1
0.06667,1
0.07500,2
0.08333,2
0.09167,2
0.10000,2
0.10833,3
0.11667,3
0.12500,2
0.13333,2
0.14167,2
0.15000,1
0.15833,1
0.16667,1
0.17500,1
0.18333,0
0.19167,-0
0.20000,0
0.20833,0
0.21667,0
0.22500,0
0.23333,2
0.24167,2
0.25000,2
0.25833,1
0.26667,1
0.27500,2
0.28333,1
0.29167,1
0.30000,1
0.30833,1
0.31667,1
0.32500,2
0.33333,2
0.34167,1
0.35000,0
0.35833,0
0.36667,0
0.37500,0
0.38333,0
0.39167,1
0.40000,1
0.40833,0
0.41667,1
0.42500,1
0.43333,-0
0.44167,-0
0.45000,0
0.45833,-0
0.46667,-0
0.47500,-1
0.48333,-1
0.49167,-0
0.50000,-0
0.50833,-1
0.51667,-1
0.52500,-1
0.53333,-0
0.54167,1
0.55000,1
0.55833,0
0.56667,-0
0.57500,0
0.58333,0
0.59167,0
0.60000,1
0.60833,1
0.61667,0
0.62500,-1
0.63333,-1
0.64167,-2
0.65000,-1
0.65833,-1
0.66667,-1
0.67500,-1
0.68333,-1
0.69167,-1
0.70000,-1
0.70833,-1
0.71667,-2
0.72500,-1
0.73333,-0
0.74167,-0
0.75000,-0
0.75833,-0
0.76667,-0
0.77500,-0
0.78333,-0
0.79167,0
0.80000,1
0.80833,-0
0.81667,-1
0.82500,-2
0.83333,-3
0.84167,-3
0.85000,-3
0.85833,-3
0.86667,-2
0.87500,-3
0.88333,-3
0.89167,-3
0.90000,-3
0.90833,-3
0.91667,-4
0.92500,-4
0.93333,-5
0.94167,-4
0.95000,-4
0.95833,-4
0.96667,-4
0.97500,-3
0.98333,-2
0.99167,-2
1.00000,-2
1.00833,-3
1.01667,-3
1.02500,-3
1.03333,-3
1.04167,-3
1.05000,-3
1.05833,-3
1.06667,-3
1.07500,-3
1.08333,-2
1.09167,-3
1.10000,-3
1.10833,-3
1.11667,-4
1.12500,-3
1.13333,-2
1.14167,-1
1.15000,-2
1.15833,-2
1.16667,-2
1.17500,-2
1.18333,-2
1.19167,-2
1.20000,-3
1.20833,-4
1.21667,-4
1.22500,-5
1.23333,-6
1.24167,-5
1.25000,-4
1.25833,-3
1.26667,-3
1.27500,-3
1.28333,-3
1.29167,-3
1.30000,-3
1.30833,-4
1.31667,-4
1.32500,-4
1.33333,-3
1.34167,-2
1.35000,-2
1.35833,-3
1.36667,-2
1.37500,-2
1.38333,-3
1.39167,-2
1.40000,-2
1.40833,-3
1.41667,-3
1.42500,-2
1.43333,-2
1.44167,-2
