[Header]
Application Name,LabSolutions
Version,5.97 SP1
Data File Name,C:\Users\cremerlab\Desktop\Richa\Sep 9th 2023 scfa yield minimal medium\2.5mM\scfa yield simple medium 2.5mM_982023_001_039.lcd
Output Date,9/10/2023
Output Time,1:47:29 AM

[File Information]
Type,Data File
Generated,9/10/2023 12:57:08 AM
Generated by,System Administrator
Modified,9/10/2023 1:47:29 AM
Modified by,System Administrator

[Sample Information]
Operator Name,System Administrator
Acquired,9/10/2023 12:57:29 AM
Sample Type,0:Unknown
Level,0
Sample Name,230908_B.vulgatus_2_5
Sample ID,001
ISTD Amount1,1
ISTD Amount2,1
ISTD Amount3,1
ISTD Amount4,1
ISTD Amount5,1
ISTD Amount6,1
ISTD Amount7,1
ISTD Amount8,1
ISTD Amount9,1
ISTD Amount10,1
ISTD Amount11,1
ISTD Amount12,1
ISTD Amount13,1
ISTD Amount14,1
ISTD Amount15,1
ISTD Amount16,1
ISTD Amount17,1
ISTD Amount18,1
ISTD Amount19,1
ISTD Amount20,1
ISTD Amount21,1
ISTD Amount22,1
ISTD Amount23,1
ISTD Amount24,1
ISTD Amount25,1
ISTD Amount26,1
ISTD Amount27,1
ISTD Amount28,1
ISTD Amount29,1
ISTD Amount30,1
ISTD Amount31,1
ISTD Amount32,1
Sample Amount,1
Dilution Factor,1
Vial#,38
Injection Volume,20

[Original Files]
Data File,C:\Users\cremerlab\Desktop\Richa\Sep 9th 2023 scfa yield minimal medium\2.5mM\scfa yield simple medium 2.5mM_982023_001_039.lcd
Method File,C:\Users\cremerlab\Desktop\Richa\organic_acids_excretion.lcm
Batch File,C:\Users\cremerlab\Desktop\Richa\Sep 9th 2023 scfa yield minimal medium\2.5mM\scfa yield simple medium 2.5mM.lcb
Report Format File,c:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name,HPLC-PC-Instrument1
Instrument #,1
Line #,1
# of Detectors,2
Detector ID,Detector A,Detector B
Detector Name,Detector A,Detector B
# of Channels,1,1

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),500
# of Points,6001
Start Time(min),0.000
End Time(min),50.000
Intensity Units,mV
Intensity Multiplier,0.001
Wavelength(nm),254nm
R.Time (min),Intensity
0.00000,0
0.00833,0
0.01667,1
0.02500,1
0.03333,1
0.04167,1
0.05000,1
0.05833,0
0.06667,1
0.07500,2
0.08333,2
0.09167,2
0.10000,1
0.10833,1
0.11667,1
0.12500,1
0.13333,2
0.14167,2
0.15000,1
0.15833,0
0.16667,-1
0.17500,-2
0.18333,-1
0.19167,-1
0.20000,-0
0.20833,1
0.21667,1
0.22500,2
0.23333,1
0.24167,-0
0.25000,-0
0.25833,-0
0.26667,-1
0.27500,-0
0.28333,1
0.29167,1
0.30000,2
0.30833,2
0.31667,2
0.32500,2
0.33333,2
0.34167,2
0.35000,2
0.35833,2
0.36667,2
0.37500,2
0.38333,3
0.39167,2
0.40000,1
0.40833,1
0.41667,1
0.42500,1
0.43333,1
0.44167,1
0.45000,2
0.45833,2
0.46667,2
0.47500,2
0.48333,1
0.49167,2
0.50000,2
0.50833,2
0.51667,1
0.52500,1
0.53333,1
0.54167,1
0.55000,2
0.55833,2
0.56667,1
0.57500,-0
0.58333,-0
0.59167,0
0.60000,1
0.60833,1
0.61667,1
0.62500,1
0.63333,1
0.64167,1
0.65000,0
0.65833,0
0.66667,1
0.67500,0
0.68333,-0
0.69167,-0
0.70000,0
0.70833,1
0.71667,2
0.72500,2
0.73333,2
0.74167,1
0.75000,-0
0.75833,-0
0.76667,0
0.77500,1
0.78333,1
0.79167,1
0.80000,1
0.80833,0
0.81667,1
0.82500,1
0.83333,-0
0.84167,-1
0.85000,-1
0.85833,-1
0.86667,-0
0.87500,0
0.88333,0
0.89167,0
0.90000,1
0.90833,1
0.91667,2
0.92500,2
0.93333,2
0.94167,2
0.95000,1
0.95833,-0
0.96667,-0
0.97500,-0
0.98333,-0
0.99167,1
1.00000,1
1.00833,1
1.01667,1
1.02500,1
1.03333,1
1.04167,1
1.05000,1
1.05833,1
1.06667,2
1.07500,2
1.08333,2
1.09167,2
1.10000,1
1.10833,0
1.11667,1
1.12500,2
1.13333,2
1.14167,2
1.15000,2
1.15833,2
1.16667,3
1.17500,4
1.18333,4
1.19167,5
1.20000,4
1.20833,3
1.21667,2
1.22500,2
1.23333,3
1.24167,2
1.25000,2
1.25833,3
1.26667,3
1.27500,2
1.28333,2
1.29167,2
1.30000,2
1.30833,2
1.31667,2
1.32500,1
1.33333,1
1.34167,1
1.35000,1
1.35833,1
1.36667,1
1.37500,2
1.38333,2
1.39167,2
1.40000,2
1.40833,2
1.41667,3
1.42500,3
1.43333,4
1.44167,3
1.45000,1
1.45833,0
1.46667,-0
1.47500,-0
1.48333,1
1.49167,1
1.50000,1
1.50833,1
1.51667,1
1.52500,1
1.53333,2
1.54167,3
1.55000,2
1.55833,2
1.56667,1
1.57500,1
1.58333,2
1.59167,1
1.60000,1
1.60833,1
1.61667,1
1.62500,0
1.63333,-1
1.64167,-1
1.65000,-1
1.65833,-1
1.66667,-1
1.67500,-0
1.68333,1
1.69167,1
1.70000,2
1.70833,1
1.71667,-0
1.72500,0
1.73333,1
1.74167,1
1.75000,1
1.75833,1
1.76667,1
1.77500,0
1.78333,0
1.79167,0
1.80000,0
1.80833,-0
1.81667,1
1.82500,1
1.83333,1
1.84167,1
1.85000,0
1.85833,0
1.86667,0
1.87500,1
1.88333,1
1.89167,1
1.90000,2
1.90833,1
1.91667,1
1.92500,0
1.93333,0
1.94167,1
1.95000,1
1.95833,0
1.96667,-1
1.97500,-2
1.98333,-2
1.99167,-1
2.00000,0
2.00833,2
2.01667,2
2.02500,2
2.03333,1
2.04167,0
2.05000,0
2.05833,1
2.06667,2
2.07500,3
2.08333,2
2.09167,2
2.10000,2
2.10833,2
2.11667,2
2.12500,1
2.13333,1
2.14167,2
2.15000,3
2.15833,3
2.16667,2
2.17500,2
2.18333,3
2.19167,3
2.20000,3
2.20833,2
2.21667,2
2.22500,2
2.23333,2
2.24167,2
2.25000,3
2.25833,3
2.26667,3
2.27500,3
2.28333,4
2.29167,4
2.30000,4
2.30833,3
2.31667,3
2.32500,3
2.33333,4
2.34167,5
2.35000,5
2.35833,5
2.36667,4
2.37500,3
2.38333,3
2.39167,3
2.40000,3
2.40833,4
2.41667,3
2.42500,3
2.43333,3
2.44167,3
2.45000,2
2.45833,2
2.46667,2
2.47500,3
2.48333,2
2.49167,2
2.50000,3
2.50833,3
2.51667,2
2.52500,2
2.53333,2
2.54167,2
2.55000,2
2.55833,3
2.56667,3
2.57500,3
2.58333,3
2.59167,2
2.60000,2
2.60833,1
2.61667,1
2.62500,2
2.63333,1
2.64167,1
2.65000,1
2.65833,0
2.66667,1
2.67500,2
2.68333,3
2.69167,2
2.70000,3
2.70833,3
2.71667,2
2.72500,2
2.73333,2
2.74167,3
2.75000,3
2.75833,3
2.76667,2
2.77500,1
2.78333,0
2.79167,0
2.80000,0
2.80833,1
2.81667,1
2.82500,2
2.83333,2
2.84167,3
2.85000,3
2.85833,3
2.86667,3
2.87500,2
2.88333,1
2.89167,1
2.90000,0
2.90833,0
2.91667,1
2.92500,2
2.93333,3
2.94167,3
2.95000,2
2.95833,3
2.96667,3
2.97500,3
2.98333,3
2.99167,3
3.00000,3
3.00833,4
3.01667,3
3.02500,2
3.03333,3
3.04167,2
3.05000,2
3.05833,2
3.06667,2
3.07500,2
3.08333,2
3.09167,2
3.10000,2
3.10833,2
3.11667,1
3.12500,2
3.13333,3
3.14167,4
3.15000,3
3.15833,3
3.16667,3
3.17500,2
3.18333,2
3.19167,3
3.20000,3
3.20833,3
3.21667,3
3.22500,3
3.23333,3
3.24167,2
3.25000,1
3.25833,1
3.26667,1
3.27500,1
3.28333,2
3.29167,3
3.30000,3
3.30833,3
3.31667,3
3.32500,3
3.33333,2
3.34167,2
3.35000,2
3.35833,2
3.36667,2
3.37500,1
3.38333,2
3.39167,4
3.40000,5
3.40833,5
3.41667,4
3.42500,4
3.43333,4
3.44167,4
3.45000,5
3.45833,5
3.46667,4
3.47500,4
3.48333,4
3.49167,4
3.50000,4
3.50833,4
3.51667,5
3.52500,5
3.53333,5
3.54167,4
3.55000,3
3.55833,3
3.56667,3
3.57500,3
3.58333,3
3.59167,3
3.60000,3
3.60833,2
3.61667,3
3.62500,3
3.63333,3
3.64167,3
3.65000,3
3.65833,3
3.66667,3
3.67500,3
3.68333,3
3.69167,2
3.70000,2
3.70833,2
3.71667,2
3.72500,1
3.73333,1
3.74167,2
3.75000,2
3.75833,2
3.76667,2
3.77500,2
3.78333,2
3.79167,3
3.80000,3
3.80833,3
3.81667,3
3.82500,2
3.83333,1
