File Path	chrom://marshall/Chromeleon7/HPLC_Ultimate_3000/Users/markusar/20230531_CMO_stabTest _FP08_FP09.seq/172.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	Chromeleon7
Injection	FP09__7_s1
Injection Number	73
Position	BD12
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	03.06.2023
Injection Time	15:50:28
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-1.141625
Signal Max.	58.109875
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.040500
0.016667	1	-0.040375
0.033333	1	-0.039875
0.050000	1	-0.039375
0.066667	1	-0.039250
0.083333	1	-0.039375
0.100000	1	-0.039250
0.116667	1	-0.039000
0.133333	1	-0.038500
0.150000	1	-0.038500
0.166667	1	-0.038625
0.183333	1	-0.037750
0.200000	1	-0.038000
0.216667	1	-0.037375
0.233333	1	-0.036625
0.250000	1	-0.036000
0.266667	1	-0.036375
0.283333	1	-0.037625
0.300000	1	-0.040375
0.316667	1	-0.043750
0.333333	1	-0.045000
0.350000	1	-0.043125
0.366667	1	-0.038500
0.383333	1	-0.034750
0.400000	1	-0.031750
0.416667	1	-0.029000
0.433333	1	-0.026625
0.450000	1	-0.024625
0.466667	1	-0.023125
0.483333	1	-0.023500
0.500000	1	-0.025375
0.516667	1	-0.028000
0.533333	1	-0.031000
0.550000	1	-0.032625
0.566667	1	-0.034875
0.583333	1	-0.035875
0.600000	1	-0.037250
0.616667	1	-0.038125
0.633333	1	-0.039625
0.650000	1	-0.040000
0.666667	1	-0.040875
0.683333	1	-0.041000
0.700000	1	-0.042000
0.716667	1	-0.042875
0.733333	1	-0.043250
0.750000	1	-0.043625
0.766667	1	-0.044375
0.783333	1	-0.044000
0.800000	1	-0.044375
0.816667	1	-0.044625
0.833333	1	-0.044625
0.850000	1	-0.044875
0.866667	1	-0.044750
0.883333	1	-0.045250
0.900000	1	-0.045875
0.916667	1	-0.046125
0.933333	1	-0.046375
0.950000	1	-0.047125
0.966667	1	-0.047875
0.983333	1	-0.048625
1.000000	1	-0.049125
1.016667	1	-0.049000
1.033333	1	-0.049250
1.050000	1	-0.050000
1.066667	1	-0.050000
1.083333	1	-0.050125
1.100000	1	-0.050250
1.116667	1	-0.051250
1.133333	1	-0.051750
1.150000	1	-0.052625
1.166667	1	-0.053375
1.183333	1	-0.053750
1.200000	1	-0.054250
1.216667	1	-0.054875
1.233333	1	-0.055375
1.250000	1	-0.055750
1.266667	1	-0.056375
1.283333	1	-0.057250
1.300000	1	-0.058625
1.316667	1	-0.059000
1.333333	1	-0.059875
1.350000	1	-0.060125
1.366667	1	-0.060500
1.383333	1	-0.061250
1.400000	1	-0.062000
1.416667	1	-0.062500
1.433333	1	-0.062875
1.450000	1	-0.063625
1.466667	1	-0.064000
1.483333	1	-0.063500
1.500000	1	-0.063625
1.516667	1	-0.064125
1.533333	1	-0.064500
1.550000	1	-0.064375
1.566667	1	-0.064500
1.583333	1	-0.064250
1.600000	1	-0.064125
1.616667	1	-0.063375
1.633333	1	-0.062875
1.650000	1	-0.062750
1.666667	1	-0.062500
1.683333	1	-0.061625
1.700000	1	-0.060625
1.716667	1	-0.060250
1.733333	1	-0.060125
1.750000	1	-0.059250
1.766667	1	-0.058250
1.783333	1	-0.057250
1.800000	1	-0.057125
1.816667	1	-0.055875
1.833333	1	-0.055500
1.850000	1	-0.054875
1.866667	1	-0.054250
1.883333	1	-0.053500
1.900000	1	-0.053625
1.916667	1	-0.052875
1.933333	1	-0.052500
1.950000	1	-0.051875
1.966667	1	-0.050750
1.983333	1	-0.050250
2.000000	1	-0.049500
2.016667	1	-0.048875
2.033333	1	-0.048250
2.050000	1	-0.047250
2.066667	1	-0.047125
2.083333	1	-0.046375
2.100000	1	-0.046000
2.116667	1	-0.045625
2.133333	1	-0.046000
2.150000	1	-0.045375
2.166667	1	-0.045000
2.183333	1	-0.044125
2.200000	1	-0.044000
2.216667	1	-0.043750
2.233333	1	-0.043000
2.250000	1	-0.042250
2.266667	1	-0.042875
2.283333	1	-0.042875
2.300000	1	-0.042750
2.316667	1	-0.043000
2.333333	1	-0.043625
2.350000	1	-0.042500
2.366667	1	-0.042000
2.383333	1	-0.041875
2.400000	1	-0.042375
2.416667	1	-0.042750
2.433333	1	-0.042750
2.450000	1	-0.043375
2.466667	1	-0.043750
2.483333	1	-0.044125
2.500000	1	-0.044875
2.516667	1	-0.045250
2.533333	1	-0.046000
2.550000	1	-0.046875
2.566667	1	-0.046625
2.583333	1	-0.047625
2.600000	1	-0.048375
2.616667	1	-0.049375
2.633333	1	-0.050625
2.650000	1	-0.050750
2.666667	1	-0.051500
2.683333	1	-0.052375
2.700000	1	-0.053000
2.716667	1	-0.054000
2.733333	1	-0.055000
2.750000	1	-0.055250
2.766667	1	-0.056375
2.783333	1	-0.056750
2.800000	1	-0.057375
2.816667	1	-0.057750
2.833333	1	-0.058375
2.850000	1	-0.059000
2.866667	1	-0.060500
2.883333	1	-0.061125
2.900000	1	-0.061625
2.916667	1	-0.061625
2.933333	1	-0.062500
2.950000	1	-0.063125
2.966667	1	-0.063500
2.983333	1	-0.063750
3.000000	1	-0.064000
3.016667	1	-0.064375
3.033333	1	-0.064750
3.050000	1	-0.065125
3.066667	1	-0.065500
3.083333	1	-0.065750
3.100000	1	-0.066250
3.116667	1	-0.066250
