File Path	chrom://990-75db15j/XVault/Ultimate_3000/1256/20230531_CMO_stabTest _FP08_FP09.seq/527.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	XVault
Injection	FP08_6_s2
Injection Number	33
Position	BD11
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	02.06.2023
Injection Time	10:35:52
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.484625
Signal Max.	58.704250
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.036500
0.016667	1	-0.038125
0.033333	1	-0.039250
0.050000	1	-0.039875
0.066667	1	-0.041125
0.083333	1	-0.042750
0.100000	1	-0.044125
0.116667	1	-0.045125
0.133333	1	-0.046500
0.150000	1	-0.047125
0.166667	1	-0.047750
0.183333	1	-0.048250
0.200000	1	-0.049000
0.216667	1	-0.049500
0.233333	1	-0.049625
0.250000	1	-0.050375
0.266667	1	-0.051250
0.283333	1	-0.053000
0.300000	1	-0.056125
0.316667	1	-0.059625
0.333333	1	-0.062000
0.350000	1	-0.060625
0.366667	1	-0.057375
0.383333	1	-0.053125
0.400000	1	-0.049625
0.416667	1	-0.046625
0.433333	1	-0.044125
0.450000	1	-0.041625
0.466667	1	-0.040625
0.483333	1	-0.041125
0.500000	1	-0.043375
0.516667	1	-0.045750
0.533333	1	-0.047750
0.550000	1	-0.050000
0.566667	1	-0.051750
0.583333	1	-0.053250
0.600000	1	-0.054125
0.616667	1	-0.055500
0.633333	1	-0.057000
0.650000	1	-0.057375
0.666667	1	-0.058000
0.683333	1	-0.058750
0.700000	1	-0.059250
0.716667	1	-0.059875
0.733333	1	-0.060375
0.750000	1	-0.060375
0.766667	1	-0.060750
0.783333	1	-0.060750
0.800000	1	-0.061125
0.816667	1	-0.060875
0.833333	1	-0.059875
0.850000	1	-0.059125
0.866667	1	-0.058625
0.883333	1	-0.058500
0.900000	1	-0.058375
0.916667	1	-0.057875
0.933333	1	-0.057375
0.950000	1	-0.056750
0.966667	1	-0.055875
0.983333	1	-0.055375
1.000000	1	-0.054375
1.016667	1	-0.053000
1.033333	1	-0.052375
1.050000	1	-0.052375
1.066667	1	-0.051750
1.083333	1	-0.050875
1.100000	1	-0.049750
1.116667	1	-0.049750
1.133333	1	-0.048875
1.150000	1	-0.049125
1.166667	1	-0.049000
1.183333	1	-0.048625
1.200000	1	-0.048250
1.216667	1	-0.047250
1.233333	1	-0.046250
1.250000	1	-0.045500
1.266667	1	-0.045375
1.283333	1	-0.044625
1.300000	1	-0.044000
1.316667	1	-0.043625
1.333333	1	-0.043250
1.350000	1	-0.042750
1.366667	1	-0.043000
1.383333	1	-0.042250
1.400000	1	-0.041750
1.416667	1	-0.042000
1.433333	1	-0.041250
1.450000	1	-0.040625
1.466667	1	-0.040000
1.483333	1	-0.039875
1.500000	1	-0.039500
1.516667	1	-0.039250
1.533333	1	-0.039000
1.550000	1	-0.039250
1.566667	1	-0.039125
1.583333	1	-0.038750
1.600000	1	-0.038250
1.616667	1	-0.038000
1.633333	1	-0.037750
1.650000	1	-0.037375
1.666667	1	-0.037625
1.683333	1	-0.037500
1.700000	1	-0.037250
1.716667	1	-0.037000
1.733333	1	-0.037375
1.750000	1	-0.037750
