File Path	chrom://990-75db15j/XVault/Ultimate_3000/1256/20230531_CMO_stabTest _FP08_FP09.seq/298.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	XVault
Injection	FP09__6_s2
Injection Number	69
Position	BC8
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	03.06.2023
Injection Time	12:10:38
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.619500
Signal Max.	61.183750
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.049125
0.016667	1	-0.050125
0.033333	1	-0.051625
0.050000	1	-0.052750
0.066667	1	-0.053500
0.083333	1	-0.054000
0.100000	1	-0.054750
0.116667	1	-0.055750
0.133333	1	-0.056625
0.150000	1	-0.057250
0.166667	1	-0.057875
0.183333	1	-0.057875
0.200000	1	-0.058625
0.216667	1	-0.059000
0.233333	1	-0.058875
0.250000	1	-0.058500
0.266667	1	-0.058875
0.283333	1	-0.060125
0.300000	1	-0.063125
0.316667	1	-0.067000
0.333333	1	-0.069500
0.350000	1	-0.068250
0.366667	1	-0.065000
0.383333	1	-0.061000
0.400000	1	-0.057125
0.416667	1	-0.053125
0.433333	1	-0.049500
0.450000	1	-0.045750
0.466667	1	-0.043250
0.483333	1	-0.042125
0.500000	1	-0.042500
0.516667	1	-0.043875
0.533333	1	-0.046125
0.550000	1	-0.047625
0.566667	1	-0.048250
0.583333	1	-0.048125
0.600000	1	-0.048250
0.616667	1	-0.048375
0.633333	1	-0.048500
0.650000	1	-0.048375
0.666667	1	-0.047500
0.683333	1	-0.046750
0.700000	1	-0.046625
0.716667	1	-0.046125
0.733333	1	-0.046000
0.750000	1	-0.045750
0.766667	1	-0.044750
0.783333	1	-0.043875
0.800000	1	-0.043750
0.816667	1	-0.043375
0.833333	1	-0.042875
0.850000	1	-0.041875
0.866667	1	-0.041125
0.883333	1	-0.040750
0.900000	1	-0.040000
0.916667	1	-0.039875
0.933333	1	-0.038875
0.950000	1	-0.038125
0.966667	1	-0.037750
0.983333	1	-0.037625
1.000000	1	-0.037375
1.016667	1	-0.036750
1.033333	1	-0.036000
1.050000	1	-0.035250
1.066667	1	-0.034500
1.083333	1	-0.034500
1.100000	1	-0.035125
1.116667	1	-0.034625
1.133333	1	-0.034500
1.150000	1	-0.034500
1.166667	1	-0.034750
1.183333	1	-0.035250
1.200000	1	-0.035375
1.216667	1	-0.036250
1.233333	1	-0.036375
1.250000	1	-0.036625
1.266667	1	-0.036875
1.283333	1	-0.037500
1.300000	1	-0.038125
1.316667	1	-0.038750
1.333333	1	-0.039875
1.350000	1	-0.040250
1.366667	1	-0.040875
1.383333	1	-0.041500
1.400000	1	-0.042375
1.416667	1	-0.042750
1.433333	1	-0.043625
1.450000	1	-0.044000
1.466667	1	-0.044000
1.483333	1	-0.044375
1.500000	1	-0.044625
1.516667	1	-0.045000
1.533333	1	-0.045375
1.550000	1	-0.045625
1.566667	1	-0.045375
1.583333	1	-0.045625
1.600000	1	-0.045250
1.616667	1	-0.045250
1.633333	1	-0.044750
1.650000	1	-0.044875
1.666667	1	-0.044250
1.683333	1	-0.044500
1.700000	1	-0.044625
1.716667	1	-0.044750
1.733333	1	-0.044250
1.750000	1	-0.044000
1.766667	1	-0.043625
1.783333	1	-0.043500
1.800000	1	-0.043250
1.816667	1	-0.043375
1.833333	1	-0.043000
1.850000	1	-0.042750
1.866667	1	-0.043000
1.883333	1	-0.043625
1.900000	1	-0.043500
1.916667	1	-0.044625
1.933333	1	-0.044750
1.950000	1	-0.045125
1.966667	1	-0.045375
1.983333	1	-0.044875
2.000000	1	-0.045125
2.016667	1	-0.045625
2.033333	1	-0.046375
2.050000	1	-0.046625
2.066667	1	-0.047000
2.083333	1	-0.047000
2.100000	1	-0.047000
2.116667	1	-0.047500
2.133333	1	-0.047250
2.150000	1	-0.047375
2.166667	1	-0.047500
2.183333	1	-0.047500
2.200000	1	-0.047250
2.216667	1	-0.047250
2.233333	1	-0.046875
2.250000	1	-0.046250
2.266667	1	-0.046500
2.283333	1	-0.046375
2.300000	1	-0.046500
2.316667	1	-0.046125
2.333333	1	-0.046500
2.350000	1	-0.046250
2.366667	1	-0.045750
2.383333	1	-0.045250
2.400000	1	-0.044125
2.416667	1	-0.044250
2.433333	1	-0.043500
2.450000	1	-0.042375
2.466667	1	-0.041625
2.483333	1	-0.041625
2.500000	1	-0.040750
2.516667	1	-0.040375
2.533333	1	-0.040500
2.550000	1	-0.039875
2.566667	1	-0.038625
2.583333	1	-0.037250
2.600000	1	-0.036250
2.616667	1	-0.035125
2.633333	1	-0.034250
2.650000	1	-0.033500
2.666667	1	-0.033250
2.683333	1	-0.032625
2.700000	1	-0.031875
2.716667	1	-0.031250
2.733333	1	-0.030750
2.750000	1	-0.029750
2.766667	1	-0.028750
2.783333	1	-0.027875
2.800000	1	-0.027750
2.816667	1	-0.026500
2.833333	1	-0.025750
2.850000	1	-0.025500
2.866667	1	-0.025375
2.883333	1	-0.024375
2.900000	1	-0.024500
2.916667	1	-0.024750
2.933333	1	-0.024750
2.950000	1	-0.024625
2.966667	1	-0.024750
2.983333	1	-0.024750
3.000000	1	-0.024375
3.016667	1	-0.024625
3.033333	1	-0.025500
3.050000	1	-0.026125
3.066667	1	-0.026125
3.083333	1	-0.026000
3.100000	1	-0.026875
3.116667	1	-0.027750
3.133333	1	-0.028500
