File Path	chrom://990-75db15j/XVault/Ultimate_3000/1256/20230531_CMO_stabTest _FP08_FP09.seq/194.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	XVault
Injection	FP08_6_s4
Injection Number	35
Position	BE1
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	02.06.2023
Injection Time	11:57:48
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.393125
Signal Max.	53.477375
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.051875
0.016667	1	-0.053625
0.033333	1	-0.055000
0.050000	1	-0.056125
0.066667	1	-0.057250
0.083333	1	-0.057875
0.100000	1	-0.058375
0.116667	1	-0.059625
0.133333	1	-0.060375
0.150000	1	-0.061000
0.166667	1	-0.061750
0.183333	1	-0.063000
0.200000	1	-0.063375
0.216667	1	-0.064375
0.233333	1	-0.065000
0.250000	1	-0.065875
0.266667	1	-0.065250
0.283333	1	-0.066625
0.300000	1	-0.069000
0.316667	1	-0.072500
0.333333	1	-0.075750
0.350000	1	-0.076000
0.366667	1	-0.073250
0.383333	1	-0.069250
0.400000	1	-0.065500
0.416667	1	-0.062625
0.433333	1	-0.059500
0.450000	1	-0.057000
0.466667	1	-0.055750
0.483333	1	-0.055875
0.500000	1	-0.056625
0.516667	1	-0.058375
0.533333	1	-0.060875
0.550000	1	-0.062875
0.566667	1	-0.064125
0.583333	1	-0.065500
0.600000	1	-0.067000
0.616667	1	-0.067750
0.633333	1	-0.068500
0.650000	1	-0.069625
0.666667	1	-0.070375
0.683333	1	-0.070375
0.700000	1	-0.070625
0.716667	1	-0.070500
0.733333	1	-0.071375
