File Path	chrom://marshall/Chromeleon7/HPLC_Ultimate_3000/Users/markusar/20230610_CMO_FP11_FP12.seq/263.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	Chromeleon7
Injection	FP11_6_S5
Injection Number	10
Position	BA9
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	11.06.2023
Injection Time	00:52:34
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.647625
Signal Max.	39.928750
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.022875
0.016667	1	-0.024625
0.033333	1	-0.026125
0.050000	1	-0.027875
0.066667	1	-0.029250
0.083333	1	-0.030500
0.100000	1	-0.032125
0.116667	1	-0.033250
0.133333	1	-0.034875
0.150000	1	-0.037125
0.166667	1	-0.038750
0.183333	1	-0.040875
0.200000	1	-0.042375
0.216667	1	-0.043375
0.233333	1	-0.045125
0.250000	1	-0.046000
0.266667	1	-0.047000
0.283333	1	-0.047750
0.300000	1	-0.049500
0.316667	1	-0.051500
0.333333	1	-0.054750
0.350000	1	-0.059125
0.366667	1	-0.063875
0.383333	1	-0.066125
0.400000	1	-0.064875
0.416667	1	-0.062500
0.433333	1	-0.059875
0.450000	1	-0.057375
0.466667	1	-0.055000
0.483333	1	-0.053000
0.500000	1	-0.051500
0.516667	1	-0.050250
0.533333	1	-0.049750
0.550000	1	-0.050625
0.566667	1	-0.051750
0.583333	1	-0.053875
0.600000	1	-0.056250
0.616667	1	-0.058625
0.633333	1	-0.059875
0.650000	1	-0.060500
0.666667	1	-0.061250
0.683333	1	-0.062000
0.700000	1	-0.063125
0.716667	1	-0.063125
0.733333	1	-0.063750
0.750000	1	-0.064375
0.766667	1	-0.064625
0.783333	1	-0.065000
0.800000	1	-0.064875
0.816667	1	-0.064750
0.833333	1	-0.064250
0.850000	1	-0.064750
0.866667	1	-0.064125
0.883333	1	-0.063500
0.900000	1	-0.063125
0.916667	1	-0.063250
0.933333	1	-0.063500
0.950000	1	-0.063250
0.966667	1	-0.062375
0.983333	1	-0.062250
1.000000	1	-0.062375
1.016667	1	-0.062000
1.033333	1	-0.061750
1.050000	1	-0.062000
1.066667	1	-0.061125
1.083333	1	-0.060750
1.100000	1	-0.061000
1.116667	1	-0.061250
1.133333	1	-0.061750
1.150000	1	-0.061625
1.166667	1	-0.061250
1.183333	1	-0.061125
1.200000	1	-0.060875
1.216667	1	-0.060500
1.233333	1	-0.061125
1.250000	1	-0.061625
1.266667	1	-0.061750
1.283333	1	-0.062000
1.300000	1	-0.062125
1.316667	1	-0.061875
1.333333	1	-0.061750
1.350000	1	-0.062250
1.366667	1	-0.062375
1.383333	1	-0.062625
1.400000	1	-0.062250
1.416667	1	-0.062500
1.433333	1	-0.062750
1.450000	1	-0.063250
1.466667	1	-0.063250
1.483333	1	-0.063375
1.500000	1	-0.064000
1.516667	1	-0.064125
1.533333	1	-0.064000
1.550000	1	-0.064500
1.566667	1	-0.065500
1.583333	1	-0.066250
1.600000	1	-0.067125
1.616667	1	-0.068375
1.633333	1	-0.068750
1.650000	1	-0.070125
1.666667	1	-0.070250
1.683333	1	-0.071250
1.700000	1	-0.072000
1.716667	1	-0.072875
1.733333	1	-0.073625
1.750000	1	-0.074875
1.766667	1	-0.075875
1.783333	1	-0.077125
1.800000	1	-0.077750
1.816667	1	-0.078375
1.833333	1	-0.079375
1.850000	1	-0.080500
1.866667	1	-0.081750
1.883333	1	-0.082125
1.900000	1	-0.083500
1.916667	1	-0.084750
1.933333	1	-0.085250
1.950000	1	-0.086000
1.966667	1	-0.087000
1.983333	1	-0.087750
2.000000	1	-0.088625
2.016667	1	-0.089250
2.033333	1	-0.090250
2.050000	1	-0.091000
2.066667	1	-0.091625
2.083333	1	-0.091500
2.100000	1	-0.090875
2.116667	1	-0.091625
2.133333	1	-0.091625
2.150000	1	-0.091500
2.166667	1	-0.091750
2.183333	1	-0.092250
2.200000	1	-0.092250
2.216667	1	-0.092000
2.233333	1	-0.091625
2.250000	1	-0.091375
2.266667	1	-0.091375
2.283333	1	-0.091125
2.300000	1	-0.090625
2.316667	1	-0.089875
2.333333	1	-0.088875
2.350000	1	-0.088875
2.366667	1	-0.089125
2.383333	1	-0.088750
2.400000	1	-0.088250
2.416667	1	-0.087375
2.433333	1	-0.086250
2.450000	1	-0.085875
2.466667	1	-0.084625
2.483333	1	-0.084500
2.500000	1	-0.083750
2.516667	1	-0.083500
2.533333	1	-0.083125
2.550000	1	-0.082750
2.566667	1	-0.082125
2.583333	1	-0.081375
2.600000	1	-0.080375
2.616667	1	-0.079750
2.633333	1	-0.078875
2.650000	1	-0.078375
2.666667	1	-0.077250
2.683333	1	-0.076375
2.700000	1	-0.075250
2.716667	1	-0.074500
2.733333	1	-0.073875
2.750000	1	-0.073125
2.766667	1	-0.072375
2.783333	1	-0.071375
2.800000	1	-0.070750
2.816667	1	-0.070250
2.833333	1	-0.068125
2.850000	1	-0.067000
2.866667	1	-0.065750
2.883333	1	-0.064500
2.900000	1	-0.063375
2.916667	1	-0.062250
2.933333	1	-0.060750
2.950000	1	-0.059375
2.966667	1	-0.057875
2.983333	1	-0.056750
3.000000	1	-0.055250
3.016667	1	-0.053625
3.033333	1	-0.051750
3.050000	1	-0.050125
3.066667	1	-0.048625
3.083333	1	-0.047375
3.100000	1	-0.046125
3.116667	1	-0.044500
3.133333	1	-0.043375
3.150000	1	-0.042875
3.166667	1	-0.041375
3.183333	1	-0.039875
3.200000	1	-0.038875
3.216667	1	-0.038375
3.233333	1	-0.037375
3.250000	1	-0.036750
3.266667	1	-0.035500
3.283333	1	-0.034250
3.300000	1	-0.033500
3.316667	1	-0.033125
3.333333	1	-0.032500
3.350000	1	-0.032125
3.366667	1	-0.031750
3.383333	1	-0.031000
3.400000	1	-0.031375
3.416667	1	-0.030875
3.433333	1	-0.030500
3.450000	1	-0.030375
3.466667	1	-0.030625
3.483333	1	-0.030375
3.500000	1	-0.030750
3.516667	1	-0.031000
3.533333	1	-0.031000
3.550000	1	-0.031875
3.566667	1	-0.031750
3.583333	1	-0.031875
3.600000	1	-0.032500
3.616667	1	-0.033125
3.633333	1	-0.033375
3.650000	1	-0.034250
3.666667	1	-0.034875
3.683333	1	-0.035375
3.700000	1	-0.036250
3.716667	1	-0.036875
3.733333	1	-0.037375
3.750000	1	-0.038125
3.766667	1	-0.038750
3.783333	1	-0.040000
3.800000	1	-0.040375
3.816667	1	-0.041250
3.833333	1	-0.042375
3.850000	1	-0.043125
3.866667	1	-0.043875
3.883333	1	-0.044750
3.900000	1	-0.045625
3.916667	1	-0.046500
3.933333	1	-0.047625
3.950000	1	-0.048250
3.966667	1	-0.049250
3.983333	1	-0.050625
4.000000	1	-0.051375
4.016667	1	-0.052000
4.033333	1	-0.053250
4.050000	1	-0.054250
4.066667	1	-0.054875
4.083333	1	-0.055500
4.100000	1	-0.056500
4.116667	1	-0.057500
4.133333	1	-0.057875
4.150000	1	-0.058250
4.166667	1	-0.059000
4.183333	1	-0.058875
4.200000	1	-0.059375
4.216667	1	-0.059625
4.233333	1	-0.060375
4.250000	1	-0.059875
4.266667	1	-0.059875
4.283333	1	-0.060000
4.300000	1	-0.059625
4.316667	1	-0.060000
4.333333	1	-0.060125
4.350000	1	-0.060250
4.366667	1	-0.060375
4.383333	1	-0.060125
4.400000	1	-0.059875
4.416667	1	-0.058625
4.433333	1	-0.058250
4.450000	1	-0.057500
4.466667	1	-0.056875
4.483333	1	-0.057000
4.500000	1	-0.056625
4.516667	1	-0.056000
4.533333	1	-0.055000
4.550000	1	-0.054000
4.566667	1	-0.052875
4.583333	1	-0.051375
4.600000	1	-0.050500
4.616667	1	-0.049125
4.633333	1	-0.048625
4.650000	1	-0.046750
4.666667	1	-0.045125
4.683333	1	-0.044125
4.700000	1	-0.043125
4.716667	1	-0.040875
4.733333	1	-0.039500
4.750000	1	-0.037875
4.766667	1	-0.035625
4.783333	1	-0.033750
4.800000	1	-0.032875
4.816667	1	-0.031500
4.833333	1	-0.030000
4.850000	1	-0.028250
4.866667	1	-0.026500
4.883333	1	-0.024875
4.900000	1	-0.022875
4.916667	1	-0.021500
4.933333	1	-0.019375
4.950000	1	-0.018000
4.966667	1	-0.015500
4.983333	1	-0.013625
5.000000	1	-0.011375
5.016667	1	-0.009500
5.033333	1	-0.008000
5.050000	1	-0.006250
5.066667	1	-0.004500
5.083333	1	-0.003250
5.100000	1	-0.001375
5.116667	1	-0.000125
5.133333	1	0.001250
5.150000	1	0.002625
5.166667	1	0.004625
5.183333	1	0.006375
5.200000	1	0.008000
5.216667	1	0.009375
5.233333	1	0.011250
5.250000	1	0.012000
5.266667	1	0.012375
5.283333	1	0.013750
5.300000	1	0.014625
5.316667	1	0.015500
5.333333	1	0.016500
5.350000	1	0.016750
5.366667	1	0.017000
5.383333	1	0.017500
5.400000	1	0.018250
5.416667	1	0.019000
5.433333	1	0.018625
5.450000	1	0.018000
5.466667	1	0.018375
5.483333	1	0.017375
5.500000	1	0.017125
5.516667	1	0.016375
5.533333	1	0.015250
5.550000	1	0.014250
5.566667	1	0.013875
5.583333	1	0.012250
5.600000	1	0.011125
5.616667	1	0.009625
5.633333	1	0.008625
5.650000	1	0.007250
5.666667	1	0.006250
5.683333	1	0.005125
5.700000	1	0.003625
5.716667	1	0.001875
5.733333	1	0.000000
5.750000	1	-0.000750
5.766667	1	-0.002250
5.783333	1	-0.003375
5.800000	1	-0.004500
5.816667	1	-0.005000
5.833333	1	-0.006625
5.850000	1	-0.007375
5.866667	1	-0.008375
5.883333	1	-0.008875
5.900000	1	-0.009875
5.916667	1	-0.010125
5.933333	1	-0.010750
5.950000	1	-0.010875
5.966667	1	-0.011625
5.983333	1	-0.012000
6.000000	1	-0.011500
6.016667	1	-0.011625
6.033333	1	-0.011250
6.050000	1	-0.010750
6.066667	1	-0.010375
6.083333	1	-0.010250
6.100000	1	-0.009625
6.116667	1	-0.008750
6.133333	1	-0.007875
6.150000	1	-0.007250
6.166667	1	-0.006250
6.183333	1	-0.004750
6.200000	1	-0.003375
6.216667	1	-0.001750
6.233333	1	-0.000125
6.250000	1	0.001000
6.266667	1	0.002500
6.283333	1	0.004250
6.300000	1	0.005375
6.316667	1	0.007375
6.333333	1	0.009375
6.350000	1	0.011375
6.366667	1	0.012875
6.383333	1	0.015375
6.400000	1	0.017000
6.416667	1	0.019000
6.433333	1	0.020500
6.450000	1	0.021875
6.466667	1	0.024250
6.483333	1	0.026375
6.500000	1	0.027875
6.516667	1	0.029500
6.533333	1	0.031125
6.550000	1	0.032875
6.566667	1	0.034875
6.583333	1	0.037250
6.600000	1	0.038375
6.616667	1	0.040125
6.633333	1	0.042000
6.650000	1	0.043500
6.666667	1	0.044750
6.683333	1	0.046750
6.700000	1	0.048000
6.716667	1	0.049125
6.733333	1	0.050500
6.750000	1	0.051500
6.766667	1	0.052250
6.783333	1	0.053125
6.800000	1	0.053250
6.816667	1	0.053500
6.833333	1	0.053875
6.850000	1	0.053375
