File Path	chrom://990-75db15j/XVault/Ultimate_3000/1256/20230531_CMO_stabTest _FP08_FP09.seq/159.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	XVault
Injection	FP08_8_s1
Injection Number	45
Position	BA9
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	02.06.2023
Injection Time	19:47:19
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-1.072750
Signal Max.	61.696750
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.023000
0.016667	1	-0.022625
0.033333	1	-0.022125
0.050000	1	-0.021500
0.066667	1	-0.020875
0.083333	1	-0.020125
0.100000	1	-0.019000
0.116667	1	-0.017625
0.133333	1	-0.017500
0.150000	1	-0.017500
0.166667	1	-0.017250
0.183333	1	-0.016750
0.200000	1	-0.016500
0.216667	1	-0.015375
0.233333	1	-0.014125
0.250000	1	-0.013625
0.266667	1	-0.013375
0.283333	1	-0.013750
0.300000	1	-0.015750
0.316667	1	-0.019500
0.333333	1	-0.021250
0.350000	1	-0.020875
0.366667	1	-0.017125
0.383333	1	-0.012375
0.400000	1	-0.008125
0.416667	1	-0.004625
0.433333	1	-0.001750
0.450000	1	0.000500
0.466667	1	0.001625
0.483333	1	0.001375
0.500000	1	0.000125
0.516667	1	-0.002125
0.533333	1	-0.004375
0.550000	1	-0.006125
0.566667	1	-0.007250
0.583333	1	-0.008750
0.600000	1	-0.009750
0.616667	1	-0.010875
0.633333	1	-0.012125
0.650000	1	-0.012250
0.666667	1	-0.013375
0.683333	1	-0.014000
0.700000	1	-0.014375
0.716667	1	-0.015625
0.733333	1	-0.016500
0.750000	1	-0.016625
0.766667	1	-0.017500
0.783333	1	-0.017000
0.800000	1	-0.017875
0.816667	1	-0.017500
0.833333	1	-0.017875
0.850000	1	-0.017875
0.866667	1	-0.018125
0.883333	1	-0.017625
0.900000	1	-0.017000
0.916667	1	-0.016250
0.933333	1	-0.016375
0.950000	1	-0.016750
0.966667	1	-0.016625
0.983333	1	-0.016875
1.000000	1	-0.016500
1.016667	1	-0.015875
1.033333	1	-0.015500
1.050000	1	-0.014375
1.066667	1	-0.013875
1.083333	1	-0.013500
1.100000	1	-0.014125
1.116667	1	-0.014875
1.133333	1	-0.014875
1.150000	1	-0.014625
1.166667	1	-0.015000
1.183333	1	-0.015500
1.200000	1	-0.015750
1.216667	1	-0.016250
1.233333	1	-0.016375
1.250000	1	-0.016750
1.266667	1	-0.017250
1.283333	1	-0.017500
1.300000	1	-0.017375
1.316667	1	-0.017000
1.333333	1	-0.016875
1.350000	1	-0.017250
1.366667	1	-0.017750
1.383333	1	-0.017750
1.400000	1	-0.018750
1.416667	1	-0.019000
1.433333	1	-0.019000
1.450000	1	-0.019500
1.466667	1	-0.019625
1.483333	1	-0.019625
1.500000	1	-0.020125
1.516667	1	-0.020125
1.533333	1	-0.019500
1.550000	1	-0.020250
1.566667	1	-0.021000
1.583333	1	-0.020875
1.600000	1	-0.020750
1.616667	1	-0.020375
1.633333	1	-0.020625
1.650000	1	-0.020750
1.666667	1	-0.020125
1.683333	1	-0.019750
1.700000	1	-0.019750
1.716667	1	-0.019875
1.733333	1	-0.019750
1.750000	1	-0.020000
1.766667	1	-0.019625
1.783333	1	-0.019750
1.800000	1	-0.019750
1.816667	1	-0.019375
1.833333	1	-0.019000
1.850000	1	-0.018750
1.866667	1	-0.018375
1.883333	1	-0.018750
1.900000	1	-0.018625
1.916667	1	-0.019375
1.933333	1	-0.019250
1.950000	1	-0.019625
1.966667	1	-0.020125
1.983333	1	-0.020250
2.000000	1	-0.020500
2.016667	1	-0.020750
2.033333	1	-0.021250
2.050000	1	-0.022000
2.066667	1	-0.022000
2.083333	1	-0.023000
2.100000	1	-0.023875
2.116667	1	-0.024500
2.133333	1	-0.025000
2.150000	1	-0.026125
2.166667	1	-0.027000
2.183333	1	-0.028250
2.200000	1	-0.028875
2.216667	1	-0.030375
2.233333	1	-0.031375
2.250000	1	-0.032000
2.266667	1	-0.032750
2.283333	1	-0.033375
2.300000	1	-0.034250
2.316667	1	-0.035250
2.333333	1	-0.035750
2.350000	1	-0.036500
2.366667	1	-0.037250
2.383333	1	-0.038625
2.400000	1	-0.039250
2.416667	1	-0.039000
2.433333	1	-0.039000
2.450000	1	-0.039500
2.466667	1	-0.039750
2.483333	1	-0.039875
2.500000	1	-0.040500
2.516667	1	-0.040250
2.533333	1	-0.040000
2.550000	1	-0.039625
2.566667	1	-0.039125
2.583333	1	-0.038250
2.600000	1	-0.037750
2.616667	1	-0.038000
2.633333	1	-0.037375
2.650000	1	-0.036875
2.666667	1	-0.036000
2.683333	1	-0.035875
2.700000	1	-0.035250
2.716667	1	-0.034250
2.733333	1	-0.034000
2.750000	1	-0.033250
2.766667	1	-0.032750
2.783333	1	-0.031875
2.800000	1	-0.031125
2.816667	1	-0.030125
2.833333	1	-0.029625
2.850000	1	-0.029625
2.866667	1	-0.028750
2.883333	1	-0.028750
2.900000	1	-0.028625
2.916667	1	-0.028000
2.933333	1	-0.028750
2.950000	1	-0.029125
2.966667	1	-0.029625
2.983333	1	-0.029625
3.000000	1	-0.029625
3.016667	1	-0.030250
3.033333	1	-0.031500
3.050000	1	-0.031750
3.066667	1	-0.031875
3.083333	1	-0.032000
3.100000	1	-0.032250
3.116667	1	-0.033125
3.133333	1	-0.034250
3.150000	1	-0.034875
3.166667	1	-0.035625
3.183333	1	-0.037000
3.200000	1	-0.037875
3.216667	1	-0.038750
3.233333	1	-0.040375
3.250000	1	-0.041125
3.266667	1	-0.042000
3.283333	1	-0.043125
3.300000	1	-0.043500
3.316667	1	-0.044250
3.333333	1	-0.045250
3.350000	1	-0.046625
3.366667	1	-0.046875
3.383333	1	-0.047500
3.400000	1	-0.047500
3.416667	1	-0.048500
3.433333	1	-0.048875
3.450000	1	-0.048750
3.466667	1	-0.049125
3.483333	1	-0.049250
3.500000	1	-0.050375
3.516667	1	-0.050750
3.533333	1	-0.050875
3.550000	1	-0.050875
3.566667	1	-0.051375
3.583333	1	-0.051625
3.600000	1	-0.051500
3.616667	1	-0.051375
3.633333	1	-0.051625
3.650000	1	-0.051500
3.666667	1	-0.051125
3.683333	1	-0.050875
3.700000	1	-0.050625
3.716667	1	-0.050375
3.733333	1	-0.049625
3.750000	1	-0.049125
3.766667	1	-0.048875
3.783333	1	-0.048500
3.800000	1	-0.047500
3.816667	1	-0.046875
3.833333	1	-0.046375
3.850000	1	-0.045375
3.866667	1	-0.044875
3.883333	1	-0.044375
3.900000	1	-0.044000
3.916667	1	-0.043125
3.933333	1	-0.042125
3.950000	1	-0.040875
3.966667	1	-0.039625
3.983333	1	-0.038875
4.000000	1	-0.037500
4.016667	1	-0.036000
4.033333	1	-0.035000
4.050000	1	-0.033875
4.066667	1	-0.033000
4.083333	1	-0.032000
4.100000	1	-0.030750
4.116667	1	-0.030250
4.133333	1	-0.029875
4.150000	1	-0.028125
4.166667	1	-0.027500
4.183333	1	-0.026500
4.200000	1	-0.025875
4.216667	1	-0.024750
4.233333	1	-0.023625
4.250000	1	-0.022875
4.266667	1	-0.022500
4.283333	1	-0.021500
4.300000	1	-0.021375
4.316667	1	-0.020375
4.333333	1	-0.019750
4.350000	1	-0.018875
4.366667	1	-0.019000
4.383333	1	-0.017625
4.400000	1	-0.016625
4.416667	1	-0.016625
4.433333	1	-0.016625
4.450000	1	-0.015500
4.466667	1	-0.014375
4.483333	1	-0.013250
4.500000	1	-0.012125
4.516667	1	-0.011750
4.533333	1	-0.010750
4.550000	1	-0.009750
4.566667	1	-0.008625
4.583333	1	-0.007500
4.600000	1	-0.007000
4.616667	1	-0.005875
4.633333	1	-0.004500
4.650000	1	-0.004125
4.666667	1	-0.003625
4.683333	1	-0.003125
4.700000	1	-0.002375
4.716667	1	-0.001750
4.733333	1	-0.001000
4.750000	1	-0.000750
4.766667	1	-0.000875
4.783333	1	-0.001000
4.800000	1	0.000000
4.816667	1	0.000250
4.833333	1	0.000750
4.850000	1	0.000875
4.866667	1	0.000750
4.883333	1	0.000875
4.900000	1	0.000500
4.916667	1	0.000125
4.933333	1	-0.001000
4.950000	1	-0.001750
4.966667	1	-0.001625
4.983333	1	-0.001875
5.000000	1	-0.002750
5.016667	1	-0.003750
5.033333	1	-0.004750
5.050000	1	-0.005125
5.066667	1	-0.006000
5.083333	1	-0.006750
5.100000	1	-0.007750
5.116667	1	-0.008875
5.133333	1	-0.009875
5.150000	1	-0.010500
5.166667	1	-0.011625
5.183333	1	-0.012625
5.200000	1	-0.013625
5.216667	1	-0.014375
5.233333	1	-0.015125
5.250000	1	-0.016750
5.266667	1	-0.017750
5.283333	1	-0.018625
5.300000	1	-0.019500
5.316667	1	-0.020250
5.333333	1	-0.020875
5.350000	1	-0.021375
5.366667	1	-0.021500
5.383333	1	-0.022000
5.400000	1	-0.022375
5.416667	1	-0.022750
5.433333	1	-0.023000
5.450000	1	-0.023125
5.466667	1	-0.023750
5.483333	1	-0.024000
5.500000	1	-0.023500
5.516667	1	-0.024500
5.533333	1	-0.025125
5.550000	1	-0.024750
5.566667	1	-0.024750
5.583333	1	-0.024875
5.600000	1	-0.024750
5.616667	1	-0.024375
5.633333	1	-0.024875
5.650000	1	-0.025000
5.666667	1	-0.024875
5.683333	1	-0.025375
5.700000	1	-0.025125
5.716667	1	-0.025500
5.733333	1	-0.025750
5.750000	1	-0.025375
5.766667	1	-0.025500
5.783333	1	-0.025625
5.800000	1	-0.026000
5.816667	1	-0.026375
5.833333	1	-0.027250
5.850000	1	-0.028000
5.866667	1	-0.028375
5.883333	1	-0.029125
5.900000	1	-0.028625
5.916667	1	-0.029625
5.933333	1	-0.030375
5.950000	1	-0.031000
5.966667	1	-0.031250
5.983333	1	-0.031625
6.000000	1	-0.032000
6.016667	1	-0.032375
6.033333	1	-0.033375
6.050000	1	-0.034500
6.066667	1	-0.035375
6.083333	1	-0.036250
6.100000	1	-0.036625
6.116667	1	-0.037125
6.133333	1	-0.037875
6.150000	1	-0.038625
6.166667	1	-0.039750
6.183333	1	-0.040125
6.200000	1	-0.040250
6.216667	1	-0.041000
6.233333	1	-0.041250
6.250000	1	-0.041875
6.266667	1	-0.042000
6.283333	1	-0.042125
6.300000	1	-0.042125
6.316667	1	-0.042250
6.333333	1	-0.042375
6.350000	1	-0.041875
6.366667	1	-0.042250
6.383333	1	-0.042125
6.400000	1	-0.042000
6.416667	1	-0.042500
6.433333	1	-0.042875
6.450000	1	-0.042625
6.466667	1	-0.042250
6.483333	1	-0.042375
6.500000	1	-0.042750
6.516667	1	-0.042125
6.533333	1	-0.042125
6.550000	1	-0.041500
6.566667	1	-0.041625
6.583333	1	-0.041000
6.600000	1	-0.040500
6.616667	1	-0.040125
6.633333	1	-0.040250
6.650000	1	-0.040125
6.666667	1	-0.040250
6.683333	1	-0.040125
6.700000	1	-0.039250
6.716667	1	-0.039125
6.733333	1	-0.039000
6.750000	1	-0.038000
6.766667	1	-0.037500
6.783333	1	-0.037125
6.800000	1	-0.037625
6.816667	1	-0.037500
6.833333	1	-0.037375
6.850000	1	-0.037000
6.866667	1	-0.037000
6.883333	1	-0.037375
6.900000	1	-0.037250
6.916667	1	-0.036625
6.933333	1	-0.036250
6.950000	1	-0.036750
6.966667	1	-0.037000
6.983333	1	-0.037500
7.000000	1	-0.037500
7.016667	1	-0.037875
7.033333	1	-0.037875
7.050000	1	-0.037500
7.066667	1	-0.037875
7.083333	1	-0.038250
7.100000	1	-0.038750
7.116667	1	-0.039000
7.133333	1	-0.039125
7.150000	1	-0.039500
7.166667	1	-0.039750
7.183333	1	-0.040000
7.200000	1	-0.040625
7.216667	1	-0.040625
7.233333	1	-0.041000
7.250000	1	-0.041375
7.266667	1	-0.041750
7.283333	1	-0.041875
7.300000	1	-0.042875
7.316667	1	-0.042875
7.333333	1	-0.043375
7.350000	1	-0.043500
7.366667	1	-0.043500
7.383333	1	-0.043750
7.400000	1	-0.043625
7.416667	1	-0.043875
7.433333	1	-0.044125
7.450000	1	-0.044375
7.466667	1	-0.044500
7.483333	1	-0.045000
7.500000	1	-0.045875
7.516667	1	-0.046000
7.533333	1	-0.046750
7.550000	1	-0.047625
7.566667	1	-0.047750
7.583333	1	-0.048000
7.600000	1	-0.048000
7.616667	1	-0.047875
7.633333	1	-0.048125
7.650000	1	-0.048125
7.666667	1	-0.048000
7.683333	1	-0.047625
7.700000	1	-0.047750
7.716667	1	-0.047500
7.733333	1	-0.047375
7.750000	1	-0.046875
7.766667	1	-0.046250
7.783333	1	-0.045750
7.800000	1	-0.045750
7.816667	1	-0.045375
7.833333	1	-0.044250
7.850000	1	-0.043125
7.866667	1	-0.042500
7.883333	1	-0.042125
7.900000	1	-0.042125
7.916667	1	-0.041375
7.933333	1	-0.039875
7.950000	1	-0.039500
7.966667	1	-0.038250
7.983333	1	-0.038000
8.000000	1	-0.037125
8.016667	1	-0.036500
8.033333	1	-0.036500
8.050000	1	-0.036625
8.066667	1	-0.036625
8.083333	1	-0.036500
8.100000	1	-0.035625
8.116667	1	-0.034750
8.133333	1	-0.034000
8.150000	1	-0.034000
8.166667	1	-0.033750
8.183333	1	-0.033000
8.200000	1	-0.032875
8.216667	1	-0.032625
8.233333	1	-0.031875
8.250000	1	-0.031625
8.266667	1	-0.031125
8.283333	1	-0.030000
8.300000	1	-0.029750
8.316667	1	-0.029000
8.333333	1	-0.028875
8.350000	1	-0.028125
8.366667	1	-0.027875
8.383333	1	-0.027625
8.400000	1	-0.027625
8.416667	1	-0.027625
8.433333	1	-0.027375
8.450000	1	-0.027500
8.466667	1	-0.026875
8.483333	1	-0.026625
8.500000	1	-0.026500
8.516667	1	-0.026625
8.533333	1	-0.026125
8.550000	1	-0.025875
8.566667	1	-0.026000
8.583333	1	-0.025875
8.600000	1	-0.026125
8.616667	1	-0.026375
8.633333	1	-0.025750
8.650000	1	-0.025500
8.666667	1	-0.025500
8.683333	1	-0.025750
8.700000	1	-0.025750
8.716667	1	-0.025500
8.733333	1	-0.025000
8.750000	1	-0.025000
8.766667	1	-0.025250
8.783333	1	-0.024625
8.800000	1	-0.023000
8.816667	1	-0.023250
8.833333	1	-0.022875
8.850000	1	-0.022625
8.866667	1	-0.022000
8.883333	1	-0.022125
8.900000	1	-0.021875
8.916667	1	-0.021375
8.933333	1	-0.021250
8.950000	1	-0.022000
8.966667	1	-0.021625
8.983333	1	-0.021875
9.000000	1	-0.021750
9.016667	1	-0.022000
9.033333	1	-0.021875
9.050000	1	-0.022250
9.066667	1	-0.023000
9.083333	1	-0.023000
9.100000	1	-0.023000
9.116667	1	-0.023625
9.133333	1	-0.023375
9.150000	1	-0.023625
9.166667	1	-0.023500
9.183333	1	-0.023375
9.200000	1	-0.023875
9.216667	1	-0.024125
9.233333	1	-0.024000
9.250000	1	-0.023625
9.266667	1	-0.023375
9.283333	1	-0.022500
9.300000	1	-0.022000
9.316667	1	-0.022500
9.333333	1	-0.022625
9.350000	1	-0.021375
9.366667	1	-0.020625
9.383333	1	-0.020000
9.400000	1	-0.019000
9.416667	1	-0.018000
9.433333	1	-0.016375
9.450000	1	-0.015250
9.466667	1	-0.013000
9.483333	1	-0.010000
9.500000	1	-0.006750
9.516667	1	-0.002250
9.533333	1	0.001875
9.550000	1	0.007875
9.566667	1	0.014000
9.583333	1	0.021625
9.600000	1	0.030250
9.616667	1	0.040875
9.633333	1	0.053125
9.650000	1	0.066500
9.666667	1	0.082375
9.683333	1	0.099500
9.700000	1	0.118250
9.716667	1	0.139250
9.733333	1	0.160125
9.750000	1	0.180250
9.766667	1	0.199000
9.783333	1	0.215375
9.800000	1	0.227000
9.816667	1	0.234250
9.833333	1	0.236125
9.850000	1	0.230875
9.866667	1	0.218250
9.883333	1	0.194750
9.900000	1	0.162500
9.916667	1	0.131375
9.933333	1	0.124875
9.950000	1	0.180750
9.966667	1	0.352875
9.983333	1	0.704125
10.000000	1	1.296250
10.016667	1	2.185250
10.033333	1	3.414500
10.050000	1	5.012625
10.066667	1	6.995500
10.083333	1	9.366625
10.100000	1	12.114875
10.116667	1	15.213875
10.133333	1	18.622125
10.150000	1	22.277125
10.166667	1	26.093125
10.183333	1	29.955500
10.200000	1	33.721625
10.216667	1	37.215375
10.233333	1	40.235500
10.250000	1	42.578625
10.266667	1	44.064375
10.283333	1	44.569875
10.300000	1	44.055250
10.316667	1	42.580125
10.333333	1	40.290250
10.350000	1	37.396250
10.366667	1	34.134250
10.383333	1	30.728875
10.400000	1	27.367750
10.416667	1	24.187250
10.433333	1	21.274875
10.450000	1	18.672250
10.466667	1	16.383875
10.483333	1	14.394000
10.500000	1	12.672375
10.516667	1	11.186750
10.533333	1	9.903875
10.550000	1	8.792250
10.566667	1	7.827125
10.583333	1	6.988375
10.600000	1	6.257375
10.616667	1	5.621750
10.633333	1	5.070250
10.650000	1	4.593125
10.666667	1	4.180625
10.683333	1	3.825375
10.700000	1	3.517375
10.716667	1	3.251375
10.733333	1	3.019125
10.750000	1	2.816500
10.766667	1	2.638000
10.783333	1	2.480250
10.800000	1	2.339875
10.816667	1	2.213750
10.833333	1	2.100125
10.850000	1	1.997500
10.866667	1	1.905125
10.883333	1	1.821000
10.900000	1	1.744250
10.916667	1	1.674625
10.933333	1	1.610875
10.950000	1	1.552375
10.966667	1	1.498125
10.983333	1	1.448375
11.000000	1	1.402375
11.016667	1	1.360000
11.033333	1	1.321250
11.050000	1	1.285125
11.066667	1	1.252000
11.083333	1	1.221375
11.100000	1	1.192875
11.116667	1	1.166000
11.133333	1	1.141250
11.150000	1	1.118750
11.166667	1	1.097750
11.183333	1	1.078125
11.200000	1	1.060125
11.216667	1	1.042875
11.233333	1	1.026125
11.250000	1	1.010750
11.266667	1	0.995875
11.283333	1	0.982250
11.300000	1	0.969000
11.316667	1	0.956125
11.333333	1	0.944125
11.350000	1	0.933000
11.366667	1	0.921500
11.383333	1	0.910625
11.400000	1	0.900250
11.416667	1	0.890750
11.433333	1	0.881750
11.450000	1	0.874000
11.466667	1	0.866750
11.483333	1	0.860250
11.500000	1	0.854625
11.516667	1	0.849750
11.533333	1	0.846000
11.550000	1	0.842500
11.566667	1	0.840000
11.583333	1	0.838375
11.600000	1	0.837125
11.616667	1	0.836375
11.633333	1	0.835250
11.650000	1	0.834500
11.666667	1	0.834000
11.683333	1	0.833375
11.700000	1	0.833625
11.716667	1	0.832375
11.733333	1	0.831375
11.750000	1	0.830375
11.766667	1	0.829125
11.783333	1	0.827875
11.800000	1	0.827125
11.816667	1	0.827125
11.833333	1	0.827125
11.850000	1	0.828375
11.866667	1	0.831250
11.883333	1	0.834750
11.900000	1	0.839625
11.916667	1	0.846500
11.933333	1	0.855250
11.950000	1	0.866250
11.966667	1	0.879625
11.983333	1	0.895625
12.000000	1	0.913375
12.016667	1	0.935000
12.033333	1	0.960750
12.050000	1	0.989125
12.066667	1	1.022000
12.083333	1	1.061625
12.100000	1	1.108125
12.116667	1	1.163125
12.133333	1	1.230500
12.150000	1	1.311500
12.166667	1	1.409000
12.183333	1	1.524000
12.200000	1	1.659875
12.216667	1	1.819000
12.233333	1	2.001625
12.250000	1	2.209375
12.266667	1	2.444250
12.283333	1	2.707000
12.300000	1	2.999125
12.316667	1	3.322875
12.333333	1	3.679750
12.350000	1	4.072250
12.366667	1	4.504125
12.383333	1	4.977000
12.400000	1	5.492000
12.416667	1	6.046625
12.433333	1	6.639125
12.450000	1	7.261375
12.466667	1	7.902500
12.483333	1	8.546875
12.500000	1	9.175625
12.516667	1	9.765125
12.533333	1	10.291375
12.550000	1	10.733875
12.566667	1	11.076750
12.583333	1	11.315750
12.600000	1	11.453250
12.616667	1	11.497875
12.633333	1	11.461500
12.650000	1	11.358625
12.666667	1	11.202125
12.683333	1	11.004375
12.700000	1	10.776125
12.716667	1	10.527375
12.733333	1	10.265000
12.750000	1	9.995750
12.766667	1	9.723250
12.783333	1	9.452250
12.800000	1	9.184125
12.816667	1	8.922250
12.833333	1	8.666750
