File Path	chrom://marshall/Chromeleon7/HPLC_Ultimate_3000/Users/markusar/20230531_CMO_stabTest _FP08_FP09.seq/328.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	Chromeleon7
Injection	FP09__8_s2
Injection Number	78
Position	BE5
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	03.06.2023
Injection Time	19:15:19
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.926875
Signal Max.	56.178750
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.031750
0.016667	1	-0.032375
0.033333	1	-0.031750
0.050000	1	-0.031750
0.066667	1	-0.031125
0.083333	1	-0.031000
0.100000	1	-0.031000
0.116667	1	-0.031250
0.133333	1	-0.032125
0.150000	1	-0.031750
0.166667	1	-0.031625
0.183333	1	-0.031000
0.200000	1	-0.031375
0.216667	1	-0.031125
0.233333	1	-0.031625
0.250000	1	-0.031500
0.266667	1	-0.031750
0.283333	1	-0.032875
0.300000	1	-0.036625
0.316667	1	-0.039750
0.333333	1	-0.041375
0.350000	1	-0.040750
0.366667	1	-0.037250
0.383333	1	-0.033125
0.400000	1	-0.029500
0.416667	1	-0.026500
0.433333	1	-0.024250
0.450000	1	-0.022625
0.466667	1	-0.021500
0.483333	1	-0.022000
0.500000	1	-0.023500
0.516667	1	-0.026500
0.533333	1	-0.029375
0.550000	1	-0.031750
0.566667	1	-0.033625
0.583333	1	-0.034875
0.600000	1	-0.036125
0.616667	1	-0.036750
0.633333	1	-0.037750
0.650000	1	-0.039375
0.666667	1	-0.039750
0.683333	1	-0.041000
0.700000	1	-0.042625
0.716667	1	-0.043375
0.733333	1	-0.044500
0.750000	1	-0.045500
0.766667	1	-0.045375
0.783333	1	-0.046250
0.800000	1	-0.047000
0.816667	1	-0.047250
0.833333	1	-0.047500
0.850000	1	-0.047625
0.866667	1	-0.048375
0.883333	1	-0.048750
0.900000	1	-0.048875
0.916667	1	-0.049750
0.933333	1	-0.049750
0.950000	1	-0.049875
0.966667	1	-0.049875
0.983333	1	-0.050500
1.000000	1	-0.050500
1.016667	1	-0.051125
1.033333	1	-0.051125
1.050000	1	-0.051125
1.066667	1	-0.051125
1.083333	1	-0.050875
1.100000	1	-0.051500
1.116667	1	-0.051625
1.133333	1	-0.051625
1.150000	1	-0.051625
1.166667	1	-0.051375
1.183333	1	-0.050750
1.200000	1	-0.050875
1.216667	1	-0.051250
1.233333	1	-0.051000
1.250000	1	-0.050625
1.266667	1	-0.050750
1.283333	1	-0.050875
1.300000	1	-0.051000
1.316667	1	-0.050625
1.333333	1	-0.050375
1.350000	1	-0.050375
1.366667	1	-0.049875
1.383333	1	-0.050250
1.400000	1	-0.049625
1.416667	1	-0.049250
1.433333	1	-0.049000
1.450000	1	-0.048250
1.466667	1	-0.047625
1.483333	1	-0.047375
1.500000	1	-0.047125
1.516667	1	-0.046750
1.533333	1	-0.046375
1.550000	1	-0.046500
1.566667	1	-0.046500
1.583333	1	-0.046875
1.600000	1	-0.047500
1.616667	1	-0.046875
1.633333	1	-0.046750
1.650000	1	-0.046500
1.666667	1	-0.046125
1.683333	1	-0.045625
1.700000	1	-0.046000
1.716667	1	-0.046000
1.733333	1	-0.046000
1.750000	1	-0.045875
1.766667	1	-0.046000
1.783333	1	-0.046250
1.800000	1	-0.045750
1.816667	1	-0.045250
1.833333	1	-0.044750
1.850000	1	-0.045000
1.866667	1	-0.044500
1.883333	1	-0.044250
1.900000	1	-0.044625
1.916667	1	-0.045125
1.933333	1	-0.044625
1.950000	1	-0.044500
1.966667	1	-0.044250
1.983333	1	-0.044125
2.000000	1	-0.044000
2.016667	1	-0.044125
2.033333	1	-0.044000
2.050000	1	-0.043750
2.066667	1	-0.043375
2.083333	1	-0.043125
2.100000	1	-0.043875
2.116667	1	-0.043625
2.133333	1	-0.043000
2.150000	1	-0.042625
2.166667	1	-0.042500
2.183333	1	-0.043000
2.200000	1	-0.042625
2.216667	1	-0.042250
2.233333	1	-0.042000
2.250000	1	-0.041500
2.266667	1	-0.041250
2.283333	1	-0.040875
2.300000	1	-0.040875
2.316667	1	-0.040375
2.333333	1	-0.039750
2.350000	1	-0.039125
2.366667	1	-0.038125
2.383333	1	-0.037875
2.400000	1	-0.037375
2.416667	1	-0.036500
2.433333	1	-0.035375
2.450000	1	-0.034500
2.466667	1	-0.034000
2.483333	1	-0.033000
2.500000	1	-0.032750
2.516667	1	-0.031500
2.533333	1	-0.030250
2.550000	1	-0.030125
2.566667	1	-0.029875
2.583333	1	-0.028375
2.600000	1	-0.027625
2.616667	1	-0.026375
2.633333	1	-0.025125
2.650000	1	-0.023875
2.666667	1	-0.023625
2.683333	1	-0.022125
2.700000	1	-0.021750
2.716667	1	-0.021500
2.733333	1	-0.021000
2.750000	1	-0.020375
2.766667	1	-0.019625
2.783333	1	-0.018375
2.800000	1	-0.017125
2.816667	1	-0.016000
2.833333	1	-0.015250
2.850000	1	-0.015000
2.866667	1	-0.014000
2.883333	1	-0.013750
2.900000	1	-0.012500
2.916667	1	-0.011750
2.933333	1	-0.011000
2.950000	1	-0.010125
2.966667	1	-0.008750
2.983333	1	-0.007750
3.000000	1	-0.007750
