File Path	chrom://marshall/Chromeleon7/HPLC_Ultimate_3000/Users/markusar/20230616_CMO_FP13_14_15.seq/589.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	Chromeleon7
Injection	FP14_8_s2
Injection Number	10
Position	BD3
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	16.06.2023
Injection Time	22:37:33
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.484250
Signal Max.	39.093000
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.009750
0.016667	1	0.008500
0.033333	1	0.007500
0.050000	1	0.006500
0.066667	1	0.005125
0.083333	1	0.004125
0.100000	1	0.002625
0.116667	1	0.001375
0.133333	1	-0.000125
0.150000	1	-0.001625
0.166667	1	-0.003500
0.183333	1	-0.004500
0.200000	1	-0.005500
0.216667	1	-0.006500
0.233333	1	-0.008000
0.250000	1	-0.009750
0.266667	1	-0.011125
0.283333	1	-0.012625
0.300000	1	-0.014125
0.316667	1	-0.014875
0.333333	1	-0.016125
0.350000	1	-0.017250
0.366667	1	-0.018750
0.383333	1	-0.020750
0.400000	1	-0.022000
0.416667	1	-0.023750
0.433333	1	-0.026250
0.450000	1	-0.029625
0.466667	1	-0.033125
0.483333	1	-0.034875
0.500000	1	-0.033500
0.516667	1	-0.031750
0.533333	1	-0.029250
0.550000	1	-0.027375
0.566667	1	-0.024875
0.583333	1	-0.022125
0.600000	1	-0.020625
0.616667	1	-0.019625
0.633333	1	-0.019000
0.650000	1	-0.019125
0.666667	1	-0.020500
0.683333	1	-0.022500
0.700000	1	-0.024125
0.716667	1	-0.026000
0.733333	1	-0.027250
0.750000	1	-0.029250
0.766667	1	-0.029875
0.783333	1	-0.030125
0.800000	1	-0.031000
0.816667	1	-0.031500
0.833333	1	-0.031875
0.850000	1	-0.032125
0.866667	1	-0.032375
0.883333	1	-0.032375
0.900000	1	-0.032625
0.916667	1	-0.032875
0.933333	1	-0.033125
0.950000	1	-0.033000
