File Path	chrom://marshall/Chromeleon7/HPLC_Ultimate_3000/Users/markusar/20230616_CMO_FP13_14_15.seq/799.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	Chromeleon7
Injection	FP14_8.2_s2
Injection Number	27
Position	BE8
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	17.06.2023
Injection Time	10:13:53
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.393500
Signal Max.	42.420750
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.011125
0.016667	1	-0.011750
0.033333	1	-0.013000
0.050000	1	-0.013875
0.066667	1	-0.015000
0.083333	1	-0.015875
0.100000	1	-0.016375
0.116667	1	-0.017625
0.133333	1	-0.019500
0.150000	1	-0.020500
0.166667	1	-0.021375
0.183333	1	-0.022500
0.200000	1	-0.023250
0.216667	1	-0.024625
0.233333	1	-0.026125
0.250000	1	-0.028000
0.266667	1	-0.028625
0.283333	1	-0.029750
0.300000	1	-0.030875
0.316667	1	-0.031750
0.333333	1	-0.033000
0.350000	1	-0.034750
0.366667	1	-0.035750
0.383333	1	-0.036750
0.400000	1	-0.038500
0.416667	1	-0.039250
0.433333	1	-0.042125
0.450000	1	-0.045375
0.466667	1	-0.048750
0.483333	1	-0.050875
0.500000	1	-0.050750
0.516667	1	-0.048875
0.533333	1	-0.046750
0.550000	1	-0.043750
0.566667	1	-0.042125
0.583333	1	-0.040250
0.600000	1	-0.038500
0.616667	1	-0.037125
0.633333	1	-0.036375
0.650000	1	-0.036375
0.666667	1	-0.037250
0.683333	1	-0.039500
0.700000	1	-0.041375
0.716667	1	-0.043500
0.733333	1	-0.045125
0.750000	1	-0.045875
0.766667	1	-0.047000
0.783333	1	-0.048125
0.800000	1	-0.048500
0.816667	1	-0.049125
0.833333	1	-0.050000
0.850000	1	-0.050250
0.866667	1	-0.050000
0.883333	1	-0.050250
0.900000	1	-0.049250
0.916667	1	-0.049125
0.933333	1	-0.049500
0.950000	1	-0.049375
0.966667	1	-0.048875
0.983333	1	-0.047625
1.000000	1	-0.047250
1.016667	1	-0.046875
1.033333	1	-0.046000
1.050000	1	-0.045625
1.066667	1	-0.044750
1.083333	1	-0.044250
1.100000	1	-0.043500
1.116667	1	-0.042625
1.133333	1	-0.041500
1.150000	1	-0.040500
1.166667	1	-0.040000
1.183333	1	-0.039625
1.200000	1	-0.039375
1.216667	1	-0.038000
1.233333	1	-0.038125
1.250000	1	-0.037375
1.266667	1	-0.036250
1.283333	1	-0.035625
1.300000	1	-0.034750
1.316667	1	-0.033750
1.333333	1	-0.032625
1.350000	1	-0.032250
1.366667	1	-0.031750
1.383333	1	-0.031750
1.400000	1	-0.031250
1.416667	1	-0.031250
1.433333	1	-0.031625
1.450000	1	-0.031500
1.466667	1	-0.030750
1.483333	1	-0.030500
1.500000	1	-0.030250
1.516667	1	-0.030500
1.533333	1	-0.030375
1.550000	1	-0.029875
1.566667	1	-0.030000
1.583333	1	-0.030250
1.600000	1	-0.030625
1.616667	1	-0.030875
1.633333	1	-0.031500
1.650000	1	-0.031125
1.666667	1	-0.031500
1.683333	1	-0.031875
1.700000	1	-0.032125
1.716667	1	-0.032000
1.733333	1	-0.032625
1.750000	1	-0.032625
1.766667	1	-0.033625
1.783333	1	-0.033750
1.800000	1	-0.034125
1.816667	1	-0.035500
1.833333	1	-0.035625
1.850000	1	-0.035750
1.866667	1	-0.036750
1.883333	1	-0.037125
1.900000	1	-0.037500
1.916667	1	-0.037625
1.933333	1	-0.037750
1.950000	1	-0.037625
1.966667	1	-0.037375
1.983333	1	-0.037250
2.000000	1	-0.037875
2.016667	1	-0.038250
2.033333	1	-0.037875
2.050000	1	-0.037750
2.066667	1	-0.037750
2.083333	1	-0.037625
2.100000	1	-0.036875
2.116667	1	-0.036625
2.133333	1	-0.036625
2.150000	1	-0.036875
2.166667	1	-0.036125
2.183333	1	-0.036125
2.200000	1	-0.035125
2.216667	1	-0.034375
2.233333	1	-0.034000
2.250000	1	-0.033125
2.266667	1	-0.033125
2.283333	1	-0.032750
2.300000	1	-0.032625
2.316667	1	-0.032375
2.333333	1	-0.032125
2.350000	1	-0.031125
2.366667	1	-0.030375
2.383333	1	-0.029875
2.400000	1	-0.028375
2.416667	1	-0.027750
2.433333	1	-0.027500
2.450000	1	-0.026875
2.466667	1	-0.025625
2.483333	1	-0.024625
2.500000	1	-0.023875
2.516667	1	-0.023875
2.533333	1	-0.023125
2.550000	1	-0.022500
2.566667	1	-0.022125
2.583333	1	-0.021125
2.600000	1	-0.020250
2.616667	1	-0.019250
2.633333	1	-0.018375
2.650000	1	-0.017500
2.666667	1	-0.017375
2.683333	1	-0.017375
2.700000	1	-0.016875
2.716667	1	-0.016000
2.733333	1	-0.015250
2.750000	1	-0.014875
2.766667	1	-0.014250
2.783333	1	-0.013875
2.800000	1	-0.013375
2.816667	1	-0.013000
2.833333	1	-0.012375
2.850000	1	-0.011375
2.866667	1	-0.010750
2.883333	1	-0.010500
2.900000	1	-0.010375
2.916667	1	-0.010250
2.933333	1	-0.009750
2.950000	1	-0.009500
2.966667	1	-0.008750
2.983333	1	-0.008500
3.000000	1	-0.008250
3.016667	1	-0.007875
3.033333	1	-0.007000
3.050000	1	-0.006750
3.066667	1	-0.006625
3.083333	1	-0.006125
3.100000	1	-0.005250
3.116667	1	-0.004500
3.133333	1	-0.004250
3.150000	1	-0.004000
3.166667	1	-0.004125
3.183333	1	-0.003750
3.200000	1	-0.003625
3.216667	1	-0.003000
3.233333	1	-0.003375
3.250000	1	-0.002875
3.266667	1	-0.003125
3.283333	1	-0.002250
3.300000	1	-0.001250
3.316667	1	-0.001000
3.333333	1	-0.001000
3.350000	1	-0.000500
3.366667	1	-0.000875
3.383333	1	-0.000375
3.400000	1	-0.000250
3.416667	1	0.000000
3.433333	1	-0.000625
3.450000	1	-0.000500
3.466667	1	-0.000625
3.483333	1	-0.000125
3.500000	1	-0.000625
3.516667	1	-0.000750
3.533333	1	-0.000750
3.550000	1	-0.000750
3.566667	1	-0.000750
3.583333	1	-0.000875
3.600000	1	-0.000750
3.616667	1	-0.000750
3.633333	1	-0.001125
3.650000	1	-0.001500
3.666667	1	-0.001500
3.683333	1	-0.001625
3.700000	1	-0.001500
3.716667	1	-0.002000
3.733333	1	-0.002250
3.750000	1	-0.002375
3.766667	1	-0.003000
3.783333	1	-0.002750
3.800000	1	-0.002250
3.816667	1	-0.002875
3.833333	1	-0.003875
3.850000	1	-0.004500
3.866667	1	-0.004250
3.883333	1	-0.005000
3.900000	1	-0.005250
3.916667	1	-0.005250
3.933333	1	-0.005375
3.950000	1	-0.005625
3.966667	1	-0.006000
3.983333	1	-0.005750
4.000000	1	-0.006125
4.016667	1	-0.006375
4.033333	1	-0.006500
4.050000	1	-0.007000
4.066667	1	-0.007125
4.083333	1	-0.006750
4.100000	1	-0.006500
4.116667	1	-0.006125
4.133333	1	-0.005875
4.150000	1	-0.005750
4.166667	1	-0.005375
4.183333	1	-0.005500
4.200000	1	-0.006000
4.216667	1	-0.005375
4.233333	1	-0.005000
4.250000	1	-0.004875
4.266667	1	-0.004500
4.283333	1	-0.004375
4.300000	1	-0.003750
4.316667	1	-0.003000
4.333333	1	-0.002000
4.350000	1	-0.001375
4.366667	1	-0.000750
4.383333	1	-0.000875
4.400000	1	-0.000250
4.416667	1	-0.000250
4.433333	1	0.000375
4.450000	1	0.001000
4.466667	1	0.001750
4.483333	1	0.001875
4.500000	1	0.002625
4.516667	1	0.002875
4.533333	1	0.003125
4.550000	1	0.003375
4.566667	1	0.003625
4.583333	1	0.003625
4.600000	1	0.004375
4.616667	1	0.004125
4.633333	1	0.004375
4.650000	1	0.004375
4.666667	1	0.004625
4.683333	1	0.004750
4.700000	1	0.004250
4.716667	1	0.004625
4.733333	1	0.004125
4.750000	1	0.004125
4.766667	1	0.003375
4.783333	1	0.003125
4.800000	1	0.003000
4.816667	1	0.003125
4.833333	1	0.002875
4.850000	1	0.002625
4.866667	1	0.002500
4.883333	1	0.002375
4.900000	1	0.001000
4.916667	1	0.001000
4.933333	1	0.000875
4.950000	1	0.000750
4.966667	1	0.001375
4.983333	1	0.001000
5.000000	1	0.000875
5.016667	1	0.000125
5.033333	1	0.000625
5.050000	1	0.000375
5.066667	1	0.000375
5.083333	1	0.001000
5.100000	1	0.001250
5.116667	1	0.002000
5.133333	1	0.002750
5.150000	1	0.002375
5.166667	1	0.002875
5.183333	1	0.003625
5.200000	1	0.004750
5.216667	1	0.005500
5.233333	1	0.006250
5.250000	1	0.006750
5.266667	1	0.007250
5.283333	1	0.008375
5.300000	1	0.009875
5.316667	1	0.011000
5.333333	1	0.012875
5.350000	1	0.014750
5.366667	1	0.015875
5.383333	1	0.017500
5.400000	1	0.019500
5.416667	1	0.020500
5.433333	1	0.021500
5.450000	1	0.023500
5.466667	1	0.025500
5.483333	1	0.027250
5.500000	1	0.028750
5.516667	1	0.030250
5.533333	1	0.031500
5.550000	1	0.033875
5.566667	1	0.034875
5.583333	1	0.036250
5.600000	1	0.037625
5.616667	1	0.039250
5.633333	1	0.040750
5.650000	1	0.041500
5.666667	1	0.042250
5.683333	1	0.043875
5.700000	1	0.044625
5.716667	1	0.045375
5.733333	1	0.046625
5.750000	1	0.046125
5.766667	1	0.046750
5.783333	1	0.046750
5.800000	1	0.047250
5.816667	1	0.046750
5.833333	1	0.047125
5.850000	1	0.047125
5.866667	1	0.047625
5.883333	1	0.047375
5.900000	1	0.047125
5.916667	1	0.046750
5.933333	1	0.046500
5.950000	1	0.045500
5.966667	1	0.044875
5.983333	1	0.044500
6.000000	1	0.043625
6.016667	1	0.042750
6.033333	1	0.041625
6.050000	1	0.040750
6.066667	1	0.039750
6.083333	1	0.038750
6.100000	1	0.037375
6.116667	1	0.036750
6.133333	1	0.035625
6.150000	1	0.034000
6.166667	1	0.032875
6.183333	1	0.031500
6.200000	1	0.031000
6.216667	1	0.030750
6.233333	1	0.029750
6.250000	1	0.029125
6.266667	1	0.028375
6.283333	1	0.028125
6.300000	1	0.027500
6.316667	1	0.026625
6.333333	1	0.026000
6.350000	1	0.025500
6.366667	1	0.025125
6.383333	1	0.025000
6.400000	1	0.024875
6.416667	1	0.025375
6.433333	1	0.024750
6.450000	1	0.025000
6.466667	1	0.025250
6.483333	1	0.025875
6.500000	1	0.026500
6.516667	1	0.027000
6.533333	1	0.027500
6.550000	1	0.027750
6.566667	1	0.029125
6.583333	1	0.029625
6.600000	1	0.030625
6.616667	1	0.031625
6.633333	1	0.032875
6.650000	1	0.033875
6.666667	1	0.035625
6.683333	1	0.036625
6.700000	1	0.038625
6.716667	1	0.040125
6.733333	1	0.042500
6.750000	1	0.044000
6.766667	1	0.045750
6.783333	1	0.047125
6.800000	1	0.048375
6.816667	1	0.050625
6.833333	1	0.052750
6.850000	1	0.054625
6.866667	1	0.056125
6.883333	1	0.058250
6.900000	1	0.060375
6.916667	1	0.063000
6.933333	1	0.064250
6.950000	1	0.065750
6.966667	1	0.067375
6.983333	1	0.069500
7.000000	1	0.071250
7.016667	1	0.072625
7.033333	1	0.074125
7.050000	1	0.075625
7.066667	1	0.077250
7.083333	1	0.078875
7.100000	1	0.080000
7.116667	1	0.081000
7.133333	1	0.081500
7.150000	1	0.081750
7.166667	1	0.083000
7.183333	1	0.083125
7.200000	1	0.084250
7.216667	1	0.084500
7.233333	1	0.085000
7.250000	1	0.085125
7.266667	1	0.085125
7.283333	1	0.084500
7.300000	1	0.085000
7.316667	1	0.084500
7.333333	1	0.084500
7.350000	1	0.083875
7.366667	1	0.083000
7.383333	1	0.082125
7.400000	1	0.081000
7.416667	1	0.079500
7.433333	1	0.078750
7.450000	1	0.077875
7.466667	1	0.077125
7.483333	1	0.076375
7.500000	1	0.075000
7.516667	1	0.073625
7.533333	1	0.072000
7.550000	1	0.070875
7.566667	1	0.069125
7.583333	1	0.067750
7.600000	1	0.066875
7.616667	1	0.065625
7.633333	1	0.064125
7.650000	1	0.062625
7.666667	1	0.061625
7.683333	1	0.059750
7.700000	1	0.058500
7.716667	1	0.057000
7.733333	1	0.055125
7.750000	1	0.053750
7.766667	1	0.051375
7.783333	1	0.050750
7.800000	1	0.049750
7.816667	1	0.048500
7.833333	1	0.047125
7.850000	1	0.045500
7.866667	1	0.043875
7.883333	1	0.042500
7.900000	1	0.040750
7.916667	1	0.039250
7.933333	1	0.037750
7.950000	1	0.036375
7.966667	1	0.035375
7.983333	1	0.034375
8.000000	1	0.032125
8.016667	1	0.031250
8.033333	1	0.029875
8.050000	1	0.028250
8.066667	1	0.027000
8.083333	1	0.026750
8.100000	1	0.025625
8.116667	1	0.024500
8.133333	1	0.023750
8.150000	1	0.022625
8.166667	1	0.021500
8.183333	1	0.021250
8.200000	1	0.020250
8.216667	1	0.019500
8.233333	1	0.018250
8.250000	1	0.018125
8.266667	1	0.017625
8.283333	1	0.017750
8.300000	1	0.017250
8.316667	1	0.016500
8.333333	1	0.016500
8.350000	1	0.017000
8.366667	1	0.016875
8.383333	1	0.017000
8.400000	1	0.017000
8.416667	1	0.016875
8.433333	1	0.016875
8.450000	1	0.016875
8.466667	1	0.017375
8.483333	1	0.018125
8.500000	1	0.018750
8.516667	1	0.018500
8.533333	1	0.018500
8.550000	1	0.019125
8.566667	1	0.019625
8.583333	1	0.020000
8.600000	1	0.021000
8.616667	1	0.021625
8.633333	1	0.021750
8.650000	1	0.022750
8.666667	1	0.023750
8.683333	1	0.024000
8.700000	1	0.023875
8.716667	1	0.025000
8.733333	1	0.026125
8.750000	1	0.026500
8.766667	1	0.027500
8.783333	1	0.028625
8.800000	1	0.029750
8.816667	1	0.030750
8.833333	1	0.031125
8.850000	1	0.032250
8.866667	1	0.033375
8.883333	1	0.034000
8.900000	1	0.034625
8.916667	1	0.035250
8.933333	1	0.035625
8.950000	1	0.036625
8.966667	1	0.037500
8.983333	1	0.038625
9.000000	1	0.039625
9.016667	1	0.040250
9.033333	1	0.040625
9.050000	1	0.041750
9.066667	1	0.042500
9.083333	1	0.043625
9.100000	1	0.044000
9.116667	1	0.045250
9.133333	1	0.046500
9.150000	1	0.047375
9.166667	1	0.048125
9.183333	1	0.049625
9.200000	1	0.050625
9.216667	1	0.051125
9.233333	1	0.052125
9.250000	1	0.052875
9.266667	1	0.054000
9.283333	1	0.055000
9.300000	1	0.056125
9.316667	1	0.057250
9.333333	1	0.058875
9.350000	1	0.060125
9.366667	1	0.061375
9.383333	1	0.063250
9.400000	1	0.065750
9.416667	1	0.068000
9.433333	1	0.070000
9.450000	1	0.072750
9.466667	1	0.075875
9.483333	1	0.079000
9.500000	1	0.082125
9.516667	1	0.086000
9.533333	1	0.091375
9.550000	1	0.096875
9.566667	1	0.102875
9.583333	1	0.109625
9.600000	1	0.117375
9.616667	1	0.125625
9.633333	1	0.134750
9.650000	1	0.144500
9.666667	1	0.154500
9.683333	1	0.163875
9.700000	1	0.172375
9.716667	1	0.180375
9.733333	1	0.186375
9.750000	1	0.190500
9.766667	1	0.192750
9.783333	1	0.193250
9.800000	1	0.192625
9.816667	1	0.193500
9.833333	1	0.198250
9.850000	1	0.212000
9.866667	1	0.239875
9.883333	1	0.287125
9.900000	1	0.361250
9.916667	1	0.472625
9.933333	1	0.631500
9.950000	1	0.853375
9.966667	1	1.154625
9.983333	1	1.558125
10.000000	1	2.089125
10.016667	1	2.772125
10.033333	1	3.630875
10.050000	1	4.684125
10.066667	1	5.944375
10.083333	1	7.417875
10.100000	1	9.100875
10.116667	1	10.977875
10.133333	1	13.025000
10.150000	1	15.202625
10.166667	1	17.465125
10.183333	1	19.751750
10.200000	1	21.997000
10.216667	1	24.129000
10.233333	1	26.073750
10.250000	1	27.758625
10.266667	1	29.122375
10.283333	1	30.114875
10.300000	1	30.705500
10.316667	1	30.886750
10.333333	1	30.676625
10.350000	1	30.115625
10.366667	1	29.262000
10.383333	1	28.185875
10.400000	1	26.957875
10.416667	1	25.642250
10.433333	1	24.293125
10.450000	1	22.952000
10.466667	1	21.644250
10.483333	1	20.387125
10.500000	1	19.186500
10.516667	1	18.042625
10.533333	1	16.955125
10.550000	1	15.919125
10.566667	1	14.931500
10.583333	1	13.987750
10.600000	1	13.084250
10.616667	1	12.218000
10.633333	1	11.387500
10.650000	1	10.592250
10.666667	1	9.832000
10.683333	1	9.107875
