File Path	chrom://990-75db15j/XVault/Ultimate_3000/1256/20230531_CMO_stabTest _FP08_FP09.seq/492.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	XVault
Injection	FP08_1_s4
Injection Number	27
Position	BD5
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	02.06.2023
Injection Time	06:30:02
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.563000
Signal Max.	51.250000
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.025625
0.016667	1	-0.025625
0.033333	1	-0.026500
0.050000	1	-0.028125
0.066667	1	-0.028375
0.083333	1	-0.028875
0.100000	1	-0.030125
0.116667	1	-0.031875
0.133333	1	-0.033000
0.150000	1	-0.033750
0.166667	1	-0.035125
0.183333	1	-0.036375
0.200000	1	-0.037625
0.216667	1	-0.038875
0.233333	1	-0.040125
0.250000	1	-0.041125
0.266667	1	-0.042375
0.283333	1	-0.044750
0.300000	1	-0.050000
0.316667	1	-0.055000
0.333333	1	-0.058750
0.350000	1	-0.057375
0.366667	1	-0.055500
0.383333	1	-0.052625
0.400000	1	-0.049750
0.416667	1	-0.047750
0.433333	1	-0.045750
0.450000	1	-0.044000
0.466667	1	-0.043625
0.483333	1	-0.044625
0.500000	1	-0.047125
0.516667	1	-0.049625
0.533333	1	-0.052500
0.550000	1	-0.054625
0.566667	1	-0.056250
0.583333	1	-0.058250
0.600000	1	-0.059750
0.616667	1	-0.060500
0.633333	1	-0.061375
0.650000	1	-0.061500
0.666667	1	-0.063125
0.683333	1	-0.063625
0.700000	1	-0.063875
0.716667	1	-0.064625
0.733333	1	-0.064625
0.750000	1	-0.065000
0.766667	1	-0.065125
0.783333	1	-0.064750
0.800000	1	-0.064625
0.816667	1	-0.065000
0.833333	1	-0.064875
0.850000	1	-0.063750
0.866667	1	-0.063500
0.883333	1	-0.062875
0.900000	1	-0.063125
0.916667	1	-0.062750
0.933333	1	-0.061875
0.950000	1	-0.061500
0.966667	1	-0.060750
0.983333	1	-0.059750
1.000000	1	-0.058625
1.016667	1	-0.057875
1.033333	1	-0.057000
1.050000	1	-0.056000
1.066667	1	-0.054750
1.083333	1	-0.052750
1.100000	1	-0.052000
1.116667	1	-0.051250
1.133333	1	-0.050250
1.150000	1	-0.048625
1.166667	1	-0.047625
1.183333	1	-0.046875
1.200000	1	-0.045750
1.216667	1	-0.044000
1.233333	1	-0.042875
1.250000	1	-0.042125
1.266667	1	-0.040750
1.283333	1	-0.039625
1.300000	1	-0.038500
1.316667	1	-0.037875
1.333333	1	-0.036500
1.350000	1	-0.036250
1.366667	1	-0.034625
1.383333	1	-0.034125
1.400000	1	-0.033125
1.416667	1	-0.032500
1.433333	1	-0.031750
1.450000	1	-0.031125
1.466667	1	-0.030125
1.483333	1	-0.029750
1.500000	1	-0.029125
1.516667	1	-0.028375
1.533333	1	-0.027375
1.550000	1	-0.026750
1.566667	1	-0.025625
1.583333	1	-0.025125
1.600000	1	-0.024500
1.616667	1	-0.023625
1.633333	1	-0.022750
1.650000	1	-0.022500
1.666667	1	-0.022375
1.683333	1	-0.021875
1.700000	1	-0.021125
1.716667	1	-0.021000
1.733333	1	-0.020875
1.750000	1	-0.020750
1.766667	1	-0.020375
1.783333	1	-0.020250
1.800000	1	-0.019875
1.816667	1	-0.019875
1.833333	1	-0.020750
1.850000	1	-0.020750
1.866667	1	-0.020500
1.883333	1	-0.020625
1.900000	1	-0.021500
1.916667	1	-0.021250
1.933333	1	-0.021000
1.950000	1	-0.021375
1.966667	1	-0.021625
1.983333	1	-0.021750
2.000000	1	-0.022375
2.016667	1	-0.022875
2.033333	1	-0.024250
2.050000	1	-0.025250
2.066667	1	-0.025250
2.083333	1	-0.025875
2.100000	1	-0.026625
2.116667	1	-0.027250
2.133333	1	-0.028250
2.150000	1	-0.028375
2.166667	1	-0.028250
2.183333	1	-0.028875
2.200000	1	-0.029125
2.216667	1	-0.029625
