File Path	chrom://marshall/Chromeleon7/HPLC_Ultimate_3000/Users/markusar/20230531_CMO_stabTest _FP08_FP09.seq/580.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	Chromeleon7
Injection	FP10__4_s2
Injection Number	87
Position	BF1
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	04.06.2023
Injection Time	01:24:04
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.676125
Signal Max.	70.028000
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.045375
0.016667	1	-0.046750
0.033333	1	-0.048250
0.050000	1	-0.049125
0.066667	1	-0.050125
0.083333	1	-0.051625
0.100000	1	-0.052625
0.116667	1	-0.054375
0.133333	1	-0.056125
0.150000	1	-0.057500
0.166667	1	-0.059125
0.183333	1	-0.060250
0.200000	1	-0.061250
0.216667	1	-0.062250
0.233333	1	-0.064375
0.250000	1	-0.065000
0.266667	1	-0.065500
0.283333	1	-0.067625
0.300000	1	-0.071625
0.316667	1	-0.076000
0.333333	1	-0.078125
0.350000	1	-0.077750
0.366667	1	-0.074375
0.383333	1	-0.070875
0.400000	1	-0.067750
0.416667	1	-0.065500
0.433333	1	-0.063500
0.450000	1	-0.061375
0.466667	1	-0.060375
0.483333	1	-0.061250
0.500000	1	-0.062375
0.516667	1	-0.064625
0.533333	1	-0.066875
0.550000	1	-0.069125
0.566667	1	-0.070375
0.583333	1	-0.071250
0.600000	1	-0.072125
0.616667	1	-0.073125
0.633333	1	-0.073875
0.650000	1	-0.074750
0.666667	1	-0.075125
0.683333	1	-0.075750
0.700000	1	-0.075875
0.716667	1	-0.076250
0.733333	1	-0.076500
0.750000	1	-0.077250
0.766667	1	-0.077250
0.783333	1	-0.077250
0.800000	1	-0.076375
0.816667	1	-0.076750
0.833333	1	-0.076625
0.850000	1	-0.076375
0.866667	1	-0.076250
0.883333	1	-0.076375
0.900000	1	-0.075875
0.916667	1	-0.075500
0.933333	1	-0.075375
0.950000	1	-0.075000
0.966667	1	-0.075250
0.983333	1	-0.075875
1.000000	1	-0.075750
1.016667	1	-0.075750
1.033333	1	-0.075625
1.050000	1	-0.075375
1.066667	1	-0.075500
1.083333	1	-0.075625
1.100000	1	-0.075625
1.116667	1	-0.075500
1.133333	1	-0.075125
1.150000	1	-0.075750
1.166667	1	-0.076250
1.183333	1	-0.076750
1.200000	1	-0.077000
1.216667	1	-0.076750
1.233333	1	-0.076750
1.250000	1	-0.076875
1.266667	1	-0.076875
1.283333	1	-0.076875
1.300000	1	-0.077375
1.316667	1	-0.077750
1.333333	1	-0.078375
1.350000	1	-0.078500
1.366667	1	-0.078625
1.383333	1	-0.078750
1.400000	1	-0.078625
1.416667	1	-0.079000
1.433333	1	-0.078625
1.450000	1	-0.078625
1.466667	1	-0.078125
1.483333	1	-0.079250
1.500000	1	-0.079125
1.516667	1	-0.079375
1.533333	1	-0.080500
1.550000	1	-0.080375
1.566667	1	-0.080250
1.583333	1	-0.080625
1.600000	1	-0.080875
1.616667	1	-0.080875
1.633333	1	-0.080750
1.650000	1	-0.080625
1.666667	1	-0.080625
1.683333	1	-0.080125
1.700000	1	-0.079500
1.716667	1	-0.079500
1.733333	1	-0.079375
1.750000	1	-0.079250
1.766667	1	-0.079250
1.783333	1	-0.078625
1.800000	1	-0.078125
1.816667	1	-0.078500
1.833333	1	-0.078250
1.850000	1	-0.078250
1.866667	1	-0.078125
1.883333	1	-0.078375
1.900000	1	-0.078000
1.916667	1	-0.077250
1.933333	1	-0.077125
1.950000	1	-0.076625
1.966667	1	-0.076500
1.983333	1	-0.076375
2.000000	1	-0.075750
2.016667	1	-0.075625
2.033333	1	-0.074875
2.050000	1	-0.074250
2.066667	1	-0.073500
2.083333	1	-0.072375
2.100000	1	-0.071750
2.116667	1	-0.071000
2.133333	1	-0.070500
2.150000	1	-0.069625
2.166667	1	-0.069000
2.183333	1	-0.068125
2.200000	1	-0.067875
2.216667	1	-0.066875
2.233333	1	-0.066000
2.250000	1	-0.065375
2.266667	1	-0.064375
2.283333	1	-0.064250
2.300000	1	-0.064250
2.316667	1	-0.063375
2.333333	1	-0.062625
2.350000	1	-0.062000
2.366667	1	-0.061000
2.383333	1	-0.061000
2.400000	1	-0.060000
2.416667	1	-0.058750
2.433333	1	-0.057625
2.450000	1	-0.056625
2.466667	1	-0.056000
2.483333	1	-0.055625
2.500000	1	-0.054875
2.516667	1	-0.054375
2.533333	1	-0.054125
2.550000	1	-0.053625
2.566667	1	-0.052750
2.583333	1	-0.052000
2.600000	1	-0.051250
2.616667	1	-0.050250
2.633333	1	-0.049625
2.650000	1	-0.048250
2.666667	1	-0.048250
2.683333	1	-0.047500
2.700000	1	-0.047375
2.716667	1	-0.046375
2.733333	1	-0.045875
2.750000	1	-0.045250
2.766667	1	-0.045125
2.783333	1	-0.044875
2.800000	1	-0.045500
2.816667	1	-0.045375
2.833333	1	-0.045625
2.850000	1	-0.045125
2.866667	1	-0.045375
2.883333	1	-0.045375
2.900000	1	-0.045750
2.916667	1	-0.045500
2.933333	1	-0.046375
2.950000	1	-0.047125
2.966667	1	-0.047625
2.983333	1	-0.048625
3.000000	1	-0.048750
3.016667	1	-0.049250
3.033333	1	-0.049750
3.050000	1	-0.050750
3.066667	1	-0.051875
3.083333	1	-0.053000
3.100000	1	-0.054250
3.116667	1	-0.055375
3.133333	1	-0.056125
3.150000	1	-0.057625
3.166667	1	-0.058375
3.183333	1	-0.059375
3.200000	1	-0.060000
3.216667	1	-0.060750
3.233333	1	-0.062375
3.250000	1	-0.063375
3.266667	1	-0.064625
3.283333	1	-0.066375
3.300000	1	-0.067250
3.316667	1	-0.068125
3.333333	1	-0.069250
3.350000	1	-0.070125
3.366667	1	-0.071000
3.383333	1	-0.072000
3.400000	1	-0.073250
3.416667	1	-0.073750
3.433333	1	-0.074625
3.450000	1	-0.075375
3.466667	1	-0.075875
3.483333	1	-0.077375
3.500000	1	-0.079250
3.516667	1	-0.079875
3.533333	1	-0.080625
3.550000	1	-0.081625
3.566667	1	-0.082875
3.583333	1	-0.083250
3.600000	1	-0.084750
3.616667	1	-0.085250
3.633333	1	-0.085500
3.650000	1	-0.086875
3.666667	1	-0.087125
3.683333	1	-0.087875
3.700000	1	-0.089375
3.716667	1	-0.089500
3.733333	1	-0.089625
3.750000	1	-0.089625
3.766667	1	-0.090000
3.783333	1	-0.090500
3.800000	1	-0.090125
3.816667	1	-0.090375
3.833333	1	-0.090750
3.850000	1	-0.091000
3.866667	1	-0.090750
3.883333	1	-0.091625
3.900000	1	-0.091375
3.916667	1	-0.091625
3.933333	1	-0.091250
3.950000	1	-0.091000
3.966667	1	-0.090500
3.983333	1	-0.090375
4.000000	1	-0.089375
4.016667	1	-0.088500
4.033333	1	-0.088500
4.050000	1	-0.087375
4.066667	1	-0.087000
4.083333	1	-0.086000
4.100000	1	-0.085375
4.116667	1	-0.084000
4.133333	1	-0.083375
4.150000	1	-0.082000
4.166667	1	-0.080750
4.183333	1	-0.080125
4.200000	1	-0.078875
4.216667	1	-0.076750
4.233333	1	-0.075750
4.250000	1	-0.074000
4.266667	1	-0.072625
4.283333	1	-0.071000
4.300000	1	-0.069750
4.316667	1	-0.067750
4.333333	1	-0.065875
4.350000	1	-0.064125
4.366667	1	-0.062500
4.383333	1	-0.060375
4.400000	1	-0.057750
4.416667	1	-0.055375
4.433333	1	-0.053250
4.450000	1	-0.052000
4.466667	1	-0.050000
4.483333	1	-0.048375
4.500000	1	-0.046125
4.516667	1	-0.043250
4.533333	1	-0.041125
4.550000	1	-0.038250
4.566667	1	-0.034875
4.583333	1	-0.031750
4.600000	1	-0.028875
4.616667	1	-0.026250
4.633333	1	-0.023625
4.650000	1	-0.020625
4.666667	1	-0.016875
4.683333	1	-0.013875
4.700000	1	-0.010625
4.716667	1	-0.008000
4.733333	1	-0.005375
4.750000	1	-0.002375
4.766667	1	0.001000
4.783333	1	0.003875
4.800000	1	0.006750
4.816667	1	0.010250
4.833333	1	0.013250
4.850000	1	0.016625
4.866667	1	0.019375
4.883333	1	0.021750
4.900000	1	0.024375
4.916667	1	0.027375
4.933333	1	0.029500
4.950000	1	0.032250
4.966667	1	0.034250
4.983333	1	0.036375
5.000000	1	0.038750
5.016667	1	0.041000
5.033333	1	0.042000
5.050000	1	0.043250
5.066667	1	0.044625
5.083333	1	0.046500
5.100000	1	0.047500
5.116667	1	0.048500
5.133333	1	0.048750
5.150000	1	0.049500
5.166667	1	0.049375
5.183333	1	0.049625
5.200000	1	0.049375
5.216667	1	0.049125
5.233333	1	0.048625
5.250000	1	0.048000
5.266667	1	0.047375
5.283333	1	0.046250
5.300000	1	0.046250
5.316667	1	0.045375
5.333333	1	0.044250
5.350000	1	0.042875
5.366667	1	0.042625
5.383333	1	0.041375
5.400000	1	0.039875
5.416667	1	0.039125
5.433333	1	0.037625
5.450000	1	0.035750
5.466667	1	0.033750
5.483333	1	0.032000
5.500000	1	0.030000
5.516667	1	0.029000
5.533333	1	0.028125
5.550000	1	0.026125
5.566667	1	0.025000
5.583333	1	0.024250
5.600000	1	0.022875
5.616667	1	0.021375
5.633333	1	0.020250
5.650000	1	0.019250
5.666667	1	0.018000
5.683333	1	0.017000
5.700000	1	0.015750
5.716667	1	0.014500
5.733333	1	0.013250
5.750000	1	0.013000
5.766667	1	0.012000
5.783333	1	0.011375
5.800000	1	0.011125
5.816667	1	0.010125
5.833333	1	0.009125
5.850000	1	0.008875
5.866667	1	0.008750
5.883333	1	0.009500
5.900000	1	0.009125
5.916667	1	0.008875
5.933333	1	0.009125
5.950000	1	0.009375
5.966667	1	0.009625
5.983333	1	0.009750
6.000000	1	0.010500
6.016667	1	0.010750
6.033333	1	0.011750
6.050000	1	0.011875
6.066667	1	0.012000
6.083333	1	0.012250
6.100000	1	0.013750
6.116667	1	0.014375
6.133333	1	0.015500
6.150000	1	0.016750
6.166667	1	0.017250
6.183333	1	0.018875
6.200000	1	0.020125
6.216667	1	0.021500
6.233333	1	0.022750
6.250000	1	0.024625
6.266667	1	0.025000
6.283333	1	0.025625
6.300000	1	0.026500
6.316667	1	0.028875
6.333333	1	0.029625
6.350000	1	0.031500
6.366667	1	0.033125
6.383333	1	0.034125
6.400000	1	0.034875
6.416667	1	0.036000
6.433333	1	0.036750
6.450000	1	0.037625
6.466667	1	0.038250
6.483333	1	0.039000
6.500000	1	0.039125
6.516667	1	0.039250
6.533333	1	0.039250
6.550000	1	0.039625
6.566667	1	0.040000
6.583333	1	0.039375
6.600000	1	0.038875
6.616667	1	0.038375
6.633333	1	0.037375
6.650000	1	0.036000
6.666667	1	0.034750
6.683333	1	0.032875
6.700000	1	0.031750
6.716667	1	0.030000
6.733333	1	0.027750
6.750000	1	0.025125
6.766667	1	0.023000
6.783333	1	0.020500
6.800000	1	0.017500
6.816667	1	0.014750
6.833333	1	0.012500
6.850000	1	0.009125
6.866667	1	0.006375
6.883333	1	0.003000
6.900000	1	0.000000
6.916667	1	-0.002125
6.933333	1	-0.005625
6.950000	1	-0.008375
6.966667	1	-0.010875
6.983333	1	-0.013375
7.000000	1	-0.016125
7.016667	1	-0.018125
7.033333	1	-0.021375
7.050000	1	-0.024125
7.066667	1	-0.026875
7.083333	1	-0.028625
7.100000	1	-0.030875
7.116667	1	-0.032500
7.133333	1	-0.033875
7.150000	1	-0.035875
7.166667	1	-0.037500
7.183333	1	-0.038500
7.200000	1	-0.039500
7.216667	1	-0.041125
7.233333	1	-0.042125
7.250000	1	-0.042000
7.266667	1	-0.043250
7.283333	1	-0.043625
7.300000	1	-0.044125
7.316667	1	-0.044000
7.333333	1	-0.044250
