File Path	chrom://marshall/Chromeleon7/HPLC_Ultimate_3000/Users/markusar/20230610_CMO_FP11_FP12.seq/990.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	Chromeleon7
Injection	FP11_4_S5
Injection Number	20
Position	BB7
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	11.06.2023
Injection Time	07:42:15
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.734250
Signal Max.	60.796000
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.017500
0.016667	1	-0.018500
0.033333	1	-0.018625
0.050000	1	-0.018875
0.066667	1	-0.018750
0.083333	1	-0.018250
0.100000	1	-0.019000
0.116667	1	-0.019625
0.133333	1	-0.020125
0.150000	1	-0.020250
0.166667	1	-0.020250
0.183333	1	-0.020500
0.200000	1	-0.020250
0.216667	1	-0.020625
0.233333	1	-0.020750
0.250000	1	-0.020500
0.266667	1	-0.020250
0.283333	1	-0.021000
0.300000	1	-0.021375
0.316667	1	-0.022125
0.333333	1	-0.024375
0.350000	1	-0.028000
0.366667	1	-0.030875
0.383333	1	-0.031125
0.400000	1	-0.029000
0.416667	1	-0.025500
0.433333	1	-0.021375
0.450000	1	-0.018750
0.466667	1	-0.016375
0.483333	1	-0.014250
0.500000	1	-0.011750
0.516667	1	-0.009625
0.533333	1	-0.008875
0.550000	1	-0.009625
0.566667	1	-0.011250
0.583333	1	-0.013625
0.600000	1	-0.015500
0.616667	1	-0.016125
0.633333	1	-0.017250
0.650000	1	-0.018250
0.666667	1	-0.019250
0.683333	1	-0.019750
0.700000	1	-0.020625
0.716667	1	-0.021375
0.733333	1	-0.021875
0.750000	1	-0.022375
0.766667	1	-0.022875
0.783333	1	-0.023500
0.800000	1	-0.023875
0.816667	1	-0.023750
0.833333	1	-0.023500
0.850000	1	-0.023750
0.866667	1	-0.024625
0.883333	1	-0.024625
0.900000	1	-0.024875
0.916667	1	-0.025125
0.933333	1	-0.025250
0.950000	1	-0.025750
0.966667	1	-0.025750
0.983333	1	-0.026750
1.000000	1	-0.027250
1.016667	1	-0.027250
1.033333	1	-0.027875
1.050000	1	-0.028625
1.066667	1	-0.028625
1.083333	1	-0.029125
1.100000	1	-0.029375
1.116667	1	-0.029375
1.133333	1	-0.030000
1.150000	1	-0.030500
1.166667	1	-0.031625
1.183333	1	-0.032375
1.200000	1	-0.033125
1.216667	1	-0.033250
1.233333	1	-0.033500
1.250000	1	-0.033250
1.266667	1	-0.032750
1.283333	1	-0.033625
1.300000	1	-0.033750
1.316667	1	-0.034500
1.333333	1	-0.035125
1.350000	1	-0.035750
1.366667	1	-0.036250
1.383333	1	-0.036375
1.400000	1	-0.036625
1.416667	1	-0.037000
1.433333	1	-0.037250
1.450000	1	-0.037750
1.466667	1	-0.037875
1.483333	1	-0.038250
1.500000	1	-0.038375
1.516667	1	-0.038750
1.533333	1	-0.039375
1.550000	1	-0.039750
1.566667	1	-0.040625
1.583333	1	-0.042000
1.600000	1	-0.042500
1.616667	1	-0.042500
1.633333	1	-0.042750
1.650000	1	-0.043000
1.666667	1	-0.043625
1.683333	1	-0.044125
1.700000	1	-0.044875
1.716667	1	-0.045500
1.733333	1	-0.045750
1.750000	1	-0.045750
1.766667	1	-0.047125
1.783333	1	-0.048125
1.800000	1	-0.048125
1.816667	1	-0.048125
1.833333	1	-0.048125
1.850000	1	-0.048750
1.866667	1	-0.049375
1.883333	1	-0.050125
1.900000	1	-0.050500
1.916667	1	-0.051000
1.933333	1	-0.051625
1.950000	1	-0.052500
1.966667	1	-0.052375
1.983333	1	-0.052625
2.000000	1	-0.053125
2.016667	1	-0.053625
2.033333	1	-0.054125
2.050000	1	-0.054375
2.066667	1	-0.054000
2.083333	1	-0.054500
2.100000	1	-0.054500
2.116667	1	-0.054500
2.133333	1	-0.054875
2.150000	1	-0.054750
2.166667	1	-0.054500
2.183333	1	-0.054250
2.200000	1	-0.053750
2.216667	1	-0.052875
2.233333	1	-0.052625
2.250000	1	-0.052625
2.266667	1	-0.052500
2.283333	1	-0.052000
2.300000	1	-0.051375
2.316667	1	-0.051125
2.333333	1	-0.050250
2.350000	1	-0.049500
2.366667	1	-0.047875
2.383333	1	-0.046875
2.400000	1	-0.046250
2.416667	1	-0.045625
2.433333	1	-0.044625
2.450000	1	-0.042875
2.466667	1	-0.041500
2.483333	1	-0.040625
2.500000	1	-0.039750
2.516667	1	-0.039250
2.533333	1	-0.038125
2.550000	1	-0.036750
2.566667	1	-0.035375
2.583333	1	-0.033375
2.600000	1	-0.032000
2.616667	1	-0.031375
2.633333	1	-0.029625
2.650000	1	-0.028000
2.666667	1	-0.026375
2.683333	1	-0.025500
2.700000	1	-0.023625
2.716667	1	-0.022375
2.733333	1	-0.021625
2.750000	1	-0.019875
2.766667	1	-0.018625
2.783333	1	-0.017875
2.800000	1	-0.016625
2.816667	1	-0.015750
2.833333	1	-0.014250
2.850000	1	-0.013125
2.866667	1	-0.011875
2.883333	1	-0.010625
2.900000	1	-0.010000
2.916667	1	-0.009500
2.933333	1	-0.008250
2.950000	1	-0.006625
2.966667	1	-0.006000
2.983333	1	-0.005250
3.000000	1	-0.004375
3.016667	1	-0.003875
3.033333	1	-0.002750
3.050000	1	-0.002125
3.066667	1	-0.002000
3.083333	1	-0.001625
3.100000	1	-0.001625
3.116667	1	-0.001750
3.133333	1	-0.001875
3.150000	1	-0.001250
3.166667	1	-0.001250
3.183333	1	-0.001000
3.200000	1	-0.000875
3.216667	1	-0.001000
3.233333	1	-0.001375
3.250000	1	-0.001625
3.266667	1	-0.002500
3.283333	1	-0.003125
3.300000	1	-0.003875
3.316667	1	-0.004250
3.333333	1	-0.004750
3.350000	1	-0.005625
3.366667	1	-0.006250
3.383333	1	-0.007000
3.400000	1	-0.007750
3.416667	1	-0.008500
3.433333	1	-0.009375
3.450000	1	-0.010000
3.466667	1	-0.010250
3.483333	1	-0.011375
3.500000	1	-0.012375
3.516667	1	-0.013500
3.533333	1	-0.014375
3.550000	1	-0.015250
3.566667	1	-0.015625
3.583333	1	-0.016000
3.600000	1	-0.017125
3.616667	1	-0.017625
3.633333	1	-0.018625
3.650000	1	-0.018875
3.666667	1	-0.018750
3.683333	1	-0.019500
3.700000	1	-0.020375
3.716667	1	-0.021250
3.733333	1	-0.021750
3.750000	1	-0.022250
3.766667	1	-0.022375
3.783333	1	-0.022875
3.800000	1	-0.023375
3.816667	1	-0.023875
3.833333	1	-0.024125
3.850000	1	-0.024500
3.866667	1	-0.025375
3.883333	1	-0.026375
3.900000	1	-0.026875
3.916667	1	-0.027000
3.933333	1	-0.028000
3.950000	1	-0.028500
3.966667	1	-0.029125
3.983333	1	-0.029375
4.000000	1	-0.030000
4.016667	1	-0.030875
4.033333	1	-0.031375
4.050000	1	-0.032250
4.066667	1	-0.032375
4.083333	1	-0.032875
4.100000	1	-0.034125
4.116667	1	-0.035250
4.133333	1	-0.035875
4.150000	1	-0.036125
4.166667	1	-0.036875
4.183333	1	-0.037250
4.200000	1	-0.037500
4.216667	1	-0.038250
4.233333	1	-0.038625
4.250000	1	-0.038875
4.266667	1	-0.039375
4.283333	1	-0.040125
4.300000	1	-0.040375
4.316667	1	-0.041000
4.333333	1	-0.041125
4.350000	1	-0.041250
4.366667	1	-0.041000
4.383333	1	-0.040500
4.400000	1	-0.040750
4.416667	1	-0.040625
4.433333	1	-0.041125
4.450000	1	-0.041375
4.466667	1	-0.041250
4.483333	1	-0.040625
4.500000	1	-0.039500
4.516667	1	-0.039250
4.533333	1	-0.038750
4.550000	1	-0.037125
4.566667	1	-0.036500
4.583333	1	-0.036000
4.600000	1	-0.035000
4.616667	1	-0.033625
4.633333	1	-0.032500
4.650000	1	-0.031625
4.666667	1	-0.030750
4.683333	1	-0.029250
4.700000	1	-0.027875
4.716667	1	-0.026375
4.733333	1	-0.025125
4.750000	1	-0.023500
4.766667	1	-0.021875
4.783333	1	-0.019500
4.800000	1	-0.017500
4.816667	1	-0.014875
4.833333	1	-0.013250
4.850000	1	-0.010625
4.866667	1	-0.008000
4.883333	1	-0.005875
4.900000	1	-0.004250
4.916667	1	-0.002500
4.933333	1	-0.000250
4.950000	1	0.001875
4.966667	1	0.005000
4.983333	1	0.007250
5.000000	1	0.010250
5.016667	1	0.013250
5.033333	1	0.015500
5.050000	1	0.017875
5.066667	1	0.021125
5.083333	1	0.023000
5.100000	1	0.025875
5.116667	1	0.028500
5.133333	1	0.031000
5.150000	1	0.033375
5.166667	1	0.035750
5.183333	1	0.038375
5.200000	1	0.040375
5.216667	1	0.041875
5.233333	1	0.044000
5.250000	1	0.045375
5.266667	1	0.047000
5.283333	1	0.048375
5.300000	1	0.050000
5.316667	1	0.050875
5.333333	1	0.051875
5.350000	1	0.053375
5.366667	1	0.054125
5.383333	1	0.055125
5.400000	1	0.055750
5.416667	1	0.055625
5.433333	1	0.055750
5.450000	1	0.055250
5.466667	1	0.054875
5.483333	1	0.054750
5.500000	1	0.054625
5.516667	1	0.053250
5.533333	1	0.052250
5.550000	1	0.051375
5.566667	1	0.050250
5.583333	1	0.049375
5.600000	1	0.048125
5.616667	1	0.046875
5.633333	1	0.045375
5.650000	1	0.043875
5.666667	1	0.042000
5.683333	1	0.040125
5.700000	1	0.038500
5.716667	1	0.036125
5.733333	1	0.034750
5.750000	1	0.033000
5.766667	1	0.031000
5.783333	1	0.029375
5.800000	1	0.027375
5.816667	1	0.026000
5.833333	1	0.024125
5.850000	1	0.022500
5.866667	1	0.021250
5.883333	1	0.020125
5.900000	1	0.018625
5.916667	1	0.017125
5.933333	1	0.016000
5.950000	1	0.014625
5.966667	1	0.013500
5.983333	1	0.013000
6.000000	1	0.011750
6.016667	1	0.010500
6.033333	1	0.009875
6.050000	1	0.009125
6.066667	1	0.008875
6.083333	1	0.009250
6.100000	1	0.009125
6.116667	1	0.009125
6.133333	1	0.009375
6.150000	1	0.010250
6.166667	1	0.011000
6.183333	1	0.011875
6.200000	1	0.013000
6.216667	1	0.014500
6.233333	1	0.016000
6.250000	1	0.017375
6.266667	1	0.018750
6.283333	1	0.020250
6.300000	1	0.022000
6.316667	1	0.024375
6.333333	1	0.025625
6.350000	1	0.027750
6.366667	1	0.029875
6.383333	1	0.032625
6.400000	1	0.034750
6.416667	1	0.037500
6.433333	1	0.039375
6.450000	1	0.041625
6.466667	1	0.044750
6.483333	1	0.046625
6.500000	1	0.048875
6.516667	1	0.051625
6.533333	1	0.054375
