File Path	chrom://marshall/Chromeleon7/HPLC_Ultimate_3000/Users/markusar/20230616_CMO_FP13_14_15.seq/174.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	Chromeleon7
Injection	FP14_4.2_s7
Injection Number	25
Position	BE6
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	17.06.2023
Injection Time	08:51:58
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.407125
Signal Max.	47.356500
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.044000
0.016667	1	-0.045375
0.033333	1	-0.046500
0.050000	1	-0.047750
0.066667	1	-0.049000
0.083333	1	-0.050125
0.100000	1	-0.050375
0.116667	1	-0.050875
0.133333	1	-0.050875
0.150000	1	-0.050875
0.166667	1	-0.050875
0.183333	1	-0.050625
0.200000	1	-0.051125
0.216667	1	-0.051250
0.233333	1	-0.051625
0.250000	1	-0.051500
0.266667	1	-0.051625
0.283333	1	-0.051625
0.300000	1	-0.051250
0.316667	1	-0.050750
0.333333	1	-0.049625
0.350000	1	-0.049125
0.366667	1	-0.048750
0.383333	1	-0.047500
0.400000	1	-0.047375
0.416667	1	-0.047500
0.433333	1	-0.048750
0.450000	1	-0.050250
0.466667	1	-0.052000
0.483333	1	-0.052500
0.500000	1	-0.050500
0.516667	1	-0.047750
0.533333	1	-0.044125
0.550000	1	-0.040625
0.566667	1	-0.036375
0.583333	1	-0.033875
0.600000	1	-0.030125
0.616667	1	-0.027125
0.633333	1	-0.025000
0.650000	1	-0.023625
0.666667	1	-0.023625
0.683333	1	-0.024375
0.700000	1	-0.025125
0.716667	1	-0.026125
0.733333	1	-0.027000
0.750000	1	-0.027375
0.766667	1	-0.027750
0.783333	1	-0.028125
0.800000	1	-0.028750
0.816667	1	-0.028375
0.833333	1	-0.028250
0.850000	1	-0.028250
0.866667	1	-0.028750
0.883333	1	-0.029125
0.900000	1	-0.028875
0.916667	1	-0.028500
0.933333	1	-0.028625
0.950000	1	-0.028625
0.966667	1	-0.028125
0.983333	1	-0.028125
1.000000	1	-0.027750
1.016667	1	-0.028500
1.033333	1	-0.028625
1.050000	1	-0.027500
1.066667	1	-0.027625
1.083333	1	-0.027375
1.100000	1	-0.027500
1.116667	1	-0.028000
1.133333	1	-0.028375
1.150000	1	-0.028875
1.166667	1	-0.028875
1.183333	1	-0.029375
1.200000	1	-0.029250
1.216667	1	-0.030125
1.233333	1	-0.030375
1.250000	1	-0.030125
1.266667	1	-0.031000
1.283333	1	-0.031625
1.300000	1	-0.031125
1.316667	1	-0.031375
1.333333	1	-0.032000
1.350000	1	-0.032125
1.366667	1	-0.033000
1.383333	1	-0.034125
